Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,24.754,24.754,23.989,24.075,114946,0
2010-01-05,24.104,24.705,23.698,24.094,238138,0
2010-01-06,24.143,25.217,23.894,24.858,213562,0
2010-01-07,24.916,25.168,24.461,24.858,69543,0
2010-01-08,24.83,25.37,24.452,24.773,95341,0
2010-01-11,25.091,25.496,24.974,25.294,95265,0
2010-01-12,25.227,25.429,24.956,25.139,137389,0
2010-01-13,25.12,25.488,24.897,24.946,140586,0
2010-01-14,24.946,25.478,24.763,25.178,86307,0
2010-01-15,25.294,25.294,23.97,24.675,156204,0
2010-01-19,24.783,25.227,24.529,25.042,105685,0
2010-01-20,24.821,24.916,23.874,24.27,235027,0
2010-01-21,24.211,24.452,23.003,23.292,284469,0
2010-01-22,23.177,23.436,22.665,22.848,113285,0
2010-01-25,22.993,23.187,22.586,22.848,100162,0
2010-01-26,22.732,22.934,22.626,22.722,119086,0
2010-01-27,22.606,22.944,22.557,22.779,99232,0
2010-01-28,22.878,22.878,21.64,21.785,302815,0
2010-01-29,22.953,24.395,22.858,23.283,588395,0
2010-02-01,23.244,23.322,22.683,22.848,203104,0
2010-02-02,22.925,23.34,22.819,23.205,160524,0
2010-02-03,23.205,23.64,22.819,23.38,135941,0
2010-02-04,23.302,23.302,22.336,22.354,128458,0
2010-02-05,22.479,22.499,21.842,22.279,128017,0
2010-02-08,22.2,22.382,21.958,22.239,64064,0
2010-02-09,22.364,22.509,22.152,22.46,127242,0
2010-02-10,22.328,22.925,22.064,22.916,134370,0
2010-02-11,23.698,24.754,23.688,24.133,220130,0
2010-02-12,23.884,24.424,23.496,24.424,143055,0
2010-02-16,24.499,24.897,24.045,24.347,99404,0
2010-02-17,24.529,24.529,24.181,24.28,70158,0
2010-02-18,24.318,24.734,24.27,24.734,133149,0
2010-02-19,24.734,24.964,24.519,24.637,110173,0
2010-02-22,24.763,25.111,24.763,25.091,145571,0
2010-02-23,24.984,24.984,24.479,24.588,100303,0
2010-02-24,24.618,24.705,24.415,24.539,57908,0
2010-02-25,24.415,24.783,24.367,24.489,181594,0
2010-02-26,24.578,24.83,24.24,24.549,170003,0
2010-03-01,24.724,25.139,24.461,25.129,163466,0
2010-03-02,25.042,25.603,24.783,25.478,60347,0
2010-03-03,25.488,25.526,25.217,25.276,104371,0
2010-03-04,25.362,25.4,25.062,25.139,98361,0
2010-03-05,25.139,25.285,24.974,25.266,122010,0
2010-03-08,25.285,25.4,25.082,25.187,39038,0
2010-03-09,25.197,25.38,24.956,25.111,72489,0
2010-03-10,25.042,25.845,25.004,25.807,150205,0
2010-03-11,25.613,26.087,25.564,26.067,85184,0
2010-03-12,26.058,26.533,25.991,26.533,195320,0
2010-03-15,26.515,26.582,26.145,26.426,57659,0
2010-03-16,26.506,26.655,26.194,26.655,127647,0
2010-03-17,26.615,27.103,26.606,26.966,200490,0
2010-03-18,27.043,27.295,26.911,27.151,149678,0
2010-03-19,27.218,27.266,26.762,26.762,166360,0
2010-03-22,26.753,27.344,26.397,27.256,141126,0
2010-03-23,27.315,27.548,27.003,27.44,94295,0
2010-03-24,27.344,27.558,27.073,27.093,164202,0
2010-03-25,27.161,27.528,26.525,26.552,96199,0
2010-03-26,26.543,26.543,25.632,26.03,102953,0
2010-03-29,26.115,26.278,25.807,26.155,90823,0
2010-03-30,26.125,26.911,26.125,26.685,128744,0
2010-03-31,26.562,27.161,26.231,26.287,101479,0
2010-04-01,26.387,26.735,25.672,26.02,115623,0
2010-04-05,26.011,26.506,26.011,26.125,83490,0
2010-04-06,25.981,26.486,25.807,25.941,139812,0
2010-04-07,25.845,25.991,25.343,25.574,114037,0
2010-04-08,25.429,25.544,24.974,25.237,122322,0
2010-04-09,25.197,25.41,24.685,25.323,145058,0
2010-04-12,25.257,25.981,25.257,25.892,161314,0
2010-04-13,25.817,25.991,25.468,25.778,257662,0
2010-04-14,25.863,26.552,25.854,26.155,184234,0
2010-04-15,26.058,26.367,26.03,26.087,135313,0
2010-04-16,26.106,26.106,25.439,25.769,119762,0
2010-04-19,25.788,25.788,25.37,25.681,102822,0
2010-04-20,25.892,26.03,25.314,25.7,143085,0
2010-04-21,25.642,25.642,25.158,25.333,64074,0
2010-04-22,25.072,25.778,24.792,25.759,173031,0
2010-04-23,25.902,26.543,25.883,26.486,159817,0
2010-04-26,26.466,26.762,25.961,26.03,151970,0
2010-04-27,25.836,26.426,25.642,25.691,126175,0
2010-04-28,25.778,26.287,25.739,25.863,99284,0
2010-04-29,25.971,27.181,25.941,27.131,240691,0
2010-04-30,26.106,26.268,24.867,25.032,501485,0
2010-05-03,25.032,25.032,24.191,24.907,221672,0
2010-05-04,24.618,24.618,23.575,24.26,153146,0
2010-05-05,24.152,24.665,23.736,24.367,136186,0
2010-05-06,24.191,24.608,21.9,23.331,112720,0
2010-05-07,23.254,23.36,22.19,22.963,293788,0
2010-05-10,23.903,23.903,23.273,23.804,184550,0
2010-05-11,23.545,24.094,23.506,24.085,128264,0
2010-05-12,24.104,24.588,23.824,24.539,118070,0
2010-05-13,24.415,24.628,23.97,24.191,141094,0
2010-05-14,23.933,23.933,23.35,23.717,143004,0
2010-05-17,23.755,23.98,23.273,23.903,97385,0
2010-05-18,24.191,24.489,23.804,23.953,111577,0
2010-05-19,23.834,24.094,23.63,23.854,86896,0
2010-05-20,23.36,23.36,22.21,22.299,145947,0
2010-05-21,22.006,22.713,21.66,22.2,283709,0
2010-05-24,22.249,22.336,21.669,21.765,117740,0
2010-05-25,21.485,21.541,20.729,21.522,179339,0
2010-05-26,21.601,22.132,21.215,21.244,105266,0
2010-05-27,21.611,22.229,21.551,22.113,74767,0
2010-05-28,22.122,22.318,21.755,21.765,70744,0
2010-06-01,21.541,22.093,21.31,21.319,93251,0
2010-06-02,21.531,22.054,21.282,22.054,103702,0
2010-06-03,22.181,22.732,21.91,22.566,112747,0
2010-06-04,21.929,22.308,20.981,21.011,155690,0
2010-06-07,21.041,21.244,20.489,20.548,122166,0
2010-06-08,20.567,20.633,19.793,20.015,162349,0
2010-06-09,20.111,21.406,20.054,20.971,232278,0
2010-06-10,21.319,22.142,21.273,22.113,274132,0
2010-06-11,21.735,22.819,21.551,22.761,242776,0
2010-06-14,23.06,23.37,22.328,22.392,132200,0
2010-06-15,22.519,22.779,22.093,22.665,79916,0
2010-06-16,22.372,22.722,22.171,22.171,125420,0
2010-06-17,22.132,22.289,21.689,22.219,59421,0
2010-06-18,22.364,22.364,21.63,21.715,110995,0
2010-06-21,21.968,22.431,21.185,21.338,71903,0
2010-06-22,21.465,21.88,21.175,21.205,55675,0
2010-06-23,21.195,21.358,20.548,20.691,204818,0
2010-06-24,20.558,20.981,20.353,20.538,170054,0
2010-06-25,20.681,20.797,20.479,20.729,224926,0
2010-06-28,20.779,21.495,20.624,21.254,108090,0
2010-06-29,20.866,21.416,20.701,20.904,212084,0
2010-06-30,20.904,21.65,20.595,20.719,160617,0
2010-07-01,20.691,20.691,19.812,20.189,156125,0
2010-07-02,20.284,20.681,20.044,20.479,102234,0
2010-07-06,20.729,21.069,20.093,20.13,108524,0
2010-07-07,20.199,20.585,20.015,20.498,118143,0
2010-07-08,20.701,20.797,19.803,19.986,170310,0
2010-07-09,19.869,20.238,19.619,19.907,219691,0
2010-07-12,19.783,20.025,19.442,19.609,194505,0
2010-07-13,19.763,19.927,19.339,19.442,215192,0
2010-07-14,19.442,19.501,18.371,18.478,375155,0
2010-07-15,18.545,18.758,18.195,18.362,173202,0
2010-07-16,18.205,18.362,17.55,17.57,157756,0
2010-07-19,17.674,17.867,16.96,17.151,163417,0
2010-07-20,17.009,18.195,16.979,18.12,324261,0
2010-07-21,18.322,18.592,17.656,17.724,152350,0
2010-07-22,18.045,18.149,17.807,17.936,162017,0
2010-07-23,17.78,19.018,17.55,17.956,150297,0
2010-07-26,18.025,18.497,17.752,18.431,198378,0
2010-07-27,18.497,18.836,18.421,18.777,153566,0
2010-07-28,18.662,18.738,17.807,17.936,139249,0
2010-07-29,18.025,18.045,17.17,17.694,186207,0
2010-07-30,18.243,20.382,18.243,19.389,492158,0
2010-08-02,19.736,20.14,19.511,20.005,250224,0
2010-08-03,19.86,20.558,19.822,20.274,198268,0
2010-08-04,20.324,20.672,20.314,20.479,100024,0
2010-08-05,20.392,20.663,20.209,20.265,136699,0
2010-08-06,19.907,20.228,19.416,19.783,145566,0
2010-08-09,19.85,20.209,19.754,20.064,73340,0
2010-08-10,19.687,19.783,18.892,19.452,117322,0
2010-08-11,19.145,19.155,18.718,18.991,147991,0
2010-08-12,18.632,19.105,18.342,18.971,83797,0
2010-08-13,18.854,18.942,18.488,18.758,89830,0
2010-08-16,18.612,19.048,18.612,18.962,63177,0
2010-08-17,19.212,19.339,19.048,19.289,120695,0
2010-08-18,19.212,19.339,18.902,19.212,104287,0
2010-08-19,19.086,19.359,18.46,18.767,103998,0
2010-08-20,18.662,18.662,18.13,18.253,128653,0
2010-08-23,18.332,18.632,18.073,18.224,83650,0
2010-08-24,18.006,18.332,17.77,18.11,101602,0
2010-08-25,18.015,18.185,17.837,18.13,75651,0
2010-08-26,18.149,18.215,17.618,17.646,52244,0
2010-08-27,17.887,18.234,17.452,18.205,47212,0
2010-08-30,18.12,18.13,17.541,17.56,45054,0
2010-08-31,17.491,17.694,17.345,17.461,68290,0
2010-09-01,17.752,18.401,17.599,18.381,77961,0
2010-09-02,18.283,18.554,17.956,18.488,54896,0
2010-09-03,18.748,18.854,18.411,18.836,57292,0
2010-09-07,18.807,19.299,18.622,18.912,216502,0
2010-09-08,19.01,19.28,18.962,19.145,67031,0
2010-09-09,19.329,19.339,18.535,18.748,77588,0
2010-09-10,18.864,18.864,18.149,18.632,51955,0
2010-09-13,18.807,19.339,18.564,19.26,83143,0
2010-09-14,19.231,19.54,19.095,19.289,74787,0
2010-09-15,19.251,19.736,19.095,19.657,61943,0
2010-09-16,19.677,19.822,19.442,19.687,67888,0
2010-09-17,19.783,20.199,19.491,20.102,159133,0
2010-09-20,20.16,21.513,19.966,21.126,163704,0
2010-09-21,21.165,21.64,20.44,21.367,138141,0
2010-09-22,21.302,21.436,20.797,21.001,67006,0
2010-09-23,20.759,21.205,20.489,21.106,93076,0
2010-09-24,21.302,21.833,21.041,21.64,111891,0
2010-09-27,21.707,21.9,21.367,21.465,78860,0
2010-09-28,21.581,22.2,21.319,22.103,89406,0
2010-09-29,21.968,22.269,21.815,22.132,66133,0
2010-09-30,22.346,22.626,22.083,22.336,117237,0
2010-10-01,22.557,22.703,22.113,22.499,67856,0
2010-10-04,22.402,22.509,21.9,21.958,133451,0
2010-10-05,22.2,22.789,22.034,22.489,171171,0
2010-10-06,22.392,22.752,22.19,22.576,49512,0
2010-10-07,22.779,22.925,22.538,22.557,43148,0
2010-10-08,22.557,23.205,22.422,23.079,55742,0
2010-10-11,22.983,23.36,22.963,22.983,33908,0
2010-10-12,22.858,23.128,22.693,22.916,35636,0
2010-10-13,23.012,23.593,22.916,23.36,52406,0
2010-10-14,23.273,23.611,23.148,23.38,36462,0
2010-10-15,23.678,23.804,23.273,23.603,77173,0
2010-10-18,23.611,24.055,23.456,23.884,52402,0
2010-10-19,23.496,23.593,22.566,22.713,128468,0
2010-10-20,22.888,23.593,22.888,23.022,77200,0
2010-10-21,23.196,23.215,21.531,22.122,152046,0
2010-10-22,22.142,22.47,21.842,22.229,78164,0
2010-10-25,22.441,22.703,22.219,22.509,67604,0
2010-10-26,22.328,23.496,22.219,22.382,75138,0
2010-10-27,22.336,22.616,21.669,22.586,95767,0
2010-10-28,22.878,23.079,22.752,22.944,99469,0
2010-10-29,22.963,23.292,22.722,23.215,68048,0
2010-11-01,23.34,23.516,22.626,22.742,77679,0
2010-11-02,23.04,23.98,23.04,23.97,84560,0
2010-11-03,24.065,24.094,23.37,23.884,67740,0
2010-11-04,24.162,24.424,23.998,24.337,103177,0
2010-11-05,24.424,24.647,24.211,24.578,73388,0
2010-11-08,24.442,25.004,24.28,24.964,72354,0
2010-11-09,25.072,25.488,24.754,24.984,67120,0
2010-11-10,25.004,25.603,24.848,25.506,171273,0
2010-11-11,25.139,25.516,24.685,25.111,72140,0
2010-11-12,24.848,25.353,24.665,24.724,73466,0
2010-11-15,24.821,25.207,24.724,24.858,37844,0
2010-11-16,24.656,24.812,23.698,23.784,71226,0
2010-11-17,23.854,24.191,23.436,23.688,72338,0
2010-11-18,24.055,24.608,23.708,24.309,148786,0
2010-11-19,24.337,25.294,23.998,25.294,149105,0
2010-11-22,25.091,25.759,25.062,25.672,102582,0
2010-11-23,25.323,25.622,25.266,25.516,131685,0
2010-11-24,25.574,26.221,25.535,26.087,139057,0
2010-11-26,25.788,26.347,25.7,26.106,24154,0
2010-11-29,26.03,26.221,25.564,26.115,67180,0
2010-11-30,25.797,26.456,25.797,26.106,134384,0
2010-12-01,26.562,27.073,26.446,26.939,131097,0
2010-12-02,27.033,27.121,26.892,27.063,64693,0
2010-12-03,27.023,27.121,26.762,27.023,95166,0
2010-12-06,26.862,27.228,26.862,27.151,66949,0
2010-12-07,27.538,27.538,26.862,27.4,139189,0
2010-12-08,27.558,27.626,27.21,27.238,89072,0
2010-12-09,27.548,27.548,27.013,27.043,115259,0
2010-12-10,27.161,27.362,26.939,27.181,58641,0
2010-12-13,27.352,27.352,26.762,26.782,111244,0
2010-12-14,26.782,26.852,26.307,26.496,169073,0
2010-12-15,26.562,26.589,26.145,26.506,180118,0
2010-12-16,26.476,26.715,26.135,26.25,146566,0
2010-12-17,26.287,26.975,26.194,26.892,184038,0
2010-12-20,26.842,27.344,26.743,26.901,118732,0
2010-12-21,26.929,27.141,26.842,27.063,157406,0
2010-12-22,27.151,27.151,26.582,26.753,156574,0
2010-12-23,26.762,26.822,26.337,26.397,61316,0
2010-12-27,26.278,26.387,26.077,26.194,63111,0
2010-12-28,26.184,26.25,25.873,26.115,122234,0
2010-12-29,26.145,26.533,26.145,26.426,80672,0
2010-12-30,26.446,26.802,26.436,26.476,58156,0
2010-12-31,26.268,26.268,25.642,25.961,132981,0
2011-01-03,26.125,26.552,26.011,26.231,89825,0
2011-01-04,26.337,26.337,25.353,25.39,116499,0
2011-01-05,25.285,25.622,25.187,25.496,80170,0
2011-01-06,25.314,25.468,24.461,24.608,211661,0
2011-01-07,24.734,24.734,23.688,24.395,158702,0
2011-01-10,24.357,24.734,23.913,24.23,120139,0
2011-01-11,24.26,24.695,24.172,24.509,51409,0
2011-01-12,24.628,25.032,24.598,24.792,103705,0
2011-01-13,24.812,24.936,24.608,24.744,43872,0
2011-01-14,24.734,25.37,24.519,25.37,66158,0
2011-01-18,25.276,25.941,25.266,25.845,102815,0
2011-01-19,25.951,26.562,25.622,25.749,223622,0
2011-01-20,25.622,26.067,25.496,25.759,85848,0
2011-01-21,25.788,26.106,25.642,25.769,91227,0
2011-01-24,25.719,26.525,25.709,25.932,79702,0
2011-01-25,25.769,26.001,25.439,25.854,64530,0
2011-01-26,25.873,27.073,25.873,26.615,189153,0
2011-01-27,26.606,26.606,25.951,26.397,134799,0
2011-01-28,26.02,27.498,25.554,25.902,336885,0
2011-01-31,26.125,26.125,25.333,25.478,144277,0
2011-02-01,25.593,25.632,24.956,25.516,148285,0
2011-02-02,25.535,25.535,25.012,25.139,58351,0
2011-02-03,25.082,25.439,24.675,25.304,132894,0
2011-02-04,25.362,25.362,24.754,24.84,88227,0
2011-02-07,24.792,25.227,24.714,24.848,87723,0
2011-02-08,24.734,25.662,24.734,25.662,96827,0
2011-02-09,25.506,25.554,25.139,25.353,49058,0
2011-02-10,25.158,25.769,25.032,25.681,48764,0
2011-02-11,25.535,25.622,25.266,25.526,64306,0
2011-02-14,25.439,26.125,25.227,26.125,36414,0
2011-02-15,26.02,26.387,26.02,26.194,118145,0
2011-02-16,26.347,26.525,26.135,26.307,29512,0
2011-02-18,25.961,26.058,25.603,25.662,223571,0
2011-02-22,25.111,25.719,25.101,25.285,67498,0
2011-02-23,25.237,25.419,24.773,24.877,124346,0
2011-02-24,25.052,25.052,24.461,24.916,72842,0
2011-02-25,25.072,25.526,24.926,25.506,70834,0
2011-02-28,25.526,25.759,25.207,25.642,139431,0
2011-03-01,25.672,25.817,24.916,25.439,162274,0
2011-03-02,25.362,26.155,25.207,25.971,132552,0
2011-03-03,26.25,26.947,26.25,26.685,96367,0
2011-03-04,26.743,26.782,26.407,26.743,74391,0
2011-03-07,26.802,26.822,25.836,26.347,68669,0
2011-03-08,26.125,27.636,26.125,27.488,192185,0
2011-03-09,27.344,28.021,27.161,27.865,144577,0
2011-03-10,27.74,28.011,26.645,27.171,153436,0
2011-03-11,26.975,27.45,26.725,27.266,104706,0
2011-03-14,26.939,27.645,26.939,27.171,126110,0
2011-03-15,27.577,27.577,26.317,26.635,116812,0
2011-03-16,26.506,26.596,25.788,26.268,109884,0
2011-03-17,26.705,26.725,26.067,26.606,89163,0
2011-03-18,26.802,27.315,26.533,27.305,124728,0
