Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.12,16.455,15.97,16.115,298976,0
2010-01-05,16.04,16.04,15.71,15.83,258004,0
2010-01-06,15.77,16.07,15.765,15.915,210688,0
2010-01-07,15.985,16.1,15.93,15.99,141350,0
2010-01-08,15.925,16.055,15.905,16.02,74292,0
2010-01-11,16.14,16.14,15.91,15.99,111714,0
2010-01-12,15.93,15.985,15.9,15.97,119910,0
2010-01-13,15.96,16.05,15.91,16,173844,0
2010-01-14,16,16.145,15.965,16.02,184216,0
2010-01-15,16.095,16.11,15.85,15.98,124900,0
2010-01-19,15.975,16.265,15.93,16.26,68150,0
2010-01-20,16.105,16.405,15.875,16.375,180420,0
2010-01-21,16.345,16.435,15.88,15.9,241942,0
2010-01-22,15.935,16.015,15.8,15.845,123090,0
2010-01-25,15.995,16,15.825,15.87,78190,0
2010-01-26,15.78,15.925,15.63,15.84,431528,0
2010-01-27,15.725,16.435,15.725,16.295,91634,0
2010-01-28,16.27,16.33,15.995,16.2,132158,0
2010-01-29,16.2,16.425,16.065,16.145,233318,0
2010-02-01,16.145,16.25,16.045,16.145,123092,0
2010-02-02,16.11,16.5,16.065,16.225,122176,0
2010-02-03,16.19,16.26,15.9,15.99,171162,0
2010-02-04,15.92,16.075,15.91,15.94,162778,0
2010-02-05,15.89,16.56,15.63,16.45,367246,0
2010-02-08,16.49,16.515,15.995,16.02,88428,0
2010-02-09,16.02,16.075,15.91,15.945,255526,0
2010-02-10,15.995,16.05,15.945,15.995,181014,0
2010-02-11,15.905,16.065,15.835,16.05,125508,0
2010-02-12,15.975,16.14,15.925,16.055,290522,0
2010-02-16,16.165,16.29,16,16.28,107366,0
2010-02-17,16.37,16.49,16.23,16.42,51350,0
2010-02-18,16.29,16.375,16.205,16.345,50762,0
2010-02-19,16.355,16.375,16.17,16.21,70674,0
2010-02-22,16.2,16.285,16.05,16.255,118968,0
2010-02-23,16.245,16.25,15.96,16.19,80404,0
2010-02-24,16.195,16.21,15.96,16,196338,0
2010-02-25,15.805,16.04,15.805,16,87742,0
2010-02-26,15.985,16,15.645,15.88,105432,0
2010-03-01,15.915,16.09,15.745,16,147696,0
2010-03-02,15.98,16.22,15.97,16.095,161790,0
2010-03-03,16.165,16.475,16.14,16.15,249664,0
2010-03-04,16.15,16.2,15.905,15.925,182596,0
2010-03-05,15.935,16.09,15.83,16.05,134182,0
2010-03-08,16.01,16.04,15.92,15.955,139416,0
2010-03-09,15.89,16.145,15.89,16.145,199256,0
2010-03-10,16.095,16.17,15.955,16.06,151180,0
2010-03-11,15.95,16.49,15.92,16.405,267842,0
2010-03-12,16.41,16.475,16.19,16.35,144810,0
2010-03-15,16.285,16.465,16.18,16.43,40604,0
2010-03-16,16.43,16.43,16.09,16.335,76632,0
2010-03-17,16.385,16.685,16.385,16.465,61168,0
2010-03-18,16.495,16.58,16.245,16.49,69584,0
2010-03-19,16.575,16.745,16.095,16.13,122078,0
2010-03-22,16.065,16.435,16.045,16.4,85258,0
2010-03-23,16.44,16.725,16.355,16.685,65116,0
2010-03-24,16.56,16.67,16.365,16.405,68952,0
2010-03-25,16.515,16.515,15.995,16.035,65806,0
2010-03-26,16.05,16.1,15.6,15.76,104600,0
2010-03-29,15.78,16,15.78,15.98,102808,0
2010-03-30,15.95,16.025,15.82,15.94,101296,0
2010-03-31,15.845,16.055,15.725,15.75,127196,0
2010-04-01,15.87,16.3,15.825,16.185,122238,0
2010-04-05,16.395,16.49,16.28,16.365,80686,0
2010-04-06,16.245,16.53,16.175,16.53,83756,0
2010-04-07,16.465,16.48,16.215,16.245,90062,0
2010-04-08,16.15,16.33,16.065,16.245,96378,0
2010-04-09,16.21,16.495,16.005,16.385,183708,0
2010-04-12,16.435,16.605,16.275,16.33,46370,0
2010-04-13,16.27,16.27,16.125,16.2,65242,0
2010-04-14,16.295,16.685,16.295,16.685,42492,0
2010-04-15,16.625,16.83,16.61,16.83,20428,0
2010-04-16,16.825,16.915,16.5,16.69,98332,0
2010-04-19,16.61,16.825,16.25,16.675,74638,0
2010-04-20,16.69,17.165,16.675,17.15,74886,0
2010-04-21,16.975,17.45,16.975,17.37,83926,0
2010-04-22,17.195,17.91,16.53,17.91,130654,0
2010-04-23,17.865,17.865,16.74,17.03,264512,0
2010-04-26,16.985,17.57,16.985,17.22,77062,0
2010-04-27,17.15,17.15,16.425,16.58,167532,0
2010-04-28,16.615,16.92,16.615,16.805,49008,0
2010-04-29,16.915,17.275,16.83,17.135,107756,0
2010-04-30,17.185,17.19,16.465,16.465,98266,0
2010-05-03,16.725,16.865,16.51,16.855,78662,0
2010-05-04,16.63,16.955,16.56,16.73,114612,0
2010-05-05,16.6,16.85,16.525,16.755,113306,0
2010-05-06,18.08,21.24,18.08,18.665,1067694,0
2010-05-07,18.62,19.84,18.62,19.045,263948,0
2010-05-10,19.13,19.685,19.125,19.475,282458,0
2010-05-11,19.25,19.87,19.25,19.42,359626,0
2010-05-12,19.475,19.81,19.37,19.8,160390,0
2010-05-13,19.695,19.845,19.5,19.565,86744,0
2010-05-14,19.49,19.55,19.02,19.295,80020,0
2010-05-17,19.42,19.805,18.815,19.135,146418,0
2010-05-18,19.36,19.52,19.15,19.255,131336,0
2010-05-19,19.155,19.715,19.01,19.44,177662,0
2010-05-20,19.15,19.21,18.785,18.925,167542,0
2010-05-21,18.655,19.55,18.5,19.475,208062,0
2010-05-24,19,19.425,18.595,19.27,82060,0
2010-05-25,18.905,19.14,18.75,18.895,126400,0
2010-05-26,18.895,19.135,18.59,18.7,239672,0
2010-05-27,19.025,19.175,18.795,19.155,127872,0
2010-05-28,19.065,19.065,18.53,18.56,121188,0
2010-06-01,18.5,18.87,18.33,18.395,102494,0
2010-06-02,18.56,18.795,18.215,18.7,80692,0
2010-06-03,18.8,19.44,18.62,19.325,86160,0
2010-06-04,18.975,19.13,18.76,18.85,137920,0
2010-06-07,18.9,19.04,18.8,18.845,171974,0
2010-06-08,18.875,19.375,18.775,19.36,262692,0
2010-06-09,19.5,19.5,19.095,19.275,98750,0
2010-06-10,19.425,19.5,19.23,19.5,233916,0
2010-06-11,19.285,19.53,19.115,19.53,158012,0
2010-06-14,19.705,19.92,19.51,19.76,192808,0
2010-06-15,19.91,20.4,19.75,20.365,161144,0
2010-06-16,20.195,20.64,20.16,20.61,129226,0
2010-06-17,20.53,21.565,20.53,21.365,172888,0
2010-06-18,21.53,21.73,21.215,21.46,234304,0
2010-06-21,21.705,21.745,21.465,21.49,156630,0
2010-06-22,21.575,21.67,20.91,20.965,58700,0
2010-06-23,20.885,21.305,20.5,21.025,95534,0
2010-06-24,20.91,21.64,20.91,21.125,75218,0
2010-06-25,21.19,21.775,21.12,21.4,342388,0
2010-06-28,21.39,22.075,21.23,21.59,157758,0
2010-06-29,21.345,21.595,21.08,21.345,151258,0
2010-06-30,21.4,21.65,21.325,21.48,204494,0
2010-07-01,21.405,21.47,20.795,21.46,236486,0
2010-07-02,21.615,21.635,21.26,21.44,99710,0
2010-07-06,21.62,21.8,20.815,20.99,186250,0
2010-07-07,21.105,21.175,20.755,21.13,123738,0
2010-07-08,21.295,21.395,20.96,20.995,104456,0
2010-07-09,20.915,21.1,20.575,21.075,134758,0
2010-07-12,20.965,21.095,20.73,20.925,141108,0
2010-07-13,21.1,21.165,20.73,21.1,194140,0
2010-07-14,21.15,21.2,20.65,20.98,118488,0
2010-07-15,21.055,21.055,20.49,20.915,80038,0
2010-07-16,20.765,20.785,20.265,20.315,131272,0
2010-07-19,20.315,20.4,19.87,20.335,41484,0
2010-07-20,20.145,20.665,20.04,20.64,78252,0
2010-07-21,20.73,20.885,20.54,20.795,174776,0
2010-07-22,21.015,21.44,20.995,21.255,156386,0
2010-07-23,21.13,22.04,21.075,21.875,94220,0
2010-07-26,22.025,22.28,21.725,22.24,117668,0
2010-07-27,22.38,22.38,22.1,22.125,92526,0
2010-07-28,22.155,22.155,20.92,21.075,178682,0
2010-07-29,21.305,22.05,20.795,21.915,199734,0
2010-07-30,21.815,22.13,21.35,21.93,199634,0
2010-08-02,22.21,22.485,21.97,22.19,176820,0
2010-08-03,22.06,22.21,21.785,21.885,156576,0
2010-08-04,21.9,22.23,21.81,22.17,129646,0
2010-08-05,22.12,22.415,21.995,22.33,113954,0
2010-08-06,22.05,22.275,21.55,21.765,53846,0
2010-08-09,21.825,22.33,21.72,22.245,87160,0
2010-08-10,22.025,22.185,21.58,22.08,122426,0
