Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.7467,5.89,5.7333,5.8433,191490,0
2010-01-05,5.8333,5.8333,5.6767,5.7,592326,0
2010-01-06,5.72,5.74,5.52,5.53,336678,0
2010-01-07,5.5267,5.5267,5.4233,5.4533,335712,0
2010-01-08,5.4433,5.4767,5.38,5.4767,205758,0
2010-01-11,5.4733,5.4867,5.4233,5.4633,227130,0
2010-01-12,5.42,5.4967,5.4167,5.4633,305493,0
2010-01-13,5.49,5.5833,5.4533,5.55,244329,0
2010-01-14,5.5233,5.6067,5.5233,5.5867,99441,0
2010-01-15,5.6167,5.6167,5.4333,5.5033,346767,0
2010-01-19,5.5233,5.63,5.4633,5.63,278127,0
2010-01-20,5.5767,5.5867,5.4367,5.5333,445479,0
2010-01-21,5.5033,5.6067,5.4233,5.4533,456123,0
2010-01-22,5.4667,5.56,5.42,5.4333,392934,0
2010-01-25,5.4733,5.5333,5.4167,5.4767,335745,0
2010-01-26,5.4567,5.4933,5.4167,5.4367,373638,0
2010-01-27,5.4167,5.5567,5.4167,5.5333,236505,0
2010-01-28,5.53,5.53,5.3867,5.4167,362136,0
2010-01-29,5.4267,5.49,5.32,5.3367,454122,0
2010-02-01,5.33,5.4,5.2833,5.34,246711,0
2010-02-02,5.34,5.3567,5.2833,5.2933,412308,0
2010-02-03,5.28,5.3267,5.28,5.29,238488,0
2010-02-04,5.27,5.3133,5.1733,5.19,470247,0
2010-02-05,5.2,5.2667,5.16,5.2533,416835,0
2010-02-08,5.23,5.27,5.14,5.1533,512322,0
2010-02-09,5.2,5.2067,5.09,5.1567,271152,0
2010-02-10,5.1333,5.16,5.04,5.1067,189285,0
2010-02-11,5.0767,5.1767,5.03,5.17,226293,0
2010-02-12,5.1233,5.25,5.08,5.23,269919,0
2010-02-16,5.2667,5.2767,5.18,5.2767,212844,0
2010-02-17,5.2833,5.3467,5.2367,5.3433,179619,0
2010-02-18,5.3433,5.4433,5.34,5.44,174774,0
2010-02-19,5.44,5.5133,5.3967,5.4567,211539,0
2010-02-22,5.48,5.48,5.4067,5.4433,146442,0
2010-02-23,5.45,5.55,5.4033,5.5233,324219,0
2010-02-24,5.5167,5.6033,5.5167,5.5633,215175,0
2010-02-25,5.54,6.24,5.54,6.1133,1288407,0
2010-02-26,6.09,6.1833,5.8867,6.08,636123,0
2010-03-01,6.04,6.15,6.0067,6.0933,907476,0
2010-03-02,6.0933,6.1767,6.07,6.1067,796422,0
2010-03-03,6.09,6.5533,6.09,6.39,1225500,0
