Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,6.75,6.87,6.69,6.83,354612,0
2010-01-05,6.8,6.83,6.63,6.66,267856,0
2010-01-06,6.63,6.63,6.33,6.37,391372,0
2010-01-07,6.38,6.71,6.31,6.71,364779,0
2010-01-08,6.64,6.73,6.56,6.7,132342,0
2010-01-11,6.7,6.76,6.62,6.7,112305,0
2010-01-12,6.65,6.7,6.5,6.55,145419,0
2010-01-13,6.6,6.71,6.51,6.68,115745,0
2010-01-14,6.63,7.04,6.62,7,304947,0
2010-01-15,7.01,7.11,6.95,6.96,296778,0
2010-01-19,6.98,7.16,6.93,7.14,224240,0
2010-01-20,7.04,7.04,6.8,6.85,163754,0
2010-01-21,6.89,6.89,6.61,6.61,205900,0
2010-01-22,6.62,6.68,6.52,6.57,188973,0
2010-01-25,6.6,6.6,6.45,6.5,280464,0
2010-01-26,6.43,6.54,6.4,6.41,319915,0
2010-01-27,6.38,6.53,6.38,6.47,385462,0
2010-01-28,6.51,6.51,6.24,6.4,259482,0
2010-01-29,6.45,6.56,6.13,6.23,680706,0
2010-02-01,6.28,6.3,6.16,6.29,132639,0
2010-02-02,6.29,6.45,6.21,6.38,190005,0
2010-02-03,6.33,6.46,6.12,6.32,90695,0
2010-02-04,6.28,6.34,6.21,6.25,241834,0
2010-02-05,6.28,6.36,6.18,6.35,164565,0
2010-02-08,6.32,6.5,6.27,6.38,154744,0
2010-02-09,6.49,6.57,6.39,6.46,109436,0
2010-02-10,6.42,6.43,6.3,6.38,74526,0
2010-02-11,6.37,6.5,6.35,6.5,119493,0
2010-02-12,6.43,6.48,6.36,6.38,227022,0
2010-02-16,6.45,6.51,6.35,6.51,76063,0
2010-02-17,6.54,6.55,6.35,6.52,129444,0
2010-02-18,6.49,6.5,6.39,6.49,79948,0
2010-02-19,6.48,6.75,6.48,6.67,90838,0
2010-02-22,6.68,6.7,6.53,6.54,96670,0
2010-02-23,6.51,6.67,6.4,6.41,125233,0
2010-02-24,6.44,6.64,6.41,6.5,83719,0
2010-02-25,6.47,6.75,6.47,6.75,172305,0
2010-02-26,6.75,6.82,6.71,6.8,232906,0
2010-03-01,6.87,7.14,6.78,7.04,246007,0
2010-03-02,7.06,7.16,6.99,7.16,214916,0
2010-03-03,7.18,7.25,7.02,7.1,105768,0
2010-03-04,7.13,7.4,6.95,7.4,99488,0
2010-03-05,7.4,7.55,7.26,7.52,141055,0
2010-03-08,7.5,7.64,7.45,7.61,152599,0
2010-03-09,7.55,7.74,7.49,7.54,371363,0
2010-03-10,7.5,7.54,7.33,7.38,173102,0
2010-03-11,7.36,7.68,7.29,7.5,184507,0
2010-03-12,7.5,7.6,7.36,7.39,110486,0
2010-03-15,7.39,7.39,7.02,7.06,327038,0
2010-03-16,7.07,7.52,7,7.5,353806,0
