Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,25.71,25.83,25.61,25.67,2228507,0
2010-01-05,25.6,25.71,25.06,25.28,3008745,0
2010-01-06,25.12,25.52,24.83,25.34,6638328,0
2010-01-07,25.17,25.58,25.11,25.48,4161174,0
2010-01-08,25.23,26.4,25.22,26.26,4648295,0
2010-01-11,26.36,26.49,26.07,26.25,2151299,0
2010-01-12,26.08,26.23,25.63,25.89,3993223,0
2010-01-13,25.87,26.43,25.87,26.25,2664965,0
2010-01-14,26.34,26.8,26.27,26.6,2659437,0
2010-01-15,26.53,26.75,25.84,26.08,3405844,0
2010-01-19,26.11,26.43,25.88,26.17,2395067,0
2010-01-20,25.92,26.19,25.29,26.12,3806664,0
2010-01-21,25.96,26.39,25.56,25.69,3318886,0
2010-01-22,25.76,25.78,24.95,25.1,4553964,0
2010-01-25,25.18,25.42,24.7,24.75,3712891,0
2010-01-26,24.61,24.81,24.32,24.38,3478391,0
2010-01-27,24.39,24.58,24.09,24.47,2305740,0
2010-01-28,24.4,24.65,23.71,23.79,4570204,0
2010-01-29,23.84,24.1,23.59,23.79,5131937,0
2010-02-01,23.88,24.08,23.55,23.81,3697751,0
2010-02-02,23.67,24.05,23.67,23.95,2610538,0
2010-02-03,23.76,24.07,23.6,24.02,2190250,0
2010-02-04,23.89,23.89,22.95,22.95,4882250,0
2010-02-05,23.11,23.39,22.5,23.07,5224775,0
2010-02-08,22.97,23.45,22.93,23.1,3664899,0
2010-02-09,23.36,23.9,23.24,23.55,5002378,0
2010-02-10,23.67,23.88,23.32,23.59,2689672,0
2010-02-11,23.61,24.28,23.41,24.18,3197235,0
2010-02-12,23.95,24.3,23.8,24.22,4231039,0
2010-02-16,25.06,25.45,24.85,25.24,6150930,0
2010-02-17,25.43,26.04,25.39,25.88,4877666,0
2010-02-18,25.91,26.04,25.73,25.92,2333824,0
2010-02-19,25.89,26.22,25.81,25.99,2929450,0
2010-02-22,26.23,26.55,25.95,26.08,4149452,0
2010-02-23,26.04,26.16,25.57,25.66,5891223,0
2010-02-24,27.76,28.49,27.5,27.89,14246736,0
2010-02-25,27.23,28,27.13,27.93,6061254,0
2010-02-26,27.86,28.12,27.58,27.88,3554601,0
2010-03-01,28,28.41,27.97,28.15,3607011,0
2010-03-02,28.23,28.94,28.19,28.49,4580493,0
2010-03-03,28.67,28.94,28.43,28.61,3078780,0
2010-03-04,28.73,28.77,28.23,28.47,3184582,0
2010-03-05,28.76,28.99,28.53,28.85,2954799,0
2010-03-08,28.72,29.15,28.7,28.91,2094070,0
2010-03-09,28.73,29.22,28.68,29.06,1644563,0
2010-03-10,29.06,29.43,28.75,29.18,3818278,0
2010-03-11,28.88,29.16,28.87,29.03,2811183,0
2010-03-12,29.09,29.34,28.98,29.16,2589774,0
2010-03-15,28.99,29.3,28.97,29.26,1316507,0
2010-03-16,29.19,29.35,29.09,29.31,1337714,0
2010-03-17,29.85,29.96,29.49,29.52,2864399,0
2010-03-18,29.59,29.73,29.35,29.42,2597494,0
2010-03-19,29.44,29.64,28.93,29.11,3888426,0
2010-03-22,28.99,29.7,28.95,29.5,1859141,0
2010-03-23,29.61,29.82,29.5,29.71,2278258,0
2010-03-24,29.77,29.79,29.39,29.43,2421199,0
2010-03-25,29.71,29.96,29.48,29.49,2624931,0
2010-03-26,29.39,29.76,29.23,29.5,2764496,0
2010-03-29,29.55,29.75,29.44,29.56,1995304,0
2010-03-30,29.47,29.58,29.08,29.4,2309185,0
2010-03-31,29.21,29.6,29.13,29.38,1887062,0
2010-04-01,28.7,29.59,28.7,29.16,4580751,0
2010-04-05,29.2,30.36,29.2,30.18,3582817,0
2010-04-06,30.02,31,29.94,30.91,5373730,0
2010-04-07,30.72,30.84,30.43,30.65,3387046,0
2010-04-08,30.56,31.22,30.38,31.09,4467072,0
2010-04-09,31.08,31.23,30.93,31.13,2571679,0
2010-04-12,31.14,31.5,31.03,31.43,2311214,0
2010-04-13,31.46,31.72,31.28,31.7,3636801,0
2010-04-14,31.6,31.75,31.48,31.7,1819636,0
2010-04-15,31.66,31.89,31.45,31.88,2087239,0
2010-04-16,31.88,32.01,31.44,31.55,3229716,0
2010-04-19,31.59,31.59,30.83,31.26,5260941,0
2010-04-20,31.61,32.19,31.36,32.16,2860888,0
2010-04-21,32.12,32.5,31.88,32.45,2628755,0
2010-04-22,32.32,33.72,32.08,33.64,5091260,0
2010-04-23,33.65,34.23,33.34,34.22,3931761,0
2010-04-26,34.38,35.18,34.09,34.72,0,0
2010-04-27,34.65,34.97,33.76,33.85,5425155,0
2010-04-28,33.96,34.21,33.82,34.13,5299686,0
2010-04-29,34.17,34.67,34.1,34.67,4136546,0
2010-04-30,34.64,34.82,33.88,33.99,3963094,0
2010-05-03,33.88,34.95,33.88,34.89,2795464,0
2010-05-04,34.27,34.28,32.92,33.25,6151429,0
2010-05-05,33.12,33.2,31.7,31.71,7703617,0
2010-05-06,31.64,31.98,28.65,30.56,7015273,0
2010-05-07,30.7,30.83,29.16,30.06,7068423,0
2010-05-10,31.34,32.47,31.27,32.4,5719447,0
2010-05-11,32.32,32.32,31.53,31.62,4818836,0
2010-05-12,31.71,32.82,31.41,32.77,3549650,0
2010-05-13,32.73,33.49,32.3,32.36,3090536,0
2010-05-14,32.03,32.21,30.43,30.77,6027480,0
2010-05-17,30.88,31.13,30.12,30.72,4559883,0
2010-05-18,31.05,31.19,29.95,30.15,4787918,0
2010-05-19,30.21,30.5,29.63,30.35,7434714,0
2010-05-20,30.68,30.76,28.22,28.28,12172523,0
2010-05-21,27.72,29.45,27.31,29.37,10653648,0
2010-05-24,29.21,29.82,28.84,29.42,5360434,0
