Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,9.03,9.19,8.96,9.1,300674,0
2010-01-05,9.14,9.72,9.09,9.7,726970,0
2010-01-06,9.7,9.84,9.56,9.77,494242,0
2010-01-07,9.78,10.56,9.7,10.51,764900,0
2010-01-08,10.49,10.81,10.32,10.76,580858,0
2010-01-11,10.82,11.07,10.39,10.61,434360,0
2010-01-12,10.56,10.68,10.46,10.57,246833,0
2010-01-13,10.53,10.79,10.5,10.76,229268,0
2010-01-14,10.78,11.12,10.62,10.88,448351,0
2010-01-15,10.97,10.97,10.58,10.77,174674,0
2010-01-19,10.75,10.84,10.45,10.53,193343,0
2010-01-20,10.42,10.53,10.11,10.24,240320,0
2010-01-21,10.3,10.3,9.77,9.79,134368,0
2010-01-22,9.79,9.79,9.44,9.51,244686,0
2010-01-25,9.58,9.64,9.34,9.44,191484,0
2010-01-26,9.44,9.49,9.26,9.36,259301,0
2010-01-27,9.36,9.4,8.81,9.37,277136,0
2010-01-28,9.38,9.4,9.25,9.29,103583,0
2010-01-29,9.32,9.32,8.74,8.75,438299,0
2010-02-01,8.82,8.9,8.5,8.55,574150,0
2010-02-02,8.67,8.75,8.61,8.66,183795,0
2010-02-03,8.71,8.74,8.54,8.54,106363,0
2010-02-04,8.5,8.56,8.1,8.23,260531,0
2010-02-05,8.3,8.3,7.72,7.9,322008,0
2010-02-08,7.99,7.99,7.76,7.84,322853,0
2010-02-09,7.83,7.91,7.59,7.76,343243,0
2010-02-10,7.8,7.8,7.52,7.68,365709,0
2010-02-11,7.72,7.96,7.67,7.82,521742,0
2010-02-12,7.7,7.96,7.51,7.93,227573,0
2010-02-16,8.05,8.32,7.93,8.3,272547,0
2010-02-17,8.3,8.56,8.25,8.5,356485,0
2010-02-18,8.52,8.56,8.34,8.41,329502,0
2010-02-19,8.31,8.35,8.15,8.27,282884,0
2010-02-22,8.24,8.28,7.99,8.21,268127,0
2010-02-23,8.2,8.25,7.9,8.04,427669,0
2010-02-24,8.14,8.8,8,8.76,707082,0
2010-02-25,8.7,8.84,8.5,8.84,288619,0
2010-02-26,8.9,9.61,8.79,9.51,667710,0
2010-03-01,9.52,10.03,9.49,9.87,417518,0
2010-03-02,9.88,10.12,9.81,9.95,331343,0
2010-03-03,10.02,10.16,9.68,9.71,215394,0
2010-03-04,9.68,9.86,9.65,9.67,102378,0
2010-03-05,9.7,10.06,9.7,9.96,254308,0
2010-03-08,10.01,10.2,9.87,10.1,605256,0
2010-03-09,10.04,10.39,9.97,10.38,406599,0
2010-03-10,10.4,10.88,10.34,10.77,842773,0
2010-03-11,10.71,11.06,10.59,11.03,748839,0
2010-03-12,11.08,11.22,10.9,11.17,503414,0
2010-03-15,11,11.17,10.74,11.01,240137,0
2010-03-16,11.11,11.22,10.91,11.2,509637,0
2010-03-17,11.26,11.44,11.14,11.14,542299,0
2010-03-18,11.23,11.25,10.89,11.11,193401,0
2010-03-19,11.04,11.16,10.88,11.06,522778,0
2010-03-22,11.02,11.07,10.84,10.98,227065,0
2010-03-23,10.89,11.01,10.67,10.97,284825,0
2010-03-24,10.96,11.01,10.59,10.83,241903,0
2010-03-25,11.03,11.43,10.86,11.22,1036893,0
2010-03-26,11.22,11.73,11.04,11.05,777969,0
2010-03-29,11.17,11.3,10.93,11.15,342547,0
2010-03-30,11.28,11.6,11.17,11.54,521542,0
2010-03-31,11.44,11.72,11.38,11.52,382296,0
2010-04-01,11.71,12.31,11.7,12.2,1031066,0
2010-04-05,12.32,13.12,12.21,13.06,1163413,0
2010-04-06,12.96,13.25,12.91,13,869154,0
2010-04-07,12.99,13.29,12.95,13.19,997330,0
2010-04-08,13.08,13.25,12.76,12.92,851878,0
2010-04-09,13.05,13.17,12.93,13.01,487541,0
2010-04-12,13.15,13.19,12.86,12.89,629079,0
2010-04-13,12.79,12.98,12.49,12.94,376901,0
2010-04-14,13.2,13.67,13.13,13.63,2192227,0
2010-04-15,13.52,13.87,13.38,13.6,425506,0
2010-04-16,13.5,13.68,12.86,13.17,740285,0
2010-04-19,13.03,13.07,12.38,12.74,914275,0
2010-04-20,12.76,13.2,12.76,13.09,564299,0
2010-04-21,13.19,13.35,12.75,13.11,477016,0
2010-04-22,12.95,13.42,12.91,13.42,520089,0
2010-04-23,13.36,13.82,13.32,13.82,450924,0
2010-04-26,13.85,14.04,13.78,13.99,661954,0
2010-04-27,13.85,14.08,13.79,13.87,950362,0
2010-04-28,13.89,14.21,13.54,13.9,829705,0
2010-04-29,13.61,14.09,13.47,14,1378806,0
2010-04-30,13.9,14.11,13.7,13.8,993824,0
2010-05-03,13.89,14.41,13.78,14.39,950163,0
2010-05-04,14.13,14.2,13.62,13.69,1133892,0
2010-05-05,13.6,13.82,13.27,13.47,818356,0
