Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,29.444,30.38,29.268,30.31,6174913,0
2010-01-05,30.253,30.399,29.625,29.876,4979954,0
2010-01-06,29.849,30.073,29.617,29.755,4685410,0
2010-01-07,29.306,30.813,29.157,30.703,6731200,0
2010-01-08,30.619,30.648,29.886,30.031,5689192,0
2010-01-11,30.092,30.488,29.941,30.066,4000574,0
2010-01-12,29.969,30.083,27.836,28.112,21278518,0
2010-01-13,28.01,28.553,27.204,28.242,11396264,0
2010-01-14,27.946,28.874,27.927,28.845,7219468,0
2010-01-15,28.7,29.399,28.424,28.798,10662713,0
2010-01-19,29.663,30.535,29.57,29.996,14202935,0
2010-01-20,30.399,30.903,29.436,29.83,11984795,0
2010-01-21,29.923,30.092,28.977,29.278,8534191,0
2010-01-22,29.096,29.673,28.627,28.744,7622077,0
2010-01-25,29.14,29.193,28.33,28.442,5914292,0
2010-01-26,28.32,28.32,27.71,28.01,8250219,0
2010-01-27,27.81,28.543,27.606,27.946,6810544,0
2010-01-28,28.066,28.516,27.644,27.88,7214240,0
2010-01-29,28.047,28.047,27.36,27.523,6406437,0
2010-02-01,27.634,27.918,26.865,27.342,7756307,0
2010-02-02,27.285,27.899,27.09,27.81,5761645,0
2010-02-03,27.663,27.992,27.128,27.854,6037675,0
2010-02-04,27.653,27.764,26.789,26.845,6651061,0
2010-02-05,26.433,27.899,26.405,27.195,13884569,0
2010-02-08,27.634,27.854,26.789,26.817,5872761,0
2010-02-09,27.157,27.276,25.714,26.605,10846424,0
2010-02-10,26.477,26.697,25.661,26.312,9500398,0
2010-02-11,26.312,26.542,25.991,26.495,4263269,0
2010-02-12,26.219,26.357,25.825,26.294,6028556,0
2010-02-16,26.533,26.631,25.844,26.405,5594022,0
2010-02-17,26.523,27.55,26.477,27.195,8188312,0
2010-02-18,26.781,27.459,26.771,27.314,5184785,0
2010-02-19,26.91,27.223,26.505,26.569,5837658,0
2010-02-22,26.338,27.467,26.266,26.955,9554070,0
2010-02-23,26.762,26.865,26.256,26.614,5406495,0
2010-02-24,26.678,27.176,26.405,27.147,5162369,0
2010-02-25,26.874,27.559,26.597,27.523,7897109,0
2010-02-26,27.568,28.002,27.333,27.541,5450890,0
2010-03-01,27.634,28.339,27.431,27.845,5051688,0
2010-03-02,27.899,28.601,27.634,28.497,6569703,0
2010-03-03,28.424,29.14,28.339,28.727,5662989,0
2010-03-04,28.664,28.772,27.673,28.151,7397590,0
2010-03-05,28.268,28.883,28.112,28.816,4279070,0
2010-03-08,28.798,28.912,28.582,28.672,2336135,0
2010-03-09,29.051,29.051,28.601,28.681,2620874,0
2010-03-10,28.582,29.278,28.535,29.069,3561924,0
2010-03-11,28.93,30.092,28.835,30.023,7401407,0
2010-03-12,30.187,30.346,29.096,29.24,5448113,0
2010-03-15,29.104,29.147,28.488,29.043,3825104,0
2010-03-16,29.121,29.372,28.735,29.343,4318554,0
2010-03-17,29.399,29.473,28.958,29.147,4271836,0
2010-03-18,29.147,30.619,28.582,30.526,9960442,0
2010-03-19,31.161,32.088,30.591,31.648,15607852,0
2010-03-22,31.749,32.363,31.237,31.813,13539402,0
2010-03-23,31.896,32.2,31.594,32.134,6656934,0
2010-03-24,31.978,32.283,31.604,31.604,4564703,0
2010-03-25,31.74,32.283,31.586,31.951,5734089,0
2010-03-26,31.877,32.033,31.152,31.52,5331141,0
2010-03-29,31.547,32.163,31.472,32.071,3187741,0
2010-03-30,32.116,32.713,32.015,32.493,4894342,0
2010-03-31,32.39,32.538,31.951,32.245,5223483,0
2010-04-01,32.447,32.595,31.759,32.079,4697956,0
2010-04-05,32.226,32.631,32.143,32.3,3357118,0
2010-04-06,32.163,33.026,32.107,32.245,4448865,0
2010-04-07,32.116,32.191,31.417,31.501,5481563,0
2010-04-08,31.472,31.586,30.694,30.92,10366163,0
2010-04-09,30.517,30.841,29.755,30.337,7727658,0
2010-04-12,30.417,30.554,30.187,30.234,5803847,0
2010-04-13,30.083,30.158,29.544,29.71,6727135,0
2010-04-14,29.654,29.784,29.061,29.287,7323972,0
2010-04-15,29.278,29.544,28.71,28.854,7911891,0
2010-04-16,28.763,29.174,28.195,28.835,9661619,0
2010-04-19,28.845,29.736,28.782,29.334,5717512,0
2010-04-20,29.509,29.701,28.782,29.362,7100933,0
2010-04-21,29.381,29.625,28.415,28.543,8745506,0
2010-04-22,28.462,28.488,27.984,28.242,6235001,0
2010-04-23,28.181,28.484,27.931,28.43,4508744,0
2010-04-26,28.627,28.782,27.55,27.673,0,0
2010-04-27,27.514,28.242,27.351,27.559,9385626,0
2010-04-28,27.653,28.233,27.379,28.01,10077468,0
2010-04-29,28.681,29.222,28.242,28.69,8282058,0
2010-04-30,28.506,28.601,27.073,27.137,13436778,0
2010-05-03,27.257,27.559,26.902,27.25,8443455,0
2010-05-04,26.965,26.983,26.357,26.542,9138685,0
2010-05-05,26.376,27.099,26.21,26.836,9861597,0
2010-05-06,26.826,27.422,25.145,26.415,9435008,0
2010-05-07,26.285,26.415,25.275,25.982,7852564,0
