Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.414,13.519,13.1,13.312,322597,0
2010-01-05,13.266,13.343,13.109,13.234,428376,0
2010-01-06,13.179,13.383,12.991,13.187,303685,0
2010-01-07,13.187,13.369,12.976,13.361,257447,0
2010-01-08,13.494,13.494,13.006,13.109,187420,0
2010-01-11,13.179,13.252,12.976,13.203,189343,0
2010-01-12,13.062,13.243,13.013,13.1,381123,0
2010-01-13,13.266,13.712,13.203,13.657,334854,0
2010-01-14,13.571,13.657,13.51,13.532,133736,0
2010-01-15,13.539,13.546,13.296,13.452,319294,0
2010-01-19,13.461,13.94,13.461,13.933,399103,0
2010-01-20,13.839,13.839,13.58,13.666,240274,0
2010-01-21,13.738,13.808,13.259,13.259,407568,0
2010-01-22,13.282,13.393,12.875,12.928,283781,0
2010-01-25,13.039,13.039,12.574,12.748,262054,0
2010-01-26,12.723,12.777,12.512,12.536,249333,0
2010-01-27,12.519,12.777,12.269,12.777,319028,0
2010-01-28,12.777,12.818,12.338,12.606,351537,0
2010-01-29,12.621,12.73,12.44,12.504,523019,0
2010-02-01,12.583,12.897,12.489,12.842,314562,0
2010-02-02,12.833,12.857,12.677,12.849,991732,0
2010-02-03,12.777,12.812,12.457,12.466,229127,0
2010-02-04,12.38,12.418,12.097,12.15,492697,0
2010-02-05,12.12,12.26,11.962,12.165,614528,0
2010-02-08,12.215,12.26,11.971,11.98,427640,0
2010-02-09,12.15,12.19,11.72,11.962,438016,0
2010-02-10,11.876,12.105,11.679,12.063,430609,0
2010-02-11,11.98,12.338,11.915,12.33,321297,0
2010-02-12,12.165,12.38,12.097,12.33,700935,0
2010-02-16,12.474,12.66,12.364,12.621,333151,0
2010-02-17,12.708,12.842,12.669,12.812,280899,0
2010-02-18,12.875,12.958,12.654,12.941,161673,0
2010-02-19,12.905,13.203,12.849,13.03,359261,0
2010-02-22,12.958,13.085,12.866,13.076,745563,0
2010-02-23,13.109,13.132,12.928,13.022,432222,0
2010-02-24,13.03,13.234,13.006,13.195,221058,0
2010-02-25,13.039,13.296,12.999,13.266,208351,0
2010-02-26,13.266,13.296,13.093,13.132,415586,0
2010-03-01,13.319,13.361,13.148,13.252,396176,0
2010-03-02,13.319,13.628,13.319,13.43,594788,0
2010-03-03,13.502,13.519,13.312,13.319,154370,0
2010-03-04,13.343,13.422,13.305,13.375,203355,0
2010-03-05,13.422,13.712,13.375,13.673,397173,0
2010-03-08,13.689,13.933,13.602,13.893,258537,0
2010-03-09,13.815,14.074,13.799,13.839,314585,0
2010-03-10,13.854,13.965,13.689,13.808,407790,0
2010-03-11,13.72,13.831,13.58,13.831,471181,0
2010-03-12,13.792,13.949,13.738,13.839,658228,0
2010-03-15,13.847,13.847,13.636,13.775,448879,0
2010-03-16,13.792,14.058,13.697,14.051,371429,0
2010-03-17,14.051,14.287,13.958,14.278,327972,0
2010-03-18,14.301,14.365,14.231,14.263,166927,0
2010-03-19,14.263,14.263,13.973,14.112,259832,0
2010-03-22,14.001,14.222,13.994,14.199,356551,0
2010-03-23,14.01,14.144,13.854,14.082,329732,0
2010-03-24,14.001,14.112,13.94,14.019,328210,0
2010-03-25,14.09,14.396,14.09,14.222,299723,0
2010-03-26,14.332,14.441,14.192,14.293,301063,0
2010-03-29,14.287,14.287,13.925,14.058,225822,0
2010-03-30,14.09,14.239,14.058,14.199,165743,0
2010-03-31,14.177,14.287,14.019,14.019,364741,0
2010-04-01,14.103,14.192,13.979,14.097,198741,0
2010-04-05,14.112,14.404,14.09,14.396,359848,0
2010-04-06,14.349,14.513,14.287,14.513,359406,0
2010-04-07,14.449,14.545,14.278,14.373,239592,0
2010-04-08,14.287,14.365,14.177,14.206,256741,0
2010-04-09,14.206,14.396,14.066,14.389,161623,0
2010-04-12,14.433,14.466,14.214,14.332,152915,0
2010-04-13,14.287,14.7,14.239,14.684,493635,0
2010-04-14,14.672,14.765,14.608,14.765,403679,0
2010-04-15,14.678,14.726,14.324,14.324,617307,0
2010-04-16,14.324,14.433,14.097,14.119,557352,0
2010-04-19,14.019,14.301,13.917,14.206,234427,0
2010-04-20,14.199,14.332,14.144,14.287,304309,0
2010-04-21,14.271,14.6,14.097,14.591,605402,0
2010-04-22,14.396,14.678,14.357,14.672,207587,0
2010-04-23,14.654,15.027,14.495,15.011,348927,0
2010-04-26,15.009,15.33,14.939,15.22,318679,0
2010-04-27,15.117,15.243,14.623,14.647,631496,0
2010-04-28,14.773,14.899,14.584,14.875,304191,0
2010-04-29,14.923,15.542,14.899,15.534,453694,0
2010-04-30,15.542,15.542,14.968,14.977,358807,0
2010-05-03,15.031,15.51,15.031,15.471,445674,0
2010-05-04,14.889,14.991,14.584,14.719,600846,0
2010-05-05,14.475,14.561,14.144,14.17,569512,0
2010-05-06,14.097,14.162,12.913,13.799,518069,0
2010-05-07,13.766,13.893,13.289,13.546,698193,0
2010-05-10,14.162,14.6,14.162,14.553,577511,0
2010-05-11,14.389,14.834,14.231,14.6,574488,0
2010-05-12,14.654,15.009,14.545,15,463695,0
2010-05-13,14.939,15.009,14.63,14.684,521060,0
2010-05-14,14.553,14.568,14.051,14.239,500400,0
2010-05-17,14.287,14.491,13.862,14.396,368782,0
2010-05-18,14.591,14.654,13.958,14.051,523430,0
2010-05-19,13.973,14.287,13.704,13.823,499476,0
2010-05-20,13.494,13.759,13.14,13.153,514756,0
2010-05-21,12.928,13.628,12.764,13.596,649361,0
2010-05-24,13.65,13.65,13.273,13.445,454757,0
2010-05-25,13.1,13.602,12.73,13.469,585079,0
2010-05-26,13.539,13.823,13.369,13.532,476837,0
2010-05-27,13.847,14.315,13.681,14.315,291721,0
2010-05-28,14.309,14.315,13.965,14.044,222143,0
2010-06-01,13.9,14.255,13.854,13.973,611768,0
2010-06-02,13.973,14.34,13.704,14.34,440384,0
2010-06-03,14.301,14.381,14.082,14.255,243663,0
2010-06-04,13.949,14.058,13.478,13.602,546504,0
2010-06-07,13.643,13.986,13.51,13.539,371225,0
2010-06-08,13.546,13.908,13.259,13.893,414158,0
2010-06-09,14.036,14.34,13.908,14.036,386349,0
2010-06-10,14.144,14.537,14.097,14.441,408904,0
2010-06-11,14.293,14.639,14.177,14.616,556352,0
2010-06-14,14.811,15.143,14.7,14.842,383369,0
2010-06-15,14.931,15.15,14.859,15.094,361595,0
2010-06-16,14.977,15.094,14.7,14.798,470913,0
2010-06-17,14.85,14.959,14.639,14.819,196721,0
2010-06-18,14.914,14.923,14.678,14.782,532596,0
2010-06-21,15.009,15.125,14.811,14.875,507603,0
2010-06-22,14.959,14.959,14.112,14.154,726676,0
2010-06-23,14.09,14.239,13.689,14.044,691184,0
2010-06-24,13.949,14.027,13.546,13.628,517025,0
2010-06-25,13.673,13.925,13.58,13.775,1037002,0
2010-06-28,13.751,13.775,13.369,13.51,602561,0
2010-06-29,13.334,13.393,13.125,13.289,699922,0
2010-06-30,13.29,13.649,13.161,13.202,583626,0
2010-07-01,13.203,13.252,12.677,13.093,872286,0
2010-07-02,13.234,13.305,12.866,13.054,567786,0
2010-07-06,13.266,13.319,12.457,12.574,1147661,0
2010-07-07,12.591,13.076,12.504,13.068,724458,0
2010-07-08,13.234,13.393,12.905,13.022,592355,0
2010-07-09,13.022,13.171,12.985,13.039,688922,0
2010-07-12,12.958,13.1,12.88,13.039,437949,0
2010-07-13,13.273,13.408,13.179,13.325,1344202,0
2010-07-14,13.259,13.554,13.109,13.478,620783,0
2010-07-15,13.51,13.571,13.162,13.352,340890,0
2010-07-16,13.259,13.282,12.842,12.888,544632,0
2010-07-19,12.888,13.209,12.748,13.209,454703,0
2010-07-20,13.076,13.461,12.95,13.422,323215,0
2010-07-21,13.519,13.532,13.171,13.343,555514,0
2010-07-22,13.51,14.119,13.502,14.001,1056727,0
2010-07-23,13.908,14.082,13.571,14.066,306358,0
