Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,24.505,24.785,23.935,24.125,1128190,0
2010-01-05,24.245,24.25,23.625,23.78,927534,0
2010-01-06,23.865,24.05,23.755,23.84,1173824,0
2010-01-07,23.94,23.95,23.65,23.93,710520,0
2010-01-08,23.83,24.025,23.76,23.975,734768,0
2010-01-11,23.915,24,23.675,23.83,675656,0
2010-01-12,23.705,23.705,23.455,23.5,1194552,0
2010-01-13,23.475,23.635,23.465,23.57,939666,0
2010-01-14,23.635,24.015,23.46,23.835,935416,0
2010-01-15,23.965,24.125,23.51,23.705,1420906,0
2010-01-19,23.82,23.99,23.575,23.815,1174450,0
2010-01-20,23.71,23.975,23.31,23.465,1186722,0
2010-01-21,23.355,23.625,23.25,23.415,1524464,0
2010-01-22,23.635,23.635,23.05,23.1,1183034,0
2010-01-25,23.28,23.355,22.91,23.095,869974,0
2010-01-26,23.13,23.13,22.73,22.75,951966,0
2010-01-27,22.725,22.9,22.43,22.87,2101468,0
2010-01-28,22.9,23.025,22.6,22.9,1563914,0
2010-01-29,23.08,23.415,22.99,23.185,918456,0
2010-02-01,23.15,23.71,23.15,23.675,1055354,0
2010-02-02,23.64,24.385,23.555,24.325,1816890,0
2010-02-03,24.19,24.62,24.19,24.56,1631848,0
2010-02-04,24.535,24.6,23.83,24.01,1346100,0
2010-02-05,23.93,23.93,22.995,23.39,1472146,0
2010-02-08,23.335,23.335,22.91,22.985,815270,0
2010-02-09,23.05,23.51,23.05,23.455,893256,0
2010-02-10,23.55,23.97,23.405,23.74,1081412,0
2010-02-11,23.345,23.55,22.85,23.185,3931442,0
2010-02-12,23.005,23.365,22.865,23.335,1551226,0
2010-02-16,23.43,24.02,23.125,23.96,1161754,0
2010-02-17,23.915,24.475,23.915,24.36,1554350,0
2010-02-18,24.355,24.96,24.3,24.755,1816754,0
2010-02-19,24.725,24.995,24.545,24.875,785350,0
2010-02-22,24.975,25.155,24.83,24.985,1459844,0
2010-02-23,24.875,24.99,24.29,24.36,1160684,0
2010-02-24,24.35,24.705,24.275,24.585,942608,0
2010-02-25,24.445,24.61,24.15,24.47,852928,0
2010-02-26,24.585,24.875,24.21,24.76,936732,0
2010-03-01,24.735,25.61,24.665,25.535,1211274,0
2010-03-02,25.46,26.045,25.455,25.885,1609296,0
2010-03-03,25.965,25.99,25.83,25.965,1065114,0
2010-03-04,26.06,26.475,25.795,26.235,3742040,0
2010-03-05,26.355,26.89,26.27,26.865,1500976,0
2010-03-08,26.88,26.89,26.655,26.84,841494,0
2010-03-09,26.72,26.94,26.68,26.74,737244,0
2010-03-10,26.89,27.04,26.75,26.88,1354748,0
2010-03-11,26.88,26.88,26.535,26.775,560736,0
2010-03-12,26.805,26.855,26.27,26.42,965476,0
2010-03-15,26.405,26.55,26.22,26.425,834704,0
2010-03-16,27.01,27.07,26.63,26.915,2096030,0
2010-03-17,27.06,27.075,26.54,26.73,692400,0
2010-03-18,26.69,26.765,26.44,26.625,621858,0
2010-03-19,26.54,27.225,26.505,27.13,1676404,0
2010-03-22,26.895,27.235,26.79,27.005,1177206,0
2010-03-23,27.105,27.49,26.965,27.3,864956,0
2010-03-24,27.25,27.405,26.535,26.875,1193788,0
2010-03-25,27.39,28.15,26.86,27.695,3112642,0
2010-03-26,27.815,27.995,27.175,27.465,885566,0
2010-03-29,27.555,27.85,27.49,27.6,624772,0
2010-03-30,27.51,27.765,27.375,27.45,766598,0
2010-03-31,27.47,27.57,27.135,27.185,849674,0
2010-04-01,27.265,27.585,27,27.28,458100,0
2010-04-05,27.29,27.45,27.1,27.25,881172,0
2010-04-06,27.33,27.525,27.22,27.26,783210,0
2010-04-07,27.325,27.41,27.11,27.29,694152,0
2010-04-08,27.19,27.245,26.93,27,578680,0
2010-04-09,27.145,27.485,26.89,27.48,952732,0
2010-04-12,27.65,27.72,27.15,27.55,736134,0
2010-04-13,27.48,27.65,27.05,27.145,696916,0
2010-04-14,27.22,27.77,27.05,27.74,900282,0
2010-04-15,27.74,27.975,27.45,27.47,684032,0
2010-04-16,27.55,27.715,27.22,27.435,1131694,0
2010-04-19,27.475,27.69,27.08,27.345,654048,0
2010-04-20,27.58,28.425,27.58,28.34,1364562,0
2010-04-21,28.34,28.6,27.675,27.925,1934516,0
2010-04-22,27.93,28.355,27.1,28.135,2895864,0
2010-04-23,28.09,28.29,27.515,28.135,1349700,0
2010-04-26,28.14,28.54,27.75,27.835,1117824,0
2010-04-27,27.595,28,27.18,27.26,1010766,0
2010-04-28,27.195,27.495,26.82,27.2,1141938,0
2010-04-29,27.43,27.695,27.125,27.425,949550,0
2010-04-30,27.37,27.675,27.355,27.44,914540,0
2010-05-03,27.485,27.9,27.365,27.475,796590,0
2010-05-04,27.32,27.36,26.885,27.21,1164014,0
2010-05-05,26.785,27.155,25.93,27.055,1995178,0
2010-05-06,26.92,27.245,22.59,26.065,2915038,0
2010-05-07,25.87,26.17,24.9,25.125,3452268,0
2010-05-10,26,26.89,26,26.16,2661118,0
2010-05-11,26.005,26.595,25.7,26.46,1966434,0
2010-05-12,26.575,26.78,26.26,26.64,1283272,0
2010-05-13,26.63,26.85,26.45,26.57,929680,0
2010-05-14,26.42,26.575,25.515,26.06,1869736,0
2010-05-17,25.99,26.295,25.495,25.715,1025168,0
2010-05-18,25.84,25.995,25.06,25.225,1682040,0
2010-05-19,25.075,25.685,24.995,25.22,1506254,0
2010-05-20,24.74,25.03,24.425,24.7,1703590,0
2010-05-21,24.475,25.11,24.36,24.92,1864740,0
2010-05-24,24.72,25.225,24.675,24.74,1219306,0
2010-05-25,24.17,24.37,23.58,24.305,1894982,0
2010-05-26,24.55,25.34,24.51,24.69,2050328,0
2010-05-27,25.14,25.34,24.75,25.335,2341834,0
2010-05-28,25.28,25.45,24.81,25.015,979816,0
2010-06-01,24.745,25.165,24.42,24.42,1355220,0
2010-06-02,24.555,26.31,24.555,26.17,3645216,0
2010-06-03,26.605,26.775,26.36,26.675,2813162,0
2010-06-04,26.345,26.895,25.845,25.885,1718994,0
2010-06-07,25.905,26.06,25.3,25.415,1560676,0
2010-06-08,25.365,25.555,24.7,25.21,1545714,0
2010-06-09,25.425,25.84,25.055,25.115,1559094,0
2010-06-10,25.305,25.83,25.065,25.79,1395034,0
2010-06-11,25.535,26.265,25.285,25.975,986640,0
2010-06-14,25.935,26.87,25.935,26.46,1564464,0
2010-06-15,26.49,27.085,26.345,26.925,1680828,0
2010-06-16,26.91,27.25,26.59,26.665,2104784,0
2010-06-17,26.625,27.155,26.62,27.11,1157776,0
2010-06-18,27.13,27.4,27.015,27.195,1518886,0
2010-06-21,27.405,27.57,27.08,27.19,979310,0
2010-06-22,27.185,27.29,26.91,26.965,1750998,0
2010-06-23,26.78,27.115,26.705,26.945,625276,0
2010-06-24,26.745,26.865,26.325,26.34,1184032,0
2010-06-25,26.38,27.015,26.35,26.78,1318158,0
