Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,97.376,97.932,96.518,97.183,30323,0
2010-01-05,97.25,97.25,95.98,96.702,34390,0
2010-01-06,96.491,96.491,94.783,96.02,15359,0
2010-01-07,96.02,96.152,94.083,96.02,28647,0
2010-01-08,95.934,96.21,94.102,95.837,15136,0
2010-01-11,95.598,96.238,95.522,96.02,14848,0
2010-01-12,95.607,96.088,94.698,94.868,18541,0
2010-01-13,95.354,96.039,94.61,95.588,42749,0
2010-01-14,95.666,95.856,95.384,95.78,27846,0
2010-01-15,95.99,96.355,92.391,94.291,25819,0
2010-01-19,94.025,95.598,92.151,95.231,20547,0
2010-01-20,93.431,94.092,91.78,92.801,35199,0
2010-01-21,92.578,92.578,89.499,90.379,32343,0
2010-01-22,90.779,90.779,87.271,87.305,41139,0
2010-01-25,87.649,89.038,87.383,88.12,35710,0
2010-01-26,87.527,88.613,85.457,86.134,33372,0
2010-01-27,85.618,87.837,84.687,87.837,23357,0
2010-01-28,88.312,88.312,85.624,86.545,11171,0
2010-01-29,86.907,90.977,85.584,85.891,36855,0
2010-02-01,85.95,88.7,85.95,86.69,17558,0
2010-02-02,85.778,87.786,84.978,86.964,21909,0
2010-02-03,86.934,87.182,84.197,85.769,20419,0
2010-02-04,85.424,86.899,83.133,83.237,29613,0
2010-02-05,83.327,85.52,82.309,84.6,25946,0
2010-02-08,84.206,85.27,83.205,83.327,18504,0
2010-02-09,84.931,86.683,84.389,85.955,14349,0
2010-02-10,85.14,86.198,84.131,85.82,13381,0
2010-02-11,85.02,88.742,83.034,87.893,22159,0
2010-02-12,87.151,89.965,86.342,89.545,33144,0
2010-02-16,90.265,92.691,86.617,92.691,25924,0
2010-02-17,92.3,92.491,90.636,92.491,24861,0
2010-02-18,92.012,92.753,89.016,90.191,47431,0
2010-02-19,90.319,91.79,87.612,88.812,18444,0
2010-02-22,89.636,90.217,86.739,88.634,19332,0
2010-02-23,91.224,91.224,87.151,87.151,21521,0
