Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.15,16.42,16.05,16.25,205607,0
2010-01-05,16.25,16.25,15.93,15.96,149692,0
2010-01-06,16.97,17.11,16.5,16.7,964218,0
2010-01-07,16.74,16.93,16.44,16.49,274403,0
2010-01-08,16.53,16.8,16.47,16.78,315889,0
2010-01-11,16.9,16.95,16.79,16.89,140371,0
2010-01-12,16.84,16.97,16.65,16.75,74612,0
2010-01-13,16.8,16.8,16.55,16.79,71279,0
2010-01-14,16.8,16.89,16.7,16.8,79434,0
2010-01-15,17,17.01,16.81,16.97,158704,0
2010-01-19,17.09,17.3,16.9,17.22,226999,0
2010-01-20,17.06,17.6,17,17.58,213217,0
2010-01-21,17.55,17.86,17.27,17.29,137694,0
2010-01-22,17.26,17.29,16.65,16.7,93254,0
2010-01-25,16.77,16.77,16.15,16.5,55562,0
2010-01-26,16.5,16.67,16.1,16.48,67899,0
2010-01-27,16.37,16.65,16.35,16.62,87973,0
2010-01-28,16.6,16.6,16.11,16.3,57567,0
2010-01-29,16.3,16.45,16.04,16.05,121425,0
2010-02-01,16.05,16.41,15.8,16.13,84677,0
2010-02-02,16.19,16.29,15.87,16.11,79350,0
2010-02-03,16.01,16.25,15.89,16.16,85515,0
2010-02-04,16.03,16.1,15.91,15.94,101717,0
2010-02-05,15.92,15.98,15.58,15.86,80058,0
2010-02-08,15.8,16.19,15.8,16.01,78709,0
2010-02-09,16.21,16.23,15.97,16.01,51753,0
2010-02-10,15.92,16.43,15.85,16.39,119038,0
2010-02-11,16.39,16.47,16.3,16.44,46069,0
2010-02-12,16.27,16.49,16.24,16.41,92071,0
2010-02-16,16.48,16.5,16.23,16.49,54125,0
2010-02-17,16.57,16.68,16.42,16.54,75416,0
2010-02-18,16.48,16.62,16.34,16.6,107781,0
2010-02-19,16.61,16.64,16.39,16.43,56591,0
2010-02-22,16.67,16.67,16.42,16.53,81559,0
2010-02-23,16.46,16.55,16.34,16.48,139998,0
2010-02-24,16.37,16.68,16.35,16.5,254084,0
2010-02-25,16.31,16.42,16.13,16.34,142817,0
2010-02-26,16.37,16.56,16.26,16.26,138361,0
2010-03-01,16.42,17.04,16.42,16.54,285723,0
2010-03-02,16.65,16.81,16.59,16.69,333533,0
2010-03-03,16.75,17.16,16.62,16.94,143544,0
2010-03-04,16.92,16.93,16.45,16.54,142119,0
2010-03-05,16.56,16.82,16.56,16.7,90046,0
2010-03-08,16.65,16.71,16.27,16.28,138355,0
2010-03-09,16.28,16.31,15.69,15.71,519263,0
2010-03-10,15.77,15.77,15.15,15.62,467975,0
2010-03-11,15.59,15.74,15.5,15.54,114832,0
2010-03-12,15.54,15.79,14.95,15.1,224468,0
2010-03-15,15.13,15.52,15.13,15.47,226481,0
