Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.058,12.231,12.058,12.231,64951,0
2010-01-05,12.411,12.411,12.272,12.305,49928,0
2010-01-06,12.279,12.427,12.279,12.395,50373,0
2010-01-07,12.345,12.377,12.305,12.345,32197,0
2010-01-08,12.485,12.485,12.345,12.435,16308,0
2010-01-11,12.624,12.624,12.518,12.526,56011,0
2010-01-12,12.494,12.509,12.377,12.411,39624,0
2010-01-13,12.377,12.509,12.353,12.485,70318,0
2010-01-14,12.518,12.607,12.518,12.567,56559,0
2010-01-15,12.452,12.567,12.411,12.459,23416,0
2010-01-19,12.403,12.543,12.403,12.469,128645,0
2010-01-20,12.239,12.297,12.165,12.297,92743,0
2010-01-21,12.353,12.353,12.017,12.058,111212,0
2010-01-22,11.985,12.116,11.812,11.862,43978,0
2010-01-25,11.862,12.009,11.845,11.926,47578,0
2010-01-26,11.73,11.878,11.73,11.771,52553,0
2010-01-27,11.771,11.819,11.533,11.583,150194,0
2010-01-28,11.615,11.656,11.477,11.525,54712,0
2010-01-29,11.583,11.632,11.377,11.395,79686,0
2010-02-01,11.41,11.648,11.403,11.639,79722,0
2010-02-02,11.591,11.779,11.557,11.714,34992,0
2010-02-03,11.756,11.763,11.648,11.673,69717,0
2010-02-04,11.541,11.541,11.336,11.36,123368,0
2010-02-05,11.263,11.286,10.918,11.156,135636,0
2010-02-08,11.074,11.278,11.074,11.082,31223,0
2010-02-09,11.214,11.286,11.098,11.18,60167,0
2010-02-10,11.229,11.36,11.14,11.296,90132,0
2010-02-11,11.328,11.459,11.304,11.451,55957,0
2010-02-12,11.377,11.427,11.278,11.377,47947,0
2010-02-16,11.385,11.599,11.369,11.565,86587,0
2010-02-17,11.673,11.697,11.639,11.673,66673,0
2010-02-18,11.591,11.682,11.591,11.648,74188,0
2010-02-19,11.565,11.706,11.501,11.665,62016,0
2010-02-22,11.673,11.697,11.525,11.541,134317,0
2010-02-23,11.501,11.557,11.467,11.492,59613,0
2010-02-24,11.477,11.591,11.467,11.525,102386,0
2010-02-25,11.385,11.484,11.32,11.484,81054,0
2010-02-26,11.435,11.639,11.435,11.607,67858,0
2010-03-01,11.697,11.771,11.689,11.714,78652,0
2010-03-02,11.903,11.926,11.795,11.878,110212,0
2010-03-03,11.952,12.035,11.926,11.993,71672,0
2010-03-04,11.952,11.96,11.869,11.918,55961,0
2010-03-05,11.968,12.132,11.944,12.066,75534,0
2010-03-08,12.156,12.223,12.124,12.173,57870,0
2010-03-09,12.066,12.279,12.066,12.189,65720,0
2010-03-10,12.189,12.321,12.189,12.239,61648,0
2010-03-11,12.156,12.313,12.156,12.297,36645,0
2010-03-12,12.321,12.345,12.272,12.305,53351,0
2010-03-15,12.231,12.297,12.206,12.279,39110,0
2010-03-16,12.305,12.395,12.305,12.386,58506,0
2010-03-17,12.469,12.632,12.469,12.534,48955,0
2010-03-18,12.534,12.534,12.452,12.469,69311,0
2010-03-19,12.435,12.509,12.362,12.362,134055,0
2010-03-22,12.328,12.328,12.289,12.297,159979,0
2010-03-23,12.305,12.452,12.305,12.444,132839,0
2010-03-24,12.337,12.345,12.231,12.289,176488,0
2010-03-25,12.337,12.337,12.206,12.223,131636,0
2010-03-26,12.305,12.377,12.255,12.297,171822,0
2010-03-29,12.313,12.485,12.313,12.477,71470,0
2010-03-30,12.526,12.591,12.509,12.567,91222,0
2010-03-31,12.526,12.534,12.477,12.502,87488,0
2010-04-01,12.558,12.698,12.558,12.69,62890,0
2010-04-05,12.73,12.805,12.73,12.781,75901,0
2010-04-06,12.781,12.796,12.73,12.781,134360,0
2010-04-07,12.772,12.846,12.738,12.781,100790,0
2010-04-08,12.714,12.714,12.649,12.698,155503,0
2010-04-09,12.69,12.748,12.69,12.73,130972,0
2010-04-12,12.69,12.805,12.69,12.764,23977,0
2010-04-13,12.714,12.772,12.632,12.748,55564,0
2010-04-14,12.813,12.919,12.813,12.903,74741,0
2010-04-15,12.928,12.977,12.863,12.953,47609,0
2010-04-16,12.878,12.878,12.55,12.615,81208,0
2010-04-19,12.509,12.576,12.386,12.543,65154,0
2010-04-20,12.543,12.632,12.534,12.55,131594,0
2010-04-21,12.632,12.632,12.518,12.55,102316,0
2010-04-22,12.459,12.55,12.264,12.55,133023,0
2010-04-23,12.543,12.55,12.502,12.55,172192,0
2010-04-26,12.674,12.756,12.674,12.723,80837,0
2010-04-27,12.591,12.632,12.427,12.427,105145,0
2010-04-28,12.435,12.534,12.419,12.444,94986,0
2010-04-29,12.502,12.567,12.502,12.55,137495,0
2010-04-30,12.567,12.576,12.444,12.444,72580,0
2010-05-03,12.427,12.526,12.419,12.502,111448,0
2010-05-04,12.189,12.264,12.098,12.132,154658,0
2010-05-05,11.968,12.141,11.903,12,75032,0
2010-05-06,11.878,11.944,11.074,11.541,146856,0
2010-05-07,11.697,11.771,11.385,11.508,96256,0
2010-05-10,12.05,12.107,11.993,12.035,130013,0
2010-05-11,11.828,12.058,11.73,11.944,85479,0
2010-05-12,12.009,12.09,11.894,12.042,158903,0
2010-05-13,12.026,12.156,12.026,12.035,59663,0
2010-05-14,11.926,11.926,11.656,11.746,68571,0
2010-05-17,11.665,11.771,11.549,11.722,76070,0
2010-05-18,11.738,11.845,11.525,11.557,57655,0
2010-05-19,11.369,11.451,11.246,11.444,93916,0
2010-05-20,11.124,11.124,10.91,10.959,101524,0
2010-05-21,10.902,11.156,10.819,11.156,36919,0
2010-05-24,11.115,11.27,11.115,11.156,51400,0
2010-05-25,10.779,11.033,10.68,11.033,66090,0
2010-05-26,11.016,11.165,10.886,10.918,68576,0
2010-05-27,11.296,11.484,11.246,11.484,94630,0
2010-05-28,11.501,11.525,11.353,11.369,81723,0
2010-06-01,11.18,11.369,11.156,11.165,68691,0
2010-06-02,11.14,11.222,11.115,11.222,159952,0
2010-06-03,11.328,11.444,11.238,11.296,112530,0
2010-06-04,11.124,11.148,10.91,11.066,76530,0
2010-06-07,10.984,11.066,10.869,10.877,115292,0
2010-06-08,11.008,11.124,10.943,11.115,119578,0
2010-06-09,11.254,11.254,10.975,10.992,116246,0
2010-06-10,11.238,11.238,11.074,11.148,234427,0
2010-06-11,11.016,11.254,11.016,11.254,54434,0
2010-06-14,11.36,11.492,11.345,11.395,98984,0
2010-06-15,11.477,11.624,11.451,11.615,70001,0
2010-06-16,11.575,11.73,11.557,11.697,70420,0
2010-06-17,11.706,11.706,11.492,11.682,102638,0
2010-06-18,11.648,11.689,11.639,11.682,62885,0
2010-06-21,11.894,11.944,11.771,11.804,48731,0
2010-06-22,11.804,11.845,11.656,11.706,87322,0
2010-06-23,11.615,11.706,11.525,11.648,63965,0
2010-06-24,11.599,11.665,11.533,11.541,54246,0
2010-06-25,11.549,11.549,11.444,11.533,131380,0
2010-06-28,11.501,11.583,11.444,11.525,47692,0
2010-06-29,11.286,11.286,11.14,11.156,84326,0
2010-06-30,11.18,11.312,11.14,11.14,54517,0
2010-07-01,11.132,11.156,10.992,11.148,88192,0
2010-07-02,11.214,11.328,11.14,11.286,79253,0
2010-07-06,11.336,11.533,11.336,11.419,53158,0
2010-07-07,11.501,11.575,11.477,11.565,125889,0
2010-07-08,11.682,11.763,11.624,11.706,101032,0
2010-07-09,11.689,11.771,11.673,11.771,60493,0
2010-07-12,11.746,11.771,11.689,11.73,51789,0
2010-07-13,11.854,11.854,11.722,11.787,90815,0
2010-07-14,11.787,11.894,11.779,11.836,79118,0
2010-07-15,11.787,11.804,11.689,11.795,38478,0
2010-07-16,11.697,11.697,11.508,11.541,73562,0
2010-07-19,11.591,11.599,11.451,11.451,118936,0
2010-07-20,11.451,11.599,11.41,11.583,204066,0
2010-07-21,11.615,11.615,11.492,11.533,149938,0
2010-07-22,11.575,11.738,11.575,11.682,130171,0
2010-07-23,11.738,11.819,11.738,11.763,129312,0
2010-07-26,11.746,11.976,11.73,11.976,112392,0
2010-07-27,12,12,11.828,11.862,80736,0
2010-07-28,11.812,11.854,11.779,11.819,59534,0
2010-07-29,11.96,12,11.854,11.96,45562,0
2010-07-30,11.869,12.074,11.854,12.058,83727,0
2010-08-02,12.181,12.328,12.165,12.272,61372,0
2010-08-03,12.264,12.321,12.197,12.289,42622,0
2010-08-04,12.289,12.305,12.247,12.289,52152,0
2010-08-05,12.272,12.321,12.231,12.305,53408,0
2010-08-06,12.279,12.321,12.197,12.305,77261,0
2010-08-09,12.345,12.395,12.337,12.353,75514,0
2010-08-10,12.321,12.321,12.083,12.289,55343,0
2010-08-11,11.936,11.993,11.845,11.845,51116,0
2010-08-12,11.722,11.845,11.689,11.819,49718,0
2010-08-13,11.862,11.952,11.836,11.886,42604,0
2010-08-16,11.936,12,11.936,11.976,68648,0
2010-08-17,12.083,12.098,12.058,12.066,113837,0
2010-08-18,12.05,12.098,12.017,12.05,51628,0
2010-08-19,12.042,12.098,11.926,11.968,50904,0
2010-08-20,11.903,12,11.862,11.993,42823,0
2010-08-23,12.035,12.05,11.936,11.968,54038,0
2010-08-24,11.854,11.91,11.771,11.878,46019,0
2010-08-25,11.779,11.854,11.73,11.854,62548,0
2010-08-26,11.926,11.926,11.795,11.862,61341,0
2010-08-27,11.878,11.878,11.779,11.812,136938,0
2010-08-30,11.886,11.944,11.804,11.804,32487,0
2010-08-31,11.697,11.804,11.682,11.738,35337,0
2010-09-01,11.91,12.098,11.91,12.017,67075,0
2010-09-02,11.985,12.098,11.944,12.074,156749,0
2010-09-03,12.156,12.197,12.058,12.173,54096,0
2010-09-07,12.215,12.223,12.181,12.189,53736,0
2010-09-08,12.156,12.247,12.156,12.181,66914,0
2010-09-09,12.297,12.313,12.181,12.206,93756,0
2010-09-10,12.264,12.337,12.215,12.297,35924,0
2010-09-13,12.328,12.477,12.328,12.386,238080,0
2010-09-14,12.328,12.444,12.313,12.419,205061,0
2010-09-15,12.353,12.509,12.337,12.477,58788,0
2010-09-16,12.377,12.485,12.353,12.459,57723,0
2010-09-17,12.55,12.558,12.427,12.477,244823,0
2010-09-20,12.543,12.73,12.543,12.649,72644,0
2010-09-21,12.607,12.748,12.607,12.649,142239,0
2010-09-22,12.69,12.764,12.591,12.682,72158,0
2010-09-23,12.526,12.674,12.444,12.615,79903,0
2010-09-24,12.714,12.748,12.69,12.714,63775,0
2010-09-27,12.756,12.805,12.682,12.772,70066,0
2010-09-28,12.698,12.805,12.698,12.788,51958,0
2010-09-29,12.846,12.903,12.82,12.87,51613,0
2010-09-30,12.87,12.936,12.838,12.903,78846,0
2010-10-01,12.936,13.002,12.936,13.002,95932,0
2010-10-04,13.009,13.026,12.878,12.911,83102,0
2010-10-05,12.911,13.043,12.878,13.009,335232,0
2010-10-06,13.125,13.157,13.051,13.109,67552,0
2010-10-07,13.189,13.24,13.1,13.149,71140,0
2010-10-08,13.157,13.231,13.134,13.231,180253,0
2010-10-11,13.24,13.289,13.207,13.255,68377,0
2010-10-12,13.182,13.182,13.043,13.142,181484,0
2010-10-13,13.247,13.314,13.075,13.24,138948,0
2010-10-14,13.297,13.354,13.231,13.247,184735,0
2010-10-15,13.314,13.346,13.165,13.255,270067,0
2010-10-18,13.134,13.346,13.1,13.322,126346,0
2010-10-19,13.33,13.33,13.059,13.067,164860,0
2010-10-20,13.142,13.314,13.1,13.28,146430,0
2010-10-21,13.314,13.338,13.1,13.157,128921,0
2010-10-22,13.24,13.289,13.165,13.255,83122,0
2010-10-25,13.37,13.452,13.33,13.346,92245,0
2010-10-26,13.24,13.354,13.165,13.322,137402,0
2010-10-27,13.223,13.322,13.092,13.289,80556,0
2010-10-28,13.396,13.452,13.24,13.28,143378,0
2010-10-29,13.207,13.322,13.157,13.28,93919,0
2010-11-01,13.404,13.427,13.346,13.427,129998,0
2010-11-02,13.584,13.617,13.518,13.534,111386,0
2010-11-03,13.51,13.576,13.452,13.568,72712,0
2010-11-04,13.756,13.83,13.714,13.723,120414,0
2010-11-05,13.789,13.895,13.789,13.887,55477,0
2010-11-08,13.913,14.01,13.823,13.977,89212,0
2010-11-09,14.052,14.052,13.895,13.913,257625,0
2010-11-10,13.97,13.97,13.83,13.937,201164,0
2010-11-11,13.83,13.945,13.83,13.895,93049,0
2010-11-12,13.823,13.823,13.617,13.641,48997,0
2010-11-15,13.683,13.699,13.568,13.617,201980,0
2010-11-16,13.543,13.543,13.247,13.272,63527,0
2010-11-17,13.28,13.469,13.255,13.396,56227,0
2010-11-18,13.666,13.683,13.584,13.584,54739,0
2010-11-19,13.568,13.739,13.494,13.683,68744,0
2010-11-22,13.584,13.683,13.559,13.675,65248,0
2010-11-23,13.576,13.576,13.363,13.543,51504,0
2010-11-24,13.625,13.675,13.165,13.576,122574,0
2010-11-26,13.33,13.485,13.297,13.452,63963,0
2010-11-29,13.444,13.46,13.33,13.42,66310,0
2010-11-30,13.436,13.51,13.297,13.452,89450,0
2010-12-01,13.543,13.65,13.534,13.593,62105,0
2010-12-02,13.658,13.789,13.658,13.781,81304,0
2010-12-03,13.773,13.871,13.739,13.863,75899,0
2010-12-06,13.863,13.863,13.714,13.83,64760,0
2010-12-07,13.913,13.985,13.756,13.797,40907,0
2010-12-08,13.773,13.773,13.617,13.699,56665,0
2010-12-09,13.805,13.805,13.518,13.576,119204,0
2010-12-10,13.601,13.675,13.584,13.65,42917,0
2010-12-13,13.764,13.764,13.675,13.756,47326,0
2010-12-14,13.773,13.88,13.773,13.823,43238,0
2010-12-15,13.764,13.764,13.699,13.706,131471,0
2010-12-16,13.739,13.773,13.675,13.764,48246,0
2010-12-17,13.739,13.764,13.683,13.764,29385,0
2010-12-20,13.855,13.855,13.658,13.706,39851,0
2010-12-21,13.518,13.625,13.42,13.51,51411,0
2010-12-22,13.559,13.601,13.526,13.576,52461,0
2010-12-23,13.609,13.633,13.576,13.633,49170,0
2010-12-27,13.617,13.641,13.601,13.641,60679,0
2010-12-28,13.633,13.748,13.625,13.739,50466,0
2010-12-29,13.789,13.887,13.756,13.871,100310,0
2010-12-30,13.855,13.904,13.813,13.904,39821,0
2010-12-31,13.792,13.97,13.792,13.925,76891,0
2011-01-03,14.067,14.142,14.035,14.093,32555,0
2011-01-04,14.134,14.184,14.003,14.184,93656,0
2011-01-05,14.125,14.166,14.052,14.166,55763,0
2011-01-06,14.174,14.256,14.093,14.216,83183,0
2011-01-07,14.224,14.224,14.043,14.166,15524,0
2011-01-10,14.084,14.208,14.067,14.174,27386,0
2011-01-11,14.273,14.314,14.191,14.208,18987,0
2011-01-12,14.339,14.404,14.273,14.33,28707,0
2011-01-13,14.503,14.559,14.47,14.52,32979,0
2011-01-14,14.445,14.511,14.396,14.437,12121,0
2011-01-18,14.445,14.526,14.429,14.52,22515,0
2011-01-19,14.544,14.552,14.421,14.429,26705,0
2011-01-20,14.339,14.445,14.224,14.371,31417,0
2011-01-21,14.379,14.379,14.233,14.264,31364,0
2011-01-24,14.233,14.281,14.035,14.117,35803,0
2011-01-25,14.109,14.109,13.92,14.027,42572,0
2011-01-26,14.084,14.281,14.084,14.233,27604,0
2011-01-27,14.281,14.33,14.084,14.224,78831,0
2011-01-28,14.216,14.216,13.97,13.977,41163,0
2011-01-31,13.961,14.165,13.961,14.04,40435,0
2011-02-01,14.158,14.248,14.158,14.216,51515,0
2011-02-02,14.256,14.322,14.256,14.297,10560,0
2011-02-03,14.297,14.396,14.297,14.388,14246,0
2011-02-04,14.413,14.429,14.322,14.379,10679,0
2011-02-07,14.339,14.413,14.339,14.388,14845,0
2011-02-08,14.354,14.495,14.339,14.454,23028,0
2011-02-09,14.241,14.346,14.216,14.224,31872,0
2011-02-10,14.158,14.158,14.043,14.076,35433,0
2011-02-11,13.985,14.052,13.954,14.018,38245,0
2011-02-14,14.191,14.216,14.06,14.06,26832,0
2011-02-15,14.01,14.067,13.985,14.003,57210,0
2011-02-16,14.052,14.142,13.985,14.134,46778,0
2011-02-18,14.208,14.354,14.208,14.314,13775,0
2011-02-22,14.067,14.142,13.92,14.003,62729,0
2011-02-23,13.945,13.945,13.633,13.838,50807,0
2011-02-24,13.797,13.929,13.797,13.838,25494,0
2011-02-25,13.945,13.97,13.887,13.937,49104,0
2011-02-28,14.003,14.093,13.985,14.093,22941,0
2011-03-01,14.191,14.191,14.035,14.035,97276,0
2011-03-02,14.018,14.166,13.993,14.166,51100,0
2011-03-03,14.166,14.264,14.084,14.208,31440,0
2011-03-04,14.264,14.346,14.224,14.289,35179,0
2011-03-07,14.264,14.281,14.1,14.158,26885,0
2011-03-08,14.134,14.199,14.109,14.117,39847,0
2011-03-09,14.142,14.184,14.093,14.15,51884,0
2011-03-10,13.945,14.018,13.88,13.887,45058,0
2011-03-11,13.723,13.855,13.543,13.773,78895,0
2011-03-14,13.494,13.494,13.189,13.412,141793,0
2011-03-15,12.968,13.109,12.427,13.026,234361,0
2011-03-16,13.035,13.109,12.459,12.657,164375,0
2011-03-17,12.764,13.092,12.764,13.002,254508,0
2011-03-18,13.198,13.33,13.189,13.322,57807,0
2011-03-21,13.543,13.691,13.543,13.675,23055,0
2011-03-22,13.706,13.789,13.518,13.781,62759,0
2011-03-23,13.584,13.88,13.477,13.797,57135,0
2011-03-24,13.797,13.855,13.706,13.83,33436,0
2011-03-25,13.723,13.813,13.691,13.699,70174,0
2011-03-28,13.666,13.723,13.65,13.658,43196,0
2011-03-29,13.633,13.781,13.568,13.732,35895,0
2011-03-30,13.895,13.92,13.617,13.871,18703,0
2011-03-31,13.881,14.004,13.854,13.978,48441,0
2011-04-01,13.954,14.06,13.937,14.052,27054,0
2011-04-04,13.993,14.1,13.954,14.027,50568,0
2011-04-05,13.97,14.018,13.937,14.003,46609,0
2011-04-06,13.977,13.993,13.88,13.937,34315,0
2011-04-07,13.904,13.945,13.813,13.847,29676,0
2011-04-08,14.018,14.109,13.945,14.01,20431,0
2011-04-11,13.954,14.018,13.945,13.977,47921,0
2011-04-12,13.929,13.962,13.823,13.83,56117,0
2011-04-13,13.954,14.027,13.838,13.887,20331,0
2011-04-14,13.937,13.97,13.887,13.954,47940,0
2011-04-15,13.993,14.018,13.929,13.962,6664,0
2011-04-18,13.88,13.88,13.739,13.863,40368,0
2011-04-19,13.797,14.027,13.781,13.954,17886,0
2011-04-20,14.125,14.125,14.01,14.06,26457,0
2011-04-21,14.067,14.216,14.067,14.174,27775,0
2011-04-25,14.043,14.134,14.043,14.134,71301,0
2011-04-26,14.084,14.256,14.084,14.233,13782,0
2011-04-27,14.158,14.256,14.158,14.256,12459,0
2011-04-28,14.166,14.445,14.166,14.363,33249,0
2011-04-29,14.298,14.513,14.237,14.334,29269,0
2011-05-02,14.363,14.429,14.363,14.404,14496,0
2011-05-03,14.289,14.339,14.289,14.289,13096,0
2011-05-04,14.273,14.273,14.142,14.184,22303,0
2011-05-05,14.093,14.134,13.977,14.01,28893,0
2011-05-06,14.142,14.241,14.043,14.06,8465,0
