Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.14,13.358,12.813,13.325,476260,0
2010-01-05,13.33,13.542,13.33,13.393,470971,0
2010-01-06,13.393,13.478,13.213,13.222,468161,0
2010-01-07,13.222,13.39,12.973,13.072,539351,0
2010-01-08,13.272,13.31,12.81,13.2,319430,0
2010-01-11,13.33,13.334,12.825,12.998,385042,0
2010-01-12,13.038,13.046,12.81,12.852,180128,0
2010-01-13,12.97,12.986,12.665,12.808,174852,0
2010-01-14,12.746,12.803,12.737,12.771,117190,0
2010-01-15,12.752,12.863,12.517,12.645,255044,0
2010-01-19,12.69,13.14,12.589,13.129,316803,0
2010-01-20,13.186,13.186,12.898,13.18,271058,0
2010-01-21,13.169,13.169,12.605,12.74,516596,0
2010-01-22,12.757,12.757,11.893,12.21,1433183,0
2010-01-25,12.213,12.378,12.006,12.24,391510,0
2010-01-26,12.144,12.419,12.044,12.273,384496,0
2010-01-27,12.302,12.577,11.998,12.233,387357,0
2010-01-28,12.716,12.726,12.243,12.451,405455,0
2010-01-29,12.552,12.652,11.603,11.724,791266,0
2010-02-01,11.946,12.442,11.764,12.372,576427,0
2010-02-02,12.311,12.513,12.21,12.47,462809,0
2010-02-03,12.21,12.338,11.942,12.289,359773,0
2010-02-04,12.292,12.294,11.468,11.694,715346,0
2010-02-05,11.663,11.844,11.11,11.579,740126,0
2010-02-08,11.786,11.786,11.292,11.308,301671,0
2010-02-09,11.547,11.697,11.404,11.519,279885,0
2010-02-10,11.733,11.812,11.468,11.468,571011,0
2010-02-11,11.426,11.848,11.321,11.745,244115,0
2010-02-12,12.442,12.442,11.74,11.877,472191,0
2010-02-16,12.505,12.548,11.788,12.113,462506,0
2010-02-17,12.113,12.216,11.973,12.187,164869,0
2010-02-18,12.206,12.399,12.104,12.399,280050,0
2010-02-19,12.442,12.548,12.187,12.444,440904,0
2010-02-22,12.608,12.611,12.47,12.535,389838,0
2010-02-23,12.442,12.528,12.151,12.183,1191653,0
2010-02-24,12.148,12.21,12.012,12.072,294795,0
2010-02-25,12.001,12.226,11.719,12.141,271949,0
2010-02-26,12.273,12.399,12.037,12.294,238091,0
2010-03-01,12.425,12.589,12.34,12.585,335901,0
2010-03-02,12.643,12.729,12.583,12.668,342148,0
2010-03-03,12.734,12.737,12.634,12.737,396700,0
2010-03-04,12.662,12.737,12.528,12.567,237467,0
2010-03-05,12.698,12.883,12.611,12.883,343441,0
2010-03-08,12.885,12.885,12.656,12.678,327857,0
2010-03-09,12.819,12.839,12.67,12.705,193972,0
2010-03-10,12.678,12.957,12.662,12.933,261706,0
2010-03-11,12.888,13.051,12.767,13.046,256122,0
2010-03-12,13.002,13.033,12.901,13.022,267449,0
2010-03-15,13.076,13.076,12.795,12.926,266244,0
2010-03-16,12.85,13.049,12.734,12.908,248032,0
2010-03-17,12.852,13.035,12.789,12.957,253145,0
2010-03-18,12.94,13.019,12.825,12.901,148813,0
2010-03-19,12.93,12.93,12.528,12.569,292570,0
2010-03-22,12.513,12.526,12.257,12.328,541447,0
2010-03-23,12.375,12.474,12.311,12.474,436906,0
2010-03-24,12.12,12.415,11.973,12.357,231186,0
2010-03-25,12.442,12.442,12.174,12.213,302057,0
2010-03-26,12.206,12.292,12.022,12.097,325327,0
2010-03-29,12.129,12.292,12.129,12.257,428380,0
2010-03-30,12.292,12.338,12.191,12.336,225129,0
2010-03-31,12.348,12.442,12.319,12.415,236833,0
2010-04-01,12.454,12.705,12.415,12.687,253876,0
2010-04-05,12.737,13.016,12.721,13.016,434920,0
2010-04-06,13.072,13.147,12.96,13.099,430311,0
2010-04-07,13.099,13.251,13.002,13.15,368693,0
2010-04-08,13.149,13.297,13.019,13.28,347628,0
2010-04-09,13.314,13.618,13.26,13.513,467792,0
2010-04-12,13.478,13.7,13.478,13.478,238091,0
2010-04-13,13.562,13.671,13.276,13.671,236590,0
2010-04-14,13.691,13.705,13.527,13.641,225382,0
2010-04-15,13.53,13.845,13.484,13.845,196100,0
2010-04-16,13.697,13.776,13.116,13.39,447075,0
2010-04-19,13.353,13.679,13.345,13.679,242026,0
2010-04-20,13.809,14.04,13.676,13.86,302942,0
2010-04-21,13.823,14.025,13.697,13.816,173600,0
2010-04-22,13.816,13.922,13.664,13.877,159216,0
2010-04-23,13.877,14.189,13.857,14.149,201169,0
2010-04-26,14.808,15.537,14.513,14.768,694596,0
2010-04-27,15.107,15.174,14.803,14.966,453756,0
2010-04-28,15.054,15.445,14.97,15.157,372959,0
2010-04-29,15.321,15.321,14.103,14.279,1251083,0
