Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,1.66,1.79,1.66,1.75,37578,0
2010-01-05,1.73,1.82,1.7,1.81,97070,0
2010-01-06,1.77,1.9,1.77,1.9,70790,0
2010-01-07,1.99,2.01,1.88,1.99,121932,0
2010-01-08,1.99,1.99,1.91,1.91,24018,0
2010-01-11,1.91,1.95,1.86,1.86,40086,0
2010-01-12,1.88,1.89,1.8,1.82,77114,0
2010-01-13,1.86,1.86,1.8,1.84,53837,0
2010-01-14,1.89,1.94,1.82,1.9,64223,0
2010-01-15,1.85,1.9,1.85,1.86,22438,0
2010-01-19,1.82,1.9,1.81,1.86,47147,0
2010-01-20,1.92,1.92,1.82,1.87,24836,0
2010-01-21,1.86,1.86,1.76,1.78,55840,0
2010-01-22,1.77,1.81,1.76,1.81,21042,0
2010-01-25,1.79,1.79,1.71,1.75,29852,0
2010-01-26,1.75,1.75,1.68,1.72,39424,0
2010-01-27,1.71,1.78,1.66,1.76,44271,0
2010-01-28,1.73,1.79,1.66,1.72,16113,0
2010-01-29,1.7,1.7,1.68,1.68,13601,0
2010-02-01,1.66,1.76,1.64,1.7,19354,0
2010-02-02,1.7,1.73,1.7,1.73,4666,0
2010-02-03,1.89,1.89,1.7,1.72,13293,0
2010-02-04,1.73,1.74,1.68,1.7,21734,0
2010-02-05,1.69,1.74,1.65,1.73,31027,0
2010-02-08,1.67,1.92,1.67,1.92,62290,0
2010-02-09,1.92,1.94,1.83,1.86,26539,0
2010-02-10,1.89,1.9,1.82,1.89,19576,0
2010-02-11,1.92,1.92,1.82,1.86,9063,0
2010-02-12,1.81,1.86,1.81,1.84,8227,0
2010-02-16,1.91,1.91,1.82,1.89,17689,0
2010-02-17,1.86,1.89,1.82,1.89,5285,0
2010-02-18,1.84,1.89,1.83,1.85,31693,0
2010-02-19,1.82,1.9,1.82,1.85,31254,0
2010-02-22,1.83,1.88,1.81,1.88,9306,0
2010-02-23,1.84,1.84,1.76,1.8,17624,0
2010-02-24,1.78,1.79,1.76,1.79,5788,0
2010-02-25,1.75,1.79,1.74,1.79,8586,0
2010-02-26,1.84,1.84,1.74,1.74,3317,0
2010-03-01,1.77,1.83,1.71,1.75,11659,0
2010-03-02,1.73,1.75,1.73,1.74,22762,0
2010-03-03,1.77,1.89,1.73,1.82,52771,0
2010-03-04,1.8,1.9,1.8,1.84,27871,0
2010-03-05,1.84,1.84,1.83,1.83,12855,0
2010-03-08,1.81,1.81,1.79,1.8,22648,0
2010-03-09,1.78,1.78,1.35,1.75,140197,0
2010-03-10,1.72,1.91,1.69,1.8,639909,0
2010-03-11,1.8,1.9,1.8,1.89,25337,0
2010-03-12,1.86,1.89,1.8,1.81,49726,0
2010-03-15,1.76,1.85,1.75,1.84,16604,0
2010-03-16,1.88,1.89,1.8,1.87,28715,0
2010-03-17,1.81,1.88,1.8,1.82,52731,0
2010-03-18,1.8,1.88,1.75,1.85,34402,0
2010-03-19,1.79,1.88,1.78,1.82,35630,0
2010-03-22,1.84,1.88,1.77,1.81,19994,0
