Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,1.7867,1.9667,1.78,1.8267,21108,0
2010-01-05,1.9,1.9,1.8333,1.8333,14490,0
2010-01-06,1.7933,1.8267,1.7,1.74,6614,0
2010-01-07,1.6333,1.7667,1.6,1.7667,13920,0
2010-01-08,1.6267,1.6667,1.6267,1.6667,2270,0
2010-01-11,1.6133,1.6667,1.5733,1.6667,8786,0
2010-01-12,1.64,1.7,1.64,1.66,3750,0
2010-01-13,1.5733,1.64,1.5733,1.64,13902,0
2010-01-14,1.5733,1.5733,1.5733,1.5733,345,0
2010-01-15,1.5667,1.5867,1.5667,1.5867,4187,0
2010-01-19,1.58,1.6,1.4867,1.5267,20165,0
2010-01-20,1.5067,1.5333,1.5,1.5333,19310,0
2010-01-21,1.5333,1.5667,1.5333,1.5667,3495,0
2010-01-22,1.6667,1.6667,1.4867,1.5333,12219,0
2010-01-25,1.4867,1.66,1.4867,1.66,3720,0
2010-01-26,1.5333,1.5333,1.48,1.5133,5505,0
2010-01-27,1.48,1.5067,1.4133,1.46,19592,0
2010-01-28,1.4533,1.4933,1.4533,1.4667,7245,0
2010-01-29,1.4333,1.5,1.4333,1.5,9191,0
2010-02-01,1.4733,1.5,1.4467,1.46,13002,0
2010-02-02,1.5,1.5267,1.46,1.5,8571,0
2010-02-03,1.4333,1.5267,1.4333,1.5267,8801,0
2010-02-04,1.5267,1.5333,1.5267,1.5333,3696,0
2010-02-05,1.54,1.6133,1.5333,1.6,25664,0
2010-02-08,1.6,1.6667,1.6,1.6667,5012,0
2010-02-09,1.6333,1.7867,1.6333,1.7333,15956,0
2010-02-10,1.7467,1.8133,1.7467,1.8133,15135,0
2010-02-11,1.8333,1.92,1.8333,1.88,26567,0
2010-02-12,1.8667,1.8667,1.82,1.82,7326,0
2010-02-16,1.7733,1.7733,1.7533,1.7667,9494,0
2010-02-17,1.8467,1.8467,1.7667,1.7667,1800,0
2010-02-18,1.72,1.86,1.72,1.86,2532,0
2010-02-19,1.8267,1.8267,1.8267,1.8267,480,0
2010-02-22,1.82,1.8267,1.78,1.78,3149,0
2010-02-23,1.7133,1.7133,1.6267,1.6267,5940,0
2010-02-24,1.6067,1.76,1.6067,1.72,1973,0
2010-02-25,1.6267,1.6667,1.6267,1.6667,2325,0
2010-02-26,1.6333,1.66,1.6333,1.6333,825,0
2010-03-01,1.6333,1.6333,1.6333,1.6333,1245,0
2010-03-02,1.6533,1.7533,1.6533,1.7267,7493,0
2010-03-03,1.6333,1.7667,1.6267,1.7667,8175,0
2010-03-04,1.7667,1.7667,1.64,1.64,1725,0
2010-03-05,1.6133,1.7267,1.6067,1.7,6320,0
2010-03-08,1.6733,1.6733,1.6333,1.6333,2550,0
2010-03-09,1.6333,1.6533,1.5667,1.6267,3423,0
2010-03-10,1.6533,1.6533,1.5467,1.5467,2850,0
2010-03-11,1.6133,1.64,1.52,1.64,6540,0
2010-03-12,1.6333,1.6667,1.56,1.6667,14223,0
2010-03-15,1.5533,1.6,1.5533,1.6,4875,0
2010-03-16,1.5733,1.58,1.5667,1.5667,5664,0
2010-03-17,1.5667,1.5867,1.5667,1.5733,1971,0
2010-03-18,1.5733,1.6667,1.5333,1.6333,4914,0
2010-03-22,1.5533,1.5933,1.4867,1.5867,6750,0
2010-03-23,1.5333,1.5333,1.48,1.5067,7163,0
