Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.3171,3.3227,3.2169,3.2725,62448,0
2010-01-05,3.2392,3.267,3.2056,3.2169,157458,0
2010-01-06,3.2447,3.2725,3.122,3.1668,65964,0
2010-01-07,3.2615,3.2615,3.1501,3.1833,86442,0
2010-01-08,3.1275,3.2336,3.1275,3.2336,75956,0
2010-01-11,3.2002,3.2615,3.1778,3.2558,112102,0
2010-01-12,3.2615,3.4121,3.1501,3.2615,138852,0
2010-01-13,3.3005,3.3449,3.2056,3.2504,149577,0
2010-01-14,3.2782,3.2894,3.2336,3.2447,67209,0
2010-01-15,3.3449,3.3449,3.2725,3.3339,234678,0
2010-01-19,3.3449,3.3449,3.2782,3.3171,82549,0
2010-01-20,3.3339,3.3339,3.267,3.3171,95130,0
2010-01-21,3.306,3.306,3.2447,3.2504,74258,0
2010-01-22,3.2615,3.2949,3.2447,3.2725,73207,0
2010-01-25,3.2894,3.3339,3.1889,3.2392,130526,0
2010-01-26,3.2224,3.3118,3.2056,3.2282,57703,0
2010-01-27,3.2615,3.3171,3.2282,3.3171,80410,0
2010-01-28,3.3118,3.3227,3.2336,3.3227,43939,0
2010-01-29,3.3449,3.3449,3.2392,3.3171,77712,0
2010-02-01,3.3449,3.3449,3.0663,3.2504,324384,0
2010-02-02,3.2336,3.267,3.1668,3.2282,120766,0
2010-02-03,3.1946,3.2447,3.1501,3.1889,95196,0
2010-02-04,3.2558,3.2558,3.1501,3.2056,140684,0
2010-02-05,3.2392,3.2392,3.1501,3.172,81488,0
2010-02-08,3.1778,3.2336,3.1668,3.2282,50821,0
2010-02-09,3.2392,3.2392,3.1833,3.2002,56637,0
2010-02-10,3.2336,3.2336,3.172,3.1778,50584,0
2010-02-11,3.1778,3.2224,3.1501,3.1501,68015,0
2010-02-12,3.172,3.2169,3.1501,3.2002,30369,0
2010-02-16,3.2056,3.2336,3.2056,3.2224,42158,0
2010-02-17,3.2782,3.2782,3.1889,3.2224,77300,0
2010-02-18,3.2169,3.2224,3.1557,3.2056,94127,0
2010-02-19,3.2056,3.2224,3.1443,3.1443,221878,0
2010-02-22,3.1946,3.2111,3.172,3.1889,55202,0
2010-02-23,3.2169,3.2282,3.1611,3.2169,130366,0
2010-02-24,3.2056,3.2336,3.1889,3.2224,62957,0
2010-02-25,3.2336,3.2336,3.2056,3.2224,45557,0
2010-02-26,3.2056,3.2282,3.1778,3.2224,21380,0
2010-03-01,3.2111,3.2782,3.2056,3.2056,50252,0
2010-03-02,3.2111,3.267,3.1946,3.2282,123376,0
2010-03-03,3.2392,3.267,3.2169,3.2504,39218,0
2010-03-04,3.2782,3.306,3.2056,3.2782,94152,0
2010-03-05,3.3171,3.3171,3.1946,3.2336,78936,0
2010-03-08,3.2224,3.267,3.1833,3.2447,83484,0
2010-03-09,3.2224,3.267,3.2056,3.2056,95637,0
2010-03-10,3.2336,3.2615,3.2282,3.2504,66295,0
2010-03-11,3.2504,3.3005,3.2111,3.2392,42868,0
2010-03-12,3.2282,3.2836,3.2282,3.2725,27848,0
2010-03-15,3.2894,3.2894,3.2336,3.2504,48295,0
2010-03-16,3.2336,3.2558,3.1946,3.2111,133200,0
2010-03-17,3.2111,3.2894,3.2056,3.2056,63074,0
2010-03-18,3.2224,3.2894,3.2224,3.2504,46082,0
2010-03-19,3.2336,3.3449,3.2282,3.3449,112049,0
2010-03-22,3.3339,3.3449,3.2894,3.3396,149892,0
2010-03-23,3.3227,3.4009,3.267,3.4009,119350,0
2010-03-24,3.3953,3.4231,3.3449,3.4009,125590,0
2010-03-25,3.4121,3.4121,3.3731,3.3953,33954,0
2010-03-26,3.4009,3.4341,3.306,3.3507,161007,0
2010-03-29,3.2949,3.3396,3.2894,3.3284,41463,0
2010-03-30,3.3118,3.3171,3.2615,3.2894,49254,0
2010-03-31,3.3005,3.3171,3.2392,3.2558,56398,0
2010-04-01,3.2558,3.4175,3.2282,3.2836,56531,0
2010-04-05,3.3118,3.3898,3.2615,3.3171,75345,0
2010-04-06,3.267,3.3898,3.267,3.3171,44324,0
2010-04-07,3.3673,3.3898,3.2894,3.3449,129485,0
2010-04-08,3.267,3.3449,3.2447,3.2558,112720,0
2010-04-09,3.267,3.3227,3.1946,3.2615,186834,0
2010-04-12,3.2558,3.3396,3.2336,3.306,91875,0
2010-04-13,3.3396,3.3898,3.2504,3.2894,100092,0
2010-04-14,3.2894,3.3339,3.2615,3.2949,32584,0
2010-04-15,3.2615,3.3617,3.2615,3.2949,63732,0
2010-04-16,3.2949,3.3396,3.2782,3.3227,54357,0
2010-04-19,3.2782,3.3449,3.2782,3.3449,87472,0
2010-04-20,3.172,3.172,2.9939,2.9939,889981,0
2010-04-21,2.9826,3.0106,2.9437,2.9717,4887139,0
2010-04-22,2.9939,3.0553,2.9717,3.0106,1858805,0
2010-04-23,3.0632,3.1144,3.0289,3.0915,767683,0
