Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,63.6,64.08,62.4,63.36,10273,0
2010-01-05,63.36,63.6,60.36,61.56,7500,0
2010-01-06,61.32,61.44,57.12,57.36,7945,0
2010-01-07,58.8,60.48,58.2,59.88,15269,0
2010-01-08,60,60.96,57.96,59.88,11384,0
2010-01-11,60,63.72,59.4,63.48,11143,0
2010-01-12,62.4,63.48,60,60.48,3976,0
2010-01-13,60.96,66.96,60.24,66.72,12593,0
2010-01-14,66.36,66.36,63.6,65.28,3105,0
2010-01-15,65.64,66.72,60.72,62.88,7693,0
2010-01-19,63,65.64,61.44,65.64,4235,0
2010-01-20,64.8,64.8,60,61.2,7737,0
2010-01-21,61.56,61.68,59.88,59.88,7623,0
2010-01-22,59.76,62.16,58.2,58.44,9491,0
2010-01-25,59.28,60.12,56.28,57.72,7175,0
2010-01-26,57.24,57.96,55.2,55.2,5219,0
2010-01-27,54.84,58.8,54.84,56.28,3404,0
2010-01-28,56.64,56.64,53.76,54.12,6340,0
2010-01-29,54.48,55.92,52.8,53.04,5884,0
2010-02-01,53.4,54.72,51.96,52.8,3042,0
2010-02-02,55.08,58.92,54,54.12,10245,0
2010-02-03,54,56.76,53.28,53.28,5417,0
2010-02-04,54.24,54.48,49.2,49.2,7665,0
2010-02-05,49.56,52.68,49.2,51.48,7136,0
2010-02-08,51.6,56.64,49.56,52.44,8713,0
2010-02-09,53.52,54.24,51.24,52.92,4503,0
2010-02-10,52.44,54,51.36,52.8,3423,0
2010-02-11,52.2,54.96,52.08,54.84,3814,0
2010-02-12,54,56.52,54,56.4,4955,0
2010-02-16,56.64,58.68,54.48,57.6,4334,0
2010-02-17,57.96,60.96,56.52,60.96,6264,0
2010-02-18,62.04,63.84,59.76,63.6,4808,0
2010-02-19,63.48,63.48,61.44,62.04,6249,0
2010-02-22,62.52,62.52,60,60.36,3576,0
2010-02-23,60,60.36,57.24,58.68,7832,0
2010-02-24,60.96,63.6,58.8,60.12,8351,0
2010-02-25,59.04,61.2,58.32,60.96,2118,0
2010-02-26,61.2,62.16,60,61.56,5838,0
2010-03-01,62.16,62.4,60.72,62.4,7502,0
2010-03-02,62.76,66,60.12,66,6346,0
2010-03-03,65.88,66.6,62.76,65.52,5872,0
2010-03-04,65.52,65.88,60.84,65.04,2614,0
2010-03-05,65.28,65.52,64.44,65.28,4970,0
2010-03-08,64.56,64.56,62.52,63.12,7650,0
2010-03-09,62.52,64.68,62.28,63.36,3918,0
2010-03-10,67.56,72.84,67.56,72.36,30957,0
2010-03-11,72,73.92,71.04,72.6,18666,0
2010-03-12,73.08,77.76,72.24,77.16,21851,0
2010-03-15,77.16,79.44,76.44,79.32,28542,0
2010-03-16,79.2,79.56,76.8,79.56,13751,0
2010-03-17,80.04,81,78.84,79.56,20596,0
2010-03-18,79.68,80.16,78.36,79.68,9198,0
2010-03-19,80.16,81.6,78.6,81.6,44487,0
2010-03-22,80.04,81.24,77.64,78.48,14352,0
2010-03-23,78,78.48,76.44,78.24,6985,0
2010-03-24,77.4,77.88,76.08,76.2,8246,0
2010-03-25,77.04,78.36,75,76.32,6323,0
2010-03-26,76.56,78,75.48,76.68,6606,0
2010-03-29,77.16,77.52,75.36,76.08,9648,0
2010-03-30,76.08,77.4,75.48,76.32,5857,0
2010-03-31,75.6,76.92,75.6,76.44,7207,0
2010-04-01,77.04,77.64,75.36,76.32,18526,0
2010-04-05,76.44,78,76.44,77.64,8393,0
2010-04-06,77.4,79.44,76.32,76.44,3516,0
2010-04-07,78,79.92,75,76.56,20874,0
2010-04-08,76.08,76.92,72.48,76.2,10382,0
2010-04-09,76.56,77.16,75.6,76.44,4615,0
2010-04-12,76.68,76.68,67.32,70.08,33031,0
