Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.0854,5.4448,5.0854,5.4448,33601,0
2010-01-05,5.4448,5.4566,5.268,5.2858,22231,0
2010-01-06,5.268,5.4448,5.0972,5.1325,34619,0
2010-01-07,5.2091,5.2504,5.1384,5.1797,25455,0
2010-01-08,5.1443,5.2562,5.1443,5.2151,12897,0
2010-01-11,5.2386,5.2386,5.1384,5.162,15443,0
2010-01-12,5.1266,5.2621,5.1266,5.162,23589,0
2010-01-13,5.1855,5.2621,5.1679,5.1797,17989,0
2010-01-14,5.1797,5.2268,4.9263,4.9793,58208,0
2010-01-15,5.0146,5.0146,4.7436,4.7908,61432,0
2010-01-19,4.9204,4.9204,4.6375,4.6964,86887,0
2010-01-20,4.4195,4.6964,4.1897,4.6552,185654,0
2010-01-21,4.5668,4.6257,4.4313,4.443,55324,0
2010-01-22,4.4549,4.6729,4.396,4.4549,33091,0
2010-01-25,4.6788,4.6788,4.3312,4.443,35468,0
2010-01-26,4.4195,4.5079,4.2604,4.4254,23250,0
2010-01-27,4.3901,4.7849,4.3901,4.5315,48195,0
2010-01-28,4.5315,4.7554,4.443,4.7142,92657,0
2010-01-29,4.7613,4.779,4.4019,4.7731,115398,0
2010-02-01,4.7672,5.0383,4.6081,4.997,43953,0
2010-02-02,4.8732,4.9676,4.7436,4.7495,46330,0
2010-02-03,4.7259,4.7672,4.4843,4.5668,141362,0
2010-02-04,4.5433,4.7142,4.3312,4.3723,59056,0
2010-02-05,4.3782,4.4726,4.3075,4.4726,25625,0
2010-02-08,4.4667,4.614,4.4019,4.449,23080,0
2010-02-09,4.555,4.7908,4.4784,4.7201,53286,0
2010-02-10,4.6964,4.779,4.5786,4.6257,16291,0
2010-02-11,4.6022,4.7908,4.4784,4.7672,67202,0
2010-02-12,4.7731,4.8615,4.555,4.8202,28001,0
2010-02-16,4.8615,4.9676,4.7436,4.779,61432,0
2010-02-17,4.8025,4.8556,4.7554,4.832,21043,0
2010-02-18,4.8732,4.9498,4.8556,4.9498,19006,0
2010-02-19,4.9439,4.997,4.8261,4.8732,27661,0
2010-02-22,4.8969,4.938,4.8261,4.8673,27831,0
2010-02-23,4.7613,5.2091,4.7613,5.1443,32752,0
2010-02-24,4.8556,5.1031,4.8556,4.9027,11369,0
2010-02-25,4.832,5.1207,4.667,4.9498,65505,0
2010-02-26,4.9676,5.1973,4.9263,5.1679,21383,0
2010-03-01,5.1973,5.3093,4.8909,5.2386,68559,0
2010-03-02,5.0146,5.2151,4.8969,5.2032,19346,0
2010-03-03,5.2151,5.2151,5.1384,5.2032,19856,0
2010-03-04,5.1384,5.2445,5.0736,5.2445,13576,0
2010-03-05,5.2445,5.4448,5.1148,5.4272,34790,0
2010-03-08,5.4154,5.433,5.3329,5.4095,8994,0
2010-03-09,5.1561,5.4389,5.1561,5.4389,12049,0
2010-03-10,5.4213,5.4507,5.274,5.4448,35637,0
2010-03-11,5.4095,5.5391,5.3093,5.5274,134403,0
