Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,1.13,1.17,1.11,1.17,569555,0
2010-01-05,1.17,1.17,1.14,1.17,255015,0
2010-01-06,1.15,1.17,1.15,1.16,421912,0
2010-01-07,1.16,1.16,1.11,1.11,378589,0
2010-01-08,1.17,1.28,1.07,1.22,2212712,0
2010-01-11,1.33,1.35,1.23,1.27,1264195,0
2010-01-12,1.29,1.29,1.23,1.24,546191,0
2010-01-13,1.28,1.28,1.21,1.24,379246,0
2010-01-14,1.2,1.27,1.18,1.24,388123,0
2010-01-15,1.22,1.25,1.19,1.23,256420,0
2010-01-19,1.25,1.25,1.2,1.23,333604,0
2010-01-20,1.2,1.24,1.18,1.23,142680,0
2010-01-21,1.21,1.25,1.19,1.22,240490,0
2010-01-22,1.21,1.23,1.11,1.17,683440,0
2010-01-25,1.22,1.22,1.13,1.13,250029,0
2010-01-26,1.13,1.18,1.13,1.18,73721,0
2010-01-27,1.2,1.2,1.13,1.14,48298,0
2010-01-28,1.15,1.19,1.12,1.19,181479,0
2010-01-29,1.18,1.19,1.13,1.15,240422,0
2010-02-01,1.18,1.2,1.14,1.17,237603,0
2010-02-02,1.16,1.25,1.14,1.19,850653,0
2010-02-03,1.18,1.19,1.16,1.19,101560,0
2010-02-04,1.17,1.19,1.1,1.11,335847,0
2010-02-05,1.1,1.13,1.1,1.12,215173,0
2010-02-08,1.11,1.15,1.1,1.12,145414,0
2010-02-09,1.13,1.15,1.1,1.12,140268,0
2010-02-10,1.14,1.14,1.08,1.11,219919,0
2010-02-11,1.1,1.15,1.08,1.14,256246,0
2010-02-12,1.12,1.2,1.1,1.2,248665,0
2010-02-16,1.18,1.2,1.14,1.2,227744,0
2010-02-17,1.19,1.23,1.17,1.22,225848,0
2010-02-18,1.2,1.22,1.12,1.21,331511,0
2010-02-19,1.25,1.25,1.19,1.24,411233,0
2010-02-22,1.25,1.31,1.24,1.3,676648,0
2010-02-23,1.28,1.34,1.23,1.34,410826,0
2010-02-24,1.33,1.35,1.25,1.31,651866,0
2010-02-25,1.28,1.34,1.22,1.33,368886,0
2010-02-26,1.35,1.35,1.3,1.34,258406,0
2010-03-01,1.35,1.35,1.29,1.35,469678,0
2010-03-02,1.35,1.35,1.3,1.35,439281,0
2010-03-03,1.3,1.34,1.28,1.34,316371,0
2010-03-04,1.34,1.35,1.31,1.33,194983,0
2010-03-05,1.33,1.35,1.24,1.33,278974,0
2010-03-08,1.3,1.4,1.3,1.39,615287,0
2010-03-09,1.37,1.4,1.35,1.4,274134,0
2010-03-10,1.4,1.44,1.36,1.39,272802,0
2010-03-11,1.37,1.43,1.36,1.43,246462,0
2010-03-12,1.45,1.48,1.4,1.48,479906,0
2010-03-15,1.48,1.49,1.45,1.48,286437,0
2010-03-16,1.49,1.5,1.45,1.48,324539,0
2010-03-17,1.47,1.48,1.43,1.48,233510,0
2010-03-18,1.48,1.49,1.44,1.48,248451,0
2010-03-19,1.47,1.48,1.41,1.47,332466,0
2010-03-22,1.45,1.48,1.43,1.48,182462,0
2010-03-23,1.49,1.52,1.47,1.52,324400,0
2010-03-24,1.55,1.55,1.48,1.5,271501,0
2010-03-25,1.55,1.55,1.45,1.48,355969,0
2010-03-26,1.47,1.48,1.41,1.44,293689,0
2010-03-29,1.47,1.47,1.36,1.37,736708,0
2010-03-30,1.4,1.41,1.35,1.37,175414,0
2010-03-31,1.36,1.38,1.34,1.37,302082,0
2010-04-01,1.46,1.55,1.43,1.53,2409125,0
2010-04-05,1.6,2,1.56,1.6,2771309,0
2010-04-06,1.6,1.74,1.6,1.64,2250092,0
2010-04-07,1.65,1.73,1.64,1.67,1434683,0
2010-04-08,1.63,1.74,1.63,1.68,948195,0
2010-04-09,1.72,1.73,1.66,1.66,611030,0
2010-04-12,1.7,1.7,1.6,1.62,572011,0
2010-04-13,1.61,1.63,1.5,1.57,972553,0
2010-04-14,1.54,1.61,1.52,1.58,978712,0
2010-04-15,1.59,1.6,1.56,1.6,277485,0
2010-04-16,1.6,1.6,1.51,1.54,761792,0
2010-04-19,1.5,1.57,1.5,1.56,285039,0
2010-04-20,1.56,1.59,1.55,1.57,232780,0
2010-04-21,1.59,1.62,1.57,1.6,398603,0
2010-04-22,1.6,1.6,1.56,1.59,303481,0
2010-04-23,1.6,1.61,1.56,1.58,350714,0
2010-04-26,1.54,1.6,1.54,1.57,380550,0
2010-04-27,1.6,1.62,1.56,1.59,519470,0
2010-04-28,1.63,1.63,1.52,1.56,450785,0
2010-04-29,1.59,1.59,1.54,1.56,341529,0
2010-04-30,1.58,1.58,1.54,1.56,271087,0
2010-05-03,1.59,1.59,1.54,1.58,408936,0
2010-05-04,1.59,1.59,1.52,1.53,477780,0
2010-05-05,1.62,1.66,1.54,1.66,1964377,0
2010-05-06,1.69,1.69,1.5,1.58,930768,0
2010-05-07,1.55,1.6,1.53,1.53,552533,0
2010-05-10,1.6,1.62,1.57,1.6,504491,0
2010-05-11,1.6,1.64,1.57,1.64,497559,0
2010-05-12,1.68,1.68,1.62,1.68,554940,0
2010-05-13,1.7,1.7,1.66,1.67,602906,0
2010-05-14,1.66,1.67,1.6,1.66,459290,0
2010-05-17,1.69,1.69,1.59,1.69,788124,0
