Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.24,16.528,15.822,16.315,18852,0
2010-01-05,16.589,16.812,15.743,15.912,14449,0
2010-01-06,15.87,15.981,15.197,15.323,5330,0
2010-01-07,15.544,15.544,15.101,15.381,6848,0
2010-01-08,15.166,15.22,15.126,15.19,4380,0
2010-01-11,15.142,15.388,15.047,15.22,11718,0
2010-01-12,15.544,15.601,15.228,15.278,9355,0
2010-01-13,15.418,15.514,15.22,15.285,4061,0
2010-01-14,15.586,15.626,15.262,15.262,1555,0
2010-01-15,15.569,16.297,15.569,15.813,6973,0
2010-01-19,16.014,16.232,15.997,16.116,4294,0
2010-01-20,15.973,15.973,15.973,15.973,368,0
2010-01-21,16.187,16.187,15.175,15.347,9787,0
2010-01-22,15.236,15.236,14.43,14.666,8034,0
2010-01-25,14.778,15.039,14.778,15.006,1314,0
2010-01-26,14.63,15.492,14.423,15.166,5011,0
2010-01-27,15.109,15.109,14.771,14.771,7979,0
2010-01-28,14.84,15.381,14.653,14.653,1676,0
2010-01-29,14.793,15.483,14.63,15.483,3401,0
2010-02-01,14.778,15.228,14.778,15.047,1706,0
2010-02-02,15.023,16.116,14.723,14.857,4770,0
2010-02-03,14.912,15.006,14.439,14.439,3495,0
2010-02-04,14.638,14.771,14.24,14.24,5690,0
2010-02-05,14.2,14.653,13.932,13.932,6972,0
2010-02-08,14.088,14.622,14.088,14.43,4334,0
2010-02-09,14.638,14.638,14.39,14.477,1322,0
2010-02-10,14.502,15.561,14.502,15.109,3288,0
2010-02-11,16.187,16.187,15.197,15.791,7374,0
2010-02-12,14.445,15.032,14.414,15.023,4869,0
2010-02-16,15.735,15.735,15.499,15.499,901,0
2010-02-17,15.719,15.806,15.664,15.728,1520,0
2010-02-18,15.776,15.776,15.647,15.647,378,0
2010-02-19,15.403,15.822,15.236,15.617,3143,0
2010-02-22,15.093,15.813,15.093,15.347,9802,0
2010-02-23,15.19,15.205,14.638,14.84,8604,0
2010-02-24,14.975,15.466,14.952,15.308,3654,0
2010-02-25,15.228,15.608,15.197,15.594,4314,0
2010-02-26,15.798,15.798,15.315,15.483,6472,0
2010-03-01,15.457,15.822,15.457,15.719,4812,0
2010-03-02,15.791,15.836,15.743,15.836,3959,0
2010-03-03,15.822,15.822,15.71,15.759,3068,0
2010-03-04,15.626,15.798,15.475,15.798,969,0
2010-03-05,15.569,15.822,15.553,15.822,3162,0
2010-03-08,15.506,15.776,15.506,15.776,429,0
2010-03-09,15.647,15.822,15.647,15.822,1770,0
2010-03-10,15.822,16.014,15.806,15.973,7502,0
