Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.94,13.23,12.89,13.13,101837,0
2010-01-05,13.07,13.07,12.86,12.89,155498,0
2010-01-06,12.84,12.9,12.57,12.73,168588,0
2010-01-07,12.7,12.84,12.54,12.75,115006,0
2010-01-08,12.7,12.83,12.66,12.81,90457,0
2010-01-11,12.91,13.03,12.73,12.87,173445,0
2010-01-12,12.82,12.96,12.61,12.88,61875,0
2010-01-13,12.94,13.63,12.84,13.59,164046,0
2010-01-14,13.51,14.04,13.35,13.88,199511,0
2010-01-15,13.94,13.99,13.27,13.55,174364,0
2010-01-19,13.58,14.14,13.58,13.84,166034,0
2010-01-20,13.68,13.79,13.13,13.16,185278,0
2010-01-21,13.22,13.3,12.67,12.69,129456,0
2010-01-22,12.72,13.07,12.48,12.6,292195,0
2010-01-25,12.69,12.83,12.49,12.67,93345,0
2010-01-26,12.59,12.66,12.26,12.6,351688,0
2010-01-27,12.5,12.73,12.34,12.64,211254,0
2010-01-28,12.7,12.7,12.27,12.46,341514,0
2010-01-29,13.1,13.34,12.46,12.63,542578,0
2010-02-01,12.65,12.78,12.46,12.68,214496,0
2010-02-02,12.66,12.99,12.61,12.9,214090,0
2010-02-03,12.89,13.07,12.51,12.88,118423,0
2010-02-04,12.75,12.95,12.72,12.75,196068,0
2010-02-05,12.71,12.9,12.59,12.75,124204,0
2010-02-08,12.71,12.88,12.5,12.52,134219,0
2010-02-09,12.68,12.75,12.54,12.72,146595,0
2010-02-10,12.63,12.87,12.53,12.77,55173,0
2010-02-11,12.61,12.99,12.61,12.99,98383,0
2010-02-12,12.92,13.17,12.75,13.09,102154,0
2010-02-16,13.18,13.37,13,13.37,79938,0
2010-02-17,13.38,13.45,13.16,13.36,76398,0
2010-02-18,13.38,13.66,13.25,13.65,62097,0
2010-02-19,13.65,13.91,13.35,13.8,103254,0
2010-02-22,13.8,13.84,13.65,13.7,68413,0
2010-02-23,13.72,13.72,13.43,13.61,80759,0
2010-02-24,13.61,13.89,13.56,13.73,138077,0
2010-02-25,13.5,13.62,13.27,13.48,121855,0
2010-02-26,13.48,13.51,13.21,13.45,217709,0
2010-03-01,13.53,14.1,13.48,14.08,159013,0
2010-03-02,14.1,14.27,13.93,13.99,114107,0
2010-03-03,14.05,14.16,13.9,13.99,62696,0
2010-03-04,13.97,14.22,13.93,14.13,39765,0
2010-03-05,14.16,14.54,14.16,14.52,75770,0
2010-03-08,14.5,14.66,14.42,14.64,52409,0
2010-03-09,14.55,14.71,14.47,14.68,178292,0
2010-03-10,14.7,14.84,14.64,14.77,128092,0
2010-03-11,14.64,14.75,14.42,14.51,98044,0
2010-03-12,14.61,14.61,14.14,14.27,105443,0
2010-03-15,14.29,14.49,14.27,14.47,124195,0
2010-03-16,14.49,14.49,14.17,14.26,74061,0
2010-03-17,14.24,14.28,14.16,14.17,128895,0
2010-03-18,14.25,14.26,13.97,14,149191,0
2010-03-19,14.11,14.17,13.73,14.17,451851,0
2010-03-22,14.03,14.37,13.94,14.29,188675,0
2010-03-23,13.91,14.3,13.8,14.23,162693,0
2010-03-24,14.13,14.22,13.93,14.04,156308,0
2010-03-25,14.14,14.33,13.93,13.94,101829,0
2010-03-26,13.95,14.06,13.85,14.01,95593,0
2010-03-29,14.02,14.11,13.81,13.99,60143,0
2010-03-30,14.05,14.29,14,14.22,175298,0
2010-03-31,14.13,14.27,13.75,13.78,202547,0
2010-04-01,13.9,14.01,13.66,13.89,116430,0
2010-04-05,13.9,14.99,13.81,14.99,343583,0
2010-04-06,14.94,15.34,14.79,15.2,115640,0
2010-04-07,15.14,16.15,14.92,16.11,324090,0
2010-04-08,16.07,16.73,16.05,16.39,519396,0
2010-04-09,16.36,16.75,16,16.61,291306,0
2010-04-12,16.7,16.9,16.28,16.84,415074,0
2010-04-13,16.75,16.99,16.48,16.95,282949,0
2010-04-14,16.99,17.52,16.7,17.44,427487,0
2010-04-15,17.39,17.65,16.96,17.04,292444,0
2010-04-16,17.04,17.42,17.02,17.33,212658,0
2010-04-19,17.29,17.48,16.93,17.23,250997,0
2010-04-20,17.23,17.81,17.23,17.81,156258,0
2010-04-21,17.81,17.99,17.52,17.64,249546,0
2010-04-22,17.42,17.52,16.84,17.27,295942,0
2010-04-23,15.77,16.28,14.87,15.62,1163980,0
2010-04-26,15.62,15.72,14.96,15.1,480973,0
2010-04-27,15.16,15.51,15.01,15.07,350041,0
2010-04-28,15.19,15.2,14.88,14.92,243489,0
2010-04-29,14.99,15.2,14.85,15.15,182018,0
2010-04-30,15.07,15.8,14.58,14.6,401642,0
2010-05-03,14.69,15.23,14.54,15.06,188626,0
2010-05-04,14.84,15.13,14.57,14.69,220331,0
2010-05-05,14.57,14.76,14.47,14.5,168861,0
2010-05-06,14.46,14.65,13.28,14.09,146716,0
2010-05-07,14,14.57,13.74,13.78,295563,0
2010-05-10,14.28,14.53,14.18,14.41,165013,0
2010-05-11,14.21,15.15,14.21,14.87,206252,0
2010-05-12,14.88,15.23,14.88,15.01,153717,0
2010-05-13,14.99,15.06,14.67,14.84,136831,0
2010-05-14,14.68,14.75,14.44,14.72,116606,0
2010-05-17,14.82,15.17,14.29,14.88,207539,0
2010-05-18,15.09,15.19,14.31,14.32,174412,0
2010-05-19,14.25,14.48,13.92,14.09,127308,0
2010-05-20,13.84,14.02,13.43,13.56,304853,0
2010-05-21,13.51,13.79,13.21,13.48,554397,0
2010-05-24,13.43,13.67,13.14,13.17,95434,0
2010-05-25,12.95,13.47,12.57,13.43,207083,0
2010-05-26,13.48,13.95,13.17,13.37,185633,0
2010-05-27,13.66,13.94,13.48,13.87,90126,0
2010-05-28,13.81,13.82,13.42,13.48,84740,0
2010-06-01,13.32,13.49,12.94,12.94,126702,0
2010-06-02,12.99,13.48,12.74,13.48,102414,0
2010-06-03,13.43,13.9,13.41,13.82,117947,0
2010-06-04,13.44,13.48,13.06,13.15,159595,0
2010-06-07,13.25,13.37,12.83,12.83,108919,0
2010-06-08,12.87,12.96,12.29,12.35,210305,0
2010-06-09,12.49,12.64,12.26,12.41,248895,0
2010-06-10,12.64,12.79,12.43,12.76,144320,0
2010-06-11,12.61,12.89,12.61,12.89,72129,0
2010-06-14,13.06,13.23,12.97,13.01,112124,0
2010-06-15,13.12,13.43,13.02,13.37,126047,0
2010-06-16,13.25,13.52,13.25,13.32,64341,0
2010-06-17,13.32,13.39,13.07,13.14,70157,0
2010-06-18,13.22,13.4,12.89,13.33,193204,0
2010-06-21,13.53,13.66,13.1,13.23,79757,0
2010-06-22,13.32,13.55,13.06,13.08,60882,0
2010-06-23,13.07,13.43,12.97,13.19,76027,0
2010-06-24,13.07,13.27,12.96,13.02,121034,0
2010-06-25,13.08,13.34,12.88,13.34,498143,0
2010-06-28,13.35,13.57,13.16,13.22,65340,0
2010-06-29,12.96,13.03,12.76,12.95,131244,0
2010-06-30,12.98,13.28,12.66,12.73,120522,0
2010-07-01,12.79,12.79,12.23,12.52,128447,0
2010-07-02,12.59,12.59,12.25,12.41,59956,0
2010-07-06,12.61,12.77,11.98,12.04,163842,0
2010-07-07,12.09,12.25,12.02,12.16,176715,0
2010-07-08,12.27,12.51,12,12.15,155860,0
2010-07-09,12.1,12.73,12.1,12.7,87376,0
2010-07-12,12.62,12.79,12.38,12.48,63118,0
2010-07-13,12.66,13.08,12.52,13,127890,0
2010-07-14,12.91,13.28,12.91,13.01,94683,0
2010-07-15,13.03,13.05,12.49,12.51,236430,0
2010-07-16,12.38,12.55,11.96,12.01,153379,0
2010-07-19,12.09,12.18,11.76,12.01,91298,0
2010-07-20,11.83,11.99,11.67,11.95,183658,0
2010-07-21,12,12.1,11.81,11.9,112829,0
2010-07-22,12.07,12.3,11.99,12.1,179407,0
2010-07-23,12.01,13.68,12.01,13.29,412743,0
2010-07-26,13.29,13.49,13.23,13.47,161608,0
2010-07-27,13.6,13.82,13.39,13.66,124610,0
2010-07-28,13.6,13.6,12.88,12.97,146944,0
2010-07-29,13.02,13.1,12.69,12.95,123726,0
