Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,1.5,1.5761,1.5,1.5707,12374,0
2010-01-05,1.5924,1.6033,1.4783,1.4783,33234,0
2010-01-06,1.5109,1.5109,1.4674,1.4674,10948,0
2010-01-07,1.4783,1.5326,1.4783,1.5163,16972,0
2010-01-08,1.4837,1.4945,1.4783,1.4783,2208,0
2010-01-11,1.4728,1.5435,1.4402,1.4674,6550,0
2010-01-12,1.4457,1.4891,1.4402,1.4457,8335,0
2010-01-13,1.4728,1.4783,1.4402,1.4728,8874,0
2010-01-14,1.4348,1.538,1.4348,1.4457,9221,0
2010-01-15,1.4891,1.4891,1.4076,1.4076,7360,0
2010-01-19,1.3967,1.3967,1.3098,1.3532,38863,0
2010-01-20,1.3479,1.4239,1.3479,1.4239,4049,0
2010-01-21,1.3858,1.5,1.337,1.4783,15364,0
2010-01-22,1.4348,1.4348,1.3044,1.3913,11478,0
2010-01-25,1.3696,1.4131,1.3587,1.4131,6063,0
2010-01-27,1.337,1.3967,1.337,1.3967,10579,0
2010-01-28,1.3261,1.4076,1.3261,1.3913,1105,0
2010-01-29,1.3913,1.3913,1.3315,1.3913,14399,0
2010-02-01,1.3641,1.3805,1.3044,1.3641,60273,0
2010-02-02,1.3641,1.4619,1.3641,1.3967,69449,0
2010-02-03,1.4457,1.4837,1.3858,1.4674,20285,0
2010-02-04,1.4619,1.4945,1.3967,1.4022,28680,0
2010-02-05,1.4348,1.4348,1.3587,1.3587,14355,0
2010-02-08,1.3261,1.3641,1.3261,1.3479,9389,0
2010-02-09,1.3152,1.3424,1.3098,1.3098,6479,0
2010-02-10,1.3098,1.4945,1.3098,1.4945,41231,0
2010-02-11,1.4891,1.4891,1.3424,1.3424,61804,0
2010-02-12,1.3913,1.5054,1.3858,1.4891,59377,0
2010-02-16,1.4619,1.5163,1.3152,1.3152,99532,0
2010-02-17,1.3913,1.5109,1.3641,1.4837,72546,0
2010-02-18,1.4131,1.4674,1.4131,1.4619,60034,0
2010-02-19,1.5272,1.5543,1.4619,1.4674,19511,0
2010-02-22,1.4674,1.5,1.4185,1.4457,7213,0
2010-02-23,1.4891,1.4891,1.4402,1.4783,18564,0
2010-02-24,1.5217,1.5217,1.4022,1.4022,6595,0
2010-02-25,1.375,1.4945,1.375,1.4239,11848,0
2010-02-26,1.4239,1.4619,1.4239,1.4348,2797,0
2010-03-01,1.4185,1.4457,1.3858,1.4402,2759,0
2010-03-02,1.4728,1.4728,1.3913,1.4076,8076,0
2010-03-03,1.3967,1.4457,1.3587,1.3805,18325,0
2010-03-04,1.3696,1.3858,1.3587,1.3587,3278,0
2010-03-05,1.3587,1.3858,1.3479,1.375,4771,0
2010-03-08,1.3587,1.3587,1.3479,1.3479,6718,0
2010-03-09,1.3532,1.3532,1.3424,1.3532,6373,0
2010-03-10,1.3315,1.3641,1.3098,1.3641,24751,0
2010-03-11,1.3967,1.3967,1.3152,1.3206,8842,0
2010-03-12,1.3424,1.3479,1.3098,1.3261,5266,0
2010-03-15,1.3044,1.3152,1.2554,1.3152,5358,0
2010-03-16,1.3152,1.3587,1.3152,1.3587,5612,0
2010-03-17,1.337,1.3587,1.3044,1.3261,12604,0
2010-03-18,1.3479,1.3587,1.3315,1.3532,3948,0
2010-03-19,1.337,1.4131,1.337,1.4131,575,0
2010-03-22,1.3587,1.3587,1.3261,1.3315,7343,0
2010-03-23,1.3261,1.3315,1.3044,1.3152,6328,0
2010-03-24,1.288,1.3479,1.2826,1.337,5220,0
2010-03-25,1.3315,1.3315,1.2935,1.3098,5337,0
2010-03-26,1.2826,1.3315,1.2826,1.3152,6625,0
2010-03-29,1.3098,1.3152,1.3098,1.3098,2208,0
2010-03-30,1.2826,1.3044,1.2772,1.3044,5467,0
2010-03-31,1.3206,1.3206,1.3044,1.3044,2815,0
2010-04-01,1.2989,1.2989,1.2228,1.25,63344,0
