Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,19.984,20.016,19.693,19.823,1176107,0
2010-01-05,19.943,19.981,19.374,19.673,3076979,0
2010-01-06,19.757,19.802,19.482,19.693,2839536,0
2010-01-07,19.653,19.653,19.007,19.131,2016640,0
2010-01-08,19.104,19.227,18.881,19.227,1629818,0
2010-01-11,19.248,19.342,19.037,19.054,934628,0
2010-01-12,18.992,19.358,18.861,19.318,1417698,0
2010-01-13,19.497,19.622,19.35,19.468,1461500,0
2010-01-14,19.438,19.622,19.397,19.452,1216270,0
2010-01-15,19.505,19.511,19.21,19.241,896804,0
2010-01-19,19.304,19.366,19.077,19.194,946680,0
2010-01-20,19.037,19.037,18.797,18.983,1141814,0
2010-01-21,18.96,19,18.607,18.672,833997,0
2010-01-22,18.628,18.635,18.443,18.457,973880,0
2010-01-25,18.529,18.664,18.331,18.593,1309438,0
2010-01-26,18.493,18.493,18.272,18.429,961941,0
2010-01-27,18.421,18.543,18.316,18.514,1284159,0
2010-01-28,18.607,18.649,18.401,18.55,1030651,0
2010-01-29,18.558,18.558,18.301,18.323,1186416,0
2010-02-01,18.331,18.465,18.292,18.349,733646,0
2010-02-02,18.372,18.742,18.336,18.649,1488532,0
2010-02-03,18.586,18.726,18.323,18.529,1249970,0
2010-02-04,18.543,18.941,18.529,18.778,1933269,0
2010-02-05,18.849,19.077,18.758,19.063,2473610,0
2010-02-08,19.077,19.077,18.679,18.679,1655270,0
2010-02-09,18.819,19.069,18.778,19.012,1149634,0
2010-02-10,19.037,19.374,19.019,19.296,1291557,0
2010-02-11,19.35,19.745,19.219,19.725,1084505,0
2010-02-12,19.622,19.717,19.353,19.717,911085,0
2010-02-16,19.823,19.872,19.653,19.745,1343924,0
2010-02-17,19.779,19.802,19.622,19.739,1123761,0
2010-02-18,19.745,19.993,19.745,19.974,705178,0
2010-02-19,19.901,19.984,19.779,19.974,1263844,0
2010-02-22,20.03,20.096,19.922,19.937,842919,0
2010-02-23,19.895,19.984,19.608,19.708,780012,0
2010-02-24,19.757,19.788,19.653,19.68,688073,0
2010-02-25,19.553,19.7,19.326,19.673,818388,0
2010-02-26,19.673,19.823,19.608,19.752,640044,0
2010-03-01,19.943,20.485,19.872,20.462,1446534,0
2010-03-02,20.679,20.862,20.562,20.64,1056394,0
2010-03-03,20.734,20.841,20.685,20.804,865609,0
2010-03-04,20.834,20.897,20.655,20.655,713275,0
2010-03-05,20.82,21.005,20.82,20.999,788414,0
2010-03-08,21.433,21.496,21.047,21.147,3197303,0
2010-03-09,21.162,21.604,21.104,21.516,1683995,0
2010-03-10,21.568,21.837,21.496,21.787,1742255,0
2010-03-11,21.402,21.489,21.097,21.254,1740679,0
2010-03-12,21.375,21.545,21.197,21.545,1217386,0
2010-03-15,21.616,21.695,21.36,21.643,1170182,0
2010-03-16,21.707,21.753,21.53,21.707,1264642,0
2010-03-17,21.779,21.865,21.707,21.764,954406,0
2010-03-18,21.802,21.815,21.604,21.675,644826,0
2010-03-19,21.723,21.723,21.247,21.275,1367073,0
