Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,21.651,22.907,21.651,22.879,806287,0
2010-01-05,22.898,25.034,22.898,24.955,1348755,0
2010-01-06,24.887,25.267,24.603,24.77,283269,0
2010-01-07,24.799,25.169,24.504,24.848,184236,0
2010-01-08,24.652,24.662,24.303,24.43,214818,0
2010-01-11,24.544,24.711,23.99,24.136,322757,0
2010-01-12,23.873,24.234,23.873,24.156,238838,0
2010-01-13,24.263,24.504,24.058,24.313,123678,0
2010-01-14,24.254,24.828,24.175,24.293,94585,0
2010-01-15,24.391,24.391,23.669,23.981,302807,0
2010-01-19,23.981,24.43,23.806,24.411,208531,0
2010-01-20,24.107,24.273,23.494,23.738,241639,0
2010-01-21,23.718,23.882,23.19,23.19,257587,0
2010-01-22,23.093,23.21,22.403,22.538,259040,0
2010-01-25,22.879,22.996,22.635,22.773,256711,0
2010-01-26,22.616,23.141,22.557,22.665,170361,0
2010-01-27,22.46,23.074,22.413,22.937,202822,0
2010-01-28,22.986,23.065,22.364,22.567,344708,0
2010-01-29,22.675,23.563,22.17,22.247,376076,0
2010-02-01,22.45,22.802,22.383,22.675,177734,0
2010-02-02,22.675,23.055,22.286,22.879,312252,0
2010-02-03,22.694,22.976,22.645,22.783,511702,0
2010-02-04,22.518,22.714,21.573,21.621,480584,0
2010-02-05,21.621,21.739,20.619,21.232,391317,0
2010-02-08,21.154,21.154,20.161,20.483,378244,0
2010-02-09,20.805,21.048,20.347,20.805,283986,0
2010-02-10,20.649,20.883,20.356,20.639,142864,0
2010-02-11,20.61,21.057,20.366,20.805,531463,0
2010-02-12,20.571,21.039,20.298,21.019,357606,0
2010-02-16,21.339,21.436,21.029,21.408,132186,0
2010-02-17,21.485,21.573,21.048,21.241,243192,0
2010-02-18,21.174,21.378,21.029,21.291,201625,0
2010-02-19,21.154,21.329,20.95,21.222,180263,0
2010-02-22,21.378,21.378,21.019,21.144,128233,0
2010-02-23,21.086,21.144,20.269,20.307,475481,0
2010-02-24,20.375,20.502,19.944,20.023,622866,0
2010-02-25,19.722,20.473,19.664,20.366,480401,0
2010-02-26,20.434,20.728,19.974,20.639,411160,0
2010-03-01,20.805,21.69,20.805,21.582,399393,0
2010-03-02,21.699,22.423,21.699,22.188,319595,0
2010-03-03,22.207,22.812,22.18,22.423,326400,0
2010-03-04,22.423,22.773,22.334,22.606,117781,0
2010-03-05,22.704,23.406,22.704,23.406,264828,0
2010-03-08,23.337,23.602,23.181,23.484,449693,0
2010-03-09,23.299,24.146,23.299,23.892,358245,0
2010-03-10,23.912,24.273,23.582,23.99,293309,0
2010-03-11,23.786,24.204,23.513,24.136,215149,0
2010-03-12,24.234,24.283,23.63,24.097,215976,0
2010-03-15,24.117,24.234,23.748,23.892,175167,0
2010-03-16,23.902,24,23.357,23.649,193259,0
2010-03-17,23.649,24.107,23.649,23.971,101520,0
2010-03-18,23.971,24.097,23.738,23.882,133240,0
2010-03-19,24.009,24.156,23.426,23.444,353469,0
2010-03-22,23.259,23.873,23.065,23.776,124354,0
2010-03-23,23.757,24.731,23.543,24.623,248863,0
2010-03-24,24.534,24.613,24.244,24.613,257324,0
2010-03-25,24.916,25.141,24.487,24.662,384505,0
2010-03-26,24.682,25.141,24.682,24.955,291293,0
2010-03-29,25.121,26.291,24.975,26.232,725821,0
2010-03-30,26.311,26.513,26.066,26.349,285646,0
