Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,9.717,9.748,9.628,9.666,13556,0
2010-01-05,9.636,9.742,9.621,9.742,16363,0
2010-01-06,9.722,9.814,9.621,9.754,13553,0
2010-01-07,9.717,9.722,9.659,9.659,8388,0
2010-01-08,9.659,9.682,9.587,9.587,6916,0
2010-01-11,9.594,9.688,9.55,9.688,14334,0
2010-01-12,9.652,9.663,9.587,9.602,10767,0
2010-01-13,9.529,9.621,9.529,9.621,12475,0
2010-01-14,9.608,9.666,9.608,9.663,6349,0
2010-01-15,9.688,9.828,9.644,9.695,16105,0
2010-01-19,9.731,9.95,9.695,9.95,11918,0
2010-01-20,9.963,9.963,9.828,9.893,5567,0
2010-01-21,9.814,9.893,9.814,9.828,3363,0
2010-01-22,9.858,9.858,9.736,9.805,7589,0
2010-01-25,9.805,9.805,9.736,9.748,3091,0
2010-01-26,9.754,9.814,9.736,9.782,7046,0
2010-01-27,9.828,9.893,9.828,9.84,25490,0
2010-01-28,9.884,9.923,9.858,9.866,9382,0
2010-01-29,9.858,9.987,9.858,9.884,13852,0
2010-02-01,9.929,9.963,9.858,9.963,5271,0
2010-02-02,9.994,9.994,9.858,9.929,6410,0
2010-02-03,9.929,9.929,9.858,9.893,5510,0
2010-02-04,9.929,9.963,9.893,9.937,3010,0
2010-02-05,9.884,9.994,9.821,9.893,18982,0
2010-02-08,9.929,9.956,9.923,9.956,6242,0
2010-02-09,9.908,9.963,9.851,9.956,14025,0
2010-02-10,9.828,9.876,9.798,9.858,11848,0
2010-02-11,9.858,9.858,9.798,9.814,2933,0
2010-02-12,9.84,9.84,9.79,9.79,5567,0
2010-02-16,9.79,9.866,9.742,9.866,8057,0
2010-02-17,9.866,10.042,9.754,9.994,27509,0
2010-02-18,9.977,10.063,9.9,10.063,10408,0
2010-02-19,9.963,9.994,9.834,9.929,23613,0
2010-02-22,9.929,9.929,9.893,9.929,7614,0
2010-02-23,9.983,9.994,9.929,9.987,12660,0
2010-02-24,10.027,10.063,9.994,10.015,11469,0
2010-02-25,10.056,10.056,9.828,9.84,13769,0
2010-02-26,9.828,9.963,9.828,9.828,14813,0
2010-03-01,9.893,9.9,9.858,9.858,6553,0
2010-03-02,9.9,10.027,9.872,9.937,18942,0
2010-03-03,9.866,9.994,9.834,9.858,25479,0
2010-03-04,9.84,9.987,9.84,9.987,8382,0
2010-03-05,9.963,9.971,9.893,9.971,4748,0
2010-03-08,9.971,9.987,9.916,9.937,14058,0
2010-03-09,9.858,10.015,9.858,10.015,6568,0
2010-03-10,10.088,10.102,9.994,9.994,18510,0
2010-03-11,9.916,10.021,9.872,10.021,10842,0
2010-03-12,10.027,10.027,9.977,9.977,14911,0
2010-03-15,9.977,9.994,9.782,9.963,42847,0
2010-03-16,9.95,9.987,9.893,9.987,2979,0
2010-03-17,9.977,10.07,9.977,10.027,10113,0
2010-03-18,10.056,10.056,9.929,9.963,11726,0
2010-03-19,9.956,10.015,9.95,9.95,8654,0
2010-03-22,10.008,10.008,9.923,10.008,8043,0
2010-03-23,9.95,10.027,9.95,9.994,11650,0
2010-03-24,10.042,10.042,9.983,10.035,18615,0
2010-03-25,10,10.07,9.971,10.035,7821,0
2010-03-26,10.027,10.07,10.015,10.015,10697,0
2010-03-29,10.027,10.133,10.027,10.125,11357,0
2010-03-30,10.111,10.111,9.95,9.95,21596,0
2010-03-31,9.95,9.987,9.923,9.987,5026,0
2010-04-01,9.994,10.077,9.963,9.963,9991,0
2010-04-05,9.963,9.977,9.929,9.963,1412,0
2010-04-06,9.987,9.987,9.929,9.937,15656,0
2010-04-07,9.983,10.05,9.943,9.95,20184,0
2010-04-08,9.95,9.983,9.916,9.983,9975,0
2010-04-09,9.9,9.937,9.851,9.929,18710,0
2010-04-12,9.937,9.983,9.9,9.923,16080,0
2010-04-13,9.971,9.983,9.916,9.963,4081,0
2010-04-14,9.994,9.994,9.929,9.963,7825,0
2010-04-15,10.008,10.027,9.956,10.008,10631,0
2010-04-16,9.983,10.008,9.937,9.937,4195,0
2010-04-19,9.971,9.983,9.923,9.929,9501,0
2010-04-20,9.893,9.987,9.893,9.893,15829,0
2010-04-21,9.916,9.956,9.851,9.908,13638,0
2010-04-22,9.916,9.95,9.805,9.84,15019,0
2010-04-23,9.827,9.872,9.827,9.865,16094,0
2010-04-26,9.872,9.956,9.872,9.956,6646,0
2010-04-27,9.963,9.963,9.929,9.963,5071,0
2010-04-28,9.963,9.994,9.866,9.95,10445,0
2010-04-29,9.937,9.963,9.937,9.956,7035,0
2010-04-30,9.977,9.983,9.9,9.977,7561,0
2010-05-03,9.971,10.056,9.971,10,9040,0
2010-05-04,10.021,10.021,9.971,10.015,6479,0
2010-05-05,9.956,10.056,9.956,10.021,22754,0
2010-05-06,10.015,10.021,9.776,9.9,20012,0
2010-05-07,9.893,10.008,9.821,9.956,4706,0
2010-05-10,10,10,9.858,9.95,19111,0
2010-05-11,9.971,10.063,9.956,10.063,11580,0
2010-05-12,10.119,10.119,9.937,9.994,4538,0
2010-05-13,9.963,10.07,9.963,10.05,6576,0
2010-05-14,10,10.015,10,10.015,4173,0
2010-05-17,10.015,10.015,9.916,9.956,7478,0
2010-05-18,9.983,10.015,9.983,9.994,4250,0
2010-05-19,10.027,10.027,9.929,9.971,3091,0
2010-05-20,9.977,9.977,9.893,9.937,5687,0
2010-05-21,9.983,9.983,9.845,9.963,9034,0
2010-05-24,9.963,10.015,9.872,9.937,16354,0
2010-05-25,9.9,9.908,9.845,9.9,11726,0
2010-05-26,9.983,10.021,9.845,9.956,7468,0
2010-05-27,9.908,9.987,9.908,9.937,8139,0
2010-05-28,9.963,9.987,9.937,9.95,3712,0
2010-06-01,10.015,10.042,9.987,10.015,7842,0
2010-06-02,10.042,10.063,10.021,10.063,14681,0
2010-06-03,10.015,10.07,10,10.07,9816,0
2010-06-04,10.07,10.184,10.056,10.184,31632,0
2010-06-07,10.184,10.201,10.125,10.125,12822,0
2010-06-08,10.133,10.184,10.133,10.17,8890,0
2010-06-09,10.184,10.187,10.096,10.096,8998,0
2010-06-10,10.184,10.288,10.184,10.288,13383,0
2010-06-11,10.258,10.258,10.187,10.187,1462,0
2010-06-14,10.38,10.38,10.102,10.119,27736,0
2010-06-15,10.102,10.133,10.102,10.133,4668,0
2010-06-16,10.141,10.208,10.141,10.184,4335,0
2010-06-17,10.208,10.228,10.149,10.201,5718,0
2010-06-18,10.228,10.228,10.177,10.177,4102,0
2010-06-21,10.208,10.208,10.149,10.149,7649,0
2010-06-22,10.133,10.194,10.027,10.035,21467,0
2010-06-23,10.027,10.17,10.021,10.083,9303,0
2010-06-24,10.021,10.119,10.021,10.119,4909,0
2010-06-25,10.133,10.133,10.035,10.063,3804,0
2010-06-28,10.063,10.133,10.05,10.133,2267,0
2010-06-29,10.162,10.162,10.102,10.102,1462,0
2010-06-30,10.136,10.136,10.098,10.098,8948,0
2010-07-01,10.063,10.063,9.987,10.021,18612,0
2010-07-02,10.063,10.063,9.977,10.027,6270,0
2010-07-06,10.015,10.133,10.015,10.125,28813,0
2010-07-07,10.096,10.102,10.027,10.102,15868,0
2010-07-08,10.141,10.187,10.141,10.187,9008,0
2010-07-09,10.201,10.214,10.077,10.149,10264,0
2010-07-12,10.194,10.273,10.157,10.208,18661,0
2010-07-13,10.432,10.432,10.177,10.201,12691,0
2010-07-14,10.33,10.33,10.232,10.244,7924,0
2010-07-15,10.33,10.33,10.141,10.232,10461,0
2010-07-16,10.317,10.33,10.252,10.252,9458,0
2010-07-19,10.214,10.301,10.214,10.296,3957,0
2010-07-20,10.252,10.301,10.228,10.228,6962,0
2010-07-21,10.228,10.296,10.177,10.232,23143,0
2010-07-22,10.296,10.317,10.244,10.288,8196,0
2010-07-23,10.288,10.317,10.288,10.317,1574,0
2010-07-26,10.288,10.288,10.252,10.266,5264,0
2010-07-27,10.273,10.337,10.232,10.258,6618,0
2010-07-28,10.258,10.365,10.258,10.337,16035,0
2010-07-29,10.337,10.387,10.258,10.266,9115,0
2010-07-30,10.266,10.373,10.244,10.288,5274,0
2010-08-02,10.394,10.394,10.288,10.317,10541,0
2010-08-03,10.317,10.373,10.236,10.288,23257,0
2010-08-04,10.288,10.394,10.288,10.317,22058,0
2010-08-05,10.337,10.343,10.266,10.288,12699,0
2010-08-06,10.288,10.437,10.281,10.373,12872,0
2010-08-09,10.373,10.373,10.301,10.31,15845,0
2010-08-10,10.31,10.437,10.31,10.425,11506,0
2010-08-11,10.425,10.437,10.387,10.437,6117,0
2010-08-12,10.407,10.452,10.358,10.452,13783,0
2010-08-13,10.444,10.492,10.444,10.492,3978,0
2010-08-16,10.597,10.597,10.452,10.527,16101,0
2010-08-17,10.549,10.556,10.492,10.541,9382,0
2010-08-18,10.541,10.556,10.38,10.432,25313,0
2010-08-19,10.437,10.452,10.38,10.437,7240,0
2010-08-20,10.425,10.452,10.38,10.437,5006,0
2010-08-23,10.499,10.568,10.499,10.506,13161,0
2010-08-24,10.541,10.568,10.506,10.506,12710,0
2010-08-25,10.608,10.608,10.407,10.499,18499,0
2010-08-26,10.499,10.562,10.432,10.562,15803,0
2010-08-27,10.616,10.672,10.513,10.556,10411,0
2010-08-30,10.52,10.59,10.52,10.534,4010,0
2010-08-31,10.575,10.617,10.484,10.562,17595,0
2010-09-01,10.637,10.643,10.486,10.486,12540,0
2010-09-02,10.506,10.562,10.452,10.562,9350,0
2010-09-03,10.59,10.59,10.479,10.52,5479,0
2010-09-07,10.52,10.534,10.479,10.506,8108,0
2010-09-08,10.541,10.556,10.499,10.506,14238,0
2010-09-09,10.513,10.556,10.506,10.556,12831,0
2010-09-10,10.527,10.534,10.479,10.527,15503,0
2010-09-13,10.486,10.534,10.373,10.425,31736,0
2010-09-14,10.425,10.486,10.317,10.322,37074,0
2010-09-15,10.322,10.394,10.322,10.373,17923,0
2010-09-16,10.337,10.437,10.31,10.437,11952,0
2010-09-17,10.444,10.479,10.437,10.474,2796,0
2010-09-20,10.479,10.513,10.474,10.513,8949,0
2010-09-21,10.541,10.541,10.373,10.373,19601,0
2010-09-22,10.373,10.425,10.373,10.373,7889,0
2010-09-23,10.373,10.527,10.373,10.467,10866,0
2010-09-24,10.437,10.479,10.437,10.479,3898,0
2010-09-27,10.474,10.513,10.394,10.437,22870,0
2010-09-28,10.444,10.506,10.425,10.499,10769,0
2010-09-29,10.499,10.549,10.499,10.549,7174,0
2010-09-30,10.527,10.591,10.527,10.556,11270,0
2010-10-01,10.575,10.575,10.415,10.492,5422,0
2010-10-04,10.562,10.562,10.467,10.492,3331,0
2010-10-05,10.499,10.534,10.467,10.534,3887,0
2010-10-06,10.534,10.562,10.479,10.52,7335,0
2010-10-07,10.459,10.59,10.432,10.444,24132,0
2010-10-08,10.492,10.492,10.459,10.474,1770,0
2010-10-11,10.534,10.534,10.486,10.52,3670,0
2010-10-12,10.534,10.534,10.499,10.534,2744,0
2010-10-13,10.506,10.556,10.506,10.556,6018,0
2010-10-14,10.556,10.568,10.513,10.541,8035,0
2010-10-15,10.499,10.541,10.499,10.541,1811,0
2010-10-18,10.499,10.541,10.387,10.437,6999,0
2010-10-19,10.452,10.534,10.452,10.534,3330,0
2010-10-20,10.486,10.499,10.387,10.499,16771,0
2010-10-21,10.499,10.513,10.479,10.479,7943,0
2010-10-22,10.479,10.513,10.479,10.492,4951,0
2010-10-25,10.549,10.549,10.459,10.467,5662,0
2010-10-26,10.534,10.534,10.492,10.492,4166,0
2010-10-27,10.513,10.534,10.407,10.407,13759,0
2010-10-28,10.415,10.425,10.401,10.401,1704,0
2010-10-29,10.433,10.433,10.385,10.385,4131,0
2010-11-01,10.474,10.474,10.432,10.432,7494,0
2010-11-02,10.437,10.452,10.432,10.452,4885,0
2010-11-03,10.444,10.459,10.394,10.459,5998,0
2010-11-04,10.459,10.479,10.387,10.444,8880,0
2010-11-05,10.452,10.467,10.444,10.467,3755,0
2010-11-08,10.467,10.467,10.38,10.38,8670,0
2010-11-09,10.38,10.42,10.351,10.415,15849,0
2010-11-10,10.351,10.351,10.184,10.222,10700,0
2010-11-11,10.222,10.222,9.983,9.983,19688,0
2010-11-12,9.893,9.987,9.821,9.929,18466,0
2010-11-15,9.963,9.963,9.55,9.55,74371,0
2010-11-16,9.571,9.688,9.2931,9.688,58309,0
2010-11-17,9.55,9.79,9.55,9.717,22720,0
2010-11-18,9.754,9.754,9.578,9.602,25284,0
2010-11-19,9.644,9.858,9.644,9.834,24479,0
2010-11-22,9.84,9.943,9.84,9.858,16417,0
2010-11-23,9.858,9.916,9.858,9.916,2743,0
2010-11-24,9.916,9.937,9.916,9.937,4448,0
2010-11-26,9.963,10.015,9.908,9.908,6335,0
2010-11-29,9.923,9.956,9.923,9.95,2075,0
2010-11-30,9.952,10.018,9.952,10.018,6369,0
2010-12-01,10.111,10.133,9.994,9.994,7805,0
2010-12-02,9.95,9.977,9.876,9.908,5142,0
2010-12-03,9.937,9.937,9.858,9.858,4413,0
2010-12-06,9.866,9.872,9.858,9.872,4132,0
2010-12-07,9.866,9.872,9.628,9.688,30633,0
2010-12-08,9.688,9.688,9.4664,9.621,17706,0
2010-12-09,9.509,9.701,9.4734,9.565,38310,0
2010-12-10,9.536,9.536,9.4528,9.4734,12815,0
2010-12-13,9.4092,9.4092,9.3447,9.3447,16223,0
2010-12-14,9.3515,9.3745,9.2833,9.3319,14602,0
2010-12-15,9.2589,9.587,9.2115,9.587,27292,0
2010-12-16,9.588,9.974,9.565,9.777,19332,0
2010-12-17,9.971,9.987,9.872,9.872,11272,0
2010-12-20,9.872,9.872,9.621,9.621,5574,0
2010-12-21,9.621,9.798,9.565,9.565,17481,0
2010-12-22,9.701,9.701,9.55,9.55,5991,0
2010-12-23,9.55,9.602,9.55,9.55,2510,0
2010-12-27,9.55,9.682,9.55,9.621,3478,0
2010-12-28,9.621,9.621,9.565,9.565,11365,0
2010-12-29,9.574,9.582,9.4963,9.574,8820,0
2010-12-30,9.4963,9.574,9.438,9.553,18637,0
2010-12-31,9.551,9.634,9.551,9.612,14496,0
2011-01-03,9.621,9.652,9.4598,9.4914,20719,0
2011-01-04,9.536,9.565,9.514,9.565,4536,0
2011-01-05,9.571,9.571,9.509,9.536,6504,0
2011-01-06,9.536,9.536,9.438,9.438,12710,0
2011-01-07,9.4459,9.514,9.4459,9.514,9277,0
2011-01-10,9.4844,9.4914,9.4161,9.4161,7960,0
2011-01-11,9.4161,9.4459,9.3874,9.3874,5814,0
2011-01-12,9.3261,9.3261,9.1424,9.2115,25308,0
2011-01-13,9.0825,9.1911,9.0825,9.1834,28312,0
2011-01-14,9.075,9.075,8.9375,9.019,16897,0
2011-01-18,9.0122,9.0122,8.8139,8.9852,35434,0
2011-01-19,9.0172,9.0172,8.8048,8.8734,25595,0
2011-01-20,8.877,8.9444,8.863,8.9444,34992,0
2011-01-21,8.9654,9.075,8.9375,9.075,31718,0
2011-01-24,9.0825,9.2115,9.0825,9.2057,38833,0
2011-01-25,9.2057,9.2667,9.2057,9.2183,3998,0
2011-01-26,9.2931,9.3388,9.2337,9.3261,11668,0
2011-01-27,9.3447,9.4022,9.2931,9.3745,8108,0
2011-01-28,9.3447,9.4022,9.2931,9.2931,6610,0
2011-01-31,9.3067,9.4002,9.3067,9.4002,2570,0
2011-02-01,9.4844,9.4844,9.3447,9.424,10388,0
2011-02-02,9.4459,9.4664,9.3319,9.3319,11275,0
2011-02-03,9.3447,9.3824,9.2589,9.2833,12890,0
2011-02-04,9.2667,9.2667,9.2115,9.2115,2337,0
