Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,195.79,198.71,193.67,197.86,287798,0
2010-01-05,198.25,198.77,196.36,198.72,239633,0
2010-01-06,197.8,197.93,194.14,194.62,335694,0
2010-01-07,194.61,197.16,194.09,196.76,263150,0
2010-01-08,196.95,198.58,196.35,198.15,270527,0
2010-01-11,199.01,202.21,199.01,201.39,250569,0
2010-01-12,200.08,201.68,197.77,197.77,250844,0
2010-01-13,194.27,199.01,194.27,198.58,245166,0
2010-01-14,198.36,199.29,196.56,197.31,197506,0
2010-01-15,197.27,197.97,195.89,197.48,237440,0
2010-01-19,197.15,199.77,194.28,199.07,226167,0
2010-01-20,198.22,198.56,195.17,197.61,244682,0
2010-01-21,199.08,199.08,190.66,190.96,427593,0
2010-01-22,190.33,195.47,184.63,186.62,340926,0
2010-01-25,186.96,189.35,185.66,187.83,235742,0
2010-01-26,186.25,189.82,185.36,186.39,244845,0
2010-01-27,189.41,191.7,181.25,188.08,675423,0
2010-01-28,188.26,189.48,178.91,182.17,763000,0
2010-01-29,186.45,186.45,176.38,177.32,582450,0
2010-02-01,178.54,181.84,178.34,179.6,514049,0
2010-02-02,176.53,179.46,173.59,179.14,864725,0
2010-02-03,178.98,184.02,178.37,182.99,727138,0
2010-02-04,179.8,180.48,174.58,175.21,651619,0
2010-02-05,174.54,176.24,166.35,173.17,1066866,0
2010-02-08,173.67,174.14,169.69,169.73,429600,0
2010-02-09,171.57,173.64,170.15,173.25,680941,0
2010-02-10,172.62,176.58,172.62,175.11,746745,0
2010-02-11,174.81,175.21,170.95,171.94,526979,0
2010-02-12,170.35,171.83,168.21,171.83,478183,0
2010-02-16,172.76,174.51,171.69,174.51,333992,0
2010-02-17,174.5,177.22,174.13,176.75,449023,0
2010-02-18,177.83,178.53,175.22,177.26,423046,0
2010-02-19,177.7,179.31,177.16,178.74,355383,0
2010-02-22,180.41,181.9,179.17,180.17,452009,0
2010-02-23,180.44,181.82,178.13,178.21,332740,0
2010-02-24,180.19,181.62,179.55,181.09,338170,0
2010-02-25,179.55,181.74,177.97,181.05,432895,0
2010-02-26,180.39,182.33,180.39,181.47,364704,0
2010-03-01,180.73,182.3,179.45,180.81,469855,0
2010-03-02,182.37,182.72,179.49,179.49,685023,0
2010-03-03,180.93,181.83,177.97,179.21,603868,0
2010-03-04,180.73,180.73,176.05,179,362416,0
2010-03-05,179.99,182.36,178.7,182.32,671723,0
