Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,9.853,9.938,9.811,9.889,225648,0
2010-01-05,9.952,9.952,9.691,9.754,152606,0
2010-01-06,9.811,9.853,9.719,9.754,109292,0
2010-01-07,9.769,9.903,9.714,9.875,68599,0
2010-01-08,9.86,9.945,9.811,9.86,360689,0
2010-01-11,9.889,9.938,9.754,9.797,89973,0
2010-01-12,9.805,9.818,9.587,9.665,102624,0
2010-01-13,9.719,9.84,9.636,9.776,111450,0
2010-01-14,9.748,10.359,9.748,10.267,1287530,0
2010-01-15,10.587,10.587,10.316,10.33,882216,0
2010-01-19,10.492,10.583,10.401,10.469,791191,0
2010-01-20,10.526,10.533,10.406,10.499,884320,0
2010-01-21,10.555,10.555,10.352,10.414,445815,0
2010-01-22,10.478,10.519,10.381,10.414,238241,0
2010-01-25,10.526,10.539,10.31,10.316,226072,0
2010-01-26,10.323,10.443,10.169,10.177,220267,0
2010-01-27,10.156,10.204,10.042,10.134,222244,0
2010-01-28,10.246,10.246,9.889,9.993,184681,0
2010-01-29,10.055,10.127,9.903,9.929,294758,0
2010-02-01,10.009,10.112,9.929,10.022,120110,0
2010-02-02,10.064,10.092,9.889,9.96,169600,0
2010-02-03,9.889,9.974,9.824,9.868,115769,0
2010-02-04,9.889,9.889,9.559,9.572,241391,0
2010-02-05,9.572,9.643,9.3959,9.581,160978,0
2010-02-08,9.594,9.594,9.3691,9.3691,95359,0
2010-02-09,9.4659,9.636,9.3487,9.4807,132258,0
2010-02-10,9.511,9.581,9.3691,9.552,76512,0
2010-02-11,9.531,9.748,9.4255,9.714,166871,0
2010-02-12,9.621,9.7,9.581,9.614,73477,0
2010-02-16,9.665,9.691,9.511,9.683,111493,0
2010-02-17,9.706,9.979,9.671,9.96,317927,0
2010-02-18,9.921,10.204,9.889,10.204,161477,0
2010-02-19,10.197,10.22,9.979,10.134,174660,0
2010-02-22,10.148,10.169,9.979,10.148,166497,0
2010-02-23,10.148,10.156,9.805,9.818,104426,0
2010-02-24,9.831,9.979,9.754,9.911,136624,0
2010-02-25,9.811,9.993,9.719,9.979,165488,0
2010-02-26,9.984,10.085,9.853,9.911,134968,0
2010-03-01,9.952,10.134,9.916,10.009,171199,0
2010-03-02,10,10.127,9.894,10.064,175869,0
2010-03-03,10.036,10.105,9.894,9.903,167061,0
2010-03-04,9.889,10.127,9.86,10.127,171277,0
2010-03-05,10.162,10.386,10.105,10.386,119689,0
2010-03-08,10.392,10.443,10.03,10.274,278534,0
2010-03-09,10.267,10.267,10.048,10.169,340298,0
2010-03-10,10.197,10.386,10.036,10.182,374619,0
2010-03-11,10.105,10.372,10.077,10.372,135285,0
2010-03-12,10.381,10.429,10.26,10.365,131129,0
2010-03-15,10.343,10.443,10.22,10.381,98923,0
2010-03-16,10.386,10.443,10.212,10.381,120533,0
2010-03-17,10.343,10.443,10.316,10.323,99370,0
2010-03-18,10.282,10.365,10.239,10.282,76265,0
2010-03-19,10.282,10.626,10.036,10.506,554482,0
2010-03-22,10.414,10.436,10.26,10.386,166791,0
2010-03-23,10.414,10.555,10.282,10.539,204124,0
2010-03-24,10.499,10.555,10.294,10.31,122126,0
2010-03-25,10.365,10.485,10.239,10.26,141810,0
2010-03-26,10.282,10.449,10.169,10.188,146679,0
2010-03-29,10.246,10.246,9.929,10.048,230979,0
2010-03-30,10.042,10.288,10.042,10.274,146311,0
2010-03-31,10.267,10.336,10.055,10.072,238803,0
2010-04-01,10.105,10.381,10.105,10.26,138088,0
2010-04-05,10.288,10.457,10.182,10.436,103532,0
2010-04-06,10.401,10.563,10.316,10.563,194229,0
2010-04-07,10.519,10.934,10.443,10.835,338804,0
2010-04-08,10.729,10.983,10.583,10.905,168887,0
2010-04-09,10.892,10.905,10.715,10.779,222207,0
2010-04-12,10.814,10.961,10.773,10.954,184032,0
2010-04-13,10.961,11.144,10.94,11.13,132269,0
2010-04-14,11.157,11.341,11.157,11.299,166928,0
2010-04-15,11.318,11.332,11.199,11.207,194704,0
2010-04-16,11.207,11.332,11.185,11.236,356039,0
2010-04-19,11.214,11.368,11.164,11.324,283421,0
2010-04-20,11.332,11.559,11.109,11.432,248714,0
2010-04-21,11.404,11.42,10.835,10.968,324380,0
2010-04-22,10.868,10.868,10.563,10.68,272156,0
2010-04-23,10.779,11.004,10.671,10.985,245212,0
2010-04-26,10.991,11.094,10.548,10.587,261743,0
2010-04-27,10.576,10.697,10.274,10.294,231605,0
2010-04-28,10.336,10.414,10.1,10.188,269183,0
2010-04-29,10.239,10.414,10.022,10.177,360152,0
2010-04-30,10.162,10.343,9.929,9.929,318934,0
2010-05-03,9.965,10.077,9.889,9.993,295982,0
2010-05-04,9.894,9.979,9.677,9.797,358546,0
2010-05-05,9.797,9.824,9.572,9.691,269129,0
2010-05-06,9.665,9.889,9.3623,9.621,534786,0
2010-05-07,9.531,9.727,9.299,9.3959,465685,0
2010-05-10,9.805,10.048,9.805,10.03,218009,0
2010-05-11,9.824,10.336,9.824,10.009,291093,0
2010-05-12,10.016,10.372,10.009,10.343,197796,0
2010-05-13,10.282,10.336,10.009,10.048,167425,0
2010-05-14,9.965,9.979,9.677,9.86,198629,0
2010-05-17,9.952,10.022,9.691,9.831,239404,0
2010-05-18,9.979,9.979,9.522,9.608,174079,0
2010-05-19,9.587,9.719,9.4324,9.594,165183,0
2010-05-20,9.4324,9.594,9.1579,9.299,543095,0
2010-05-21,9.1944,9.522,9.1302,9.4659,334025,0
2010-05-24,9.4886,9.502,9.1944,9.3068,224073,0
2010-05-25,9.1243,9.614,8.9678,9.4738,553105,0
2010-05-26,9.536,9.572,8.9839,9.0321,646066,0
2010-05-27,9.1877,9.3127,9.0757,9.1646,595769,0
2010-05-28,9.1176,9.2368,9.0122,9.0615,238796,0
2010-06-01,8.9621,9.0549,8.8093,8.8305,437872,0
2010-06-02,8.9352,8.9762,8.6967,8.9212,299019,0
2010-06-03,8.9052,9.0615,8.8148,9.0473,165522,0
2010-06-04,8.8305,8.8857,8.6967,8.7312,316071,0
2010-06-07,8.7441,8.7752,8.4086,8.4297,228516,0
2010-06-08,8.4436,8.8222,8.3248,8.7312,247048,0
2010-06-09,8.8433,9.1464,8.7441,8.9762,407540,0
2010-06-10,9.0955,9.2368,9.0473,9.2078,219447,0
2010-06-11,9.1176,9.3772,9.0189,9.3487,147110,0
2010-06-14,9.4048,9.4738,9.0615,9.1091,160082,0
2010-06-15,9.2279,9.2279,8.9352,9.1302,261252,0
2010-06-16,9.0833,9.4255,9.0549,9.2922,123043,0
2010-06-17,9.3623,9.3623,9.0681,9.1091,114579,0
2010-06-18,9.1646,9.2021,9.0321,9.0549,306401,0
2010-06-21,9.1464,9.2078,9.0321,9.0473,153356,0
2010-06-22,9.0833,9.3204,9.0189,9.0255,203283,0
2010-06-23,9.0473,9.1723,8.9678,9.0122,102017,0
2010-06-24,8.9678,9.0321,8.8148,8.8498,132287,0
2010-06-25,8.8857,9.3563,8.7589,9.2222,411434,0
2010-06-28,9.2854,9.2854,9.1091,9.1176,112200,0
2010-06-29,8.9426,9.0321,8.7441,8.8148,268694,0
2010-06-30,8.835,9.0965,8.7421,8.7633,254459,0
2010-07-01,8.767,8.9839,8.7524,8.9352,238921,0
2010-07-02,9.0122,9.0122,8.7312,8.8222,147253,0
2010-07-06,8.9426,9.0473,8.4016,8.4367,364128,0
2010-07-07,8.4924,8.7441,8.3111,8.7395,173715,0
2010-07-08,8.7863,8.9352,8.6613,8.9212,153720,0
2010-07-09,8.9352,9.0255,8.6967,8.7395,325010,0
2010-07-12,8.723,8.8148,8.6405,8.7524,118285,0
2010-07-13,8.8932,9.0387,8.7441,9.0255,197070,0
2010-07-14,9.0038,9.0122,8.8727,8.9762,255416,0
2010-07-15,8.9762,9.0122,8.7589,8.8857,104378,0
2010-07-16,8.8379,8.8379,8.5412,8.5768,207904,0
2010-07-19,8.5982,9.0473,8.4845,8.5768,354298,0
2010-07-20,8.5279,8.767,8.4845,8.767,250484,0
2010-07-21,8.767,8.9267,8.585,8.6967,215464,0
2010-07-22,8.6967,8.9762,8.6468,8.9556,252975,0
2010-07-23,8.8932,8.9052,8.6749,8.801,294530,0
2010-07-26,8.8148,8.8857,8.6332,8.7937,331997,0
2010-07-27,8.8379,8.9924,8.8379,8.9678,301496,0
