Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.506,12.888,12.506,12.829,57224,0
2010-01-05,12.772,13.289,12.737,12.861,35402,0
2010-01-06,12.814,12.987,12.445,12.539,30696,0
2010-01-07,12.561,12.772,12.396,12.462,24756,0
2010-01-08,12.437,13.162,12.161,13.046,61606,0
2010-01-11,13.113,13.148,12.779,12.939,12500,0
2010-01-12,12.904,13.129,12.656,12.836,37983,0
2010-01-13,12.896,13.01,12.585,12.68,23475,0
2010-01-14,12.845,12.904,12.354,12.411,69577,0
2010-01-15,12.48,12.788,12.428,12.497,30839,0
2010-01-19,12.53,12.904,12.53,12.746,27452,0
2010-01-20,12.656,13.139,12.539,12.948,16601,0
2010-01-21,12.996,12.996,12.547,12.579,35372,0
2010-01-22,12.604,12.996,12.515,12.688,13695,0
2010-01-25,12.763,12.913,12.595,12.629,13244,0
2010-01-26,12.621,12.913,12.604,12.72,7834,0
2010-01-27,12.688,12.829,12.672,12.779,15176,0
2010-01-28,12.879,13.12,12.561,13.12,27785,0
2010-01-29,13.12,13.531,12.888,13.339,26183,0
2010-02-01,13.439,13.54,13.339,13.522,19885,0
2010-02-02,13.522,13.697,13.211,13.211,24616,0
2010-02-03,13.196,13.439,12.987,13.211,20088,0
2010-02-04,13.153,13.271,12.996,13.08,27583,0
2010-02-05,13.071,13.321,13.071,13.321,19309,0
2010-02-08,13.271,13.271,12.829,12.854,16925,0
2010-02-09,12.962,13.153,12.706,12.87,18540,0
2010-02-10,12.829,13.263,12.746,13.105,14420,0
2010-02-11,13.129,13.379,12.931,13.228,20637,0
2010-02-12,13.139,13.203,12.879,12.962,12523,0
2010-02-16,13.01,13.43,13.01,13.271,19639,0
2010-02-17,13.247,13.54,13.105,13.453,21279,0
2010-02-18,13.196,13.54,13.196,13.54,8015,0
2010-02-19,13.54,13.738,13.379,13.572,13797,0
2010-02-22,13.572,14.321,13.572,14.146,34711,0
2010-02-23,14.13,14.37,14.035,14.187,21294,0
2010-02-24,14.271,14.547,14.053,14.538,24744,0
2010-02-25,14.353,14.513,14.202,14.404,15619,0
2010-02-26,14.37,14.576,14.295,14.479,20600,0
2010-03-01,14.538,14.786,13.887,13.948,94194,0
2010-03-02,14.003,14.288,13.769,14.288,26945,0
2010-03-03,14.388,14.68,14.114,14.664,23971,0
2010-03-04,14.712,15.12,14.513,15.12,24772,0
2010-03-05,15.071,15.428,14.955,15.428,19926,0
2010-03-08,15.22,15.536,15.001,15.513,21932,0
2010-03-09,15.412,15.646,15.271,15.646,38559,0
2010-03-10,15.603,15.828,15.262,15.463,17669,0
2010-03-11,15.353,15.686,14.771,15.28,26572,0
2010-03-12,15.204,15.37,14.994,15.262,19921,0
2010-03-15,15.303,15.303,14.914,15.229,14491,0
2010-03-16,15.236,15.361,15.056,15.361,9888,0
2010-03-17,15.339,15.339,15.12,15.154,20756,0
2010-03-18,15.412,15.453,14.853,14.914,25202,0
2010-03-19,14.994,15.229,14.829,15.22,38417,0
2010-03-22,15.063,15.353,14.869,15.246,27090,0
2010-03-23,15.001,15.22,14.869,15.16,14249,0
2010-03-24,15.146,15.16,14.994,15.104,14889,0
2010-03-25,15.154,15.33,15.001,15.271,14317,0
2010-03-26,15.271,15.271,15.079,15.246,14251,0
2010-03-29,15.212,15.294,15.056,15.28,10142,0
2010-03-30,15.286,15.312,15.079,15.262,15676,0
2010-03-31,15.137,15.346,14.879,15.12,26212,0
2010-04-01,15.146,15.253,15.01,15.087,12896,0
2010-04-05,14.986,15.48,14.645,15.48,34617,0
2010-04-06,15.378,15.622,15.361,15.612,15370,0
2010-04-07,15.536,15.777,15.428,15.754,27914,0
2010-04-08,15.794,15.819,15.522,15.746,19194,0
2010-04-09,15.695,15.787,15.472,15.522,6915,0
2010-04-12,15.487,15.704,15.37,15.536,8380,0
2010-04-13,15.754,15.754,15.16,15.262,11344,0
2010-04-14,15.361,15.761,15.079,15.48,18821,0
2010-04-15,15.421,15.536,15.22,15.536,9772,0
2010-04-16,15.545,15.56,15.186,15.253,17386,0
2010-04-19,15.229,15.513,15.22,15.463,8698,0
2010-04-20,15.312,15.72,15.312,15.638,9541,0
2010-04-21,15.577,15.819,15.56,15.794,20688,0
2010-04-22,15.654,15.953,15.545,15.953,19531,0
2010-04-23,15.828,15.977,15.686,15.92,17880,0
2010-04-26,15.777,16.029,15.704,15.896,15931,0
2010-04-27,15.837,15.896,15.487,15.585,14683,0
2010-04-28,15.712,15.828,15.513,15.594,10075,0
2010-04-29,15.679,15.846,15.463,15.828,13914,0
2010-04-30,15.777,15.96,15.079,15.303,24979,0
2010-05-03,15.794,15.96,15.686,15.96,20171,0
2010-05-04,15.819,15.819,15.294,15.585,15864,0
2010-05-05,15.444,15.444,14.921,14.986,14394,0
2010-05-06,14.897,14.994,14.211,14.428,13869,0
2010-05-07,14.576,15.047,14.344,14.786,22463,0
