Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,34.138,34.84,34.138,34.82,201541,0
2010-01-05,34.979,35.655,34.572,35.655,250686,0
2010-01-06,35.581,35.937,35.174,35.21,212333,0
2010-01-07,35.134,35.472,34.79,35.158,197343,0
2010-01-08,35.13,35.442,35.04,35.372,136480,0
2010-01-11,35.411,35.629,35.31,35.508,155794,0
2010-01-12,35.566,35.629,35.097,35.183,136104,0
2010-01-13,35.453,35.453,34.447,34.603,306417,0
2010-01-14,34.988,35.322,34.634,35.247,101818,0
2010-01-15,35.508,35.573,34.979,35.29,152492,0
2010-01-19,35.29,36.073,35.29,36.055,168470,0
2010-01-20,35.955,36.526,35.847,36.475,145897,0
2010-01-21,36.28,36.475,35.78,36.356,187804,0
2010-01-22,36.45,36.45,35.541,35.769,228404,0
2010-01-25,36.293,36.293,35.686,35.903,129693,0
2010-01-26,36.017,36.45,35.911,36.061,131357,0
2010-01-27,36.269,36.269,34.503,34.759,265035,0
2010-01-28,34.771,35.998,34.771,35.003,141091,0
2010-01-29,35.416,35.761,34.447,34.759,148739,0
2010-02-01,34.708,35.091,34.497,34.946,167640,0
2010-02-02,35.353,35.353,34.628,35.234,218452,0
2010-02-03,35.04,35.429,34.809,35.247,170218,0
2010-02-04,35.416,35.416,34.747,34.759,262434,0
2010-02-05,34.759,35.046,32.367,33.533,949576,0
2010-02-08,33.405,34.864,33.405,34.615,284826,0
2010-02-09,34.764,35.385,34.764,35.229,258787,0
2010-02-10,35.385,36.011,35.239,35.449,370945,0
2010-02-11,34.809,34.909,34.313,34.677,157183,0
2010-02-12,34.359,34.904,34.333,34.904,132664,0
2010-02-16,34.979,35.266,34.703,35.115,455530,0
2010-02-17,35.479,35.769,35.183,35.679,196759,0
2010-02-18,35.724,35.924,35.566,35.629,165278,0
2010-02-19,35.724,35.724,35.391,35.411,139933,0
2010-02-22,35.98,35.998,35.591,35.897,218066,0
2010-02-23,35.606,35.911,35.486,35.824,146107,0
2010-02-24,35.918,36.199,35.698,35.886,109947,0
2010-02-25,35.841,36.017,35.523,36.017,130335,0
2010-02-26,36.043,36.844,36.035,36.818,248025,0
2010-03-01,37.333,37.533,36.794,37.402,191407,0
2010-03-02,37.458,37.576,37.189,37.576,167405,0
2010-03-03,37.985,37.985,36.689,36.757,194209,0
2010-03-04,36.689,36.951,36.336,36.787,179507,0
2010-03-05,36.875,37.276,36.618,36.943,120950,0
