Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,40.976,41.471,40.601,41.471,318079,0
2010-01-05,41.407,41.869,41.342,41.869,208800,0
2010-01-06,41.952,42.455,41.758,42.14,191938,0
2010-01-07,42.196,42.409,41.761,42.298,233857,0
2010-01-08,42.298,43.066,42.114,42.812,210127,0
2010-01-11,43.534,43.91,42.937,43.169,269543,0
2010-01-12,43.169,43.526,42.932,43.177,333994,0
2010-01-13,41.407,41.767,40.86,41.739,445703,0
2010-01-14,41.958,42.277,41.761,42.274,179121,0
2010-01-15,41.995,42.274,41.713,41.894,146499,0
2010-01-19,41.914,42.201,41.471,42.117,287444,0
2010-01-20,42.201,43.031,41.594,41.879,282072,0
2010-01-21,42.055,42.568,41.471,41.601,369210,0
2010-01-22,41.45,41.484,40.29,40.383,309513,0
2010-01-25,40.383,41.299,40.285,41.197,209415,0
2010-01-26,41.178,41.787,40.86,40.987,207940,0
2010-01-27,41.611,41.611,39.767,40.176,331301,0
2010-01-28,40.68,40.713,39.82,39.963,150566,0
2010-01-29,40.737,40.737,39.73,39.767,202034,0
2010-02-01,40.322,40.875,39.986,40.856,179130,0
2010-02-02,40.982,42.372,40.86,42.372,316282,0
2010-02-03,42.446,42.665,41.816,42.105,181195,0
2010-02-04,41.499,41.904,40.612,40.759,399502,0
2010-02-05,40.65,41.178,39.249,40.157,449560,0
2010-02-08,40.742,40.784,40.157,40.351,217094,0
2010-02-09,40.556,40.713,40.304,40.409,364531,0
2010-02-10,40.493,40.942,40.219,40.856,120433,0
2010-02-11,41.401,42.114,41.081,41.93,209187,0
2010-02-12,42.259,42.644,41.279,42.644,216832,0
2010-02-16,42.691,43.055,42.488,42.761,294849,0
2010-02-17,42.932,43.055,42.738,42.748,177037,0
2010-02-18,42.951,43.365,42.748,43.231,159756,0
2010-02-19,43.369,43.416,42.932,43.34,145326,0
2010-02-22,43.66,43.66,43.109,43.388,167567,0
2010-02-23,43.309,43.372,42.825,43.159,246185,0
2010-02-24,43.226,43.582,43.094,43.187,205739,0
2010-02-25,43.562,43.596,42.841,43.529,233410,0
2010-02-26,43.612,43.91,43.519,43.607,151224,0
2010-03-01,44.128,44.128,43.602,44.002,257533,0
2010-03-02,44.626,45.164,44.124,44.885,281008,0
2010-03-03,45.13,45.759,45.008,45.123,201849,0
2010-03-04,45.616,45.616,44.456,44.602,158009,0
2010-03-05,44.657,45.785,44.657,45.681,499537,0
2010-03-08,45.904,46.08,45.378,46.003,207638,0
2010-03-09,45.86,45.987,45.621,45.797,206588,0
2010-03-10,45.797,46.586,45.753,46.207,247506,0
2010-03-11,46.041,46.495,46.041,46.495,230432,0
2010-03-12,46.643,47.529,46.558,47.08,311926,0
2010-03-15,47.163,48.177,46.586,46.974,264336,0
2010-03-16,47.323,47.446,47.068,47.402,192061,0
2010-03-17,47.812,47.96,47.471,47.754,189722,0
2010-03-18,47.812,47.936,46.714,46.73,308660,0
2010-03-19,47.135,47.135,41.496,41.496,2457195,0
2010-03-22,42.344,44.862,42.14,44.715,1104237,0
2010-03-23,45.91,46.5,44.827,46.3,542346,0
2010-03-24,46.586,46.586,45.372,45.577,382948,0
2010-03-25,45.681,46.47,45.681,45.753,523452,0
2010-03-26,45.876,47.25,45.257,45.525,504860,0
2010-03-29,47.809,47.809,46.368,47.613,833941,0
2010-03-30,47.588,47.968,47.33,47.568,297205,0
2010-03-31,47.96,48.199,47.714,48.174,491341,0
2010-04-01,48.326,48.789,48.06,48.769,532167,0
2010-04-05,49.276,51.228,49.081,50.739,736878,0
2010-04-06,50.739,51.272,49.642,51.265,672606,0
2010-04-07,50.713,51.149,49.359,49.715,672978,0
2010-04-08,49.281,50.34,47.812,50.067,810903,0
2010-04-09,50.252,51.224,50.252,51.224,675086,0
2010-04-12,51.663,51.663,50.984,51.212,706322,0
2010-04-13,49.482,50.007,48.725,49.857,477409,0
2010-04-14,49.99,50.466,49.489,49.843,399930,0
2010-04-15,49.843,50.004,49.423,49.432,191189,0
2010-04-16,48.809,49.172,48.262,48.773,580915,0
2010-04-19,47.836,48.91,47.812,48.613,535452,0
2010-04-20,49.106,50.081,48.795,49.729,335824,0
2010-04-21,50.213,50.213,49.303,49.928,286347,0
2010-04-22,49.745,49.765,49.14,49.587,216229,0
2010-04-23,49.653,50.212,49.163,50.194,261492,0
2010-04-26,49.469,50.06,49.469,49.636,202882,0
2010-04-27,49.276,49.529,48.626,48.69,323517,0
2010-04-28,48.841,49.335,48.656,49.223,160201,0
2010-04-29,49.715,49.715,48.302,48.436,319570,0
2010-04-30,48.231,48.499,45.86,48.105,955375,0
2010-05-03,46.538,47.323,44.757,46.944,1994614,0
2010-05-04,45.91,47.218,45.399,46.964,581876,0
2010-05-05,46.07,46.789,45.568,45.822,519085,0
2010-05-06,45.812,46.934,41.474,45.562,1117526,0
2010-05-07,46.349,46.349,44.152,45.573,537647,0
2010-05-10,48.105,48.105,46.422,47.705,491827,0
2010-05-11,47.652,48.302,47.271,47.954,355755,0
2010-05-12,48.784,49.199,48.181,48.97,306733,0
2010-05-13,49.355,49.355,48.35,48.671,185384,0
2010-05-14,48.461,48.461,46.894,47.584,462492,0
2010-05-17,47.086,47.568,45.642,46.47,470652,0
2010-05-18,46.632,47.812,46.373,46.521,352741,0
2010-05-19,46.349,46.436,44.445,45.52,590988,0
2010-05-20,44.451,45.106,43.047,43.593,910093,0
2010-05-21,43.08,44.373,42.201,44.119,769207,0
2010-05-24,44.119,44.397,43.202,43.988,329002,0
2010-05-25,42.925,43.714,42.558,43.66,372886,0
2010-05-26,44.319,44.93,44.038,44.128,253710,0
2010-05-27,45.422,46.104,45.069,45.592,279015,0
2010-05-28,45.386,45.812,45.13,45.173,289035,0
2010-06-01,44.397,45.372,43.694,43.783,428559,0
2010-06-02,43.808,44.979,43.29,44.847,426390,0
2010-06-03,44.938,46.041,44.841,45.904,362999,0
2010-06-04,45.06,46.555,44.807,44.953,372840,0
2010-06-07,45.176,45.763,44.735,44.885,230762,0
2010-06-08,45.003,45.525,44.642,45.366,184022,0
2010-06-09,45.602,46.183,45.003,45.182,249054,0
2010-06-10,45.959,46.159,45.069,46.092,394714,0
2010-06-11,45.47,46.25,45.47,46.1,181521,0
2010-06-14,46.349,46.821,45.981,46.118,228152,0
2010-06-15,46.591,46.68,45.871,46.275,252217,0
2010-06-16,45.91,46.34,45.666,45.723,355061,0
2010-06-17,45.525,45.655,44.194,44.588,561830,0
2010-06-18,44.681,44.979,44.251,44.612,333111,0
2010-06-21,44.905,45.366,44.695,44.836,288142,0
2010-06-22,44.934,45.159,44.397,44.466,330754,0
2010-06-23,44.397,44.701,44.152,44.387,166572,0
2010-06-24,44.165,44.516,43.68,43.759,323486,0
2010-06-25,43.787,44.451,43.567,44.124,229571,0
2010-06-28,44.038,44.147,43.787,43.923,197955,0
2010-06-29,43.427,43.846,42.932,43.241,366035,0
2010-06-30,43.419,43.987,43.225,43.496,171824,0
2010-07-01,43.666,43.666,42.344,43.352,460610,0
2010-07-02,43.562,43.979,43.377,43.743,177139,0
2010-07-06,44.054,44.827,43.979,44.173,327487,0
2010-07-07,44.152,45.491,44.152,45.491,180953,0
2010-07-08,45.525,46.275,45.495,45.981,299222,0
2010-07-09,46.291,47.054,45.773,46.929,415304,0
2010-07-12,47.08,47.08,46.422,47.05,348539,0
2010-07-13,46.104,46.397,45.217,45.339,345770,0
2010-07-14,45.372,45.372,44.642,44.738,277816,0
2010-07-15,44.571,45.333,43.91,44.577,274464,0
2010-07-16,44.109,45.012,44.089,44.445,373044,0
2010-07-19,44.52,45.036,43.988,44.474,224678,0
2010-07-20,44.445,44.934,44.194,44.505,348305,0
2010-07-21,45.13,45.251,44.479,45.236,269473,0
2010-07-22,45.257,45.86,45.257,45.55,211814,0
2010-07-23,45.807,46.104,45.32,46.096,240489,0
2010-07-26,46.096,46.422,45.86,46.402,238243,0
2010-07-27,46.465,46.591,45.748,45.812,184986,0
2010-07-28,45.626,46.018,45.251,45.577,148989,0
2010-07-29,46.714,46.714,45.217,45.822,178047,0
2010-07-30,45.703,46.773,45.378,46.509,234881,0
2010-08-02,46.789,46.836,46.159,46.275,293074,0
2010-08-03,46.768,46.836,46.192,46.485,179307,0
2010-08-04,46.282,47.054,46.282,46.808,196868,0
2010-08-05,46.544,47.038,46.343,46.608,129343,0
2010-08-06,46.352,46.754,46.183,46.68,134500,0
2010-08-09,46.836,46.984,46.47,46.666,123215,0
2010-08-10,46.096,46.836,46.096,46.689,117495,0
2010-08-11,46.461,46.47,45.176,45.362,246870,0
2010-08-12,45.176,45.85,44.622,45.55,189802,0
2010-08-13,45.621,45.86,45.616,45.646,89869,0
2010-08-16,45.528,45.787,45.261,45.723,127365,0
2010-08-17,45.91,46.096,45.797,45.929,141984,0
2010-08-18,45.959,46.1,45.642,46.056,156114,0
2010-08-19,45.836,45.994,45.386,45.583,125428,0
2010-08-20,45.577,45.721,45.251,45.612,103502,0
2010-08-23,45.734,46.124,45.734,45.978,139271,0
2010-08-24,45.91,45.91,45.431,45.729,122374,0
2010-08-25,45.616,45.616,44.911,45.155,258610,0
2010-08-26,45.159,45.812,45.155,45.476,99146,0
2010-08-27,45.597,46.085,45.305,45.847,150200,0
2010-08-30,45.822,45.94,45.5,45.583,88003,0
2010-08-31,45.327,45.833,45.176,45.564,136296,0
2010-09-01,45.959,46.55,45.753,46.096,140074,0
2010-09-02,46.261,46.358,45.978,46.124,136089,0
2010-09-03,46.349,46.397,46.08,46.368,136385,0
2010-09-07,46.092,46.446,46.092,46.349,133305,0
2010-09-08,46.349,46.685,46.349,46.583,110091,0
2010-09-09,46.591,46.821,46.436,46.456,112400,0
2010-09-10,46.603,47.068,46.603,47.03,115124,0
2010-09-13,47.323,47.486,47.227,47.32,174697,0
2010-09-14,47.471,47.646,47.236,47.402,140653,0
2010-09-15,47.323,47.784,47.12,47.442,177330,0
2010-09-16,47.422,47.797,47.25,47.627,98293,0
2010-09-17,47.641,47.744,47.456,47.633,96251,0
2010-09-20,47.812,48.632,47.437,48.217,196174,0
2010-09-21,48.461,48.54,48.057,48.402,133458,0
2010-09-22,48.593,48.977,48.465,48.558,242855,0
2010-09-23,48.641,49.3,48.47,49.14,211341,0
2010-09-24,49.276,49.604,49.276,49.58,176324,0
2010-09-27,49.765,50.247,49.382,50.004,179489,0
2010-09-28,50.018,50.018,49.153,49.609,236689,0
2010-09-29,49.881,50.004,49.485,49.706,236934,0
2010-09-30,49.814,50.54,49.643,50.422,190710,0
2010-10-01,50.471,51.178,50.466,51.104,184568,0
2010-10-04,51.1,51.1,49.948,50.509,289025,0
2010-10-05,50.543,50.984,50.334,50.792,164165,0
2010-10-06,50.833,51.355,50.833,51.35,331571,0
2010-10-07,51.446,51.471,50.958,51.252,212147,0
2010-10-08,51.404,51.949,51.299,51.727,327964,0
2010-10-11,51.925,52.851,51.807,52.568,343392,0
2010-10-12,52.691,53.461,52.082,53.247,387851,0
2010-10-13,52.134,52.198,51.09,51.242,449204,0
2010-10-14,51.379,51.905,51.129,51.374,199680,0
2010-10-15,51.224,51.714,50.169,50.326,256891,0
2010-10-18,50.299,50.812,50.076,50.509,248382,0
2010-10-19,50.462,50.462,48.867,49.037,396195,0
2010-10-20,49.604,49.765,49.031,49.712,230293,0
2010-10-21,50.252,50.252,49.712,50.018,170475,0
2010-10-22,50.081,50.229,49.789,49.915,102890,0
2010-10-25,50.018,50.496,49.891,50.067,129363,0
2010-10-26,50.252,50.455,49.759,50.13,152647,0
2010-10-27,50.032,50.13,49.545,50.056,112783,0
2010-10-28,49.915,50.194,49.642,49.994,107967,0
2010-10-29,49.936,50.227,49.676,50.158,67518,0
2010-11-01,50.213,50.839,50.213,50.418,190375,0
2010-11-02,50.431,51.202,50.431,51.126,106602,0
2010-11-03,51.228,51.228,50.665,50.997,116124,0
2010-11-04,52.633,52.633,51.126,52.076,298080,0
2010-11-05,52.082,52.642,51.882,52.555,159290,0
2010-11-08,52.438,52.87,52.428,52.657,153962,0
2010-11-09,52.691,53.179,52.47,52.673,155253,0
2010-11-10,52.879,53.227,52.502,53.154,198649,0
2010-11-11,53.154,53.288,52.915,53.253,129011,0
2010-11-12,53.082,53.121,51.838,51.91,180080,0
2010-11-15,52.082,52.691,52.082,52.387,95199,0
2010-11-16,52.33,52.33,50.725,51.417,267731,0
2010-11-17,51.286,51.623,51.219,51.457,90230,0
2010-11-18,51.727,52.633,51.727,52.164,130924,0
2010-11-19,52.164,52.587,51.882,52.442,88117,0
2010-11-22,52.442,52.639,51.89,52.387,157707,0
2010-11-23,52.259,52.259,51.823,52.018,81514,0
2010-11-24,52.067,52.614,52.067,52.47,81544,0
2010-11-26,52.49,52.602,52.325,52.385,63334,0
2010-11-29,52.568,53.441,52.202,53.277,270781,0
2010-11-30,53.104,54.449,52.692,53.826,332320,0
2010-12-01,53.97,55.152,53.97,54.616,277620,0
2010-12-02,54.789,56.791,54.691,55.774,272214,0
2010-12-03,55.618,56.35,55.271,55.515,238068,0
2010-12-06,55.565,55.722,55.157,55.668,121899,0
2010-12-07,55.822,56.326,55.668,56.136,134082,0
2010-12-08,56.38,57.072,55.609,56.851,273648,0
2010-12-09,57.078,58.038,56.962,57.979,351112,0
2010-12-10,58.179,59.321,58.103,58.567,395216,0
2010-12-13,58.752,60.233,58.752,59.254,400708,0
2010-12-14,59.515,60.248,59.326,59.557,313450,0
2010-12-15,60.029,60.185,59.522,59.594,297059,0
2010-12-16,59.717,59.999,52.202,56.802,1286209,0
2010-12-17,56.93,57.263,55.82,56.35,532146,0
2010-12-20,56.209,57.873,56.193,57.852,340803,0
2010-12-21,57.989,59.893,57.989,59.664,431114,0
2010-12-22,59.958,59.958,58.936,59.317,241756,0
2010-12-23,59.497,59.994,59.182,59.736,245087,0
2010-12-27,59.721,60.008,59.281,59.833,141113,0
2010-12-28,60.008,61.294,59.84,61.267,351284,0
2010-12-29,61.297,63.049,61.297,62.243,395685,0
2010-12-30,62.298,63.134,61.73,61.75,259438,0
