Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.43,2.5,2.43,2.44,1925,0
2010-01-05,2.4,2.73,2.36,2.6,50595,0
2010-01-06,2.54,2.6,2.49,2.5,18205,0
2010-01-07,2.46,2.54,2.28,2.37,25934,0
2010-01-08,2.3,2.54,2.26,2.44,17083,0
2010-01-11,2.52,2.55,2.45,2.53,13853,0
2010-01-12,2.54,2.54,2.49,2.49,7438,0
2010-01-13,2.53,2.55,2.49,2.5,10478,0
2010-01-14,2.52,2.54,2.45,2.5,13470,0
2010-01-15,2.53,2.53,2.45,2.45,7899,0
2010-01-19,2.45,2.5,2.45,2.46,3882,0
2010-01-20,2.5,2.51,2.45,2.45,4952,0
2010-01-21,2.47,2.47,2.43,2.43,3335,0
2010-01-22,2.44,2.47,2.4,2.46,5506,0
2010-01-25,2.44,2.5,2.41,2.42,3030,0
2010-01-26,2.45,2.49,2.42,2.42,2023,0
2010-01-27,2.42,2.43,2.33,2.34,15800,0
2010-01-28,2.33,2.4,2.32,2.39,8222,0
2010-01-29,2.4,2.4,2.35,2.36,3888,0
2010-02-01,2.39,2.44,2.32,2.4,9236,0
2010-02-02,2.37,2.37,2.23,2.31,28087,0
2010-02-03,2.27,2.3,2.16,2.19,36603,0
2010-02-04,2.2,2.25,2.19,2.21,3558,0
2010-02-05,2.25,2.25,2.22,2.25,3817,0
2010-02-08,2.25,2.25,2.2,2.2,3335,0
2010-02-09,2.22,2.36,2.21,2.34,8386,0
2010-02-10,2.37,2.39,2.32,2.32,1653,0
2010-02-11,2.35,2.38,2.19,2.34,2900,0
2010-02-12,2.38,2.38,2.3,2.3,750,0
2010-02-16,2.28,2.42,2.28,2.36,10331,0
2010-02-17,2.33,2.35,2.25,2.3,6148,0
2010-02-18,2.25,2.4,2.25,2.3,3634,0
2010-02-19,2.19,2.35,2.19,2.28,10964,0
2010-02-22,2.23,2.28,2.22,2.24,8810,0
2010-02-23,2.27,2.27,2.21,2.24,2550,0
2010-02-24,2.28,2.28,2.25,2.27,2500,0
2010-02-25,2.28,2.29,2.24,2.28,8244,0
2010-02-26,2.25,2.25,2.21,2.23,4370,0
2010-03-01,2.2,2.27,2.2,2.26,3352,0
2010-03-02,2.24,2.28,2.24,2.24,4224,0
2010-03-03,2.25,2.42,2.25,2.28,18473,0
2010-03-04,2.32,2.4,2.32,2.4,9654,0
2010-03-05,2.43,2.45,2.36,2.42,17456,0
