Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.479,16.514,16.304,16.443,787317,0
2010-01-05,16.389,16.424,16.16,16.322,932077,0
2010-01-06,16.276,16.351,16.097,16.179,1302825,0
2010-01-07,16.195,16.258,16.068,16.187,1171497,0
2010-01-08,16.17,16.17,16.031,16.105,619143,0
2010-01-11,16.205,16.22,16.123,16.17,825894,0
2010-01-12,16.132,16.23,16.105,16.187,925409,0
2010-01-13,16.187,16.304,16.114,16.285,1893406,0
2010-01-14,16.214,16.361,16.195,16.351,958765,0
2010-01-15,16.332,16.341,16.195,16.22,849129,0
2010-01-19,16.17,16.304,16.17,16.304,896852,0
2010-01-20,16.179,16.268,16.123,16.248,947325,0
2010-01-21,16.248,16.424,16.17,16.37,1211474,0
2010-01-22,16.397,16.523,16.258,16.332,1082624,0
2010-01-25,16.462,16.462,16.258,16.332,702534,0
2010-01-26,16.351,16.434,16.258,16.268,622956,0
2010-01-27,16.294,16.389,16.097,16.258,1149911,0
2010-01-28,16.322,16.322,15.966,16.087,1125327,0
2010-01-29,16.097,16.16,16.068,16.068,754541,0
2010-02-01,16.068,16.151,16.031,16.078,811954,0
2010-02-02,16.058,16.205,16.049,16.205,484888,0
2010-02-03,16.17,16.322,16.114,16.285,766785,0
2010-02-04,16.24,16.443,16.114,16.294,976364,0
2010-02-05,16.268,16.389,16.123,16.214,1198261,0
2010-02-08,16.214,16.407,16.078,16.214,973773,0
2010-02-09,16.314,16.361,16.16,16.205,864531,0
2010-02-10,16.151,16.187,16.049,16.151,754858,0
2010-02-11,16.141,16.205,16.049,16.151,904634,0
2010-02-12,16.049,16.179,16.039,16.16,720498,0
2010-02-16,16.021,16.021,15.054,15.119,2810407,0
2010-02-17,15.101,15.201,14.899,15.101,2224711,0
2010-02-18,15.063,15.138,14.999,15.063,1471949,0
2010-02-19,15.201,15.337,14.971,15.262,2820023,0
2010-02-22,15.291,15.319,15.209,15.291,1553364,0
2010-02-23,15.272,15.475,15.217,15.355,1026604,0
2010-02-24,15.355,15.493,15.3,15.475,708130,0
2010-02-25,15.355,15.493,15.328,15.421,679505,0
2010-02-26,15.411,15.466,15.192,15.319,1262231,0
2010-03-01,15.337,15.529,15.282,15.375,743117,0
2010-03-02,15.365,15.448,15.272,15.448,412519,0
2010-03-03,15.466,15.62,15.402,15.592,803546,0
2010-03-04,15.638,15.73,15.475,15.684,823659,0
2010-03-05,15.73,15.874,15.648,15.85,1160965,0
2010-03-08,15.795,15.903,15.73,15.802,555180,0
2010-03-09,15.73,15.976,15.658,15.921,822525,0
2010-03-10,15.866,16.021,15.711,16.021,811359,0
2010-03-11,15.931,16.187,15.884,16.141,858728,0
2010-03-12,16.17,16.24,15.993,16.132,752536,0
2010-03-15,16.141,16.187,16.003,16.16,678421,0
2010-03-16,16.132,16.214,16.087,16.195,251647,0
2010-03-17,16.268,16.37,16.049,16.322,383496,0
2010-03-18,16.285,16.389,16.205,16.37,517925,0
2010-03-19,16.37,16.424,16.031,16.416,968392,0
2010-03-22,16.37,16.488,16.258,16.351,373078,0
2010-03-23,16.37,16.434,16.22,16.434,487172,0
2010-03-24,16.38,16.497,16.322,16.397,408844,0
2010-03-25,16.434,16.523,16.304,16.304,584463,0
2010-03-26,16.304,16.407,16.23,16.258,597485,0
2010-03-29,16.285,16.341,16.179,16.276,770106,0
2010-03-30,16.314,16.434,16.187,16.416,546547,0
2010-03-31,16.361,16.488,16.294,16.361,527378,0
2010-04-01,16.37,16.424,16.114,16.187,441517,0
2010-04-05,16.195,16.276,16.123,16.24,513817,0
2010-04-06,16.114,16.351,16.114,16.351,540394,0
2010-04-07,16.285,16.424,16.23,16.424,625191,0
2010-04-08,16.416,16.523,16.361,16.523,608276,0
2010-04-09,16.514,16.707,16.453,16.707,536513,0
2010-04-12,16.615,16.824,16.577,16.808,660051,0
2010-04-13,16.808,16.998,16.781,16.963,512544,0
2010-04-14,17.064,17.189,16.989,17.154,994423,0
2010-04-15,17.099,17.427,17.083,17.207,768040,0
2010-04-16,17.163,17.227,16.944,16.973,854486,0
2010-04-19,16.907,17.31,16.833,17.254,946258,0
2010-04-20,17.245,17.93,17.083,17.839,2239344,0
2010-04-21,17.812,17.812,17.611,17.765,1498695,0
2010-04-22,17.701,18.075,17.658,18.067,1768325,0
2010-04-23,18.104,18.304,17.968,18.285,1194013,0
2010-04-26,18.241,18.313,18.085,18.122,1046091,0
2010-04-27,18.011,18.142,17.894,17.984,1792244,0
2010-04-28,18.039,18.276,17.885,18.085,1642335,0
2010-04-29,18.214,18.487,18.142,18.487,1137658,0
2010-04-30,18.487,18.541,18.285,18.385,1474070,0
2010-05-03,18.35,18.469,18.251,18.395,947980,0
2010-05-04,18.266,18.379,18.159,18.285,1338024,0
2010-05-05,18.122,18.379,18.011,18.039,1402723,0
2010-05-06,17.976,18.132,7.3401,17.338,2079596,0
2010-05-07,17.365,17.621,17.217,17.357,2817399,0
2010-05-10,17.556,17.802,17.546,17.765,1446370,0
2010-05-11,17.603,17.984,17.574,17.867,791575,0
2010-05-12,17.958,18.185,17.783,18.104,815361,0
2010-05-13,18.021,18.241,18.003,18.095,1468479,0
2010-05-14,18.021,18.113,17.701,17.821,961743,0
2010-05-17,17.876,18.067,17.711,18.039,1159268,0
2010-05-18,18.204,18.204,17.821,17.829,1057958,0
2010-05-19,17.755,18.039,17.674,17.921,1447937,0
2010-05-20,17.666,17.802,17.374,17.41,1779601,0
2010-05-21,17.273,17.491,17.163,17.437,1500434,0
2010-05-24,17.437,17.738,17.207,17.464,1102752,0
2010-05-25,17.144,17.357,16.953,17.328,1491188,0
2010-05-26,17.455,17.639,17.374,17.427,906632,0
2010-05-27,17.658,18.039,17.518,18.011,1137887,0
2010-05-28,17.976,18.075,17.867,17.894,907801,0
2010-06-01,17.755,18.011,17.658,17.674,712249,0
2010-06-02,17.755,17.876,17.603,17.876,581169,0
2010-06-03,17.876,18.185,17.839,18.104,834600,0
2010-06-04,17.94,17.984,17.603,17.621,1319314,0
2010-06-07,17.701,17.773,17.301,17.301,1155303,0
2010-06-08,17.365,17.401,17.027,17.374,1229955,0
2010-06-09,17.41,17.427,17.073,17.134,1132637,0
2010-06-10,17.639,17.885,17.528,17.885,1530884,0
2010-06-11,17.728,17.994,17.658,17.994,416347,0
2010-06-14,18.075,18.313,17.949,18.26,995172,0
2010-06-15,18.295,18.633,18.175,18.615,802672,0
2010-06-16,18.578,18.669,18.441,18.497,807299,0
2010-06-17,18.459,18.497,18.313,18.424,800936,0
2010-06-18,18.433,18.523,18.35,18.451,848513,0
2010-06-21,18.624,18.624,18.304,18.369,889600,0
2010-06-22,18.404,18.414,18.113,18.122,1048264,0
2010-06-23,18.067,18.194,17.93,18.057,453927,0
2010-06-24,17.94,18.175,17.903,17.994,744931,0
2010-06-25,17.994,18.194,17.93,18.067,2170554,0
2010-06-28,18.113,18.232,18.039,18.085,946929,0
2010-06-29,17.876,17.894,17.603,17.666,1380161,0
2010-06-30,17.648,17.711,17.409,17.472,1059876,0
2010-07-01,17.499,17.603,17.31,17.473,1885395,0
2010-07-02,17.528,17.603,17.227,17.254,818060,0
2010-07-06,17.419,17.674,17.227,17.31,756825,0
2010-07-07,17.374,17.593,17.291,17.593,860512,0
2010-07-08,17.711,17.728,17.482,17.683,698644,0
2010-07-09,17.666,17.773,17.603,17.773,393895,0
2010-07-12,17.683,17.755,17.473,17.621,471503,0
2010-07-13,17.765,18.204,17.666,18.185,858842,0
2010-07-14,18.122,18.122,17.921,17.949,454554,0
2010-07-15,17.921,17.968,17.683,17.773,514038,0
2010-07-16,17.711,17.802,17.273,17.301,790292,0
2010-07-19,17.392,17.455,17.245,17.41,751222,0
2010-07-20,17.683,18.266,17.593,18.26,2092104,0
2010-07-21,18.295,18.35,17.711,17.755,1361610,0
2010-07-22,18.295,18.441,18.113,18.341,1700625,0
2010-07-23,18.251,18.506,18.232,18.433,1138161,0
2010-07-26,18.487,18.578,18.379,18.469,928145,0
2010-07-27,18.523,18.532,18.142,18.26,1232348,0
2010-07-28,18.26,18.285,18.204,18.251,707928,0
2010-07-29,18.379,18.441,17.958,18.194,567299,0
2010-07-30,18.057,18.333,17.94,18.276,809303,0
2010-08-02,18.441,18.478,18.241,18.369,1043709,0
2010-08-03,18.35,18.369,18.104,18.159,654178,0
2010-08-04,18.132,18.369,18.132,18.369,631806,0
2010-08-05,18.241,18.395,18.204,18.333,676986,0
2010-08-06,18.175,18.323,17.968,18.323,482671,0
2010-08-09,18.379,18.743,18.313,18.714,942569,0
2010-08-10,18.506,18.597,18.379,18.497,503487,0
2010-08-11,18.241,18.241,18.003,18.039,613156,0
2010-08-12,17.783,17.93,17.738,17.829,693962,0
2010-08-13,17.812,17.885,17.658,17.711,497227,0
2010-08-16,17.658,17.792,17.546,17.701,307437,0
2010-08-17,17.812,18.113,17.728,17.958,318186,0
2010-08-18,17.976,18.165,17.812,18.075,661997,0
2010-08-19,18.039,18.057,17.821,17.829,415227,0
2010-08-20,17.821,17.885,17.649,17.783,526401,0
2010-08-23,17.885,17.958,17.783,17.812,240983,0
2010-08-24,17.666,17.773,17.593,17.611,426704,0
2010-08-25,17.491,17.583,17.348,17.565,1003873,0
2010-08-26,17.574,17.639,17.445,17.499,297622,0
2010-08-27,17.621,17.829,17.392,17.829,417931,0
2010-08-30,17.728,17.812,17.473,17.473,311861,0
2010-08-31,17.498,17.508,17.206,17.382,885585,0
2010-09-01,17.537,17.692,17.427,17.692,662301,0
2010-09-02,17.755,18.142,17.701,18.142,733092,0
2010-09-03,18.313,18.341,18.039,18.113,651774,0
2010-09-07,18.095,18.204,17.773,17.792,399437,0
2010-09-08,17.773,17.949,17.773,17.839,518574,0
2010-09-09,18.067,18.104,17.93,18.085,455442,0
2010-09-10,18.15,18.35,18.095,18.214,861160,0
2010-09-13,18.323,18.433,18.214,18.395,576710,0
2010-09-14,18.404,18.515,18.251,18.414,553521,0
2010-09-15,18.385,18.532,18.295,18.433,422869,0
2010-09-16,18.35,18.469,18.323,18.414,236312,0
2010-09-17,18.459,18.578,18.341,18.515,782460,0
2010-09-20,18.532,18.578,18.414,18.568,543235,0
2010-09-21,18.55,18.714,18.469,18.568,511822,0
2010-09-22,18.469,18.532,18.251,18.295,420594,0
2010-09-23,18.204,18.276,17.984,18.029,489155,0
2010-09-24,18.185,18.459,18.15,18.404,504497,0
2010-09-27,18.369,18.395,18.095,18.122,868854,0
2010-09-28,18.175,18.214,17.894,17.976,1013466,0
2010-09-29,17.976,18.285,17.821,18.142,360570,0
2010-09-30,18.26,18.633,18.194,18.433,1011599,0
2010-10-01,18.523,18.55,18.323,18.414,633587,0
2010-10-04,18.379,18.487,18.15,18.223,438165,0
2010-10-05,18.395,18.523,18.194,18.506,526035,0
2010-10-06,18.532,18.607,18.304,18.597,453427,0
2010-10-07,18.688,18.706,18.523,18.66,747576,0
2010-10-08,18.633,18.633,18.359,18.541,446283,0
2010-10-11,18.497,18.714,18.459,18.55,345723,0
2010-10-12,18.515,18.714,18.385,18.688,297729,0
2010-10-13,18.743,18.971,18.669,18.889,523080,0
2010-10-14,18.998,19.172,18.733,18.815,859471,0
2010-10-15,18.925,18.998,18.806,18.935,580848,0
2010-10-18,18.962,19.008,18.688,18.925,980246,0
2010-10-19,19.582,19.847,19.106,19.628,2184497,0
2010-10-20,19.767,19.857,19.711,19.847,714681,0
2010-10-21,19.902,20.075,19.81,19.857,647813,0
2010-10-22,19.864,20.167,19.837,20.167,729296,0
2010-10-25,20.212,20.376,20.049,20.148,587109,0
2010-10-26,20.031,20.432,19.965,20.33,830111,0
2010-10-27,20.176,20.403,20.176,20.394,621548,0
2010-10-28,20.515,20.586,20.304,20.413,514630,0
2010-10-29,20.41,20.458,20.302,20.347,812707,0
2010-11-01,20.35,20.442,20.222,20.296,633204,0
2010-11-02,20.46,20.523,20.249,20.277,657932,0
2010-11-03,20.312,20.55,20.204,20.505,839629,0
2010-11-04,20.631,20.988,20.568,20.978,681149,0
2010-11-05,20.879,21.197,20.879,21.027,531854,0
2010-11-08,20.969,21.027,20.798,21.027,610297,0
2010-11-09,21.045,21.063,20.705,20.715,444458,0
2010-11-10,20.686,20.906,20.623,20.906,429852,0
2010-11-11,20.753,20.869,20.686,20.789,325902,0
2010-11-12,20.641,20.734,20.586,20.595,395669,0
2010-11-15,20.641,20.988,20.623,20.869,621400,0
2010-11-16,20.724,20.805,20.385,20.442,642872,0
2010-11-17,20.515,20.631,20.394,20.488,365135,0
2010-11-18,20.753,20.906,20.686,20.822,443151,0
2010-11-19,20.744,20.744,20.541,20.568,421336,0
2010-11-22,20.515,20.667,20.45,20.578,572688,0
2010-11-23,20.432,20.686,20.385,20.641,1007867,0
2010-11-24,20.789,21.152,20.705,21.054,499818,0
2010-11-26,20.869,20.924,20.744,20.744,329397,0
2010-11-29,20.705,20.959,20.595,20.924,732322,0
2010-11-30,20.772,20.933,20.715,20.88,698559,0
2010-12-01,21.133,21.454,21.09,21.435,809991,0
2010-12-02,21.489,21.737,21.48,21.729,574808,0
2010-12-03,21.711,21.762,21.215,21.401,1453699,0
2010-12-06,21.28,21.309,21.063,21.124,914771,0
2010-12-07,21.181,21.364,21.045,21.09,871963,0
2010-12-08,21.152,21.472,21.124,21.419,727736,0
2010-12-09,21.544,21.544,21.318,21.454,532670,0
2010-12-10,21.524,21.737,21.472,21.665,377656,0
