Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.0323,5.0323,4.7866,4.8652,9019,0
2010-01-05,4.8554,5.052,4.7276,4.8357,22427,0
2010-01-06,4.8063,4.9045,4.7768,4.8063,9877,0
2010-01-07,4.8849,5.0618,4.7571,4.8161,47957,0
2010-01-08,4.7276,4.9144,4.7276,4.8259,18489,0
2010-01-11,4.8652,4.8751,4.708,4.8456,83727,0
2010-01-12,4.8357,5.0127,4.7768,4.7866,41423,0
2010-01-13,4.7473,4.9439,4.7473,4.8751,46535,0
2010-01-14,4.8161,4.8751,4.7375,4.7571,39563,0
2010-01-15,4.7571,4.9045,4.7178,4.7178,42495,0
2010-01-19,4.7178,4.8652,4.6195,4.8259,28117,0
2010-01-20,4.7178,4.7866,4.6293,4.6981,21312,0
2010-01-21,4.6686,4.7178,4.5016,4.531,24749,0
2010-01-22,4.531,4.6785,4.4917,4.5704,30295,0
2010-01-25,4.6195,4.6293,4.4917,4.5114,60216,0
2010-01-26,4.5212,4.5704,4.4524,4.5704,25225,0
2010-01-27,4.5704,4.5704,4.4229,4.5507,16375,0
2010-01-28,4.5409,4.5409,4.2657,4.3836,30196,0
2010-01-29,4.3934,4.5114,4.3443,4.364,16147,0
2010-02-01,4.3738,4.4033,4.3246,4.3246,10571,0
2010-02-02,4.3836,4.5704,4.3443,4.5409,31897,0
2010-02-03,4.5409,4.708,4.4131,4.4426,34242,0
2010-02-04,4.4229,4.5605,4.3738,4.531,31541,0
2010-02-05,4.531,4.6588,4.3345,4.4622,49439,0
2010-02-08,4.4622,4.6588,4.3934,4.5998,14549,0
2010-02-09,4.5802,4.6293,4.5016,4.5409,16501,0
2010-02-10,4.5212,4.7178,4.4229,4.6686,27277,0
2010-02-11,4.6293,5.0127,4.4229,5.0127,39574,0
2010-02-12,4.9635,5.1994,4.6981,5.1797,21424,0
2010-02-16,5.1797,5.1797,4.6686,4.6883,15030,0
2010-02-17,4.7178,4.8357,4.7178,4.7669,4732,0
2010-02-18,4.5704,4.7669,4.5704,4.7669,2842,0
2010-02-19,4.7178,4.9045,4.7178,4.8357,8221,0
2010-02-22,4.8161,4.9635,4.7964,4.8849,31775,0
2010-02-23,4.8652,4.9242,4.7768,4.8357,24852,0
2010-02-24,4.8652,4.8947,4.8161,4.8947,4394,0
2010-02-25,4.8751,4.9733,4.8652,4.9045,26501,0
2010-02-26,4.9537,4.9635,4.8947,4.9439,16325,0
2010-03-01,5.0028,5.1208,4.934,5.1208,25153,0
2010-03-02,5.1896,5.1896,4.9242,5.0716,21979,0
2010-03-03,5.0618,5.1503,4.9733,5.1208,22464,0
2010-03-04,5.0913,5.3272,4.9832,5.2584,42721,0
2010-03-05,5.2485,5.6712,5.0913,5.5729,41263,0
