Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,10.117,10.209,10.117,10.197,126097,0
2010-01-05,10.266,10.266,10.166,10.244,113060,0
2010-01-06,10.229,10.33,10.18,10.302,80869,0
2010-01-07,10.237,10.574,10.237,10.566,184377,0
2010-01-08,10.554,10.609,10.5,10.574,226095,0
2010-01-11,10.66,10.681,10.574,10.63,175326,0
2010-01-12,10.566,10.588,10.459,10.514,101653,0
2010-01-13,10.5,10.681,10.468,10.674,94522,0
2010-01-14,10.652,10.809,10.652,10.794,71062,0
2010-01-15,10.76,10.809,10.601,10.645,106847,0
2010-01-19,10.637,10.802,10.63,10.802,78052,0
2010-01-20,10.745,10.837,10.645,10.809,149186,0
2010-01-21,10.88,10.939,10.63,10.816,369452,0
2010-01-22,10.794,10.83,10.559,10.559,162389,0
2010-01-25,10.601,10.674,10.475,10.593,175306,0
2010-01-26,10.53,10.752,10.5,10.546,168569,0
2010-01-27,10.495,10.686,10.482,10.66,153939,0
2010-01-28,10.716,10.779,10.53,10.63,121091,0
2010-01-29,10.645,10.745,10.574,10.588,241889,0
2010-02-01,10.593,10.645,10.566,10.616,98993,0
2010-02-02,10.624,10.716,10.574,10.708,113025,0
2010-02-03,10.616,10.652,10.514,10.546,114925,0
2010-02-04,10.443,10.443,10.229,10.244,114686,0
2010-02-05,10.224,10.296,10.002,10.151,201575,0
2010-02-08,10.117,10.217,10.024,10.024,74200,0
2010-02-09,10.096,10.189,10.039,10.158,63504,0
2010-02-10,10.088,10.302,10.081,10.202,94224,0
2010-02-11,10.202,10.266,10.174,10.229,74852,0
2010-02-12,10.108,10.229,10.108,10.197,113574,0
2010-02-16,10.26,10.423,10.237,10.423,83744,0
2010-02-17,10.436,10.452,10.359,10.408,47259,0
2010-02-18,10.359,10.443,10.353,10.43,24516,0
2010-02-19,10.396,10.523,10.396,10.507,71707,0
2010-02-22,10.668,10.668,10.53,10.609,93571,0
2010-02-23,10.53,10.66,10.436,10.468,158690,0
2010-02-24,10.5,10.693,10.43,10.652,103808,0
2010-02-25,10.546,10.566,10.459,10.566,97136,0
2010-02-26,10.581,10.63,10.574,10.616,85066,0
2010-03-01,10.652,10.724,10.588,10.668,100562,0
2010-03-02,10.668,10.802,10.668,10.674,111849,0
2010-03-03,10.668,10.779,10.668,10.716,110279,0
2010-03-04,10.708,10.816,10.708,10.774,104471,0
2010-03-05,10.779,10.966,10.766,10.945,118362,0
2010-03-08,10.966,11.108,10.966,11.051,119523,0
2010-03-09,10.923,11.124,10.923,11.029,87722,0
2010-03-10,11.029,11.187,11.029,11.14,172213,0
2010-03-11,11.14,11.252,11.14,11.252,92404,0
2010-03-12,11.329,11.372,11.265,11.294,222911,0
2010-03-15,11.273,11.273,11.18,11.252,55367,0
2010-03-16,11.324,11.544,11.324,11.537,331293,0
2010-03-17,11.537,11.681,11.537,11.651,151221,0
2010-03-18,11.501,11.544,11.38,11.431,202052,0
2010-03-19,11.41,11.423,11.336,11.416,103929,0
2010-03-22,11.387,11.58,11.351,11.537,145032,0
2010-03-23,11.559,11.644,11.473,11.644,125888,0
2010-03-24,11.644,11.673,11.595,11.667,135255,0
2010-03-25,11.773,12.065,11.738,11.902,263910,0
2010-03-26,11.902,11.973,11.78,11.793,106279,0
2010-03-29,11.793,11.83,11.73,11.816,101827,0
2010-03-30,11.858,11.936,11.744,11.924,213292,0
2010-03-31,11.924,12.065,11.864,12.003,134461,0
2010-04-01,12.1,12.1,11.966,12.05,188186,0
2010-04-05,12.029,12.137,12.029,12.131,101006,0
2010-04-06,12.081,12.442,12.081,12.343,142210,0
2010-04-07,12.387,12.507,12.237,12.309,167524,0
2010-04-08,12.258,12.415,12.243,12.415,78958,0
2010-04-09,12.387,12.423,12.343,12.372,34174,0
2010-04-12,12.387,12.457,12.372,12.372,104802,0
2010-04-13,12.402,12.402,12.25,12.295,104786,0
2010-04-14,12.457,12.513,12.372,12.488,184142,0
2010-04-15,12.488,12.586,12.48,12.537,165153,0
2010-04-16,12.474,12.502,12.223,12.315,252876,0
2010-04-19,12.216,12.545,12.216,12.513,142442,0
2010-04-20,12.537,12.623,12.431,12.609,67043,0
2010-04-21,12.65,12.707,12.415,12.48,93770,0
2010-04-22,12.336,12.666,12.336,12.65,47909,0
2010-04-23,12.611,12.852,12.611,12.844,103310,0
2010-04-26,12.83,12.845,12.707,12.737,152640,0
2010-04-27,12.609,12.635,12.315,12.315,80823,0
2010-04-28,12.365,12.496,12.365,12.372,57469,0
2010-04-29,12.409,12.657,12.402,12.643,139690,0
2010-04-30,12.58,12.635,12.457,12.466,90296,0
