Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,28.6,31,28.6,30.8,3651,0
2010-01-05,31.7,31.7,30.1,30.1,2588,0
2010-01-06,29.9,30.7,28.5,28.9,4760,0
2010-01-07,29,31.4,29,31.2,4182,0
2010-01-08,31,31.5,29.1,30.1,3581,0
2010-01-11,30.1,31,29.2,29.8,5425,0
2010-01-12,29.5,30.9,29.5,30.7,2315,0
2010-01-13,30.6,31.1,30.3,30.3,5303,0
2010-01-14,30.5,32,30.3,30.6,3478,0
2010-01-15,30,31.2,30,30.5,9220,0
2010-01-19,30.7,33.5,29.9,30.7,16330,0
2010-01-20,30.2,30.7,29.6,29.9,4319,0
2010-01-21,29.8,30.3,29,29,4234,0
2010-01-22,29.2,29.2,25.1,26.1,11643,0
2010-01-25,26.8,28.3,26.1,27,10857,0
2010-01-26,26.4,28.2,25.8,28.1,14721,0
2010-01-27,27.6,30,25.5,29.6,8200,0
2010-01-28,29.6,30.3,27.6,28.6,3787,0
2010-01-29,28.7,28.8,27.8,28.4,2943,0
2010-02-01,29.2,29.4,28.7,29.2,3824,0
2010-02-02,29.1,31,28.5,30.5,7081,0
2010-02-03,30.2,30.5,29.4,29.6,6538,0
2010-02-04,29.3,30.5,28.6,29.2,5471,0
2010-02-05,29.4,30.2,27.1,29.6,4043,0
2010-02-08,29.5,30.1,27.3,29.8,3543,0
2010-02-09,30.4,30.6,29.6,30.4,2248,0
2010-02-10,30.3,30.3,29,29.6,3510,0
2010-02-11,29.6,30.7,29.4,29.5,7706,0
2010-02-12,29.3,29.7,28.1,28.5,4550,0
2010-02-16,29.2,29.2,27.3,27.5,2536,0
2010-02-17,29,30.5,28.8,30.2,13770,0
2010-02-18,30.1,30.2,29.5,29.7,2816,0
2010-02-19,29.7,30.1,29.3,29.5,2000,0
2010-02-22,29.5,30.2,29.1,29.5,1424,0
2010-02-23,30.2,32.3,28.6,32,8978,0
2010-02-24,31.5,32.7,31.5,32.5,4089,0
2010-02-25,32,32.4,31.5,32.4,2210,0
2010-02-26,32.4,34.9,32.4,34.7,7395,0
2010-03-01,34.8,37.2,34.7,37.2,11351,0
2010-03-02,37.5,39.9,36.9,38.5,5694,0
2010-03-03,39.1,39.1,37.4,37.8,5855,0
2010-03-04,37.3,37.8,35,36,7388,0
2010-03-05,36.3,39.7,36,39.1,7048,0
2010-03-08,38.9,39.3,38,39,5879,0
2010-03-09,38.8,41,38.8,40.6,8851,0
2010-03-10,40.8,41,39,40.1,8882,0
2010-03-11,39.8,40.4,39.3,40.4,1936,0
2010-03-12,40.5,41.1,39.6,40.4,3940,0
2010-03-15,40.3,40.5,39.6,40.3,1556,0
2010-03-16,40.4,40.6,39.5,40.5,2151,0
2010-03-17,40.7,40.7,37.9,39.7,7762,0
2010-03-18,39.7,40.5,38.1,38.1,7609,0
2010-03-19,39,39.1,36.5,36.5,13937,0
2010-03-22,35.8,36.8,34.6,36.2,11457,0
2010-03-23,36.3,39.7,36.3,39.5,5559,0
2010-03-24,39.5,39.9,37.7,37.7,3478,0
2010-03-25,38,38.3,35.8,36.3,11225,0
2010-03-26,35.6,36.9,35.1,36.2,12122,0
2010-03-29,36.5,37.4,35.5,37.3,6971,0
2010-03-30,37.2,37.9,37.1,37.6,3578,0
2010-03-31,37.4,38.5,36.7,38.1,7020,0
2010-04-01,38.3,40.2,37.5,39.6,6493,0
2010-04-05,39.7,44.7,39.7,44.6,7606,0
2010-04-06,44.4,44.4,42.1,42.8,8725,0
2010-04-07,42.5,43.1,41.8,42.6,5714,0
2010-04-08,42.3,45.5,42.3,45.5,7448,0
2010-04-09,46,49.3,45.5,49.2,12805,0
2010-04-12,50,51.7,49.2,49.6,11922,0
2010-04-13,49.8,52.5,49.8,52,9686,0
2010-04-14,53,54.6,50.8,52,17221,0
2010-04-15,53.6,53.6,48.1,50,12404,0
2010-04-16,49.9,50.5,46.6,48.5,9678,0
2010-04-19,47.6,49.8,46.2,49,12662,0
2010-04-20,49.5,52.4,49.5,50.9,16464,0
2010-04-21,50.4,53.6,50.4,53.5,7177,0
2010-04-22,53.5,55,52.9,55,8693,0
2010-04-23,55.4,58.3,55.4,58.2,8015,0
2010-04-26,59.9,63.2,59,59.4,29628,0
2010-04-27,60.1,62.1,54.4,54.9,24559,0
2010-04-28,54.9,58.3,51.3,53,13265,0
2010-04-29,54.4,55.4,51.5,55.2,11817,0
2010-04-30,54.9,56.3,49.9,50.1,15721,0
2010-05-03,49.5,54.3,47.9,52.4,12622,0
2010-05-04,50.9,51.7,49.3,50,11633,0
2010-05-05,50.2,50.3,47.2,49.7,11773,0
2010-05-06,46.8,51.3,25.1,40,36020,0
2010-05-07,39.6,42,36,37,42006,0
2010-05-10,38.8,39.9,37,37,14821,0
2010-05-11,37,37.9,36.5,36.5,10168,0
2010-05-12,36.2,43.3,36.2,41.1,16524,0
2010-05-13,40.7,46.2,40.3,42.8,13190,0
2010-05-14,42.5,42.6,39.2,40.3,10796,0
