Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.77,5.08,4.76,4.76,844,0
2010-01-12,4.92,5.05,4.76,5.05,7227,0
2010-01-14,5.02,5.78,4.79,5.78,3474,0
2010-01-15,5.79,5.79,4.84,4.84,1500,0
2010-01-19,4.86,5.99,4.86,5.3,1705,0
2010-01-20,5.3,5.3,4.69,4.74,5321,0
2010-01-25,4.78,5.16,4.78,5.16,3700,0
2010-01-26,5,5,5,5,100,0
2010-02-01,5.23,5.23,5.23,5.23,300,0
2010-02-04,4.83,4.83,4.83,4.83,100,0
2010-02-10,4.59,4.59,4.59,4.59,296,0
2010-02-11,4.51,4.55,4.51,4.55,800,0
2010-02-12,4.37,4.37,4.37,4.37,100,0
2010-02-16,4.49,4.49,4.49,4.49,200,0
2010-02-22,4.5,4.5,4.5,4.5,200,0
2010-02-23,4.5,4.5,4.5,4.5,473,0
2010-02-24,4.75,4.75,4.75,4.75,100,0
2010-02-25,5.05,5.54,4.89,5.53,5271,0
2010-02-26,5.35,7.1,5.35,6.7,2169,0
2010-03-01,7.14,8.24,7.14,7.22,3653,0
2010-03-02,7.56,7.56,6.5,6.61,326,0
2010-03-10,6.5,6.5,6.29,6.29,746,0
2010-03-11,6.21,6.21,6.21,6.21,100,0
2010-03-12,6.53,6.54,5.05,5.2,18246,0
2010-03-15,5.28,5.31,5.28,5.31,200,0
2010-03-17,5.26,5.26,5.04,5.06,4363,0
2010-03-18,5.07,5.42,5.07,5.08,2000,0
2010-03-22,5.15,5.19,5.15,5.19,1000,0
2010-03-23,5.15,5.15,5.15,5.15,1500,0
2010-03-24,5.15,5.15,5.15,5.15,700,0
2010-03-25,5.32,5.4,5.3,5.3,3220,0
2010-03-29,5.37,5.37,5.29,5.29,200,0
2010-03-30,5.28,5.28,5.28,5.28,100,0
2010-03-31,5.26,5.26,5.26,5.26,100,0
2010-04-01,5.27,5.27,5.27,5.27,100,0
2010-04-15,5.17,5.17,5.15,5.15,600,0
2010-04-20,5.01,5.01,5,5,1610,0
2010-04-21,5,5,4.89,4.89,3606,0
2010-04-23,4.97,4.97,4.9,4.95,3875,0
2010-04-26,5.25,5.25,5.09,5.18,4070,0
2010-04-27,5.2,5.2,5.12,5.12,200,0
2010-05-03,5.06,5.06,5.06,5.06,500,0
2010-05-05,5.14,5.15,5.14,5.15,200,0
2010-05-06,5.03,5.04,5.01,5.04,900,0
2010-05-10,5.05,5.37,5.05,5.26,4980,0
2010-05-11,5.31,5.31,5.31,5.31,100,0
2010-05-13,5.25,5.28,5.23,5.28,400,0
2010-05-14,5.24,5.3,5,5.3,2100,0
2010-05-17,5.16,5.32,5.15,5.17,1200,0
2010-05-18,5.16,5.3,5.16,5.16,409,0
2010-05-19,5.2,5.26,5.2,5.26,546,0
2010-05-20,5.15,5.15,5,5.15,844,0
2010-05-21,5.15,5.64,5.15,5.64,7420,0
2010-05-24,5.15,5.21,5.15,5.21,800,0
2010-05-26,5.18,5.18,5.17,5.17,386,0
2010-05-27,5.17,5.3,5.16,5.16,5063,0
2010-05-28,5.35,5.35,5.3,5.3,300,0
2010-06-01,5.65,5.65,5.26,5.65,2178,0
2010-06-02,5.65,5.65,5.65,5.65,162,0
2010-06-03,5.62,5.62,5.5,5.51,490,0
