Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,18.536,18.813,18.512,18.683,4116854,0
2010-01-05,18.505,18.764,18.375,18.618,4229792,0
2010-01-06,18.505,18.635,18.414,18.497,4273977,0
2010-01-07,18.528,18.666,18.43,18.586,4066369,0
2010-01-08,18.528,18.796,18.489,18.78,3936046,0
2010-01-11,18.805,18.838,18.56,18.748,3574852,0
2010-01-12,18.635,18.748,18.268,18.489,4715741,0
2010-01-13,18.536,18.919,18.448,18.821,4262078,0
2010-01-14,18.732,19.172,18.675,19.067,5548233,0
2010-01-15,19.209,19.303,18.724,18.928,6974366,0
2010-01-19,18.919,19.389,18.87,19.303,8434673,0
2010-01-20,19.209,19.26,18.741,19.12,8326018,0
2010-01-21,19.188,19.318,18.886,18.991,7695719,0
2010-01-22,18.945,19.104,18.489,18.528,7993256,0
2010-01-25,18.618,18.618,18.245,18.334,6745655,0
2010-01-26,18.301,18.577,18.301,18.423,5836735,0
2010-01-27,18.35,18.52,18.178,18.448,5645077,0
2010-01-28,18.464,18.52,17.943,18.162,7118711,0
2010-01-29,18.033,18.367,17.797,17.911,12835290,0
2010-02-01,17.951,17.976,17.714,17.897,7868191,0
2010-02-02,17.79,18.064,17.749,17.994,7433629,0
2010-02-03,17.88,17.943,17.757,17.905,4827977,0
2010-02-04,17.804,17.88,17.48,17.537,6695176,0
2010-02-05,17.618,17.706,17.342,17.644,8058646,0
2010-02-08,17.667,17.714,17.383,17.488,3167709,0
2010-02-09,17.626,17.79,17.521,17.685,4895168,0
2010-02-10,17.69,17.804,17.44,17.571,4481410,0
2010-02-11,17.521,17.685,17.31,17.66,3415294,0
2010-02-12,17.488,17.571,17.245,17.546,5956587,0
2010-02-16,17.593,17.889,17.521,17.88,5058024,0
2010-02-17,18.01,18.081,17.88,17.967,3652906,0
2010-02-18,17.985,18.276,17.943,18.261,4320713,0
2010-02-19,18.261,18.48,18.203,18.293,4342210,0
2010-02-22,18.293,18.342,18.002,18.148,4338049,0
2010-02-23,18.115,18.276,17.943,17.976,3895730,0
2010-02-24,18.187,18.489,18.099,18.334,4690577,0
2010-02-25,17.994,18.317,17.862,18.284,4538557,0
2010-02-26,18.196,18.308,18.106,18.284,3556075,0
2010-03-01,18.358,18.675,18.358,18.554,3259509,0
2010-03-02,18.586,18.692,18.358,18.414,4876756,0
2010-03-03,18.439,18.545,18.367,18.448,4419871,0
2010-03-04,18.358,18.448,18.236,18.293,5081267,0
2010-03-05,18.334,18.618,18.245,18.56,6786518,0
2010-03-08,18.528,18.602,18.448,18.536,3489165,0
2010-03-09,18.512,18.683,18.405,18.586,4343778,0
2010-03-10,18.528,18.642,18.245,18.367,9275302,0
2010-03-11,18.448,18.448,18.211,18.414,7076140,0
2010-03-12,18.382,18.57,18.293,18.512,4971675,0
2010-03-15,18.52,18.741,18.448,18.683,4716976,0
2010-03-16,18.692,18.901,18.65,18.886,4793025,0
2010-03-17,18.91,19.204,18.892,19.104,4811969,0
2010-03-18,19.129,19.181,18.991,19.104,3307676,0
2010-03-19,19.294,19.303,18.805,19.059,6029094,0
2010-03-22,19.042,19.243,18.919,19.181,5657461,0
2010-03-23,19.096,19.357,19.014,19.34,5960686,0
2010-03-24,19.217,19.34,19.209,19.277,4041978,0
2010-03-25,19.294,19.416,19.042,19.059,5697756,0
2010-03-26,19.032,19.163,18.886,19.023,5036542,0
2010-03-29,19.059,19.188,18.952,18.998,3739297,0
2010-03-30,19.073,19.196,18.886,19.042,3003524,0
2010-03-31,19.051,19.217,18.928,19.073,4611251,0
2010-04-01,19.104,19.26,18.764,18.928,3942136,0
2010-04-05,18.991,19.431,18.937,19.382,4422218,0
2010-04-06,18.813,19.082,18.301,19.014,21423036,0
2010-04-07,18.945,18.945,18.325,18.391,10509867,0
2010-04-08,18.325,18.724,18.276,18.577,5230064,0
2010-04-09,18.61,18.675,18.512,18.642,4438112,0
2010-04-12,18.602,18.796,18.56,18.741,3260849,0
2010-04-13,18.692,18.708,18.464,18.635,4067344,0
2010-04-14,18.594,18.919,18.594,18.878,4083863,0
2010-04-15,18.83,18.901,18.699,18.741,4352994,0
2010-04-16,18.675,18.886,18.52,18.56,5860479,0
2010-04-19,18.512,18.724,18.375,18.577,4715076,0
2010-04-20,18.65,19.188,18.577,18.975,6092722,0
2010-04-21,18.919,19.129,18.87,19.113,4020093,0
2010-04-22,19.042,19.294,18.796,19.277,4349961,0
2010-04-23,19.204,19.277,18.919,19.129,5979508,0
2010-04-26,19.096,19.303,19.059,19.209,0,0
2010-04-27,19.26,19.324,18.838,18.87,7563371,0
2010-04-28,18.87,18.991,18.732,18.91,5450267,0
2010-04-29,18.854,19.059,18.732,19.032,4948918,0
2010-04-30,18.967,19.104,18.536,18.545,6183466,0
2010-05-03,18.497,18.772,18.423,18.618,6768849,0
2010-05-04,18.382,18.423,17.967,18.01,7576832,0
2010-05-05,17.985,18.106,17.775,17.862,7069449,0
2010-05-06,17.706,17.813,16.318,17.131,14009787,0
2010-05-07,17.067,17.212,16.399,16.651,16219469,0
2010-05-10,17.067,17.35,16.969,17.181,8603078,0
2010-05-11,17.123,17.714,17.002,17.448,7182959,0
2010-05-12,17.448,17.967,17.391,17.82,8541377,0
2010-05-13,17.61,18.106,17.562,17.783,9934272,0
2010-05-14,16.976,16.976,16.089,16.667,23641295,0
2010-05-17,16.675,16.863,16.504,16.805,11072492,0
2010-05-18,16.976,17.041,16.595,16.701,9778375,0
2010-05-19,16.701,16.771,16.448,16.635,8415410,0
2010-05-20,16.327,16.417,15.953,15.993,8007311,0
2010-05-21,15.846,16.253,15.692,16.163,7952361,0
2010-05-24,16.065,16.276,15.959,16.059,6839838,0
2010-05-25,15.719,16.133,15.596,16.133,8864557,0
