Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.265,13.39,13.209,13.368,469201,0
2010-01-05,13.436,13.637,13.39,13.463,439388,0
2010-01-06,13.44,13.554,13.265,13.301,430015,0
2010-01-07,13.214,13.223,12.945,13.009,667616,0
2010-01-08,13.069,13.637,13.056,13.628,1468555,0
2010-01-11,13.536,13.582,13.073,13.236,1287842,0
2010-01-12,13.077,13.114,13.014,13.022,457875,0
2010-01-13,12.854,12.959,12.7,12.763,705141,0
2010-01-14,12.799,12.95,12.664,12.678,439460,0
2010-01-15,12.672,12.678,12.296,12.423,692197,0
2010-01-19,12.509,12.615,12.469,12.597,718262,0
2010-01-20,12.336,12.364,11.759,11.95,1678586,0
2010-01-21,11.942,12.032,11.559,11.701,1307216,0
2010-01-22,11.832,11.992,11.576,11.587,878018,0
2010-01-25,11.695,11.755,11.472,11.658,504154,0
2010-01-26,11.449,11.705,11.404,11.576,540684,0
2010-01-27,11.469,11.472,11.253,11.395,577234,0
2010-01-28,11.504,11.528,10.992,11.042,1203194,0
2010-01-29,11.215,11.241,10.936,11.069,862740,0
2010-02-01,11.219,11.459,11.219,11.399,652037,0
2010-02-02,11.378,11.386,11.196,11.273,1006797,0
2010-02-03,11.437,11.614,11.399,11.604,834495,0
2010-02-04,11.395,11.518,10.918,11.042,1072290,0
2010-02-05,10.996,11.191,10.605,11.123,930769,0
2010-02-08,11.253,11.26,10.981,11.119,594956,0
2010-02-09,11.395,11.545,11.222,11.444,902304,0
2010-02-10,11.587,11.636,11.342,11.564,547194,0
2010-02-11,11.609,11.668,11.41,11.632,346636,0
2010-02-12,11.459,11.518,11.287,11.431,562468,0
2010-02-16,11.417,11.609,11.417,11.587,258553,0
2010-02-17,11.755,11.823,11.668,11.741,425814,0
2010-02-18,11.545,11.622,11.482,11.576,272087,0
2010-02-19,11.459,11.576,11.296,11.576,612523,0
2010-02-22,11.6,11.6,11.342,11.359,215009,0
2010-02-23,11.253,11.305,11.101,11.132,637824,0
2010-02-24,11.26,11.368,11.159,11.228,566598,0
2010-02-25,11.146,11.368,11.042,11.337,266036,0
2010-02-26,11.305,11.337,11.247,11.273,252663,0
2010-03-01,11.399,11.632,11.399,11.564,553927,0
2010-03-02,11.531,11.627,11.522,11.591,373010,0
2010-03-03,11.594,11.828,11.591,11.823,346774,0
2010-03-04,11.614,11.619,11.449,11.5,383740,0
2010-03-05,11.619,11.722,11.495,11.71,433089,0
2010-03-08,11.727,11.813,11.581,11.755,251106,0
2010-03-09,11.719,11.751,11.594,11.614,321569,0
2010-03-10,11.522,11.755,11.482,11.622,587393,0
2010-03-11,11.536,11.947,11.444,11.947,1611715,0
2010-03-12,11.923,12.006,11.837,11.864,578516,0
2010-03-15,11.751,11.755,11.587,11.727,432430,0
2010-03-16,11.737,11.796,11.641,11.745,465673,0
2010-03-17,11.964,12.055,11.819,11.91,644752,0
2010-03-18,11.654,11.846,11.641,11.71,272386,0
2010-03-19,11.727,11.942,11.536,11.81,769162,0
2010-03-22,11.71,11.859,11.673,11.851,434677,0
2010-03-23,11.813,11.851,11.751,11.759,355133,0
2010-03-24,11.673,11.714,11.555,11.6,457080,0
2010-03-25,11.632,11.632,11.444,11.495,258026,0
2010-03-26,11.619,11.632,11.504,11.522,126347,0
2010-03-29,11.796,11.964,11.737,11.964,423524,0
2010-03-30,11.982,12.155,11.982,12.151,381386,0
2010-03-31,12.082,12.2,12.072,12.173,483437,0
2010-04-01,12.327,12.687,12.218,12.642,729890,0
2010-04-05,12.695,12.858,12.492,12.858,263595,0
2010-04-06,12.854,12.858,12.627,12.683,365498,0
2010-04-07,12.627,12.632,12.454,12.519,525939,0
2010-04-08,12.519,12.564,12.322,12.45,250993,0
2010-04-09,12.551,12.587,12.478,12.492,186790,0
2010-04-12,12.423,12.501,12.245,12.263,184280,0
2010-04-13,12.291,12.3,11.995,12.036,696852,0
2010-04-14,12.132,12.296,12.091,12.296,361323,0
2010-04-15,12.195,12.346,12.178,12.332,201844,0
2010-04-16,12.169,12.191,11.796,11.859,531335,0
2010-04-19,11.469,11.722,11.378,11.691,774399,0
2010-04-20,11.701,11.873,11.668,11.701,532972,0
2010-04-21,11.819,11.832,11.673,11.695,340579,0
