Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.175,4.35,3.875,4.3,19340,0
2010-01-05,4.375,4.375,4,4.075,8374,0
2010-01-06,4,4.35,3.975,4,1520,0
2010-01-07,4.25,4.25,4.25,4.25,40,0
2010-01-08,4.22,4.25,4.2,4.25,440,0
2010-01-11,4,4.075,4,4,2600,0
2010-01-12,3.975,4.25,3.925,3.95,5520,0
2010-01-13,4.075,4.225,3.925,4.07,7018,0
2010-01-14,4.125,4.125,4.05,4.05,2480,0
2010-01-15,3.925,4.075,3.925,4.075,2064,0
2010-01-19,3.9,4.125,3.775,3.975,23240,0
2010-01-20,4.005,4.125,3.8,3.8,9332,0
2010-01-21,3.775,4.075,3.775,3.875,3312,0
2010-01-22,3.775,4.025,3.725,3.95,10774,0
2010-01-25,3.85,3.85,3.675,3.675,14422,0
2010-01-26,3.775,3.775,3.675,3.675,6496,0
2010-01-27,3.625,3.775,3.625,3.625,3480,0
2010-01-28,3.55,3.75,3.5,3.625,4514,0
2010-01-29,3.625,3.75,3.625,3.75,2748,0
2010-02-01,3.75,3.75,3.525,3.55,656,0
2010-02-02,3.5,3.7,3.5,3.55,2982,0
2010-02-03,3.525,3.55,3.5,3.55,930,0
2010-02-04,3.4,3.625,3.4,3.475,4822,0
2010-02-05,3.425,3.475,3.425,3.45,18932,0
2010-02-08,3.5,3.5,3.4,3.4,3070,0
2010-02-09,3.325,3.475,3.275,3.275,11538,0
2010-02-10,3.275,3.325,3.275,3.325,12240,0
2010-02-11,3.3,3.475,3.3,3.475,1718,0
2010-02-12,3.415,3.425,3.375,3.375,1760,0
2010-02-16,3.5,3.85,3.5,3.825,10858,0
2010-02-17,3.625,3.8,3.625,3.8,320,0
2010-02-19,3.525,3.825,3,3.8,4892,0
2010-02-22,3.025,3.525,3.025,3.325,7990,0
2010-02-23,3.4,3.6,3.325,3.4,35738,0
2010-02-24,3.75,4.925,3.75,3.875,219362,0
2010-02-25,4.175,4.175,3.625,3.625,23828,0
2010-02-26,3.625,3.775,3.625,3.65,12620,0
2010-03-01,3.65,3.9,3.65,3.675,11888,0
2010-03-02,3.625,3.7,3.55,3.55,13990,0
2010-03-03,3.45,3.6,3.4,3.6,9796,0
2010-03-04,3.525,3.775,3.525,3.6,4038,0
2010-03-05,3.675,3.7,3.425,3.5,9338,0
2010-03-08,3.475,3.575,3.425,3.445,6472,0
2010-03-09,3.45,3.45,3.4,3.4,28462,0
2010-03-10,3.375,3.575,3.375,3.45,8668,0
2010-03-11,3.45,3.5,3.4,3.475,13822,0
2010-03-12,3.45,3.75,3.45,3.75,4808,0
2010-03-15,3.825,3.825,3.425,3.55,6098,0
2010-03-16,3.46,3.6,3.46,3.6,4342,0
2010-03-17,3.625,3.65,3.62,3.625,2880,0
2010-03-18,3.525,3.625,3.525,3.55,1200,0
2010-03-19,3.6,3.8,3.575,3.8,13060,0
2010-03-22,3.75,3.825,3.675,3.7,3502,0
2010-03-23,3.7,3.725,3.7,3.7,1122,0
2010-03-24,3.635,3.7,3.625,3.7,1800,0
2010-03-25,3.65,3.65,3.65,3.65,182,0
2010-03-26,3.625,3.625,3.55,3.55,1280,0
2010-03-29,3.55,3.55,3.5,3.5,2234,0
2010-03-30,3.44,3.45,3.4,3.45,4508,0
2010-03-31,3.45,3.45,3.4,3.4,6280,0
2010-04-01,3.525,3.525,3.475,3.495,3280,0
2010-04-05,3.475,3.5,3.425,3.5,5916,0
2010-04-06,3.525,3.725,3.525,3.575,7964,0
2010-04-07,3.625,3.85,3.625,3.85,17396,0
2010-04-08,3.875,4.1,3.775,3.9,7928,0
2010-04-09,3.775,3.775,3.7,3.725,11124,0
2010-04-12,3.675,3.825,3.6,3.825,15964,0
2010-04-13,3.475,3.9,3.475,3.725,20410,0
2010-04-14,3.75,3.9,3.625,3.625,12020,0
2010-04-15,3.675,3.75,3.675,3.75,2352,0
2010-04-16,3.75,3.75,3.625,3.625,2440,0
2010-04-19,3.625,3.875,3.525,3.725,6650,0
2010-04-21,3.6,3.825,3.55,3.825,2254,0
2010-04-22,3.7,3.8,3.65,3.775,4382,0
2010-04-23,3.9,3.9,3.6,3.825,2000,0
2010-04-26,3.85,3.875,3.75,3.775,2132,0
2010-04-27,3.975,3.975,3.7,3.925,5060,0
2010-04-28,4,4,3.75,3.875,6196,0
2010-04-29,3.975,4.1,3.8,4.075,11650,0
2010-04-30,3.875,4.025,3.875,3.975,3846,0
2010-05-03,3.9,4.1,3.8,3.84,4132,0
2010-05-04,3.825,3.825,3.55,3.745,2304,0
2010-05-05,3.575,3.65,3.5,3.575,10538,0
2010-05-06,3.5,3.9,3.5,3.525,9320,0
2010-05-07,3.6,3.6,3.575,3.6,1240,0
2010-05-10,3.5,4.125,3.5,3.75,3536,0
2010-05-11,3.625,3.675,3.5,3.675,5034,0
2010-05-12,3.525,3.93,3.525,3.725,3280,0
2010-05-13,3.55,3.825,3.525,3.625,1440,0
2010-05-14,3.525,3.55,3.475,3.55,2884,0
2010-05-17,3.5,3.565,3.475,3.5,1600,0
2010-05-18,3.5,3.6,3.5,3.6,6098,0
2010-05-19,3.7,4.05,3.525,3.65,4668,0
2010-05-20,3.5,3.55,3.45,3.475,22168,0
2010-05-21,3.45,3.8,3.325,3.4,534,0
2010-05-25,3.375,3.725,3.325,3.525,3088,0
2010-05-26,3.425,3.425,3.425,3.425,320,0
2010-05-27,3.6,3.6,3.45,3.5,1452,0
2010-05-28,3.6,3.6,3.6,3.6,794,0
2010-06-01,3.4,3.725,3.4,3.55,7256,0
2010-06-02,3.475,3.55,3.45,3.55,1596,0
2010-06-03,3.575,3.575,3.45,3.475,556,0
2010-06-04,3.425,3.45,3.425,3.45,1160,0
2010-06-07,3.34,3.34,3.275,3.275,86,0
2010-06-08,3.25,3.25,3.175,3.175,2980,0
2010-06-09,3.305,3.305,3.175,3.175,80,0
2010-06-10,3.45,3.45,3.275,3.285,466,0
2010-06-11,3.275,3.325,3.275,3.325,1780,0
2010-06-14,3.5,3.5,3.275,3.275,2132,0
2010-06-15,3.3,3.475,3.275,3.3,2496,0
2010-06-16,3.375,3.45,3.3,3.35,2514,0
2010-06-17,3.3,3.3,3.3,3.3,200,0
2010-06-18,3.325,3.325,3.3,3.3,824,0
2010-06-21,3.3,3.425,3.3,3.375,992,0
2010-06-22,3.3,3.3,3.3,3.3,800,0
2010-06-23,3.3,3.325,3.3,3.3,1240,0
2010-06-24,3.3,3.375,3.3,3.375,2160,0
2010-06-28,3.305,3.305,3.275,3.275,7548,0
2010-06-29,3.275,3.275,3.125,3.225,2886,0
2010-06-30,3.125,3.2,3.075,3.075,2924,0
2010-07-01,3.075,3.075,3,3,3104,0
2010-07-02,3.375,3.375,3.345,3.345,480,0
2010-07-06,3.375,3.375,3.32,3.32,3960,0
2010-07-07,3.025,3.145,3,3.145,2386,0
2010-07-08,3.25,3.5,3.125,3.125,7400,0
2010-07-09,3.4,3.5,3.3,3.3,14652,0
2010-07-12,3.575,3.575,3.5,3.575,10556,0
2010-07-13,3.3,3.75,3.175,3.575,16144,0
2010-07-14,3.75,3.75,3.3,3.3,4548,0
2010-07-15,3.35,3.75,3.25,3.3,10286,0
2010-07-16,3.3,11.1,3.3,8.25,421818,0
2010-07-19,8.195,8.25,6.64,6.925,309486,0
2010-07-20,6.95,7.24,6.63,7.125,72870,0
2010-07-21,7.33,8.2,6.825,8.035,194002,0
2010-07-22,8,8,7.61,7.75,96360,0
2010-07-23,8,8.77,7.945,8.74,221628,0
2010-07-26,8.9,9.5,8.4,8.625,149710,0
2010-07-27,8.575,8.585,8.25,8.48,32216,0
2010-07-28,8.35,8.55,7.905,8.15,162794,0
2010-07-29,8.15,9.245,7.995,8.865,114434,0
2010-07-30,8.255,8.995,8.255,8.995,32764,0
2010-08-02,9,9.07,8.375,8.65,43714,0
2010-08-03,8.45,8.885,8.01,8.405,95696,0
2010-08-04,8.39,9.2,8.25,8.995,266268,0
2010-08-05,8.755,9.355,8.555,9.285,161920,0
2010-08-06,9.35,9.84,9,9.84,94590,0
2010-08-09,9.35,10.95,9.35,10.95,195552,0
2010-08-10,10.915,12.485,10.915,12.25,258426,0
2010-08-11,12.445,15.005,11.75,14.475,584674,0
2010-08-12,14.93,15,12.84,13.07,336856,0
2010-08-13,12.75,13,11.2,12.95,306590,0
2010-08-16,12.95,15.2,12.625,13.825,357324,0
2010-08-17,13.94,14.245,13.37,14,129820,0
2010-08-18,14.245,16.04,13.76,15.745,577652,0
2010-08-19,16.25,17.5,15,17.15,628054,0
2010-08-20,17.745,19.44,17.25,19,759564,0
2010-08-23,19.19,19.94,17.13,18.2,665810,0
2010-08-24,17.505,17.53,16.5,16.52,316730,0
2010-08-25,16.165,16.325,13.655,14.78,592936,0
2010-08-26,14.665,14.665,13.29,13.75,571564,0
2010-08-27,14.195,14.81,13.465,13.6,179162,0
2010-08-30,14,14.49,13.195,13.39,250234,0
2010-08-31,13.39,13.395,12.555,13.13,212258,0
2010-09-01,13.535,13.75,12.725,13.1,113020,0
2010-09-02,13.1,13.425,12.81,12.97,84720,0
2010-09-03,13.995,13.995,13.255,13.375,81438,0
2010-09-07,13.05,13.31,12.685,12.7,97240,0
2010-09-08,13.12,13.12,11.88,12.13,155116,0
2010-09-09,12.445,12.805,12.03,12.395,107694,0
2010-09-10,13.095,13.25,12.08,12.225,65142,0
2010-09-13,11.395,11.985,11,11.045,180602,0
2010-09-14,11,12.305,10.77,12,199668,0
2010-09-15,11.675,14.875,11.675,14.875,383680,0
2010-09-16,14.38,14.995,13.665,13.995,229064,0
2010-09-17,14,14,12.775,13.205,93510,0
2010-09-20,14.5,14.5,13.57,13.85,77042,0
2010-09-21,13.625,13.845,13.2,13.225,99048,0
2010-09-22,13.125,13.195,12.875,13.105,35842,0
2010-09-23,13.325,13.72,13.07,13.105,60190,0
2010-09-24,13.185,13.745,13.005,13.1,39364,0
2010-09-27,13.1,13.695,12.875,12.9,36996,0
2010-09-28,12.875,13.25,12.5,12.96,59858,0
2010-09-29,13,13,12.045,12.235,84338,0
2010-09-30,11.625,13.365,11.5,13.25,275460,0
2010-10-01,13.5,13.875,13.095,13.875,93248,0
2010-10-04,13.9,13.9,13.47,13.825,72228,0
2010-10-05,13.98,13.98,13.015,13.285,48406,0
2010-10-06,13.585,13.585,12.155,12.25,89832,0
2010-10-07,13.5,13.5,12.015,12.305,109700,0
2010-10-08,12.75,12.825,12.25,12.615,29774,0
2010-10-11,12.495,13.17,12.405,13.125,54540,0
2010-10-12,13.055,13.28,12.75,13.16,25226,0
2010-10-13,13.36,13.605,13.16,13.325,63276,0
2010-10-14,13.475,13.475,13.05,13.2,21118,0
2010-10-15,13.13,13.465,12.815,13.465,40114,0
2010-10-18,13.36,14.5,13.335,14.245,150756,0
2010-10-19,14.15,15.95,13.895,14.845,234474,0
2010-10-20,14.725,15.125,14.135,14.605,29810,0
2010-10-21,14.75,15.455,14.75,15.21,83030,0
2010-10-22,15.5,15.9,15,15.875,82952,0
2010-10-25,15.845,16.11,15.005,15.205,130074,0
2010-10-26,15.255,15.43,15.19,15.19,22932,0
2010-10-27,15.19,15.365,15.135,15.18,28544,0
2010-10-28,15.5,15.5,15.25,15.34,21402,0
2010-10-29,15.56,16.87,15.4,16.65,232978,0
2010-11-01,16.65,16.75,15.88,16.25,148070,0
2010-11-02,16.915,16.915,15.67,16.205,57796,0
2010-11-03,15.96,16.25,15.25,15.9,50368,0
2010-11-04,16.845,16.95,16.01,16.36,72138,0
2010-11-05,16.235,16.235,15.395,15.87,82534,0
2010-11-08,15.745,15.97,15.575,15.795,39354,0
2010-11-09,15.715,16.205,15.32,15.48,65602,0
2010-11-10,15.45,16.21,15.065,16.21,41356,0
2010-11-11,16.29,16.29,15.795,16.09,26030,0
2010-11-12,15.84,16.25,15.84,16.09,30664,0
2010-11-15,16.25,16.255,16,16,23808,0
2010-11-16,16.01,16.315,14.825,15.26,174594,0
2010-11-17,15.345,16.25,13.715,14.52,151622,0
2010-11-18,14.715,14.745,13.38,13.48,150694,0
2010-11-19,13.2,14.595,12.3,12.99,392354,0
2010-11-22,13.37,13.88,13.08,13.23,54846,0
2010-11-23,13.23,13.615,12.78,13.35,63576,0
2010-11-24,13.735,13.75,13.115,13.26,65846,0
2010-11-26,13.375,13.5,13.03,13.425,24834,0
2010-11-29,13.155,13.34,12.075,12.145,141922,0
2010-11-30,12.03,14.175,11.775,14.175,240120,0
2010-12-01,14.25,14.65,13.31,14.5,98206,0
2010-12-02,14.365,14.365,13.66,13.835,80156,0
2010-12-03,13.5,14.15,13.165,13.985,33252,0
2010-12-06,14,14.405,13.52,13.645,36482,0
2010-12-07,13.975,14.15,13.375,13.375,58522,0
2010-12-08,13.425,13.88,13.02,13.25,62692,0
2010-12-09,13.25,13.25,12.805,12.805,52486,0
2010-12-10,12.8,13,12.665,12.995,34402,0
2010-12-13,13.025,13.25,12.625,12.845,68558,0
2010-12-14,12.635,12.725,12.135,12.235,64762,0
2010-12-15,13.37,13.495,12.455,12.825,88430,0
2010-12-16,12.825,13.5,12.825,13.43,37774,0
2010-12-17,13.585,14.025,13.285,13.745,104924,0
2010-12-20,14.12,14.125,13,13.025,121316,0
2010-12-21,13.425,13.72,13.105,13.375,36970,0
2010-12-22,13.66,13.69,13.02,13.22,41180,0
2010-12-23,13.49,13.49,13.005,13.415,16474,0
2010-12-27,13.75,13.75,13.025,13.17,37102,0
2010-12-28,13.025,13.75,12.42,13.625,108932,0
2010-12-29,13.565,13.94,13.08,13.08,78968,0
2010-12-30,12.955,13.275,11.81,12.395,188734,0
2010-12-31,12.43,13.13,12.25,12.56,47182,0
2011-01-03,12.975,12.975,12.25,12.32,60768,0
2011-01-04,12.46,12.46,11.7,12.055,85150,0
2011-01-05,11.89,12.235,11.7,11.735,36910,0
2011-01-06,11.76,12.8,11.505,12.245,207332,0
2011-01-07,12.75,12.975,11.895,12.09,184322,0
2011-01-10,11.825,11.825,11.34,11.375,104286,0
2011-01-11,11.29,11.935,11.22,11.53,128152,0
2011-01-12,11.89,11.995,11.5,11.66,66878,0
2011-01-13,11.58,11.66,11.195,11.495,95200,0
2011-01-14,11.35,11.375,10.685,11.075,133010,0
2011-01-18,10.5,10.65,9.755,10.265,539202,0
2011-01-19,10.32,10.87,9.985,10.41,268006,0
2011-01-20,10.335,10.5,10.125,10.385,125364,0
2011-01-21,10.5,10.575,10.25,10.285,88228,0
2011-01-24,10.035,10.475,10,10.285,166666,0
2011-01-25,10.15,10.44,10.145,10.2,143460,0
2011-01-26,10.245,10.25,10.025,10.135,40914,0
2011-01-27,10.15,10.17,9.895,10.17,123064,0
2011-01-28,10.14,10.195,9.75,10.06,100548,0
2011-01-31,9.96,10.05,9.77,9.96,49124,0
2011-02-01,9.775,10,9.75,9.775,93628,0
2011-02-02,10.135,10.135,9.705,9.75,59796,0
2011-02-03,9.65,9.765,9.33,9.705,80920,0
2011-02-04,9.695,9.695,9.465,9.57,69810,0
2011-02-07,9.325,9.75,9.28,9.59,98380,0
2011-02-08,9.54,9.69,9.41,9.59,23268,0
2011-02-09,9.52,9.75,9.485,9.64,89264,0
2011-02-10,9.615,9.755,9.505,9.605,30166,0
2011-02-11,9.735,9.995,9.605,9.9,83102,0
2011-02-14,9.97,10.095,9.59,10.015,49356,0
2011-02-15,10,10,9.585,9.705,82132,0
2011-02-16,9.755,9.875,9.575,9.735,78012,0
2011-02-18,9.69,9.995,9.64,9.82,60962,0
2011-02-22,9.825,9.92,9.43,9.665,39728,0
2011-02-23,9.56,9.605,9.105,9.455,42580,0
2011-02-24,9.26,9.455,9.155,9.405,12934,0
2011-02-25,9.49,10.645,9.435,10.355,259458,0
2011-02-28,10.315,10.635,9.935,10.5,115868,0
2011-03-01,10.375,10.625,9.695,10.22,132450,0
2011-03-02,10.165,10.55,9.965,10.3,55318,0
2011-03-03,10.455,10.82,10.455,10.685,69498,0
2011-03-04,10.76,11.475,10.53,11.455,201552,0
2011-03-07,11.75,11.84,10.93,11.125,64368,0
2011-03-08,11.06,11.48,10.905,10.925,44522,0
2011-03-09,10.56,11.265,10.56,11.04,26566,0
2011-03-10,10.96,11.16,10.305,10.83,135406,0
2011-03-11,10.85,11.18,10.565,10.895,23760,0
2011-03-14,11.095,11.095,10.655,10.655,13674,0
2011-03-15,10.54,10.855,10.35,10.75,80212,0
2011-03-16,10.75,10.75,10.37,10.535,48124,0
2011-03-17,10.54,10.8,10.36,10.48,59598,0
2011-03-18,10.505,10.8,10.35,10.645,128006,0
2011-03-21,10.855,11.15,10.66,11.055,102352,0
2011-03-22,10.69,10.835,10.53,10.76,36358,0
2011-03-23,10.705,11.14,10.55,11.04,42242,0
2011-03-24,11.125,11.245,10.865,10.925,27416,0
2011-03-25,11.025,11.375,11.025,11.375,80900,0
2011-03-28,11.4,11.58,10.965,11.02,36800,0
2011-03-29,10.92,11.13,10.625,10.7,26802,0
2011-03-30,10.8,10.935,10.67,10.69,36136,0
2011-03-31,10.71,10.88,10.59,10.8,50782,0
2011-04-01,10.87,11.155,10.755,10.955,31988,0
2011-04-04,11.05,11.315,10.855,11.305,21372,0
2011-04-05,11.475,11.475,10.7,10.815,54152,0
2011-04-06,10.8,11.325,10.78,10.83,36578,0
2011-04-07,11,11.01,10.575,10.69,50550,0
2011-04-08,10.75,10.75,10.5,10.505,19980,0
2011-04-11,10.55,10.815,10.4,10.49,24112,0
2011-04-12,10.49,10.625,9.62,9.8,146078,0
2011-04-13,9.815,9.92,9.545,9.82,48900,0
2011-04-14,9.7,9.73,9.57,9.73,10800,0
2011-04-15,9.605,10.025,9.6,9.895,23402,0
