Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.145,13.318,12.93,13.181,7255194,0
2010-01-05,13.118,13.298,12.994,13.118,5882281,0
2010-01-06,12.955,13.172,12.643,12.7,15748025,0
2010-01-07,12.747,13.181,12.57,12.946,9730394,0
2010-01-08,12.939,13.365,12.84,13.09,7278970,0
2010-01-11,13.071,13.154,12.812,13.032,6477391,0
2010-01-12,12.849,12.885,12.386,12.541,8799091,0
2010-01-13,12.662,13.003,12.489,12.939,7601468,0
2010-01-14,12.894,13.003,12.718,12.747,7405970,0
2010-01-15,12.728,12.831,12.081,12.265,15508650,0
2010-01-19,12.273,12.551,12.172,12.422,6687975,0
2010-01-20,12.662,12.757,12.312,12.541,10967867,0
2010-01-21,12.561,12.876,12.191,12.209,11495114,0
2010-01-22,12.146,12.681,12.108,12.302,16580072,0
2010-01-25,12.533,12.533,12.146,12.32,6946447,0
2010-01-26,12.199,12.45,12.126,12.292,11241543,0
2010-01-27,12.238,12.45,11.939,12.302,8218910,0
2010-01-28,12.422,12.45,11.794,12.182,11418492,0
2010-01-29,12.273,12.403,11.885,11.958,10237037,0
2010-02-01,12.024,12.292,11.867,12.292,9794428,0
2010-02-02,12.302,12.376,11.939,12.164,20910752,0
2010-02-03,12.329,12.812,12.292,12.718,16787440,0
2010-02-04,12.367,12.551,11.987,12.072,18183805,0
2010-02-05,12.043,12.155,11.489,11.977,13877984,0
2010-02-08,11.977,12.015,11.543,11.766,14278330,0
2010-02-09,12.006,12.209,11.756,12.052,10331371,0
2010-02-10,12.034,12.072,11.405,11.72,9605352,0
2010-02-11,11.692,12.015,11.526,11.804,9233336,0
2010-02-12,11.885,12.006,11.766,11.939,10597506,0
2010-02-16,12.146,12.302,12.015,12.273,6633648,0
2010-02-17,12.376,12.614,12.339,12.506,8726834,0
2010-02-18,12.403,12.747,12.312,12.681,12334557,0
2010-02-19,12.136,12.946,12.108,12.793,22818958,0
2010-02-22,12.803,12.939,12.32,12.357,13649684,0
2010-02-23,12.348,12.441,11.987,12.043,11496846,0
2010-02-24,12.108,12.273,12.015,12.209,6162521,0
2010-02-25,11.904,12.199,11.673,12.155,13760826,0
2010-02-26,12.136,12.292,11.968,12.015,7726578,0
2010-03-01,12.091,12.57,12.034,12.422,7061195,0
2010-03-02,12.541,12.614,12.422,12.489,7181770,0
2010-03-03,12.525,12.894,12.403,12.84,13243520,0
2010-03-04,12.921,13.181,12.821,13.154,18040675,0
2010-03-05,13.201,13.606,13.181,13.55,15854679,0
2010-03-08,13.624,13.736,13.442,13.606,9591397,0
2010-03-09,13.514,13.523,13.218,13.355,7607143,0
2010-03-10,13.365,13.642,13.308,13.642,8823318,0
2010-03-11,13.533,13.69,13.318,13.69,7119389,0
2010-03-12,13.68,13.736,13.336,13.505,7185874,0
2010-03-15,13.432,13.451,13.154,13.355,7385528,0
2010-03-16,13.355,13.67,13.236,13.67,11138817,0
2010-03-17,13.717,13.829,13.374,13.413,8729780,0
2010-03-18,13.422,13.55,13.172,13.29,5975128,0
2010-03-19,13.336,13.533,12.93,12.93,10731335,0
2010-03-22,12.911,13.081,12.671,13.013,6319830,0
2010-03-23,13.081,13.209,13.003,13.191,7226726,0
2010-03-24,13.071,13.346,12.975,13.172,9101819,0
2010-03-25,13.336,13.355,12.812,12.831,11771065,0
2010-03-26,12.994,13.032,12.766,12.885,8611355,0
2010-03-29,12.955,13.108,12.911,13.081,7985945,0
2010-03-30,13.128,13.172,12.946,13.09,6961420,0
2010-03-31,12.965,13.137,12.858,12.894,7115229,0
2010-04-01,13.071,13.128,12.868,13.108,9370999,0
2010-04-05,13.118,13.606,13.042,13.54,13287445,0
2010-04-06,13.495,13.819,13.282,13.495,12087164,0
2010-04-07,13.432,13.578,13.273,13.384,7838321,0
2010-04-08,13.273,14.04,13.181,13.875,16775968,0
2010-04-09,13.866,14.162,13.819,14.04,9555944,0
2010-04-12,14.059,14.172,13.921,14.059,8207950,0
2010-04-13,14.04,14.382,13.903,14.335,8207890,0
2010-04-14,14.429,14.504,14.218,14.42,12161832,0
2010-04-15,14.363,14.744,14.282,14.715,9246347,0
2010-04-16,14.606,14.892,14.325,14.344,12176551,0
2010-04-19,14.3,14.467,14.087,14.335,8658529,0
2010-04-20,14.467,14.937,14.467,14.754,7114380,0
2010-04-21,14.668,14.9,14.57,14.892,7221666,0
2010-04-22,14.735,15.262,14.55,15.198,9476952,0
2010-04-23,15.23,15.293,15.035,15.248,6466807,0
2010-04-26,15.245,15.392,15.012,15.095,4814650,0
2010-04-27,14.919,15.031,14.495,14.661,11332290,0
2010-04-28,14.993,15.086,14.715,14.874,11336508,0
2010-04-29,15.06,15.473,15.05,15.226,8406397,0
2010-04-30,15.254,15.363,14.929,14.993,10411390,0
2010-05-03,15.095,15.706,15.095,15.454,12499129,0
2010-05-04,15.179,15.188,14.651,14.983,17555890,0
2010-05-05,14.542,14.91,14.059,14.41,22155708,0
2010-05-06,14.068,14.335,12.718,13.838,31922148,0
2010-05-07,13.857,13.875,12.812,13.145,29490039,0
2010-05-10,13.921,14.353,13.451,14.191,14748050,0
2010-05-11,13.866,14.335,13.866,13.957,13363565,0
2010-05-12,14.04,14.401,13.866,14.274,11528293,0
2010-05-13,14.182,14.353,13.819,13.875,11462579,0
2010-05-14,13.642,13.784,13.384,13.568,10829227,0
2010-05-17,13.633,14.208,13.488,14.106,17834835,0
2010-05-18,14.255,14.325,13.727,13.791,13473159,0
2010-05-19,13.642,13.966,13.326,13.791,14264323,0
2010-05-20,13.209,13.46,12.803,12.84,16573666,0
2010-05-21,12.525,13.246,12.45,13.246,17157153,0
2010-05-24,13.191,13.54,12.876,12.911,21191207,0
2010-05-25,12.348,12.894,12.182,12.849,19329881,0
2010-05-26,13.042,13.469,12.894,13.1,14561215,0
2010-05-27,13.488,13.755,13.374,13.736,12491186,0
2010-05-28,13.774,13.819,13.384,13.469,9462909,0
2010-06-01,13.218,13.606,13.013,13.023,11347654,0
2010-06-02,13.118,13.533,13.071,13.533,8229530,0
2010-06-03,13.633,13.774,13.495,13.652,11045772,0
2010-06-04,13.218,13.505,12.766,12.885,16657331,0
2010-06-07,12.955,13.163,12.386,12.403,11987166,0
2010-06-08,12.376,12.58,12.117,12.312,13756787,0
2010-06-09,12.479,13.201,12.367,12.624,20251356,0
2010-06-10,12.946,13.394,12.894,13.318,10296232,0
2010-06-11,13.1,13.505,13.071,13.326,9472473,0
2010-06-14,13.568,14.05,13.505,13.533,10490279,0
2010-06-15,13.774,14.247,13.652,14.218,9014591,0
2010-06-16,14.003,14.106,13.829,14.022,11078998,0
2010-06-17,14.087,14.143,13.736,13.984,5784847,0
2010-06-18,14.05,14.106,13.755,13.809,8230024,0
2010-06-21,14.124,14.143,13.606,13.67,6571234,0
2010-06-22,13.69,13.866,13.226,13.29,7568047,0
2010-06-23,13.346,13.624,13.1,13.384,11010510,0
2010-06-24,13.255,13.29,12.624,12.737,12069167,0
2010-06-25,12.776,13.1,12.58,13.071,14673130,0
2010-06-28,13.003,13.384,12.984,13.246,9642850,0
2010-06-29,12.911,13.003,12.117,12.256,20062279,0
2010-06-30,12.162,12.431,11.89,11.954,12375484,0
2010-07-01,11.923,12.034,11.339,11.885,20810719,0
2010-07-02,11.987,12.108,11.634,11.858,11266243,0
2010-07-06,12.099,12.432,11.794,11.948,9454186,0
2010-07-07,12.043,12.394,11.913,12.329,10728382,0
2010-07-08,12.515,12.994,12.422,12.903,13139965,0
2010-07-09,12.921,13.032,12.737,12.984,5647471,0
2010-07-12,12.849,13.137,12.737,13.032,7825426,0
2010-07-13,13.191,13.597,13.172,13.505,8149721,0
2010-07-14,13.413,13.505,13.118,13.246,9307280,0
2010-07-15,13.201,13.374,13.071,13.308,4850315,0
2010-07-16,13.172,13.236,12.441,12.515,12194872,0
2010-07-19,12.58,12.885,12.403,12.821,8655282,0
2010-07-20,12.551,12.84,12.386,12.831,13348547,0
2010-07-21,12.911,13.023,12.606,12.71,11556545,0
2010-07-22,12.965,13.336,12.911,13.137,9903259,0
2010-07-23,13.128,13.661,13.071,13.523,12256069,0
2010-07-26,13.54,13.903,13.442,13.875,10303280,0
2010-07-27,14.04,14.133,13.624,13.764,8394809,0
2010-07-28,13.68,13.727,13.403,13.523,6661992,0
2010-07-29,13.717,13.984,13.255,13.578,8449959,0
2010-07-30,13.282,13.755,13.081,13.67,7802142,0
2010-08-02,13.857,14.325,13.857,14.153,11955335,0
2010-08-03,14.096,14.143,13.606,13.885,15460566,0
2010-08-04,14.363,14.504,14.124,14.467,22547181,0
2010-08-05,14.325,14.579,14.282,14.363,8842673,0
2010-08-06,14.124,14.317,13.893,14.208,9095203,0
2010-08-09,14.325,14.447,14.182,14.382,6172341,0
2010-08-10,14.115,14.439,14.059,14.265,11329970,0
2010-08-11,13.885,13.893,13.298,13.384,9981984,0
2010-08-12,13.128,13.236,13.013,13.108,12201278,0
2010-08-13,13.023,13.118,12.84,12.903,12265764,0
2010-08-16,12.776,13.09,12.662,13.071,7602376,0
2010-08-17,13.226,13.442,13.081,13.081,9342876,0
2010-08-18,13.1,13.308,12.885,13.137,14220905,0
2010-08-19,13.042,13.128,12.614,12.728,9278270,0
2010-08-20,12.57,12.662,12.329,12.589,7804281,0
2010-08-23,12.551,12.728,12.256,12.413,11698308,0
2010-08-24,12.136,12.394,12.062,12.256,11881803,0
2010-08-25,12.081,12.606,12.034,12.551,13502010,0
2010-08-26,12.606,12.793,12.413,12.422,10242044,0
2010-08-27,12.57,12.946,12.172,12.876,13759755,0
2010-08-30,12.831,13.003,12.634,12.653,8211764,0
2010-08-31,12.541,12.85,12.449,12.786,12214867,0
2010-09-01,13.003,13.717,13.003,13.495,14093446,0
2010-09-02,13.54,13.893,13.54,13.829,7319180,0
2010-09-03,14.078,14.237,13.903,14.087,7503886,0
2010-09-07,13.948,14.032,13.55,13.633,10216068,0
2010-09-08,13.597,13.885,13.56,13.791,9319282,0
2010-09-09,13.984,14.124,13.903,13.921,7793673,0
2010-09-10,13.957,14.42,13.903,14.335,9812459,0
2010-09-13,14.514,14.668,14.307,14.55,8839572,0
2010-09-14,14.524,14.661,14.255,14.542,6862129,0
2010-09-15,14.382,14.429,14.115,14.42,10659483,0
2010-09-16,14.3,14.344,13.745,14.096,24791853,0
2010-09-17,14.115,14.237,13.698,13.984,15442605,0
2010-09-20,14.032,14.588,13.957,14.533,7557718,0
2010-09-21,14.579,14.596,14.237,14.439,10383728,0
2010-09-22,14.373,14.486,14.003,14.106,13941402,0
2010-09-23,13.921,14.588,13.838,14.255,11303463,0
2010-09-24,14.467,14.983,14.439,14.956,12028921,0
2010-09-27,14.919,14.919,14.588,14.706,9762224,0
2010-09-28,14.764,14.919,14.373,14.828,9359757,0
2010-09-29,14.725,14.744,14.447,14.632,7205403,0
2010-09-30,14.793,15.015,14.517,14.672,10719189,0
2010-10-01,14.781,15.16,14.696,15.153,10984625,0
2010-10-04,15.095,15.16,14.772,15.16,14010917,0
2010-10-05,15.335,16.112,15.288,15.411,24556789,0
2010-10-06,15.411,15.836,15.345,15.817,16460462,0
2010-10-07,15.901,15.947,15.502,15.706,8319122,0
2010-10-08,15.76,16.313,15.587,15.939,12250603,0
2010-10-11,16.132,16.253,15.854,16.199,6602494,0
2010-10-12,16.151,16.586,15.947,16.559,9775185,0
2010-10-13,16.648,16.836,16.465,16.522,12077481,0
2010-10-14,16.474,16.522,16.103,16.216,9842177,0
2010-10-15,16.398,16.493,16.093,16.226,10094511,0
2010-10-18,16.289,16.289,16.074,16.18,7659165,0
2010-10-19,15.929,16.029,15.65,15.836,10536314,0
2010-10-20,15.939,16.281,15.882,16.189,12962887,0
2010-10-21,16.305,16.371,15.706,15.973,9941362,0
2010-10-22,16.093,16.093,15.808,15.891,5462578,0
2010-10-25,16.057,16.289,15.947,15.965,7848547,0
2010-10-26,15.798,16.001,15.678,15.798,12213564,0
2010-10-27,15.65,15.688,15.382,15.568,9394691,0
2010-10-28,15.75,15.789,15.483,15.596,8226788,0
2010-10-29,15.541,15.812,15.541,15.663,7294704,0
2010-11-01,15.836,16.189,15.678,15.779,9784625,0
2010-11-02,15.965,16.093,15.733,16.048,12889672,0
2010-11-03,16.019,16.065,15.66,15.992,8287710,0
2010-11-04,16.281,16.389,16.093,16.332,9723078,0
2010-11-05,16.398,16.426,15.531,15.733,18788846,0
2010-11-08,15.67,15.817,15.531,15.558,9196015,0
2010-11-09,15.568,15.596,15.067,15.133,13169690,0
2010-11-10,15.153,15.641,15.143,15.558,12228033,0
2010-11-11,15.288,15.873,15.288,15.697,14583104,0
2010-11-12,15.531,15.688,15.28,15.373,11155423,0
2010-11-15,15.448,15.678,15.306,15.464,11632518,0
2010-11-16,15.306,15.454,14.866,14.993,16897956,0
2010-11-17,15.031,15.067,14.866,14.983,9282311,0
2010-11-18,15.086,15.363,15.077,15.306,16210568,0
2010-11-19,15.254,15.288,15.031,15.254,8081224,0
2010-11-22,15.124,15.288,15.05,15.245,9401948,0
2010-11-23,14.956,15.133,14.892,15.021,9504114,0
2010-11-24,15.124,15.254,15.031,15.216,16240215,0
2010-11-26,15.06,15.272,15.021,15.216,2533925,0
2010-11-29,15.04,15.245,14.79,15.17,11882479,0
2010-11-30,14.96,15.86,14.941,15.573,16106933,0
2010-12-01,15.873,16.001,15.789,15.882,10902843,0
2010-12-02,15.863,16.083,15.697,15.992,8398097,0
2010-12-03,15.956,16.253,15.91,16.216,7838485,0
2010-12-06,16.093,16.38,16.057,16.305,5173451,0
2010-12-07,16.503,16.759,16.426,16.595,19417733,0
2010-12-08,16.493,16.788,16.417,16.631,9021815,0
2010-12-09,17.01,17.045,16.371,16.631,8171381,0
2010-12-10,16.675,16.749,16.465,16.695,6809864,0
2010-12-13,16.871,16.871,16.465,16.465,7963768,0
2010-12-14,16.408,16.713,16.361,16.55,5473004,0
2010-12-15,16.446,16.595,16.323,16.455,5543514,0
2010-12-16,16.5,16.654,16.395,16.647,8820650,0
2010-12-17,16.797,17.566,16.695,17.36,16188825,0
2010-12-20,17.461,17.576,17.28,17.5,6075654,0
2010-12-21,17.424,17.899,17.415,17.822,9977809,0
2010-12-22,17.88,18.119,17.842,18.119,4051636,0
2010-12-23,18.148,18.175,17.721,17.927,4782504,0
2010-12-27,17.832,17.899,17.73,17.842,3074332,0
2010-12-28,17.861,17.861,17.519,17.624,6628819,0
2010-12-29,17.681,17.921,17.671,17.751,3278539,0
2010-12-30,17.761,17.778,17.577,17.626,2439731,0
2010-12-31,17.591,17.775,17.552,17.62,3086686,0
2011-01-03,17.803,17.937,17.73,17.832,9322926,0
2011-01-04,17.822,17.991,17.557,17.965,8986262,0
2011-01-05,17.832,18.018,17.739,17.758,6471812,0
2011-01-06,17.721,18.027,17.576,18.009,7541331,0
2011-01-07,18.009,18.175,17.566,17.803,6829795,0
2011-01-10,17.624,18.361,17.576,18.296,10962819,0
2011-01-11,18.369,18.416,17.983,18.129,7850199,0
2011-01-12,18.314,18.5,18.175,18.296,8065775,0
2011-01-13,18.249,18.518,18.231,18.379,8187602,0
2011-01-14,18.296,18.463,18.167,18.445,6551234,0
2011-01-18,18.38,18.982,18.362,18.937,20992534,0
2011-01-19,18.873,19.02,18.632,18.695,15962656,0
2011-01-20,18.805,19.128,18.664,18.963,21016848,0
2011-01-21,19.1,19.295,19.007,19.146,7642114,0
2011-01-24,19.155,19.295,19.026,19.221,5587530,0
2011-01-25,19.174,19.174,18.703,19.064,7863143,0
2011-01-26,19.11,19.286,18.953,19.036,7444470,0
2011-01-27,18.963,19.155,18.656,18.74,9303157,0
2011-01-28,18.721,18.86,17.776,17.832,21753793,0
2011-01-31,18.058,18.434,17.851,18.338,15014541,0
2011-02-01,18.436,18.656,18.268,18.445,8764061,0
2011-02-02,18.277,18.683,18.277,18.472,10324380,0
2011-02-03,18.484,18.992,18.438,18.733,15983602,0
2011-02-04,18.796,18.842,18.436,18.703,9017429,0
2011-02-07,18.74,19.276,18.693,19.267,6825167,0
2011-02-08,19.259,19.517,19.146,19.499,5756662,0
2011-02-09,19.413,19.998,19.331,19.925,16802807,0
2011-02-10,19.733,20.179,19.658,19.995,11268781,0
2011-02-11,19.841,20.451,19.841,20.294,7398024,0
2011-02-14,20.303,20.321,19.859,20.118,6715946,0
2011-02-15,19.998,20.127,19.812,20.024,6749978,0
2011-02-16,20.1,20.58,19.906,20.441,15076613,0
2011-02-18,20.558,21.364,20.43,21.19,13522833,0
2011-02-22,20.885,20.93,20.108,20.331,12850781,0
2011-02-23,20.359,20.72,19.887,20.127,13084677,0
2011-02-24,20.081,20.635,19.953,20.378,15011070,0
2011-02-25,20.523,21.878,20.504,21.774,18219826,0
2011-02-28,21.641,22.221,21.632,22.069,15501248,0
2011-03-01,22.153,22.172,21.384,21.45,13463656,0
2011-03-02,21.431,22.301,21.31,22.089,14316301,0
2011-03-03,22.423,22.822,22.144,22.525,10759574,0
2011-03-04,22.654,22.895,21.662,22.163,13492706,0
2011-03-07,22.255,22.338,21.517,21.85,8216526,0
2011-03-08,21.921,22.06,21.615,21.921,9039540,0
2011-03-09,22.041,22.57,21.986,22.264,9742816,0
2011-03-10,21.895,22.163,21.643,21.958,11984848,0
2011-03-11,21.783,22.292,21.754,22.06,7906374,0
2011-03-14,21.895,21.949,21.45,21.887,12722909,0
2011-03-15,20.976,21.831,20.689,21.459,15692029,0
2011-03-16,21.327,21.903,20.986,21.18,13491705,0
2011-03-17,21.668,21.867,21.457,21.552,10836714,0
2011-03-18,21.921,21.921,21.355,21.535,13738907,0
2011-03-21,22.023,22.803,21.977,22.717,13576538,0
2011-03-22,22.717,23.229,22.707,22.859,10308268,0
2011-03-23,22.785,23.136,22.525,23.051,8757789,0
2011-03-24,23.238,23.366,22.682,23.257,9316788,0
2011-03-25,23.404,23.404,22.831,22.869,11003758,0
2011-03-28,22.886,22.933,22.153,22.644,13674815,0
2011-03-29,22.663,23.6,22.282,23.46,15604780,0
2011-03-30,23.46,24.257,23.376,24.212,13058226,0
2011-03-31,24.079,24.088,23.153,23.209,15970447,0
2011-04-01,23.294,23.61,22.736,22.978,11976369,0
2011-04-04,23.117,23.248,22.904,23.238,7983726,0
2011-04-05,23.051,23.813,23.006,23.201,13052065,0
2011-04-06,23.358,23.47,22.543,22.717,10564372,0
2011-04-07,22.672,22.803,22.201,22.785,11254607,0
2011-04-08,22.904,23.015,22.237,22.497,8624138,0
2011-04-11,22.451,22.746,22.014,22.654,10833250,0
2011-04-12,22.471,22.618,22.302,22.535,9107231,0
2011-04-13,22.672,22.943,22.329,22.663,7840690,0
2011-04-14,22.525,22.607,21.958,22.48,11213484,0
2011-04-15,22.654,23.175,22.431,22.56,13237948,0
2011-04-18,22.201,22.423,21.643,22.301,9237536,0
2011-04-19,22.347,22.47,22.117,22.264,6335154,0
2011-04-20,22.682,22.943,22.635,22.803,5515897,0
2011-04-21,23.061,23.061,22.698,22.988,4765119,0
2011-04-25,22.84,23.175,22.785,22.886,6441496,0
2011-04-26,23.088,23.088,22.707,22.859,7454421,0
2011-04-27,22.923,23.165,22.785,23.061,5911999,0
2011-04-28,23.061,23.823,23.015,23.404,8471393,0
2011-04-29,23.394,23.491,23.172,23.376,6796407,0
2011-05-02,23.61,24.257,23.571,23.775,14080717,0
2011-05-03,23.792,23.856,23.13,23.39,10436529,0
2011-05-04,24.396,25.694,24.146,25.223,25714034,0
2011-05-05,24.833,25.141,24.424,24.749,15746975,0
2011-05-06,24.934,25.09,24.444,24.629,8596676,0
2011-05-09,24.591,24.861,24.333,24.666,5967538,0
2011-05-10,24.806,25.621,24.656,25.499,10795975,0
2011-05-11,25.251,25.328,24.711,24.925,12663707,0
2011-05-12,24.833,24.971,24.434,24.553,11433298,0
2011-05-13,24.768,24.778,24.043,24.043,12082441,0
2011-05-16,23.972,24.184,23.61,23.628,9947026,0
2011-05-17,23.591,24.286,23.376,24.156,14194314,0
2011-05-18,24.229,25.276,24.229,25.063,12386775,0
2011-05-19,25.204,25.48,25.129,25.361,8333788,0
2011-05-20,25.328,25.328,24.935,25.02,7620649,0
2011-05-23,24.638,24.861,24.286,24.759,8130568,0
2011-05-24,24.861,25.026,24.377,24.434,12967313,0
2011-05-25,24.229,24.545,24.061,24.406,8785771,0
2011-05-26,24.369,25.518,24.342,25.443,12989182,0
2011-05-27,25.493,26.172,25.456,25.931,11436707,0
