Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,10.03,10.22,9.83,10.22,147235,0
2010-01-05,10.17,10.18,9.66,9.75,123412,0
2010-01-06,9.73,9.82,9.43,9.54,110864,0
2010-01-07,9.52,10.12,9.42,9.98,135569,0
2010-01-08,9.91,10.11,9.77,10.09,75992,0
2010-01-11,10.11,10.16,9.57,9.64,66534,0
2010-01-12,9.57,9.71,9.32,9.45,86127,0
2010-01-13,9.45,9.71,9.36,9.6,41197,0
2010-01-14,9.57,9.93,9.57,9.79,29475,0
2010-01-15,9.84,9.84,9.34,9.57,99976,0
2010-01-19,9.57,9.74,9.29,9.59,86180,0
2010-01-20,9.47,9.72,9.21,9.34,104752,0
2010-01-21,9.38,9.48,9.1,9.16,78963,0
2010-01-22,9.14,9.5,9.1,9.2,65177,0
2010-01-25,9.32,9.35,9.12,9.23,49452,0
2010-01-26,9.17,9.32,9.09,9.16,56908,0
2010-01-27,9.06,9.24,8.95,9.17,107353,0
2010-01-28,9.16,9.32,9.02,9.08,92339,0
2010-01-29,9.15,9.18,8.9,9.06,74085,0
2010-02-01,9.1,9.23,8.91,8.97,77978,0
2010-02-02,8.97,9.02,8.79,8.86,66157,0
2010-02-03,8.79,8.95,8.76,8.81,68098,0
2010-02-04,8.8,8.83,8.72,8.72,85494,0
2010-02-05,8.74,8.95,8.65,8.92,54270,0
2010-02-08,8.88,8.88,8.62,8.63,52394,0
2010-02-09,8.78,8.81,8.5,8.72,165755,0
2010-02-10,8.65,8.78,8.61,8.76,89371,0
2010-02-11,8.7,9.28,8.66,9.26,104692,0
2010-02-12,9.12,9.19,8.87,9.1,73351,0
2010-02-16,9.18,9.18,9,9.16,32577,0
2010-02-17,9.22,9.46,9.22,9.45,36389,0
2010-02-18,9.47,9.98,9,9.97,36999,0
2010-02-19,9.97,10.05,9.64,9.83,67156,0
2010-02-22,9.86,9.98,9.69,9.89,33558,0
2010-02-23,9.84,9.95,9.67,9.94,74523,0
2010-02-24,9.95,10.36,9.91,10.07,46334,0
2010-02-25,9.88,10.16,9.87,10.15,51969,0
2010-02-26,10.19,10.19,9.78,9.83,51110,0
2010-03-01,9.9,10.06,9.83,9.9,190654,0
2010-03-02,9.89,10.05,9.79,10,131982,0
2010-03-03,10,10.05,9.84,9.85,91471,0
2010-03-04,9.9,9.95,9.67,9.71,78585,0
2010-03-05,9.77,10.1,9.77,10.1,119299,0
2010-03-08,10.13,10.13,9.49,9.73,253316,0
2010-03-09,9.72,9.95,9.54,9.72,77030,0
2010-03-10,9.69,10.02,9.69,9.89,63244,0
2010-03-11,9.79,9.95,9.69,9.83,47102,0
2010-03-12,9.85,9.85,9.54,9.79,41111,0
2010-03-15,9.75,9.75,9.5,9.65,49601,0
2010-03-16,9.66,9.74,9.58,9.74,21891,0
2010-03-17,9.73,9.99,9.65,9.83,34456,0
2010-03-18,9.63,9.93,9.63,9.81,20776,0
2010-03-19,9.88,10.41,9.48,10.4,304154,0
2010-03-22,10.28,10.83,10.03,10.79,103058,0
2010-03-23,10.83,10.83,10.26,10.57,86860,0
2010-03-24,10.53,10.63,10.17,10.23,174970,0
