Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.17,12.25,11.96,12.03,33638,0
2010-01-05,11.99,12.2,11.98,12.13,27329,0
2010-01-06,12.15,12.37,11.94,11.96,98953,0
2010-01-07,11.98,12.32,11.93,11.99,32263,0
2010-01-08,12,12,11.08,11.34,91665,0
2010-01-11,11.45,11.61,11.3,11.47,22158,0
2010-01-12,11.35,11.41,11.2,11.41,21410,0
2010-01-13,11.47,11.5,11.31,11.43,30093,0
2010-01-14,11.36,11.36,11.1,11.25,53819,0
2010-01-15,11.31,11.34,10.83,10.98,56211,0
2010-01-19,10.97,11.84,10.97,11.77,128187,0
2010-01-20,11.63,11.8,11.35,11.6,29118,0
2010-01-21,11.67,11.74,11.37,11.4,45194,0
2010-01-22,11.41,11.84,11.26,11.54,36023,0
2010-01-25,11.62,11.62,11.37,11.48,34036,0
2010-01-26,11.4,11.76,11.39,11.5,51756,0
2010-01-27,11.4,11.7,11.4,11.65,31016,0
2010-01-28,11.63,11.73,11.52,11.57,25507,0
2010-01-29,11.75,12.16,11.64,11.93,102985,0
2010-02-01,12,12.03,11.9,11.96,31001,0
2010-02-02,11.93,11.99,11.52,11.59,54950,0
2010-02-03,11.52,11.81,11.44,11.51,21792,0
2010-02-04,11.43,11.65,10.93,10.96,53561,0
2010-02-05,10.96,11.5,10.91,11.48,16111,0
2010-02-08,11.7,12.18,11.7,11.83,86350,0
2010-02-09,11.96,11.96,11.33,11.58,52065,0
2010-02-10,11.5,11.9,11.44,11.84,37091,0
2010-02-11,11.76,11.76,11.5,11.63,27920,0
2010-02-12,11.58,11.83,11.51,11.73,37055,0
2010-02-16,11.75,11.75,11.37,11.46,38505,0
2010-02-17,11.49,11.67,11.27,11.66,23671,0
2010-02-18,11.56,11.75,11.28,11.75,16106,0
2010-02-19,11.7,11.75,11.53,11.69,19484,0
2010-02-22,11.75,11.75,11.55,11.69,36676,0
2010-02-23,11.7,11.9,11.65,11.88,76776,0
2010-02-24,11.89,11.98,11.71,11.96,26767,0
2010-02-25,11.84,11.96,11.72,11.96,10651,0
2010-02-26,11.99,12,11.85,11.85,61562,0
2010-03-01,11.9,12.06,11.87,12.06,80706,0
2010-03-02,12.1,12.45,12,12.35,156296,0
2010-03-03,12.45,12.75,12.38,12.4,190896,0
2010-03-04,12.46,12.62,12.21,12.37,15048,0
2010-03-05,12.41,12.8,12.25,12.76,33699,0
2010-03-08,12.5,12.96,12.5,12.87,39234,0
2010-03-09,12.86,12.98,12.59,12.7,17927,0
2010-03-10,12.68,13.1,12.68,13,27424,0
2010-03-11,13,13,12.67,12.99,26662,0
2010-03-12,12.94,13.11,12.9,13.11,39808,0
2010-03-15,13.1,13.1,12.75,13.07,52285,0
2010-03-16,13.1,13.1,12.7,12.81,11932,0
2010-03-17,12.8,13,12.71,12.93,29244,0
2010-03-18,12.93,12.99,12.71,12.8,15604,0
2010-03-19,12.88,13,12.48,12.48,33999,0
2010-03-22,12.45,12.51,12.12,12.35,64499,0
2010-03-23,12.25,12.8,12.23,12.77,309364,0
2010-03-24,12.75,12.8,12.55,12.64,59064,0
2010-03-25,12.7,12.8,12.5,12.65,48137,0
2010-03-26,12.6,12.77,12.6,12.65,30856,0
2010-03-29,12.65,12.8,12.6,12.63,41035,0
2010-03-30,12.69,12.77,12.6,12.62,36010,0
2010-03-31,12.54,12.8,12.5,12.77,26266,0
2010-04-01,12.9,13.03,12.5,12.59,34608,0
2010-04-05,12.66,12.87,12.41,12.61,16869,0
2010-04-06,12.6,12.64,12.42,12.56,22322,0
2010-04-07,12.54,12.54,12.01,12.04,52120,0
2010-04-08,12.01,12.8,12.01,12.7,87406,0
2010-04-09,12.67,12.67,12.05,12.07,26977,0
2010-04-12,12.01,12.53,12.01,12.44,64885,0
2010-04-13,12.44,12.55,12.3,12.53,23829,0
2010-04-14,12.57,12.78,12.51,12.78,25141,0
2010-04-15,12.73,12.78,12.54,12.78,28724,0
2010-04-16,12.75,12.75,12.31,12.48,25401,0
2010-04-19,12.39,12.52,12.3,12.35,19832,0
2010-04-20,12.44,12.78,12.44,12.78,15684,0
2010-04-21,12.78,12.8,12.61,12.8,23820,0
2010-04-22,12.64,12.88,12.5,12.8,20379,0
2010-04-23,12.77,12.82,12.62,12.79,20743,0
2010-04-26,12.8,12.9,12.74,12.83,26650,0
2010-04-27,12.76,13,12.76,12.8,35128,0
2010-04-28,12.85,12.92,12.56,12.66,19931,0
2010-04-29,12.81,12.98,12.68,12.88,31064,0
2010-04-30,12.98,12.98,12.44,12.47,23244,0
2010-05-03,12.5,12.82,12.29,12.78,13788,0
2010-05-04,12.78,13,12.45,12.68,40436,0
2010-05-05,12.61,13.84,12.61,13.84,78328,0
2010-05-06,13.84,14.46,12.1,13.34,97630,0
2010-05-07,13.33,14.25,13.2,13.46,55533,0
2010-05-10,13.94,14.46,13.84,14.3,71175,0
2010-05-11,13.99,14.88,13.99,14.48,64353,0
2010-05-12,14.48,14.99,14.48,14.96,44051,0
2010-05-13,14.84,15.08,14.52,14.6,49888,0
2010-05-14,14.43,14.56,14.12,14.27,17911,0
2010-05-17,14.3,14.46,14.13,14.26,13529,0
2010-05-18,14.38,14.54,14.11,14.18,63205,0
2010-05-19,14.17,14.25,13.16,13.27,47544,0
2010-05-20,13.15,13.72,13.09,13.26,70019,0
2010-05-21,13.11,13.23,12.5,12.85,50485,0
2010-05-24,12.85,13.4,12.73,13.3,42894,0
2010-05-25,13.02,13.5,12.94,13.43,30750,0
2010-05-26,13.47,13.58,12.42,12.47,44003,0
2010-05-27,12.74,13.61,12.64,13.5,30241,0
2010-05-28,13.68,14.05,12.87,12.92,46416,0
2010-06-01,12.8,13.12,12.29,12.3,41645,0
2010-06-02,12.42,13.46,12.22,13.32,35550,0
2010-06-03,13.18,13.74,13.18,13.55,17669,0
2010-06-04,13.23,13.23,11.91,12.02,49835,0
2010-06-07,12.03,12.27,11.75,11.83,60223,0
2010-06-08,12.08,12.31,12,12.17,22198,0
2010-06-09,12.3,13.48,12.18,12.29,32952,0
2010-06-10,12.49,12.71,12.1,12.63,37620,0
2010-06-11,12.47,12.91,12.45,12.78,11580,0
2010-06-14,12.9,13.14,12.1,12.14,37460,0
2010-06-15,12.44,13.24,12.01,13.22,28225,0
2010-06-16,13.14,13.21,12.91,12.98,11475,0
2010-06-17,13.08,13.08,12.54,12.8,12313,0
2010-06-18,12.9,13.04,12.5,12.64,87915,0
2010-06-21,12.8,13,11.59,11.78,32968,0
2010-06-22,11.76,12.12,11.04,11.26,49669,0
2010-06-23,11.29,12.08,11,12,27412,0
2010-06-24,12,14,12,13.12,179787,0
2010-06-25,13.21,13.95,12.95,13.37,253720,0
2010-06-28,13.25,13.49,12.92,12.98,26815,0
2010-06-29,12.81,12.93,12.24,12.41,53050,0
2010-06-30,12.45,12.45,11.41,12.07,81767,0
2010-07-01,12.1,12.53,12.04,12.51,13311,0
2010-07-02,12.63,12.73,12.13,12.15,23335,0
2010-07-06,12.44,12.44,11.61,11.69,41828,0
2010-07-07,11.65,12,11.57,11.92,35979,0
2010-07-08,12.07,12.07,11.58,11.81,37763,0
2010-07-09,11.89,11.89,10.9,11.14,45931,0
2010-07-12,11.07,12.48,11.07,11.58,31145,0
2010-07-13,11.78,12.94,11.77,12.85,38890,0
2010-07-14,12.89,13.51,12.43,13.13,71635,0
2010-07-15,13.18,13.36,13,13.33,62445,0
2010-07-16,13.19,13.74,13.19,13.35,86176,0
2010-07-19,13.35,13.35,12.26,12.46,73295,0
2010-07-20,11.76,12.34,11.3,11.74,31210,0
2010-07-21,11.75,11.75,10.99,10.99,27795,0
2010-07-22,11.23,11.8,11.08,11.77,22216,0
2010-07-23,11.69,12.31,11.53,12.3,24738,0
2010-07-26,12.46,12.47,12.09,12.28,30346,0
2010-07-27,12.4,12.4,12,12,20463,0
2010-07-28,11.96,12.04,11.87,11.92,13376,0
2010-07-29,12.06,12.47,12.05,12.43,11271,0
2010-07-30,12.5,13.27,12.5,13.19,49177,0
2010-08-02,13.36,13.36,12.88,12.95,28605,0
2010-08-03,12.85,12.91,12.75,12.81,10101,0
2010-08-04,12.84,12.84,12.38,12.59,11366,0
2010-08-05,12.53,12.58,12.31,12.35,6806,0
2010-08-06,12.14,12.37,11.56,11.66,33016,0
2010-08-09,11.7,12.06,11.5,12.01,11993,0
2010-08-10,11.81,11.81,11.5,11.51,21792,0
2010-08-11,11.31,11.64,10.88,10.92,64402,0
2010-08-12,10.78,11,10.6,10.95,32601,0
2010-08-13,10.97,11.16,10.82,11,32594,0
2010-08-16,11,11.56,10.96,11.5,31008,0
2010-08-17,11.59,11.59,10.91,10.97,36451,0
2010-08-18,10.94,11.22,10.75,10.95,25108,0
2010-08-19,10.86,10.88,10.43,10.5,40747,0
2010-08-20,10.5,10.9,10.4,10.71,43596,0
2010-08-23,10.75,11.32,10.48,10.55,37354,0
2010-08-24,10.43,10.72,10.13,10.14,32800,0
2010-08-25,10.1,10.4,10.06,10.39,32827,0
2010-08-26,10.39,10.52,9.91,10.01,50004,0
2010-08-27,10.49,11.48,10.49,11.44,48877,0
2010-08-30,11.36,11.36,10.65,10.65,21185,0
2010-08-31,10.79,11.2,10.69,10.99,28427,0
