Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,20.94,21.103,20.713,21.068,3058908,0
2010-01-05,21.355,22.345,21.25,22.313,7324724,0
2010-01-06,22.5,22.873,22.265,22.548,6844460,0
2010-01-07,22.423,22.75,22.23,22.68,2968936,0
2010-01-08,22.578,22.663,22.345,22.633,3238372,0
2010-01-11,22.548,22.74,21.953,22.175,5187020,0
2010-01-12,21.993,22.17,21.715,21.755,4124504,0
2010-01-13,21.81,22.23,21.5,22.088,3387748,0
2010-01-14,21.933,22.158,21.82,22.05,1802556,0
2010-01-15,21.95,22.175,21.505,21.76,2459584,0
2010-01-19,21.978,22.23,21.753,22.228,2353192,0
2010-01-20,21.995,22.048,21.195,21.703,3566756,0
2010-01-21,21.93,21.93,21.26,21.323,3677232,0
2010-01-22,21.315,21.388,20.81,20.875,3095564,0
2010-01-25,20.775,21.063,20.605,20.72,2484944,0
2010-01-26,20.585,20.895,20.375,20.635,2796844,0
2010-01-27,20.685,20.803,20.303,20.623,2182312,0
2010-01-28,20.615,20.863,19.953,20.068,2823708,0
2010-01-29,20.063,20.1,18.908,18.915,6840732,0
2010-02-01,19.013,19.778,18.598,19.423,6004648,0
2010-02-02,19.443,19.788,19.348,19.723,2813628,0
2010-02-03,19.56,19.633,19.125,19.29,3334224,0
2010-02-04,19.008,19.138,18.88,18.923,2941732,0
2010-02-05,18.928,19.238,18.63,19.135,4091008,0
2010-02-08,19.125,19.443,18.84,19.338,4582756,0
2010-02-09,19.65,19.843,19.35,19.74,4866384,0
2010-02-10,20.255,20.625,19.31,19.345,12886604,0
2010-02-11,19.265,19.878,18.818,19.81,6288672,0
2010-02-12,19.665,19.773,19.263,19.68,3638416,0
2010-02-16,19.87,20.053,19.585,19.913,2538996,0
2010-02-17,20,20.243,19.91,20.093,2047524,0
2010-02-18,20.12,20.385,20.043,20.315,1936820,0
2010-02-19,20.27,20.525,20.205,20.43,1841604,0
2010-02-22,20.545,20.63,20.27,20.533,2054768,0
2010-02-23,20.52,20.66,20.105,20.225,3282488,0
2010-02-24,20.385,20.748,20.1,20.633,2435076,0
2010-02-25,20.313,20.655,19.93,20.583,2247116,0
2010-02-26,20.683,20.99,20.56,20.738,2931488,0
2010-03-01,20.743,21.225,20.643,21.225,2164720,0
2010-03-02,21.24,21.25,20.783,20.965,2312704,0
2010-03-03,21.008,21.04,20.61,20.738,2294596,0
2010-03-04,20.728,20.815,20.618,20.723,2061284,0
2010-03-05,20.795,21.238,20.59,21.155,1785628,0
2010-03-08,21.093,21.16,20.898,20.93,1172488,0
2010-03-09,20.84,21.01,20.753,20.98,943208,0
2010-03-10,20.948,21.225,20.948,21.16,1917696,0
2010-03-11,21.003,21.288,20.71,21.288,2417180,0
2010-03-12,21.365,21.373,20.903,21.3,2630208,0
2010-03-15,21.28,21.298,20.985,21.14,1096712,0
2010-03-16,21.143,21.435,21.02,21.403,1473660,0
2010-03-17,21.375,22.073,21.335,21.85,2405260,0
2010-03-18,21.788,21.895,21.658,21.86,1450888,0
2010-03-19,22.393,22.393,21.625,21.798,6374784,0
2010-03-22,21.708,22.218,21.66,22.133,1936788,0
2010-03-23,22.25,22.268,21.92,22.255,1921404,0
2010-03-24,22.193,22.31,22.068,22.248,1708420,0
2010-03-25,22.335,22.37,21.755,21.758,1886288,0
2010-03-26,21.773,21.933,21.458,21.575,1587208,0
2010-03-29,21.533,21.533,20.96,21.095,3060224,0
2010-03-30,21.063,21.295,21.025,21.235,1990084,0
2010-03-31,21.195,21.498,21.063,21.233,2590152,0
2010-04-01,21.32,21.588,21.23,21.433,1790048,0
2010-04-05,21.57,21.753,21.403,21.583,1448424,0
2010-04-06,21.438,21.725,21.395,21.513,1974264,0
2010-04-07,21.41,21.458,21.14,21.223,2571400,0
2010-04-08,21.075,21.58,20.933,21.53,2333304,0
2010-04-09,21.525,22.063,21.365,22.048,2618164,0
2010-04-12,21.985,22.183,21.868,22.065,1803988,0
