Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,41.24,41.347,40.92,41.052,492992,0
2010-01-05,40.98,41.167,40.677,41.011,765193,0
2010-01-06,40.92,41.464,40.609,41.265,801937,0
2010-01-07,41.07,42.381,40.929,42.143,705044,0
2010-01-08,42.087,42.388,41.701,41.964,473781,0
2010-01-11,42.308,42.373,41.404,41.487,400155,0
2010-01-12,41.3,41.431,40.848,41.111,363891,0
2010-01-13,41.382,42.109,40.92,41.956,381674,0
2010-01-14,41.8,42.65,41.8,42.462,297132,0
2010-01-15,42.413,42.693,41.816,42.299,538484,0
2010-01-19,42.208,43.014,42.126,42.791,374586,0
2010-01-20,42.505,42.979,42.087,42.741,311736,0
2010-01-21,42.685,43.6,42.594,42.896,684486,0
2010-01-22,42.748,43.199,41.947,42.16,502061,0
2010-01-25,42.513,42.513,41.537,42.169,448238,0
2010-01-26,42.208,43.529,42.019,42.381,887123,0
2010-01-27,42.258,43.251,42.118,43.138,741146,0
2010-01-28,43.331,43.583,42.543,42.979,665358,0
2010-01-29,43.014,43.014,42.061,42.061,620553,0
2010-02-01,42.291,42.594,42.053,42.373,433458,0
2010-02-02,42.535,42.955,42.078,42.766,438723,0
2010-02-03,42.659,42.685,41.964,42.215,519288,0
2010-02-04,41.98,42.356,41.726,41.8,769630,0
2010-02-05,41.904,42.636,41.372,42.291,647099,0
2010-02-08,42.223,42.315,41.741,41.741,322330,0
2010-02-09,42.028,42.381,41.603,41.988,482679,0
2010-02-10,41.849,42.757,41.816,42.388,354734,0
2010-02-11,42.421,42.807,42.208,42.724,301982,0
2010-02-12,42.388,42.833,42.258,42.833,403132,0
2010-02-16,43.111,43.47,42.741,43.47,462182,0
2010-02-17,43.47,43.678,42.88,43.182,314221,0
2010-02-18,43.291,43.479,43.138,43.348,196678,0
2010-02-19,43.382,43.989,43.276,43.841,368940,0
2010-02-22,43.669,44.249,43.669,44.11,248157,0
2010-02-23,43.904,44.215,43.765,43.971,490806,0
2010-02-24,44.207,44.872,44.027,44.601,561557,0
2010-02-25,43.896,44.232,43.225,44.201,404774,0
2010-02-26,44.29,44.439,43.855,44.378,471335,0
2010-03-01,44.325,44.487,44.077,44.333,556961,0
2010-03-02,44.347,44.703,44.29,44.502,433494,0
2010-03-03,44.651,44.881,44.307,44.423,394486,0
2010-03-04,44.397,44.667,44.223,44.397,324436,0
2010-03-05,44.601,45.077,44.363,45.068,386167,0
2010-03-08,45.036,45.305,44.855,45.036,587734,0
2010-03-09,44.276,45.036,44.215,44.487,692556,0
2010-03-10,44.594,45.511,44.439,45.249,547878,0
2010-03-11,45.128,45.561,44.913,45.561,324548,0
2010-03-12,45.339,45.676,44.757,45.002,565869,0
2010-03-15,45.102,45.281,44.774,45.208,454173,0
2010-03-16,45.208,45.75,44.913,45.724,732707,0
2010-03-17,45.733,46.218,45.659,46.061,396363,0
2010-03-18,45.954,46.157,45.577,45.823,221317,0
2010-03-19,46.027,46.141,45.47,45.912,625174,0
2010-03-22,45.553,46.381,45.553,46.295,293402,0
2010-03-23,46.406,46.469,45.783,46.469,255151,0
2010-03-24,46.095,46.414,45.846,45.905,251668,0
2010-03-25,46.281,46.83,45.823,45.854,350903,0
2010-03-26,46.103,46.174,45.249,45.488,380248,0
2010-03-29,45.668,45.706,45.102,45.628,273545,0
2010-03-30,45.741,46.061,45.553,45.806,247296,0
2010-03-31,45.544,46.266,45.47,45.733,315778,0
2010-04-01,45.791,45.954,45.349,45.863,225188,0
2010-04-05,46.095,46.218,45.766,46.183,257837,0
2010-04-06,46.07,46.953,46.07,46.75,319712,0
2010-04-07,46.774,47.019,46.251,46.461,657828,0
2010-04-08,46.373,46.872,46.118,46.652,406810,0
2010-04-09,46.661,46.732,46.331,46.715,252045,0
2010-04-12,46.707,46.929,46.513,46.725,200680,0
2010-04-13,46.668,46.839,46.39,46.675,223846,0
2010-04-14,46.847,47.513,46.799,47.458,321633,0
2010-04-15,47.513,47.561,46.898,46.922,289584,0
2010-04-16,46.889,46.97,45.349,46.208,527189,0
2010-04-19,45.954,46.774,45.75,46.553,490712,0
2010-04-20,46.822,47.363,46.513,47.363,207526,0
2010-04-21,47.458,48.193,47.2,48.038,436244,0
2010-04-22,47.651,48.734,47.283,48.65,385346,0
2010-04-23,48.576,48.953,48.357,48.717,399998,0
2010-04-26,48.784,48.938,47.79,47.962,480030,0
2010-04-27,47.625,48.185,47.242,47.373,493301,0
2010-04-28,47.724,48.357,47.258,47.485,418490,0
2010-04-29,48.142,49.175,47.79,48.864,488300,0
2010-04-30,48.798,49.815,48.634,48.65,672028,0
2010-05-03,48.969,49.168,48.535,48.922,382068,0
2010-05-04,48.463,48.699,48.02,48.535,553484,0
2010-05-05,48.125,48.805,47.906,48.24,357852,0
2010-05-06,48.038,48.411,43.922,46.661,668010,0
