Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7.8541,7.8666,7.8032,7.8113,17578,0
2010-01-05,7.8604,7.9006,7.8394,7.8948,38513,0
2010-01-06,7.953,8.0183,7.9006,7.9155,24145,0
2010-01-07,7.9858,8.046,7.9057,7.9982,44653,0
2010-01-08,8.0399,8.0833,8.0025,8.0552,26166,0
2010-01-11,8.0241,8.0941,7.9581,7.9748,50603,0
2010-01-12,8.0025,8.1112,8.0025,8.0613,55801,0
2010-01-13,8.1112,8.1112,7.9798,8.0723,42785,0
2010-01-14,8.0723,8.2553,8.0723,8.21,42898,0
2010-01-15,8.2134,8.2134,8.0723,8.1264,62976,0
2010-01-19,8.1573,8.2186,8.1214,8.1573,40878,0
2010-01-20,8.147,8.1799,8.0773,8.1326,35878,0
2010-01-21,8.1692,8.1911,7.8666,7.9006,67113,0
2010-01-22,7.9798,7.9798,7.8236,7.8773,71226,0
2010-01-25,8.0135,8.0135,7.6551,7.726,42096,0
2010-01-26,7.7686,7.8666,7.7207,7.7207,36951,0
2010-01-27,7.726,7.7514,7.6602,7.7468,37149,0
2010-01-28,7.7514,7.9097,7.4608,7.4883,94976,0
2010-01-29,7.4498,7.6018,7.3579,7.4448,73204,0
2010-02-01,7.4276,7.4661,7.244,7.4276,82909,0
2010-02-02,7.2065,7.6234,7.2065,7.6234,49317,0
2010-02-03,7.5808,7.6337,7.5411,7.5977,22666,0
2010-02-04,7.5742,7.5742,7.2065,7.2065,72496,0
2010-02-05,7.1627,7.1954,6.7301,6.9201,113480,0
2010-02-08,6.9956,7.0277,6.8331,6.9745,50240,0
2010-02-09,7.0221,7.2498,7.0221,7.0825,39040,0
2010-02-10,7.0922,7.2279,7.0878,7.2279,44565,0
2010-02-11,7.2661,7.4556,7.2279,7.3631,59347,0
2010-02-12,7.3801,7.5808,7.26,7.3631,39015,0
2010-02-16,7.4883,7.5472,7.3479,7.4883,50504,0
2010-02-17,7.504,7.5808,7.504,7.5808,45014,0
2010-02-18,7.5808,7.7207,7.5808,7.629,43822,0
2010-02-19,7.666,7.7147,7.5977,7.6602,31147,0
2010-02-22,7.7686,7.7686,7.629,7.6945,25600,0
2010-02-23,7.6945,7.7514,7.666,7.6883,36741,0
