Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,9.716,9.773,9.567,9.585,24012,0
2010-01-05,9.671,9.677,9.567,9.677,73538,0
2010-01-06,9.791,9.791,9.711,9.716,51239,0
2010-01-07,9.829,9.991,9.784,9.944,43013,0
2010-01-08,10.002,10.149,9.995,10.097,38734,0
2010-01-11,10.253,10.397,10.253,10.282,50478,0
2010-01-12,10.196,10.247,10.053,10.161,53409,0
2010-01-13,10.202,10.207,10.053,10.207,33428,0
2010-01-14,10.173,10.298,10.168,10.259,51411,0
2010-01-15,10.207,10.241,10.157,10.177,72868,0
2010-01-19,10.31,10.383,10.263,10.362,108832,0
2010-01-20,10.23,10.339,10.207,10.259,84366,0
2010-01-21,10.259,10.259,10.053,10.057,51959,0
2010-01-22,10.019,10.019,9.677,9.744,99216,0
2010-01-25,9.773,9.835,9.597,9.763,49655,0
2010-01-26,9.642,9.687,9.597,9.631,270982,0
2010-01-27,9.522,9.527,9.3796,9.4246,101301,0
2010-01-28,9.1961,9.4363,8.9392,9.2877,196647,0
2010-01-29,9.2955,9.448,9.2955,9.3346,108819,0
2010-02-01,9.363,9.613,9.363,9.567,92080,0
2010-02-02,9.624,9.659,9.573,9.608,113319,0
2010-02-03,9.2754,9.619,9.2754,9.4939,57561,0
2010-02-04,9.3561,9.3561,9.1342,9.1571,61602,0
2010-02-05,9.1226,9.1456,8.7687,9.0585,144187,0
2010-02-08,8.9746,9.117,8.843,8.8823,52115,0
2010-02-09,9.0931,9.2029,8.8823,9.1675,30112,0
2010-02-10,9.2611,9.2611,9.1226,9.2125,34294,0
2010-02-11,9.2535,9.3845,9.2201,9.3688,73287,0
2010-02-12,9.2754,9.3913,9.2535,9.3913,31786,0
2010-02-16,9.4881,9.613,9.4656,9.613,33524,0
2010-02-17,9.58,9.597,9.4705,9.597,28586,0
2010-02-18,9.567,9.585,9.556,9.585,26531,0
2010-02-19,9.4607,9.597,9.4363,9.567,37335,0
2010-02-22,9.527,9.624,9.522,9.597,23929,0
2010-02-23,9.567,9.624,9.527,9.552,47733,0
2010-02-24,9.4939,9.505,9.4705,9.4939,59461,0
2010-02-25,9.4656,9.4656,9.3346,9.4138,38035,0
2010-02-26,9.4763,9.544,9.4314,9.544,48073,0
2010-03-01,9.3444,9.3845,8.9914,9.3561,308571,0
2010-03-02,9.3845,9.517,9.3561,9.517,92482,0
2010-03-03,9.638,9.638,9.4314,9.4939,84534,0
2010-03-04,9.567,9.567,9.4138,9.4881,33562,0
2010-03-05,9.556,9.778,9.4138,9.744,72507,0
2010-03-08,9.727,9.916,9.727,9.773,40668,0
2010-03-09,9.727,9.796,9.727,9.778,78743,0
2010-03-10,9.739,9.778,9.677,9.682,26902,0
2010-03-11,9.664,9.716,9.522,9.687,38014,0
2010-03-12,9.642,9.723,9.517,9.705,25651,0
2010-03-15,9.687,9.693,9.562,9.58,35540,0
2010-03-16,9.647,9.647,9.522,9.544,27471,0
2010-03-17,9.544,9.562,9.4939,9.4939,36304,0
2010-03-18,9.4939,9.527,9.4656,9.4656,90863,0
2010-03-19,9.4412,9.4529,9.2029,9.2372,87150,0
2010-03-22,9.1055,9.2029,9.0492,9.1504,61537,0
2010-03-23,9.1342,9.3512,9.0585,9.2372,47611,0
2010-03-24,9.1389,9.3561,9.1389,9.2201,33899,0
2010-03-25,9.2305,9.407,9.2305,9.3053,47996,0
2010-03-26,9.3288,9.539,9.3288,9.363,161730,0
2010-03-29,9.4656,9.4656,9.3561,9.3688,135836,0
2010-03-30,9.4363,9.4412,9.4011,9.4363,43091,0
2010-03-31,9.4246,9.4881,9.4246,9.4656,24838,0
2010-04-01,9.3053,9.842,9.3053,9.631,93543,0
2010-04-05,9.664,9.791,9.664,9.791,128521,0
2010-04-06,9.876,9.889,9.813,9.863,127115,0
2010-04-07,9.883,9.883,9.796,9.855,124271,0
2010-04-08,9.858,9.883,9.796,9.796,85158,0
2010-04-09,9.58,9.677,9.4607,9.659,66121,0
2010-04-12,9.647,9.711,9.567,9.613,65425,0
2010-04-13,9.659,9.677,9.517,9.562,72384,0
2010-04-14,9.647,9.829,9.567,9.567,81303,0
2010-04-15,9.544,9.677,9.4939,9.562,44718,0
2010-04-16,9.4656,9.4656,9.2077,9.4656,114092,0
2010-04-19,9.4412,9.505,9.3346,9.3346,32508,0
2010-04-20,9.3288,9.4363,9.3288,9.3688,14820,0
2010-04-21,9.4881,9.4881,9.3444,9.4011,23364,0
2010-04-22,9.4607,9.517,9.3913,9.517,39512,0
2010-04-23,9.593,9.617,9.546,9.564,30359,0
2010-04-26,9.522,9.677,9.522,9.647,68584,0
2010-04-27,9.601,9.638,9.4939,9.539,30075,0
2010-04-28,9.534,9.534,9.4812,9.4998,41331,0
2010-04-29,9.556,9.567,9.4939,9.552,39395,0
2010-04-30,9.59,9.638,9.573,9.601,20860,0
2010-05-03,9.659,9.768,9.659,9.763,71433,0
2010-05-04,9.763,9.778,9.544,9.567,105829,0
2010-05-05,9.4812,9.624,9.3053,9.4656,70837,0
2010-05-06,9.448,9.448,7.6666,8.9914,200739,0
2010-05-07,9.1342,9.2077,8.9914,9.0759,98349,0
2010-05-10,9.3972,9.4412,9.2754,9.4138,92809,0
2010-05-11,9.407,9.562,9.3728,9.4939,52337,0
