Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.596,13.77,13.565,13.766,2486687,0
2010-01-05,13.734,13.848,13.476,13.582,2156444,0
2010-01-06,13.599,13.662,13.49,13.644,2927522,0
2010-01-07,13.579,13.64,13.435,13.493,2462983,0
2010-01-08,13.427,13.539,13.381,13.462,1975264,0
2010-01-11,13.455,13.506,13.257,13.403,2186969,0
2010-01-12,13.337,13.754,13.337,13.746,2854858,0
2010-01-13,13.728,13.934,13.719,13.925,2305762,0
2010-01-14,13.875,14.121,13.841,14.034,3465253,0
2010-01-15,14.058,14.212,14.015,14.101,2960279,0
2010-01-19,14.103,14.383,14.063,14.238,4075481,0
2010-01-20,14.218,14.25,14.072,14.226,2553571,0
2010-01-21,14.201,14.322,13.828,13.96,3257545,0
2010-01-22,14.018,14.121,13.835,13.853,2285451,0
2010-01-25,13.895,13.912,13.698,13.726,1762509,0
2010-01-26,13.739,13.794,13.608,13.678,1955937,0
2010-01-27,13.698,13.778,13.585,13.675,1028981,0
2010-01-28,13.721,13.927,13.644,13.662,1345947,0
2010-01-29,13.759,13.805,13.504,13.53,1899569,0
2010-02-01,13.57,13.666,13.445,13.516,2071575,0
2010-02-02,13.567,13.958,13.528,13.94,1652905,0
2010-02-03,13.95,13.999,13.83,13.895,1321958,0
2010-02-04,13.848,13.898,13.655,13.671,1469025,0
2010-02-05,13.638,13.782,13.53,13.712,2529210,0
2010-02-08,13.675,13.782,13.565,13.594,2750667,0
2010-02-09,13.78,14.381,13.65,14.306,6308107,0
2010-02-10,14.32,14.441,14.088,14.167,2129547,0
2010-02-11,14.184,14.441,14.184,14.438,2324627,0
2010-02-12,14.393,14.448,14.25,14.444,1863533,0
2010-02-16,14.47,14.508,14.342,14.462,1610519,0
2010-02-17,14.51,14.568,14.39,14.557,1548585,0
2010-02-18,14.552,14.784,14.464,14.781,1752100,0
2010-02-19,14.721,14.794,14.674,14.79,1878329,0
2010-02-22,14.836,14.893,14.69,14.857,2436933,0
2010-02-23,14.82,14.914,14.678,14.794,1837673,0
2010-02-24,14.833,15.119,14.774,15.117,2789529,0
2010-02-25,15.014,15.236,14.893,15.136,3805080,0
2010-02-26,15.153,15.153,15.002,15.078,2285907,0
2010-03-01,15.098,15.138,15.03,15.094,1951331,0
2010-03-02,15.149,15.205,15.064,15.171,1624146,0
2010-03-03,15.141,15.18,14.956,15.007,1616967,0
2010-03-04,15.007,15.044,14.912,15.009,1549440,0
2010-03-05,15.07,15.162,14.97,15.084,1210963,0
2010-03-08,15.05,15.171,15.05,15.149,1653436,0
2010-03-09,15.156,15.174,15.078,15.124,1373525,0
2010-03-10,15.119,15.158,15.05,15.153,1142358,0
2010-03-11,15.164,15.272,15.104,15.267,2963570,0
2010-03-12,15.267,15.381,15.217,15.376,1477386,0
2010-03-15,15.308,15.387,14.94,15.1,3216360,0
2010-03-16,15.104,15.292,15.046,15.238,1971272,0
2010-03-17,15.294,15.294,15.127,15.209,1734613,0
2010-03-18,15.166,15.294,15.158,15.217,1382138,0
2010-03-19,15.265,15.308,15.156,15.231,1423157,0
2010-03-22,15.16,15.483,15.16,15.438,1570523,0
2010-03-23,15.484,15.566,15.354,15.53,1214852,0
2010-03-24,15.518,15.518,15.374,15.408,1145116,0
2010-03-25,15.498,15.506,15.104,15.113,1653690,0
2010-03-26,15.119,15.138,14.822,14.922,3363028,0
2010-03-29,14.986,15.098,14.934,15.096,1766129,0
2010-03-30,15.145,15.149,15.016,15.094,803686,0
2010-03-31,15.04,15.145,14.932,15.026,1049269,0
2010-04-01,15.078,15.217,15.04,15.198,1304931,0
2010-04-05,15.254,15.283,15.162,15.2,724756,0
2010-04-06,15.176,15.226,15.145,15.162,1607463,0
2010-04-07,15.156,15.192,15.145,15.185,2844344,0
2010-04-08,15.185,15.299,15.149,15.211,1615830,0
2010-04-09,15.213,15.303,15.176,15.276,798963,0
2010-04-12,15.147,15.267,14.99,15.215,2484351,0
2010-04-13,15.158,15.276,15.032,15.238,1646781,0
2010-04-14,15.306,15.362,15.171,15.348,974186,0
2010-04-15,15.283,15.392,15.263,15.342,832067,0
