Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.25,4.25,4.22,4.22,11900,0
2010-01-05,4.23,4.25,4.2,4.2,15945,0
2010-01-06,4.22,4.23,4.2,4.22,35828,0
2010-01-07,4.22,4.37,4.22,4.37,15400,0
2010-01-08,4.4,4.5,4.4,4.5,3190,0
2010-01-11,4.47,4.5,4.17,4.35,36425,0
2010-01-12,4.4,4.45,4.37,4.4,78690,0
2010-01-13,4.37,4.4,4.37,4.4,5561,0
2010-01-14,4.45,4.45,4.37,4.41,36126,0
2010-01-15,4.41,4.42,4.4,4.42,13781,0
2010-01-19,4.44,4.48,4.42,4.48,23261,0
2010-01-20,4.5,4.6,4.36,4.36,85870,0
2010-01-21,4.5,4.52,4.42,4.42,16000,0
2010-01-22,4.42,4.5,4.42,4.5,8319,0
2010-01-25,4.4,4.4,4.35,4.4,7841,0
2010-01-26,4.39,4.39,4.39,4.39,1025,0
2010-01-27,4.36,4.37,4.36,4.36,3700,0
2010-01-28,4.36,4.38,4.35,4.36,15406,0
2010-01-29,4.38,4.38,4.35,4.35,3030,0
2010-02-01,4.35,4.37,4.35,4.35,19508,0
2010-02-02,4.36,4.36,4.36,4.36,5100,0
2010-02-03,4.36,4.36,4.35,4.36,8440,0
2010-02-04,4.35,4.35,4.35,4.35,5873,0
2010-02-05,4.5,4.6,4.5,4.5,6939,0
2010-02-08,4.45,4.45,4.4,4.4,4681,0
2010-02-09,4.45,4.45,4.35,4.35,1680,0
2010-02-10,4.35,4.45,4.35,4.45,1510,0
2010-02-11,4.35,4.45,4.35,4.45,1604,0
2010-02-12,4.36,4.36,4.36,4.36,725,0
2010-02-16,4.36,4.36,4.36,4.36,750,0
2010-02-18,4.45,4.45,4.36,4.36,410,0
2010-02-19,4.36,4.36,4.36,4.36,550,0
2010-02-22,4.36,4.45,4.36,4.45,778,0
2010-02-23,4.45,4.45,4.3,4.35,55489,0
2010-02-24,4.4,4.5,4.35,4.45,16127,0
2010-02-26,4.4,4.4,4.3,4.4,12200,0
2010-03-01,4.6,4.6,4.55,4.55,3502,0
2010-03-02,4.4,4.45,4.36,4.36,9671,0
2010-03-03,4.36,4.36,4.35,4.35,7896,0
2010-03-04,4.35,4.35,4.35,4.35,6000,0
2010-03-05,4.4,4.4,4.35,4.4,3300,0
2010-03-08,4.4,4.4,4.4,4.4,2600,0
2010-03-09,4.4,4.7,4.4,4.5,348962,0
2010-03-10,4.45,4.6,4.45,4.55,46910,0
2010-03-11,4.6,4.6,4.5,4.6,11237,0
2010-03-12,4.65,4.65,4.5,4.6,15325,0
2010-03-16,4.44,4.56,4.4,4.5,3650,0
2010-03-17,4.55,4.55,4.5,4.55,2100,0
2010-03-18,4.55,4.55,4.4,4.49,6617,0
2010-03-19,4.5,4.65,4.5,4.65,36315,0
2010-03-22,4.65,4.65,4.4,4.65,2290,0
2010-03-23,4.37,4.65,4.37,4.63,11944,0
2010-03-24,4.58,4.65,4.58,4.65,38600,0
2010-03-25,4.4,4.65,4.4,4.59,7150,0
2010-03-26,4.65,4.8,4.65,4.8,51700,0
2010-03-29,4.8,4.9,4.41,4.79,54861,0
2010-03-30,4.78,4.8,4.78,4.79,16588,0
2010-03-31,4.75,4.85,4.75,4.8,10568,0
2010-04-01,4.8,5.01,4.75,5.01,267735,0
2010-04-05,5.03,5.05,4.95,5,26546,0
2010-04-06,4.95,5,4.92,5,4745,0
2010-04-07,4.99,5.1,4.8,5.05,31064,0
2010-04-08,4.8,5.05,4.8,5.05,1625,0
2010-04-09,5,5,4.85,5,7804,0
2010-04-12,4.85,5.05,4.85,5.05,2600,0
2010-04-13,5,5,5,5,466,0
2010-04-14,5,5,4.8,4.96,9913,0
2010-04-16,4.85,5,4.82,5,23350,0
2010-04-19,4.9,5.05,4.8,5.05,21155,0
2010-04-20,5.05,5.05,4.99,5.05,20260,0
2010-04-21,5.1,5.17,5.05,5.15,23516,0
2010-04-22,4.81,5.04,4.81,5.03,20980,0
2010-04-23,5.04,5.09,5.04,5.09,11100,0
2010-04-26,5.19,5.2,5.15,5.15,4620,0
2010-04-27,5.15,5.15,5.1,5.15,3900,0
2010-04-28,5.05,5.25,5.05,5.25,5453,0
2010-04-29,5.25,5.55,5.25,5.5,15525,0
2010-04-30,5.5,5.5,5.35,5.35,6497,0
2010-05-03,5.35,5.35,5.3,5.35,2100,0
2010-05-04,5.3,5.35,5.1,5.2,25611,0
2010-05-05,5.16,5.2,5.15,5.15,6009,0
2010-05-06,5.1,5.1,5.1,5.1,3700,0
2010-05-07,5.05,5.05,4.85,5,6855,0
2010-05-10,5.1,6.09,5.1,6,1108180,0
2010-05-11,6,6.05,5.8,5.82,199969,0
2010-05-12,5.95,6.1,5.95,6.1,549454,0
2010-05-13,6.1,6.2,6.05,6.16,269221,0
2010-05-14,6.2,6.2,6.1,6.2,31264,0
2010-05-17,6.25,6.25,6.1,6.2,40818,0
2010-05-18,6.2,6.98,6.15,6.87,285768,0
2010-05-19,6.87,7.1,6.85,6.95,331557,0
2010-05-20,6.95,7,6.3,6.5,81182,0
2010-05-21,6.5,6.8,6.35,6.65,42437,0
2010-05-24,6.65,6.8,6.65,6.7,13831,0
2010-05-25,6.35,6.67,6.35,6.67,30645,0
2010-05-26,6.8,6.8,6.67,6.75,27633,0
2010-05-27,6.8,6.85,6.6,6.65,53424,0
2010-05-28,6.8,7.1,6.8,6.85,118217,0
2010-06-01,6.93,7.1,6.93,7.08,144061,0
2010-06-02,7.21,7.32,7.1,7.19,221903,0
2010-06-03,7.21,7.8,7.21,7.73,299950,0
2010-06-04,7.73,7.78,7.43,7.5,85780,0
2010-06-07,7.4,7.4,6.37,6.8,189624,0
2010-06-08,6.8,6.8,6.42,6.45,65454,0
2010-06-09,6.5,6.75,6.4,6.5,133045,0
2010-06-10,6.6,6.6,6.45,6.5,33755,0
2010-06-11,6.5,6.5,6.44,6.45,18609,0
2010-06-14,6.4,6.55,6.25,6.39,31665,0
2010-06-15,6.34,6.47,6.25,6.44,42190,0
2010-06-16,6.34,6.5,6.16,6.2,79715,0
2010-06-17,6.27,6.37,6,6.29,199686,0
2010-06-18,6.33,6.33,6.15,6.22,24684,0
2010-06-21,6.22,6.45,6.19,6.4,23500,0
2010-06-22,6.39,6.57,6.39,6.46,82657,0
2010-06-23,6.53,6.57,6.31,6.5,51675,0
2010-06-24,6.6,6.6,6.47,6.54,42260,0
2010-06-25,6.6,6.64,6.5,6.62,59794,0
2010-06-28,6.64,6.87,6.64,6.86,57735,0
2010-06-29,6.8,6.9,6.62,6.73,58295,0
2010-06-30,6.76,6.9,6.75,6.9,89207,0
2010-07-01,6.96,6.97,6.75,6.75,76235,0
2010-07-02,6.76,6.84,6.5,6.58,52619,0
2010-07-06,6.64,6.64,6.08,6.17,154489,0
2010-07-07,6.07,6.22,6.07,6.2,239677,0
2010-07-08,6.31,6.31,6.1,6.2,169711,0
2010-07-09,6.34,6.69,6.34,6.64,40016,0
2010-07-12,6.6,6.61,6.31,6.47,35863,0
2010-07-13,6.51,6.6,6.3,6.52,35267,0
2010-07-14,6.55,6.67,6.47,6.61,31351,0
2010-07-15,6.63,6.63,6.5,6.54,16636,0
2010-07-16,6.48,6.57,6.38,6.49,44324,0
2010-07-19,6.5,6.6,6.49,6.59,13200,0
2010-07-20,6.51,6.6,6.51,6.6,14417,0
2010-07-21,6.56,6.6,6.51,6.53,12175,0
2010-07-22,6.55,6.7,6.55,6.7,44064,0
2010-07-23,6.7,6.73,6.61,6.7,29665,0
2010-07-26,6.65,6.76,6.65,6.72,35466,0
2010-07-27,6.66,6.68,6.65,6.65,18393,0
2010-07-28,6.65,6.68,6.6,6.61,61600,0
2010-07-29,6.76,6.9,6.74,6.86,46977,0
2010-07-30,6.88,6.88,6.78,6.79,2110,0
2010-08-02,6.19,6.9,6.19,6.73,33663,0
2010-08-03,6.7,6.98,6.65,6.97,53814,0
2010-08-04,6.93,6.96,6.66,6.82,15700,0
2010-08-05,7,7,6.6,6.79,122010,0
2010-08-06,6.51,6.89,6.51,6.65,9911,0
2010-08-09,6.83,6.83,6.6,6.6,24540,0
2010-08-10,6.66,6.66,6.27,6.37,31813,0
2010-08-11,6.38,6.4,6.3,6.3,15800,0
2010-08-12,6.26,6.33,6.23,6.25,11011,0
2010-08-13,6.28,6.42,6.28,6.3,25269,0
2010-08-16,6.4,6.4,6.3,6.34,7554,0
2010-08-17,6.94,6.94,6.47,6.54,23753,0
2010-08-18,6.41,6.53,6.37,6.43,4462,0
2010-08-19,6.54,6.54,6.3,6.39,8483,0
2010-08-20,6.31,6.39,6.27,6.31,24460,0
2010-08-23,6.26,6.34,6.25,6.29,1000,0
2010-08-24,6.25,6.32,6.12,6.17,14497,0
2010-08-25,6.21,6.26,6.1,6.17,18015,0
2010-08-26,6.09,6.2,6.03,6.03,19500,0
2010-08-27,5.94,6.4,5.9,6.3,36753,0
2010-08-30,6.24,6.4,6.24,6.31,6618,0
2010-08-31,6.13,6.4,6.13,6.27,13452,0
2010-09-01,6.26,6.34,6.1,6.19,103258,0
2010-09-02,6.14,6.37,6,6.31,13532,0
2010-09-03,6.3,6.51,6.25,6.41,34061,0
2010-09-07,6.45,6.48,6.17,6.31,48174,0
2010-09-08,6.41,6.41,6.3,6.35,7794,0
2010-09-09,6.31,6.39,6.24,6.32,2357,0
2010-09-10,6.29,6.36,6.16,6.16,5212,0
2010-09-13,6.21,6.35,6.18,6.25,5068,0
2010-09-14,6.34,6.34,6.13,6.29,23917,0
2010-09-15,6.25,6.25,6.15,6.15,8160,0
2010-09-16,6.23,6.24,6.09,6.15,23136,0
2010-09-17,6.08,6.23,5.98,5.98,62815,0
2010-09-20,6.03,6.25,6,6.21,17965,0
2010-09-21,6.16,6.24,6.01,6.14,6269,0
2010-09-22,6.14,6.15,6.03,6.03,4600,0
2010-09-23,6.06,6.1,5.99,6.08,39947,0
2010-09-24,6.15,6.25,6.05,6.2,30716,0
2010-09-27,6.01,6.35,6,6.25,63190,0
2010-09-28,6.3,6.49,6.25,6.44,50144,0
