Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.5874,5.8978,5.575,5.8614,52326,0
2010-01-05,5.8614,6.0566,5.7091,5.977,33355,0
2010-01-06,5.9649,5.9649,5.7091,5.8309,42660,0
2010-01-07,5.7762,5.9649,5.7518,5.9528,8732,0
2010-01-08,5.8249,5.9954,5.8249,5.9528,17661,0
2010-01-11,6.0625,6.0869,5.8492,6.0687,28314,0
2010-01-12,6.0625,6.0625,5.7942,5.8369,19398,0
2010-01-13,5.8918,5.9591,5.8249,5.9467,21225,0
2010-01-14,5.9104,5.9104,5.8127,5.8492,2793,0
2010-01-15,5.8004,5.9043,5.8004,5.9043,14489,0
2010-01-19,5.9104,5.9104,5.8187,5.9043,10302,0
2010-01-20,5.8432,5.9348,5.8432,5.9285,17275,0
2010-01-21,5.9348,5.9348,5.8004,5.9104,14164,0
2010-01-22,5.9104,5.9285,5.8492,5.8735,30688,0
2010-01-25,5.8918,5.9104,5.8492,5.8858,12683,0
2010-01-26,5.9043,5.9104,5.8492,5.8796,24163,0
2010-01-27,5.8735,5.8796,5.7578,5.8369,9054,0
2010-01-28,5.8614,5.8735,5.7641,5.8369,1677,0
2010-01-29,5.8675,5.9104,5.7882,5.8063,47785,0
2010-02-01,5.8614,5.8614,5.6968,5.7212,7439,0
2010-02-02,5.6422,5.7882,5.6422,5.7882,24336,0
2010-02-03,5.8127,5.8675,5.7578,5.8675,41151,0
2010-02-04,5.63,5.6481,5.5139,5.563,19956,0
2010-02-05,5.5385,5.5933,5.5139,5.5507,35602,0
2010-02-08,5.8492,5.9104,5.5507,5.618,87265,0
2010-02-09,5.5874,5.6968,5.5139,5.6055,67224,0
2010-02-10,5.6968,5.7274,5.5139,5.6968,26050,0
2010-02-11,5.7518,5.7518,5.6664,5.7518,15510,0
2010-02-12,5.7028,5.7518,5.7028,5.7518,6738,0
2010-02-16,5.7028,5.7578,5.6422,5.7274,7636,0
2010-02-17,5.6481,5.7274,5.6481,5.7274,12390,0
2010-02-18,5.6785,5.7274,5.6664,5.7274,21187,0
2010-02-19,5.7212,5.7274,5.618,5.7274,64201,0
2010-02-22,5.7274,5.8249,5.6968,5.8249,15703,0
2010-02-23,5.8249,5.9043,5.7394,5.8004,27231,0
2010-02-24,5.8918,5.8918,5.7151,5.7151,16735,0
