Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,41.941,43.508,41.781,42.911,3089025,0
2010-01-05,43.081,43.793,42.769,43.57,2344487,0
2010-01-06,43.811,45.128,43.712,45.074,4330380,0
2010-01-07,44.737,45.138,43.721,44.398,3041520,0
2010-01-08,44.228,47.353,44.113,47.282,4809078,0
2010-01-11,48.688,49.31,46.623,47.068,4623344,0
2010-01-12,46.106,46.444,44.06,44.719,5221148,0
2010-01-13,45.146,46.063,43.347,45.884,4124078,0
2010-01-14,45.697,47.157,45.697,46.063,3461222,0
2010-01-15,45.742,45.884,44.193,44.282,4037511,0
2010-01-19,44.264,45.929,43.971,45.893,5265825,0
2010-01-20,44.674,44.674,43.329,43.774,4915632,0
2010-01-21,43.961,43.98,39.752,39.823,10032870,0
2010-01-22,39.261,40.491,37.544,37.713,8291243,0
2010-01-25,38.603,39.057,37.74,38.176,4786506,0
2010-01-26,37.358,38.38,36.547,37.029,6367128,0
2010-01-27,37.384,37.972,34.883,36.502,6522417,0
2010-01-28,37.072,37.286,35.239,35.639,4868688,0
2010-01-29,36.191,37.278,35.177,35.559,7694378,0
2010-02-01,36.37,38.417,36.36,38.336,6081312,0
2010-02-02,38.959,39.823,37.58,39.645,5716302,0
2010-02-03,39.12,41.106,38.94,39.654,9057056,0
2010-02-04,38.711,38.87,35.764,35.808,6708880,0
2010-02-05,36.066,37.153,34.83,37.107,7208600,0
2010-02-08,37.295,38.15,36.057,36.075,3937676,0
2010-02-09,37.358,38.07,36.404,38.051,6436742,0
2010-02-10,37.953,39.084,37.384,38.38,6237093,0
2010-02-11,38.568,40.9,38.302,40.775,6048824,0
2010-02-12,39.724,41.194,39.253,40.829,6129512,0
2010-02-16,42.102,43.57,41.977,42.876,6435045,0
2010-02-17,43.295,43.418,41.434,42.191,5830950,0
2010-02-18,42.181,45.786,42.111,45.305,11814336,0
2010-02-19,45.163,48.467,45.119,47.709,11758593,0
2010-02-22,48.376,49.258,47.353,48.5,7494699,0
2010-02-23,47.852,48.244,46.444,46.926,7893090,0
2010-02-24,47.45,48.509,47.3,48.021,7708117,0
2010-02-25,46.606,49.569,46.106,49.426,7810910,0
2010-02-26,49.649,50.255,48.626,50.201,5044261,0
2010-03-01,50.771,52.801,50.041,52.587,6987972,0
2010-03-02,52.996,53.308,51.768,52.204,7781373,0
2010-03-03,52.731,53.673,50.745,51.101,8394025,0
2010-03-04,51.172,52.462,50.255,52.204,8369450,0
2010-03-05,52.889,54.019,52.801,53.984,6628211,0
2010-03-08,54.447,54.74,53.085,53.558,4182795,0
2010-03-09,52.792,53.699,52.16,52.675,5430905,0
2010-03-10,53.102,53.842,52.213,53.147,5543481,0
2010-03-11,52.578,53.815,51.991,53.681,4429573,0
2010-03-12,54.74,57.624,54.545,57.268,11525541,0
2010-03-15,56.707,56.903,55.292,56.21,4664293,0
2010-03-16,57.828,59.609,57.67,58.986,9926626,0
2010-03-17,59.832,60.108,57.936,58.239,6657478,0
2010-03-18,58.488,58.72,57.153,57.466,5239666,0
