Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.494,14.195,13.494,14.146,78901,0
2010-01-05,14.165,14.244,13.969,14.136,61851,0
2010-01-06,14.096,14.798,14.096,14.652,114909,0
2010-01-07,14.7,15.061,14.652,15.041,70920,0
2010-01-08,15.021,15.578,14.827,15.372,57501,0
2010-01-11,15.401,15.646,15.401,15.578,52366,0
2010-01-12,15.478,15.587,15.352,15.478,63208,0
2010-01-13,15.459,15.732,15.411,15.694,42719,0
2010-01-14,15.597,15.742,15.568,15.607,40265,0
2010-01-15,15.226,15.684,15.226,15.528,106708,0
2010-01-19,15.518,15.742,15.294,15.723,63515,0
2010-01-20,15.597,15.646,15.294,15.382,127468,0
2010-01-21,15.362,15.391,14.603,14.662,126387,0
2010-01-22,14.681,14.788,14.244,14.368,101305,0
2010-01-25,14.486,14.545,14.116,14.319,63598,0
2010-01-26,14.214,14.319,14.076,14.106,47624,0
2010-01-27,14.027,14.914,13.854,14.691,162582,0
2010-01-28,14.603,14.603,13.893,13.979,269546,0
2010-01-29,13.777,14.116,13.045,13.22,196942,0
2010-02-01,13.356,13.356,12.724,12.782,143375,0
2010-02-02,12.832,12.891,12.705,12.792,92139,0
2010-02-03,12.715,13.143,12.715,12.996,108769,0
2010-02-04,12.832,12.891,12.606,12.616,159189,0
2010-02-05,12.685,12.832,12.297,12.724,101204,0
2010-02-08,12.695,12.772,12.422,12.471,104130,0
2010-02-09,12.675,12.841,12.471,12.822,79379,0
2010-02-10,12.715,13.075,12.705,12.9,57018,0
2010-02-11,12.812,13.133,12.538,13.104,43712,0
2010-02-12,13.171,13.444,12.743,13.404,77637,0
2010-02-16,13.404,13.767,13.162,13.747,57459,0
2010-02-17,13.826,13.826,13.319,13.58,159064,0
2010-02-18,13.522,13.826,13.309,13.649,46795,0
2010-02-19,13.639,13.826,13.58,13.6,34390,0
2010-02-22,13.697,13.816,13.522,13.649,54320,0
2010-02-23,13.649,13.787,13.551,13.747,100106,0
2010-02-24,13.826,14.476,13.797,14.086,65485,0
2010-02-25,13.864,14.146,13.659,14.116,40298,0
2010-02-26,14.086,14.175,13.902,14.008,85598,0
2010-03-01,14.146,14.769,13.797,14.75,90241,0
2010-03-02,14.818,15.157,14.808,15.129,55879,0
2010-03-03,15.207,15.626,15.012,15.488,90696,0
2010-03-04,15.528,15.558,14.972,15.09,52078,0
2010-03-05,15.061,15.362,14.952,15.187,217093,0
2010-03-08,15.138,15.488,15.031,15.42,68334,0
2010-03-09,15.245,15.508,15.245,15.449,98096,0
2010-03-10,15.401,15.548,15.333,15.498,64241,0
2010-03-11,15.333,15.498,15.284,15.468,222355,0
2010-03-12,15.468,15.478,15.275,15.382,45773,0
2010-03-15,15.391,15.439,15.226,15.323,106243,0
2010-03-16,15.352,15.617,15.333,15.558,45268,0
2010-03-17,15.626,16.393,15.518,16.081,63943,0
2010-03-18,16.081,16.21,15.956,16.081,40676,0
2010-03-19,16.2,16.374,15.821,16.374,215772,0
2010-03-22,16.19,16.87,16.19,16.629,102835,0
2010-03-23,16.696,16.774,16.522,16.686,213469,0
2010-03-24,16.512,16.716,16.024,16.081,103123,0
2010-03-25,16.21,16.393,15.597,15.626,62443,0
2010-03-26,15.656,15.917,15.459,15.538,37004,0
2010-03-29,15.887,15.986,15.459,15.665,31572,0
2010-03-30,15.713,15.867,15.478,15.646,96349,0
2010-03-31,15.528,15.897,15.352,15.449,87222,0
2010-04-01,15.568,15.761,15.508,15.761,63175,0
2010-04-05,15.781,16.16,15.761,15.927,53140,0
2010-04-06,15.781,16.355,15.578,16.306,34659,0
2010-04-07,16.239,16.638,16.239,16.552,50329,0
2010-04-08,16.433,16.492,16.12,16.239,82496,0
2010-04-09,16.277,16.581,16.034,16.552,43494,0
2010-04-12,16.61,16.958,16.492,16.958,99216,0
2010-04-13,16.706,16.958,16.706,16.87,111837,0
2010-04-14,16.977,17.368,16.918,17.359,69210,0
2010-04-15,17.293,17.806,17.233,17.767,140749,0
2010-04-16,17.757,17.941,17.502,17.874,172915,0
2010-04-19,17.845,17.932,17.418,17.65,92858,0
2010-04-20,17.796,17.961,17.719,17.961,118802,0
2010-04-21,17.932,18.146,17.729,18.099,93822,0
2010-04-22,17.835,18.692,17.709,18.692,82171,0
2010-04-23,18.742,18.742,18.576,18.643,58988,0
2010-04-26,18.576,18.751,18.517,18.547,90645,0
2010-04-27,18.457,18.663,17.492,17.541,81822,0
2010-04-28,17.64,17.767,17.243,17.33,63844,0
2010-04-29,17.502,18.204,17.454,18.204,88673,0
2010-04-30,18.156,18.34,17.511,17.551,114990,0
2010-05-03,17.621,18.566,17.474,18.527,67516,0
2010-05-04,18.234,18.234,17.321,17.445,78095,0
2010-05-05,17.233,17.541,16.813,17.321,98188,0
2010-05-06,17.213,17.427,15.275,16.552,122112,0
2010-05-07,16.433,16.591,15.703,16.316,157032,0
2010-05-10,16.794,17.034,16.542,16.977,115042,0
2010-05-11,16.745,17.581,16.745,17.293,68599,0
2010-05-12,17.378,17.767,17.213,17.591,101490,0
2010-05-13,17.474,17.961,17.35,17.951,144383,0
2010-05-14,17.739,17.865,17.293,17.719,119070,0
2010-05-17,17.904,17.97,17.164,17.611,130633,0
2010-05-18,17.913,17.932,17.144,17.293,150470,0
2010-05-19,17.007,17.173,16.502,16.87,89876,0
2010-05-20,16.492,16.647,15.723,15.821,85092,0
2010-05-21,15.498,16.16,15.012,16.12,177736,0
2010-05-24,16.053,16.21,15.626,15.723,77721,0
2010-05-25,15.284,15.391,14.808,15.362,103837,0
2010-05-26,15.42,16.071,15.362,15.528,140782,0
2010-05-27,15.907,16.794,15.109,16.774,106369,0
2010-05-28,16.667,16.667,15.713,15.947,126294,0
2010-06-01,15.761,15.821,15.119,15.129,188168,0
2010-06-02,15.187,15.362,14.837,15.323,117782,0
2010-06-03,15.303,15.742,15.265,15.362,89187,0
2010-06-04,14.855,15.002,14.214,14.263,130256,0
2010-06-07,14.301,14.301,13.639,13.707,95909,0
2010-06-08,13.757,14.017,13.57,13.836,119536,0
2010-06-09,13.969,14.027,13.551,13.678,237801,0
2010-06-10,13.949,14.291,13.797,13.854,138598,0
2010-06-11,13.649,14.388,13.649,14.116,119116,0
2010-06-14,14.301,14.75,14.273,14.319,67223,0
2010-06-15,14.536,15.518,14.457,15.498,121346,0
2010-06-16,15.303,15.528,15.129,15.236,75114,0
2010-06-17,15.382,15.382,15.002,15.265,63888,0
2010-06-18,15.382,15.518,15.177,15.488,145434,0
2010-06-21,15.781,16.024,15.42,15.607,58080,0
2010-06-22,15.694,15.858,15.099,15.138,126366,0
2010-06-23,15.071,15.138,14.865,14.944,49093,0
2010-06-24,14.769,14.952,14.378,14.388,51742,0
2010-06-25,14.506,15.109,14.273,14.71,300553,0
2010-06-28,14.622,14.944,14.486,14.526,70929,0
2010-06-29,14.214,14.642,13.707,13.893,104733,0
2010-06-30,13.932,14.165,13.58,13.6,193041,0
2010-07-01,13.687,13.737,13.095,13.289,94046,0
2010-07-02,13.434,13.57,12.881,13.036,77816,0
2010-07-06,13.338,13.338,12.432,12.587,117676,0
2010-07-07,12.675,13.26,12.675,13.143,100468,0
2010-07-08,13.347,13.58,12.939,13.26,91918,0
2010-07-09,13.356,13.669,13.114,13.484,65649,0
2010-07-12,13.474,13.484,12.9,12.986,122127,0
2010-07-13,13.26,13.998,13.006,13.697,148727,0
2010-07-14,13.707,13.757,13.309,13.727,99047,0
2010-07-15,13.787,14.056,13.434,13.949,72058,0
2010-07-16,13.797,13.969,13.171,13.329,149944,0
2010-07-19,13.414,14.047,13.104,13.864,88276,0
2010-07-20,13.639,14.047,13.522,14.017,91108,0
2010-07-21,14.116,14.398,13.747,13.932,97099,0
2010-07-22,14.195,14.759,14.146,14.691,197658,0
2010-07-23,14.368,15.148,13.659,15.109,198535,0
2010-07-26,15.119,16.081,14.944,15.732,262503,0
2010-07-27,15.85,15.947,15.597,15.684,104785,0
2010-07-28,15.607,15.636,15.236,15.303,89275,0
2010-07-29,15.468,15.578,14.895,15.362,92340,0
2010-07-30,15.041,15.508,14.992,15.313,72116,0
2010-08-02,15.742,16.043,15.333,15.578,168424,0
2010-08-03,15.459,15.937,15.216,15.439,91740,0
2010-08-04,15.498,15.781,15.119,15.177,106777,0
2010-08-05,15.002,15.459,14.982,15.284,49896,0
2010-08-06,14.992,15.148,14.417,14.855,67144,0
2010-08-09,15.021,15.275,14.672,14.972,84697,0
2010-08-10,14.73,14.75,14.368,14.526,66195,0
2010-08-11,14.165,14.301,13.404,13.619,115179,0
2010-08-12,13.386,13.807,13.386,13.687,107324,0
2010-08-13,13.59,13.649,13.319,13.503,84299,0
2010-08-16,13.464,13.816,13.289,13.629,72901,0
2010-08-17,13.777,13.94,13.707,13.854,110101,0
2010-08-18,13.874,13.988,13.6,13.669,84692,0
2010-08-19,13.649,13.816,12.861,12.92,95537,0
2010-08-20,12.851,12.947,12.578,12.743,75204,0
2010-08-23,12.871,12.871,12.384,12.471,67578,0
2010-08-24,12.326,12.578,12.09,12.354,56040,0
2010-08-25,12.229,12.354,12.021,12.209,159543,0
2010-08-26,12.239,12.442,12.199,12.307,109812,0
2010-08-27,12.51,12.957,12.277,12.91,121515,0
2010-08-30,12.812,12.822,12.626,12.655,120343,0
2010-08-31,12.636,12.881,12.412,12.461,65067,0
2010-09-01,12.705,13.319,12.665,13.319,84420,0
2010-09-02,13.338,13.503,13.171,13.474,38827,0
