Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,10.7,10.875,10.64,10.85,659992,0
2010-01-05,10.87,10.9,10.495,10.505,848708,0
2010-01-06,10.475,10.64,10.46,10.63,543100,0
2010-01-07,10.63,10.925,10.58,10.895,760126,0
2010-01-08,10.815,10.815,10.645,10.785,598146,0
2010-01-11,10.79,10.81,10.64,10.7,418638,0
2010-01-12,10.615,10.68,10.545,10.66,443674,0
2010-01-13,10.695,11.045,10.67,10.85,3340412,0
2010-01-14,10.89,11.075,10.825,11,454378,0
2010-01-15,11.035,11.11,10.91,11.02,771104,0
2010-01-19,10.765,10.805,10.38,10.5,1577420,0
2010-01-20,10.455,10.5,9.715,9.78,2897142,0
2010-01-21,9.74,10.035,9.56,9.705,1770740,0
2010-01-22,9.775,10.12,9.675,9.97,9959546,0
2010-01-25,9.945,10.05,9.765,9.895,1531294,0
2010-01-26,9.845,9.9,9.685,9.725,1824016,0
2010-01-27,9.73,9.98,9.675,9.845,1045366,0
2010-01-28,9.885,9.97,9.67,9.76,976948,0
2010-01-29,9.755,9.845,9.62,9.625,1754088,0
2010-02-01,9.675,9.735,9.625,9.64,1296456,0
2010-02-02,9.625,9.67,9.455,9.615,1174070,0
2010-02-03,9.62,9.665,9.51,9.555,646426,0
2010-02-04,9.49,9.565,9.265,9.27,807356,0
2010-02-05,9.27,9.315,8.965,9.2,833934,0
2010-02-08,9.22,9.28,8.945,9.04,710288,0
2010-02-09,9.095,9.235,8.8,9.15,1398854,0
2010-02-10,9.08,9.15,8.885,9.01,1601188,0
2010-02-11,8.965,9.01,8.825,8.99,1094968,0
2010-02-12,8.95,9.095,8.85,9.075,997478,0
2010-02-16,9.095,9.165,8.875,9.015,797616,0
2010-02-17,9.06,9.145,9,9.025,684468,0
2010-02-18,8.99,9.16,8.905,9.045,846420,0
2010-02-19,9.055,9.185,8.975,9.095,1050946,0
2010-02-22,9.075,9.18,8.965,9.015,527974,0
2010-02-23,9.03,9.03,8.925,8.985,668848,0
2010-02-24,8.975,9.005,8.86,8.94,490578,0
2010-02-25,8.85,9.015,8.85,8.96,572192,0
2010-02-26,8.98,9,8.885,8.935,565902,0
2010-03-01,8.965,9.13,8.855,9.105,775402,0
2010-03-02,9.105,9.335,9.105,9.275,1737086,0
2010-03-03,9.315,9.335,9.215,9.28,579658,0
2010-03-04,9.275,9.43,9.18,9.295,410120,0
2010-03-05,9.31,9.355,9.215,9.315,894502,0
2010-03-08,9.34,9.37,9.235,9.25,642416,0
2010-03-09,9.2,9.25,8.92,8.955,1347762,0
2010-03-10,8.98,9,8.855,8.975,1032562,0
2010-03-11,8.965,9.165,8.92,9.15,1205666,0
2010-03-12,9.145,9.225,9.005,9.04,678350,0
2010-03-15,9.05,9.29,8.955,9.285,855954,0
2010-03-16,9.325,9.595,9.215,9.595,809284,0
