Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,35.033,35.465,34.931,35.386,4907939,0
2010-01-05,35.911,36.818,35.902,36.781,8860709,0
2010-01-06,36.564,37.126,36.425,36.979,6421513,0
2010-01-07,36.872,39.066,36.781,38.812,8694460,0
2010-01-08,38.449,39.138,38.07,38.478,7646766,0
2010-01-11,38.792,38.955,37.769,37.785,5847831,0
2010-01-12,37.632,38.242,37.441,37.931,7164152,0
2010-01-13,37.623,38.277,36.899,38.165,6707116,0
2010-01-14,37.887,38.147,37.414,37.759,4748225,0
2010-01-15,37.441,38.156,37.061,37.269,7970115,0
2010-01-19,37.126,39.047,36.979,38.973,8574123,0
2010-01-20,38.702,39.51,38.349,38.982,8034217,0
2010-01-21,38.839,39.453,37.561,38.695,12968469,0
2010-01-22,36.962,37.047,33.81,34.01,24297793,0
2010-01-25,34.723,34.751,32.306,32.723,19346850,0
2010-01-26,32.585,33.257,31.853,31.905,14898990,0
2010-01-27,31.993,33.402,31.397,33.121,12633055,0
2010-01-28,33.084,33.735,32.404,33.293,11536683,0
2010-01-29,34.209,34.343,33.257,33.402,9441805,0
2010-02-01,33.393,33.856,33.047,33.328,9288378,0
2010-02-02,33.953,34.832,33.457,33.917,10989952,0
2010-02-03,33.663,33.837,32.968,33.121,5992601,0
2010-02-04,32.784,32.931,31.578,31.673,10035787,0
2010-02-05,31.814,32.204,30.835,32.042,9787919,0
2010-02-08,32.089,32.404,31.354,31.381,5401417,0
2010-02-09,31.871,32.723,31.588,32.013,5969120,0
2010-02-10,31.923,32.63,31.69,32.224,5156325,0
2010-02-11,32.167,32.505,31.56,32.296,5298209,0
2010-02-12,31.806,32.061,31.426,31.843,7740200,0
2010-02-16,32.793,33.447,32.575,33.293,9092554,0
2010-02-17,33.508,33.791,33.028,33.393,7090935,0
2010-02-18,33.174,34.018,33.174,33.829,5879167,0
2010-02-19,33.773,34.297,33.402,34.245,6705293,0
2010-02-22,34.316,34.916,34.143,34.688,7584968,0
2010-02-23,34.525,34.769,33.373,33.553,7944464,0
2010-02-24,33.707,34.152,33.447,34.107,4781771,0
2010-02-25,33.553,33.917,32.984,33.863,5812637,0
2010-02-26,33.847,34.36,33.563,34.209,4220405,0
2010-03-01,34.379,34.488,33.735,33.872,4875884,0
2010-03-02,34,34.732,33.953,34.417,3992205,0
2010-03-03,34.471,35.122,33.944,34.217,5973029,0
2010-03-04,33.963,34.028,33.149,33.383,10481916,0
2010-03-05,33.074,34.478,32.757,34.379,11081106,0
2010-03-08,34.488,34.671,34.037,34.297,4423127,0
2010-03-09,34.143,35.456,33.981,35.033,7503249,0
2010-03-10,35.277,35.938,35.105,35.421,6388313,0
2010-03-11,35.331,36.111,35.114,36.073,5339352,0
2010-03-12,36.138,36.926,35.758,36.148,7207608,0
2010-03-15,36.157,36.634,35.295,36.227,8611426,0
2010-03-16,36.481,36.624,35.585,36.6,8688196,0
2010-03-17,36.799,37.07,36.209,36.473,6186259,0
