Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.89,13.2,12.749,13.145,158981,0
2010-01-05,13.154,13.24,12.732,12.749,249215,0
2010-01-06,12.685,13.2,12.685,13.098,378099,0
2010-01-07,13.04,13.905,13.04,13.897,593695,0
2010-01-08,13.866,14.951,13.565,14.862,548756,0
2010-01-11,14.951,14.951,14.831,14.893,275211,0
2010-01-12,14.769,14.982,14.61,14.704,248336,0
2010-01-13,14.753,14.769,14.094,14.119,805906,0
2010-01-14,14.056,14.884,13.992,14.726,169038,0
2010-01-15,14.753,14.753,14.062,14.522,264291,0
2010-01-19,14.562,15.052,14.513,14.91,212651,0
2010-01-20,14.745,15.004,13.875,14.505,288021,0
2010-01-21,14.482,14.951,14.199,14.656,456607,0
2010-01-22,14.594,14.84,14.34,14.363,270552,0
2010-01-25,15.036,15.575,14.436,14.53,962079,0
2010-01-26,14.562,14.762,14.27,14.419,464157,0
2010-01-27,14.34,14.753,14.199,14.625,556947,0
2010-01-28,14.84,16.032,14.84,15.275,1036994,0
2010-01-29,15.345,15.376,14.956,15.03,436156,0
2010-02-01,15.123,15.123,14.646,14.735,608462,0
2010-02-02,14.823,14.823,14.231,14.372,388728,0
2010-02-03,14.308,14.428,13.968,14.324,282885,0
2010-02-04,14.199,14.505,14.007,14.078,403755,0
2010-02-05,14.062,14.522,13.992,14.363,474471,0
2010-02-08,14.38,14.545,14.206,14.245,397404,0
2010-02-09,14.482,14.681,14.165,14.299,400419,0
2010-02-10,14.245,14.61,14.174,14.444,491446,0
2010-02-11,14.363,14.505,14.276,14.444,341351,0
2010-02-12,14.444,14.798,14.308,14.776,441945,0
2010-02-16,14.806,15.283,14.452,15.275,228301,0
2010-02-17,15.313,15.425,15.067,15.242,126483,0
2010-02-18,15.18,15.345,15.147,15.25,203418,0
2010-02-19,15.225,15.433,15.211,15.345,122655,0
2010-02-22,15.337,16.2,15.313,15.907,453687,0
2010-02-23,15.916,16.088,15.614,15.899,248858,0
2010-02-24,16.003,16.525,15.853,16.468,338296,0
2010-02-25,16.239,16.509,16.104,16.445,219566,0
2010-02-26,16.492,16.548,16.065,16.192,341038,0
2010-03-01,16.326,16.579,16.074,16.287,414249,0
2010-03-02,16.374,16.738,16.248,16.612,352024,0
2010-03-03,16.579,16.691,16.343,16.374,336094,0
2010-03-04,16.477,16.636,16.262,16.499,180815,0
2010-03-05,16.54,16.865,16.468,16.865,289332,0
2010-03-08,16.865,16.865,16.565,16.65,181628,0
2010-03-09,16.604,16.776,16.452,16.642,240751,0
2010-03-10,16.628,17.182,16.509,16.998,230052,0
2010-03-11,16.841,17.466,16.795,17.412,243785,0
2010-03-12,17.466,17.807,17.212,17.442,191972,0
2010-03-15,17.347,17.466,17.024,17.412,123015,0
2010-03-16,17.466,17.656,17.15,17.387,115323,0
