Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,44.343,44.649,43.85,44.165,202297,0
2010-01-05,44.149,45.928,44.149,45.872,259658,0
2010-01-06,45.921,46.754,45.524,46.584,294801,0
2010-01-07,46.738,47.241,46.211,46.634,254365,0
2010-01-08,46.352,46.738,45.614,45.815,123254,0
2010-01-11,45.742,45.8,44.625,44.821,177206,0
2010-01-12,44.536,45.047,44.083,44.554,105258,0
2010-01-13,44.497,45.111,44.243,44.876,95836,0
2010-01-14,44.981,45.336,43.994,44.221,222474,0
2010-01-15,44.083,44.091,42.166,42.829,274938,0
2010-01-19,42.619,43.378,41.865,42.587,408609,0
2010-01-20,42.684,42.684,41.592,41.8,415350,0
2010-01-21,41.882,42.587,40.733,42.286,434743,0
2010-01-22,41.719,42.611,41.405,41.785,570548,0
2010-01-25,42.651,43.621,41.689,42.335,485034,0
2010-01-26,42.044,43.072,41.219,42.255,381449,0
2010-01-27,42.078,43.258,41.719,42.725,323560,0
2010-01-28,42.74,42.909,41.396,41.988,321623,0
2010-01-29,42.174,43.258,41.874,42.069,323104,0
2010-02-01,42.286,42.424,41.585,41.77,419305,0
2010-02-02,41.915,42.604,41.915,42.115,327227,0
2010-02-03,42.044,42.984,41.56,41.793,403189,0
2010-02-04,41.363,41.597,40.313,40.335,216353,0
2010-02-05,40.054,40.473,39.383,40.411,223416,0
2010-02-08,39.671,41.597,38.651,41.145,469666,0
2010-02-09,41.719,43.013,41.219,41.396,465137,0
2010-02-10,41.212,41.356,40.335,41.009,610845,0
2010-02-11,43.292,45.202,42.815,44.504,1557462,0
2010-02-12,44.488,44.999,43.841,44.512,467317,0
2010-02-16,44.956,44.99,44.243,44.577,176950,0
2010-02-17,44.876,45.063,44.504,44.665,203695,0
2010-02-18,44.916,44.949,44.36,44.504,207221,0
2010-02-19,44.188,44.836,44.157,44.779,314679,0
2010-02-22,45.103,45.589,44.625,44.916,296512,0
2010-02-23,45.022,45.242,44.011,44.536,250508,0
2010-02-24,44.376,45.185,44.227,44.625,159063,0
2010-02-25,44.149,44.425,43.711,44.067,232279,0
2010-02-26,44.252,44.309,43.703,44.018,315282,0
2010-03-01,44.318,44.488,43.88,44.091,329881,0
2010-03-02,43.832,44.165,43.599,43.994,291239,0
2010-03-03,44.301,44.52,44.099,44.149,135788,0
2010-03-04,43.919,44.035,43.301,43.785,276623,0
2010-03-05,43.946,44.545,43.711,44.545,1210303,0
2010-03-08,44.715,45.007,43.663,43.806,174402,0
2010-03-09,43.806,46.22,43.806,45.758,706592,0
2010-03-10,46.001,47.248,45.985,46.525,374709,0
2010-03-11,46.51,46.819,46.049,46.738,176998,0
2010-03-12,46.552,48.225,46.439,48.137,323409,0
2010-03-15,48.268,48.398,47.578,47.717,214022,0
2010-03-16,47.708,47.847,46.915,47.241,148442,0
2010-03-17,47.215,47.215,46.697,47.07,290854,0
2010-03-18,46.17,46.941,44.836,46.163,397716,0
2010-03-19,45.936,46.293,45.524,46.229,1049688,0
2010-03-22,45.97,47.388,45.549,46.972,349139,0
2010-03-23,46.965,47.265,46.414,47.167,175646,0
2010-03-24,47.079,47.467,46.195,46.43,135570,0
2010-03-25,46.352,47.248,45.695,47.022,329484,0
2010-03-26,47.304,48.423,46.86,47.288,279304,0
2010-03-29,47.499,47.905,47.15,47.362,162941,0
2010-03-30,47.524,48.964,47.524,48.452,335748,0
2010-03-31,48.452,49.967,48.3,49.207,371489,0
2010-04-01,49.529,50.276,49.393,50.095,497010,0
2010-04-05,50.381,50.381,48.917,49.092,617512,0
2010-04-06,48.947,49.489,48.339,48.364,355840,0
2010-04-07,47.888,48.807,47.888,48.786,427349,0
2010-04-08,48.85,49.157,48.423,48.502,435061,0
2010-04-09,48.559,50.315,48.43,50.202,435032,0
2010-04-12,50.478,51.053,49.489,50.688,365866,0
2010-04-13,50.551,50.712,49.182,49.353,398146,0
2010-04-14,49.572,49.773,48.704,48.964,366434,0
