Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,26.522,27.919,26.266,27.33,43197,0
2010-01-05,27.22,27.24,25.951,26.217,28606,0
2010-01-06,26.119,26.266,25.42,25.45,43696,0
2010-01-07,25.558,26.808,25.44,26.433,48964,0
2010-01-08,26.286,26.492,25.961,25.981,9790,0
2010-01-11,26.158,26.197,25.765,25.873,10245,0
2010-01-12,25.765,25.991,25.518,25.804,16081,0
2010-01-13,26.561,26.698,25.833,26.365,23363,0
2010-01-14,27.536,27.929,26.385,26.542,31251,0
2010-01-15,26.669,26.788,25.42,25.883,34884,0
2010-01-19,26.001,27.506,26.001,27.31,29446,0
2010-01-20,27.074,27.122,26.011,26.443,43765,0
2010-01-21,26.915,26.915,25.981,26.149,34625,0
2010-01-22,26.207,26.738,25.735,25.941,13040,0
2010-01-25,26.049,26.688,25.656,26.395,28574,0
2010-01-26,26.247,26.256,25.096,25.116,25719,0
2010-01-27,24.948,26.069,24.948,26.069,18091,0
2010-01-28,26.149,26.149,24.387,25.272,23966,0
2010-01-29,25.322,25.676,24.82,25.528,22870,0
2010-02-01,25.637,25.637,25.126,25.342,20659,0
2010-02-02,25.066,25.893,24.82,25.479,33941,0
2010-02-03,25.322,26.355,25.322,25.568,28231,0
2010-02-04,25.568,26.305,24.879,24.919,41584,0
2010-02-05,25.036,26.335,24.899,26.129,23096,0
2010-02-08,26.049,26.049,24.703,24.703,21801,0
2010-02-09,24.987,25.765,24.723,25.617,19259,0
2010-02-10,25.469,25.489,24.86,25.44,24764,0
2010-02-11,25.302,25.705,24.977,25.381,37589,0
2010-02-12,25.126,25.637,24.348,24.633,39239,0
2010-02-16,24.604,25.4,24.514,25.381,19329,0
2010-02-17,25.459,26.217,25.459,26.177,15917,0
2010-02-18,26.227,26.679,26.149,26.413,12366,0
2010-02-19,26.375,26.728,26.296,26.561,17343,0
2010-02-22,26.197,26.778,26.197,26.611,23592,0
2010-02-23,26.679,26.808,26.355,26.561,51033,0
2010-02-24,26.857,26.944,26.561,26.778,33519,0
2010-02-25,26.561,26.65,26.237,26.395,30060,0
2010-02-26,26.463,26.463,25.843,26.168,21878,0
2010-03-01,27.171,27.387,26.286,26.561,34184,0
2010-03-02,26.778,26.778,26.266,26.413,16441,0
2010-03-03,26.532,26.718,26.079,26.089,26351,0
2010-03-04,26.818,26.818,26.237,26.345,5985,0
2010-03-05,26.413,26.954,26.049,26.887,37386,0
2010-03-08,27.054,27.456,26.601,26.669,25376,0
2010-03-09,26.522,27.742,26.335,27.546,15431,0
2010-03-10,27.466,27.978,27.151,27.821,17474,0
2010-03-11,27.613,28.401,27.417,28.401,14906,0
2010-03-12,28.057,28.411,27.427,27.476,26265,0
2010-03-15,27.526,27.526,26.296,26.974,10604,0
2010-03-16,27.054,27.446,26.315,27.28,39585,0
2010-03-17,28.057,28.057,27.348,27.565,16978,0
2010-03-18,22.429,22.725,19.38,22.203,1297254,0
2010-03-19,22.133,22.519,21.21,22.123,191364,0
2010-03-22,21.888,21.897,21.23,21.761,74616,0
2010-03-23,21.701,22.459,21.642,22.459,56536,0
2010-03-24,22.323,22.735,21.977,22.645,88683,0
2010-03-25,22.755,22.824,22.469,22.578,57641,0
2010-03-26,22.578,22.824,22.293,22.745,110418,0
2010-03-29,22.705,22.764,22.449,22.705,76654,0
2010-03-30,22.794,22.951,22.586,22.774,91060,0
2010-03-31,22.645,22.961,22.489,22.548,62875,0
2010-04-01,22.725,23.286,22.548,23.02,55905,0
2010-04-05,23.02,23.422,22.852,23.345,103233,0
2010-04-06,21.957,23.216,21.957,23.167,117078,0
2010-04-07,23.089,23.512,22.911,23.286,36272,0
2010-04-08,23.197,23.669,22.283,23.61,53682,0
2010-04-09,23.61,23.787,23.079,23.649,36498,0
2010-04-12,23.807,23.954,23.522,23.679,39486,0
2010-04-13,23.669,23.768,23.345,23.768,25326,0
2010-04-14,23.787,23.954,23.512,23.944,21828,0
2010-04-15,23.905,23.905,23.61,23.837,41835,0
2010-04-16,23.847,24.033,23.394,23.817,32510,0
2010-04-19,23.659,23.688,22.921,23.118,23226,0
2010-04-20,23.276,23.856,22.981,23.817,39277,0
2010-04-21,23.768,23.768,23.118,23.404,32844,0
2010-04-22,23.128,23.865,22.578,23.581,51847,0
2010-04-23,23.817,23.964,23.512,23.885,19831,0
2010-04-26,23.758,23.964,23.659,23.698,28074,0
2010-04-27,23.649,23.856,22.99,23.089,61667,0
2010-04-28,23.148,23.601,22.862,23.502,33713,0
2010-04-29,23.728,23.915,23.296,23.895,64626,0
2010-04-30,23.827,23.847,22.842,22.852,40588,0
2010-05-03,22.951,23.659,22.419,23.581,37578,0
2010-05-04,23.305,23.305,22.568,22.804,33178,0
2010-05-05,22.971,23.06,22.163,22.399,30012,0
2010-05-06,22.626,22.626,21.377,21.771,36480,0
2010-05-07,21.791,22.911,21.071,21.603,43954,0
2010-05-10,22.303,22.655,21.406,22.568,41763,0
2010-05-11,22.399,23.601,22.399,23.432,37296,0
2010-05-12,23.432,23.875,23.206,23.847,55524,0
2010-05-13,23.708,24.633,23.591,23.837,40016,0
2010-05-14,23.61,23.875,22.233,23.787,45290,0
2010-05-17,23.994,23.994,22.379,23.098,61542,0
2010-05-18,23.414,23.895,23.216,23.551,44470,0
2010-05-19,23.472,23.856,22.971,23.236,37830,0
2010-05-20,22.745,23.422,21.652,21.652,65740,0
2010-05-21,21.318,22.047,20.964,21.849,111371,0
2010-05-24,21.997,22.439,21.711,22.007,79407,0
2010-05-25,21.456,22.529,21.446,22.489,152944,0
2010-05-26,22.233,22.578,21.555,21.888,56664,0
2010-05-27,22.273,22.931,21.495,22.794,54611,0
2010-05-28,22.655,23.118,21.82,21.859,126982,0
2010-06-01,21.623,22.862,21.574,22.193,77830,0
2010-06-02,22.429,23.108,22.143,23.01,42534,0
2010-06-03,22.872,23.718,22.872,23.089,22440,0
2010-06-04,22.596,22.695,21.515,21.927,86722,0
2010-06-07,21.967,22.705,21.525,21.525,138928,0
2010-06-08,21.681,22.017,20.728,21.004,27252,0
2010-06-09,21.259,21.377,20.304,20.492,33462,0
2010-06-10,20.875,22.303,20.875,22.057,175732,0
2010-06-11,21.82,22.814,21.791,22.626,36264,0
2010-06-14,22.626,22.626,21.868,22.047,51321,0
2010-06-15,22.273,22.626,21.937,22.548,39600,0
2010-06-16,22.283,22.568,21.967,21.997,41387,0
2010-06-17,22.243,22.243,21.465,21.495,44627,0
2010-06-18,21.662,22.303,21.662,22.067,64180,0
2010-06-21,22.419,22.616,21.937,22.313,54700,0
2010-06-22,22.459,22.459,20.128,20.206,62010,0
2010-06-23,20.138,20.55,19.696,20.433,62556,0
2010-06-24,20.236,20.669,19.676,19.696,51955,0
2010-06-25,19.842,21.642,19.489,21.071,463414,0
2010-06-28,20.845,21.22,20.797,20.815,46429,0
2010-06-29,20.629,20.855,19.951,20.118,47947,0
2010-06-30,19.822,19.941,18.495,18.523,122275,0
2010-07-01,18.583,19.214,17.531,17.805,105370,0
2010-07-02,17.992,17.992,17.069,17.511,59937,0
2010-07-06,17.895,17.934,17.265,17.609,76429,0
2010-07-07,17.511,20.138,17.511,20.019,121934,0
2010-07-08,20.276,20.276,18.672,19.094,54685,0
2010-07-09,19.114,19.233,18.111,19.214,26112,0
2010-07-12,19.194,19.566,18.958,18.997,37302,0
2010-07-13,19.33,19.507,19.164,19.38,91439,0
2010-07-14,19.242,19.517,19.104,19.37,32727,0
2010-07-15,19.34,19.37,18.751,19.204,21910,0
2010-07-16,18.997,18.997,18.199,18.219,50429,0
2010-07-19,18.248,18.613,18.012,18.475,53882,0
2010-07-20,18.189,18.751,17.895,18.662,36082,0
2010-07-21,18.848,19.154,18.091,18.131,26747,0
2010-07-22,18.455,19.124,17.835,19.045,36360,0
2010-07-23,18.908,19.666,18.789,19.29,66286,0
2010-07-26,19.517,19.676,19.28,19.536,43939,0
2010-07-27,19.666,19.912,19.164,19.174,34144,0
2010-07-28,19.074,19.094,18.416,18.485,22197,0
2010-07-29,18.533,19.064,18.357,18.848,43753,0
2010-07-30,18.514,19.094,18.268,18.908,13655,0
2010-08-02,19.28,19.43,18.858,19.35,22745,0
2010-08-03,17.649,19.38,17.649,18.741,27747,0
2010-08-04,18.809,19.035,18.377,18.918,28273,0
2010-08-05,18.711,18.829,17.796,18.248,46884,0
2010-08-06,17.915,18.229,17.324,18.209,69927,0
2010-08-09,18.397,18.819,18.032,18.682,39139,0
2010-08-10,18.397,18.446,17.786,17.885,24446,0
2010-08-11,17.462,17.983,16.655,16.733,50871,0
2010-08-12,16.587,16.615,16.015,16.045,47863,0
2010-08-13,15.986,16.713,15.809,16.507,112464,0
2010-08-16,16.379,16.989,16.379,16.89,38835,0
2010-08-17,17.088,17.107,16.607,16.969,33401,0
2010-08-18,16.92,16.93,16.655,16.713,28697,0
2010-08-19,16.597,16.833,15.74,16.271,37599,0
2010-08-20,16.153,16.645,16.075,16.124,45821,0
2010-08-23,16.212,16.241,15.16,15.228,25330,0
2010-08-24,15.042,15.406,14.736,15.179,59562,0
2010-08-25,15.091,16.803,15.091,16.713,43075,0
2010-08-26,16.713,16.823,16.271,16.517,34402,0
2010-08-27,16.763,16.823,16.094,16.527,20379,0
2010-08-30,16.477,16.635,15.809,15.868,39287,0
2010-08-31,15.554,16.094,15.544,15.642,43761,0
2010-09-01,15.848,15.976,15.544,15.927,60406,0
2010-09-02,16.035,16.607,15.966,16.557,17245,0
2010-09-03,16.527,16.843,16.163,16.823,21617,0
2010-09-07,16.743,17.333,16.664,16.93,31717,0
2010-09-08,16.96,17.353,16.655,16.674,20063,0
2010-09-09,16.94,17.059,16.133,16.281,22264,0
2010-09-10,16.389,16.615,15.73,16.467,89761,0
2010-09-13,16.231,17.531,16.231,17.275,70136,0
2010-09-14,16.979,17.156,16.684,16.969,39520,0
2010-09-15,16.9,17.599,16.655,17.088,60923,0
2010-09-16,16.723,17.343,16.674,17.107,86623,0
2010-09-17,17.315,17.412,16.085,16.684,94707,0
2010-09-20,16.674,17.668,16.547,17.481,144806,0
2010-09-21,17.363,17.363,16.833,16.843,15003,0
