Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.05,12.3,11.82,11.97,623138,0
2010-01-05,11.96,12.31,11.96,12.14,138118,0
2010-01-06,11.82,12.07,11.8,11.9,406483,0
2010-01-07,11.9,11.93,11.77,11.86,356868,0
2010-01-08,11.8,12.17,11.78,12.17,107005,0
2010-01-11,12.29,12.49,12.26,12.36,236995,0
2010-01-12,12.23,12.3,12.12,12.12,100897,0
2010-01-13,12.11,12.35,12,12.31,78088,0
2010-01-14,12.21,13.29,12.21,12.99,586784,0
2010-01-15,13.03,13.08,12.58,12.63,175677,0
2010-01-19,12.74,12.9,12.43,12.5,232980,0
2010-01-20,12.45,12.52,11.91,12.18,292491,0
2010-01-21,12.27,12.33,11.94,12,280274,0
2010-01-22,11.99,12.03,11.51,11.71,269429,0
2010-01-25,11.88,11.91,11.36,11.43,182744,0
2010-01-26,11.34,11.55,11.2,11.37,114594,0
2010-01-27,11.35,11.84,11.23,11.69,219579,0
2010-01-28,11.8,12.02,11.7,11.99,352351,0
2010-01-29,12.16,12.28,11.65,11.79,455960,0
2010-02-01,12.35,13.05,12.23,13,1522213,0
2010-02-02,12.9,12.96,12.31,12.36,591215,0
2010-02-03,12.33,12.71,12.03,12.3,397140,0
2010-02-04,12.2,12.2,11.5,11.56,269815,0
2010-02-05,11.54,11.96,11.2,11.49,322587,0
2010-02-08,11.58,11.91,11.54,11.7,146114,0
2010-02-09,11.8,12.04,11.77,12,229356,0
2010-02-10,11.93,11.97,11.56,11.86,254160,0
2010-02-11,11.79,12.17,11.76,11.97,140262,0
2010-02-12,11.82,11.94,11.66,11.86,136003,0
2010-02-16,11.94,12.07,11.8,11.92,107319,0
2010-02-17,11.92,11.98,11.75,11.81,86080,0
2010-02-18,11.67,11.81,11.42,11.79,161443,0
2010-02-19,11.68,11.87,11.59,11.84,106980,0
2010-02-22,11.8,11.8,11.41,11.65,164804,0
2010-02-23,11.55,11.63,11.3,11.47,114928,0
2010-02-24,11.5,11.66,11.22,11.36,198189,0
2010-02-25,11.12,11.64,11.08,11.54,137961,0
2010-02-26,11.5,11.8,11.48,11.66,96215,0
2010-03-01,11.65,11.8,11.53,11.68,164481,0
2010-03-02,11.68,11.8,11.36,11.39,229930,0
2010-03-03,11.42,11.75,11.42,11.59,218592,0
2010-03-04,11.54,11.75,11.36,11.52,266642,0
2010-03-05,11.66,11.87,11.41,11.55,536483,0
2010-03-08,11.55,11.7,11.19,11.4,305124,0
2010-03-09,11.38,11.89,11.31,11.67,361092,0
2010-03-10,11.82,12.22,11.73,11.89,294433,0
2010-03-11,11.91,12.14,11.78,12.11,260805,0
2010-03-12,12.16,12.32,12,12.29,214656,0
2010-03-15,12.2,12.25,12.05,12.15,69556,0
2010-03-16,12.23,12.35,12.11,12.26,105459,0
2010-03-17,12.29,12.62,12.27,12.6,219184,0
2010-03-18,12.46,12.64,12.28,12.4,212802,0
2010-03-19,12.36,12.36,11.89,12.11,318600,0
2010-03-22,11.97,12.17,11.76,12.03,202760,0
2010-03-23,11.99,12.08,11.85,12.01,241073,0
2010-03-24,11.97,12.21,11.89,11.97,194923,0
2010-03-25,11.97,12.03,11.76,11.8,189172,0
2010-03-26,11.89,11.89,11.69,11.74,112653,0
2010-03-29,11.75,11.89,11.48,11.48,182515,0
2010-03-30,11.5,11.59,10.64,11.03,737336,0
2010-03-31,11.02,11.09,10.77,10.92,277209,0
2010-04-01,10.95,11,10.65,10.82,187205,0
2010-04-05,10.79,11.04,10.72,10.99,110413,0
2010-04-06,10.95,11.09,10.81,11.01,164584,0
2010-04-07,10.95,11.06,10.76,10.96,116686,0
2010-04-08,10.86,10.91,10.71,10.75,171018,0
2010-04-09,10.84,10.85,10.7,10.75,201176,0
2010-04-12,10.74,10.9,10.43,10.75,659696,0
2010-04-13,10.7,10.74,10.38,10.48,257887,0
2010-04-14,10.59,10.71,10.29,10.3,761564,0
2010-04-15,10.27,10.49,10.16,10.4,499595,0
2010-04-16,10.3,10.35,9.96,10.06,350055,0
2010-04-19,10.03,10.18,9.57,9.68,599472,0
2010-04-20,9.77,10.1,9.77,10.1,691002,0
2010-04-21,10.14,10.23,9.92,10.2,376112,0
2010-04-22,10.25,10.81,10.17,10.75,620890,0
2010-04-23,10.7,10.75,10.26,10.55,398211,0
2010-04-26,11.56,11.93,10.41,10.5,1436891,0
2010-04-27,10.72,11.06,10.58,10.8,684561,0
2010-04-28,10.93,11,10.26,10.54,581392,0
2010-04-29,10.55,10.64,10.04,10.24,832641,0
2010-04-30,10.22,10.26,9.98,10.05,416896,0
2010-05-03,10.06,10.26,10,10.14,332209,0
2010-05-04,9.96,9.98,9.51,9.63,575714,0
2010-05-05,9.5,9.55,9.24,9.35,482287,0
2010-05-06,9.11,9.22,8.21,9,853216,0
2010-05-07,8.94,9.09,8.65,8.84,426967,0
2010-05-10,9.35,9.45,9.08,9.18,451036,0
2010-05-11,9.08,9.25,9,9.2,191421,0
2010-05-12,9.31,9.43,9.17,9.43,127639,0
2010-05-13,9.35,9.48,9.04,9.07,213317,0
2010-05-14,9.04,9.04,8.81,8.95,153060,0
2010-05-17,8.92,9.1,8.83,8.86,369753,0
2010-05-18,9,9.25,8.93,9.04,286663,0
2010-05-19,8.95,8.96,8.65,8.73,286121,0
2010-05-20,8.49,8.6,8.37,8.5,271383,0
2010-05-21,8.4,8.8,8.4,8.56,108090,0
2010-05-24,8.52,8.64,8.43,8.55,133272,0
2010-05-25,8.31,8.34,8.01,8.23,440269,0
2010-05-26,8.3,8.37,8.16,8.23,466618,0
2010-05-27,8.41,8.5,8.36,8.46,238915,0
2010-05-28,8.41,8.43,8.18,8.35,158293,0
2010-06-01,8.3,8.31,7.9,7.95,130110,0
2010-06-02,8,8.01,7.86,8,132349,0
2010-06-03,8,8.11,7.95,8.02,188420,0
2010-06-04,7.85,7.94,7.64,7.69,111555,0
2010-06-07,7.66,7.67,7.27,7.27,207433,0
2010-06-08,7.27,7.41,7.08,7.12,167799,0
2010-06-09,7.14,7.24,6.88,6.92,138445,0
2010-06-10,6.95,7.29,6.89,7.16,548571,0
2010-06-11,7.07,7.3,7.06,7.25,366591,0
2010-06-14,7.88,8.6,7.87,8.02,626767,0
2010-06-15,8.15,8.27,8.03,8.13,270113,0
2010-06-16,8.04,8.28,8.03,8.26,151394,0
2010-06-17,8.58,9.04,8.58,8.68,624021,0
2010-06-18,8.67,8.76,8.41,8.49,222900,0
2010-06-21,8.6,8.61,8.22,8.28,174699,0
2010-06-22,8.26,8.28,8.07,8.14,161056,0
2010-06-23,8.09,8.1,7.77,7.94,244387,0
2010-06-24,7.83,7.88,7.59,7.82,137686,0
2010-06-25,7.8,7.82,7.71,7.79,64495,0
2010-06-28,7.76,7.8,7.71,7.76,104490,0
2010-06-29,7.68,7.71,7.15,7.24,285339,0
2010-06-30,7.21,7.48,7.21,7.4,144867,0
2010-07-01,7.47,7.59,7.18,7.21,287639,0
2010-07-02,7.25,7.33,7.14,7.24,85624,0
2010-07-06,7.51,7.53,7.23,7.28,143009,0
2010-07-07,7.25,7.54,7.25,7.52,73105,0
2010-07-08,7.54,7.55,7.18,7.23,255765,0
2010-07-09,7.23,7.73,7.13,7.63,336525,0
2010-07-12,7.63,7.79,7.49,7.53,161242,0
2010-07-13,7.65,7.99,7.64,7.97,214572,0
2010-07-14,7.93,8.2,7.93,8.17,133463,0
2010-07-15,8.2,8.2,8.04,8.12,70240,0
2010-07-16,8.09,8.1,7.8,7.85,121316,0
2010-07-19,7.86,8,7.74,7.98,132583,0
2010-07-20,7.87,8.03,7.81,8.03,215872,0
2010-07-21,8.08,8.1,7.88,8.05,318115,0
2010-07-22,8.2,8.31,8.02,8.06,105113,0
2010-07-23,8.05,8.22,7.91,7.97,246281,0
2010-07-26,8,8.1,7.59,7.88,561248,0
2010-07-27,7.99,8.02,7.68,7.86,208708,0
2010-07-28,7.79,7.8,7.41,7.48,210615,0
2010-07-29,7.5,7.59,7.4,7.45,224627,0
2010-07-30,7.4,7.54,7.34,7.52,151908,0
2010-08-02,7.7,8.08,7.54,8.02,386272,0
2010-08-03,8.02,8.02,7.7,7.75,209376,0
2010-08-04,7.77,7.87,7.65,7.72,92891,0
2010-08-05,7.68,7.74,7.55,7.68,151379,0
2010-08-06,7.56,7.71,7.52,7.63,85974,0
2010-08-09,7.63,7.86,7.57,7.86,223099,0
2010-08-10,7.78,7.8,7.54,7.57,168840,0
2010-08-11,7.49,7.49,7.31,7.42,179807,0
2010-08-12,7.25,7.45,7.19,7.28,135230,0
2010-08-13,7.24,7.29,7.2,7.23,296033,0
2010-08-16,7.21,7.57,7.21,7.51,152204,0
2010-08-17,7.65,7.79,7.62,7.65,143681,0
2010-08-18,7.67,7.74,7.58,7.68,117363,0
2010-08-19,7.62,7.63,7.5,7.52,76929,0
2010-08-20,7.51,7.55,7.49,7.5,69007,0
2010-08-23,7.55,7.65,7.51,7.55,115250,0
2010-08-24,7.52,7.56,7.44,7.44,166401,0
2010-08-25,7.35,7.53,7.35,7.51,71174,0
2010-08-26,7.51,7.69,7.4,7.49,84648,0
2010-08-27,7.51,7.81,7.46,7.78,75449,0
2010-08-30,8.2,8.75,8.15,8.6,1036530,0
2010-08-31,8.49,8.56,8.33,8.46,312199,0
2010-09-01,8.58,8.77,8.57,8.59,251684,0
2010-09-02,8.57,8.86,8.53,8.8,218369,0
