Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,0.57,0.57,0.5,0.53,21600,0
2010-01-05,0.57,0.61,0.54,0.54,21700,0
2010-01-06,0.54,0.54,0.54,0.54,7700,0
2010-01-07,0.54,0.54,0.5,0.52,44000,0
2010-01-08,0.52,0.56,0.52,0.55,31700,0
2010-01-11,0.55,0.6,0.52,0.6,4800,0
2010-01-12,0.6,0.6,0.52,0.55,4000,0
2010-01-13,0.55,0.6,0.52,0.52,3950,0
2010-01-14,0.51,0.54,0.51,0.54,9200,0
2010-01-19,0.54,0.54,0.54,0.54,6700,0
2010-01-20,0.52,0.55,0.52,0.55,4200,0
2010-01-21,0.55,0.59,0.55,0.58,15970,0
2010-01-22,0.55,0.55,0.55,0.55,1777,0
2010-01-25,0.6,0.6,0.54,0.54,7829,0
2010-01-26,0.59,0.61,0.59,0.6,6090,0
2010-01-27,0.55,0.58,0.55,0.55,4000,0
2010-01-28,0.57,0.58,0.57,0.58,5750,0
2010-01-29,0.58,0.6,0.56,0.6,43650,0
2010-02-01,0.59,0.64,0.59,0.64,18667,0
2010-02-02,0.65,0.66,0.65,0.66,12830,0
2010-02-03,0.66,0.66,0.6,0.64,32912,0
2010-02-04,0.65,0.66,0.56,0.6,15750,0
2010-02-05,0.6,0.61,0.57,0.57,22800,0
2010-02-08,0.6,0.6,0.54,0.58,20810,0
2010-02-09,0.6,0.61,0.58,0.58,3200,0
2010-02-10,0.56,0.61,0.56,0.59,4200,0
2010-02-11,0.61,0.62,0.59,0.59,2700,0
2010-02-12,0.61,0.62,0.59,0.59,3182,0
2010-02-16,0.61,0.62,0.56,0.57,17532,0
2010-02-17,0.6,0.6,0.5,0.58,23133,0
2010-02-18,0.63,0.66,0.63,0.64,7550,0
2010-02-19,0.64,0.66,0.64,0.66,19822,0
2010-02-22,0.66,0.7,0.66,0.68,11667,0
2010-02-23,0.68,0.68,0.65,0.65,5940,0
2010-02-24,0.65,0.68,0.65,0.68,7000,0
2010-02-25,0.68,0.68,0.59,0.65,7353,0
2010-02-26,0.65,0.68,0.6,0.68,24204,0
2010-03-01,0.68,0.7,0.62,0.67,19820,0
2010-03-02,0.67,0.7,0.67,0.7,4300,0
2010-03-03,0.7,0.79,0.7,0.77,47144,0
2010-03-04,0.78,0.8,0.77,0.8,37021,0
2010-03-05,0.79,0.8,0.78,0.79,16086,0
2010-03-08,0.69,0.79,0.69,0.79,26708,0
2010-03-09,0.79,0.8,0.79,0.8,10586,0
2010-03-10,0.8,0.81,0.79,0.81,7725,0
2010-03-11,0.8,0.81,0.69,0.72,23300,0
2010-03-12,0.77,0.77,0.67,0.72,13850,0
2010-03-15,0.71,0.77,0.71,0.73,4000,0
2010-03-16,0.76,0.76,0.72,0.72,7639,0
2010-03-17,0.72,0.76,0.72,0.76,2600,0
2010-03-18,0.77,0.77,0.73,0.73,2367,0
2010-03-19,0.77,0.8,0.74,0.74,14100,0
2010-03-22,0.74,0.79,0.74,0.74,8012,0
2010-03-23,0.74,0.8,0.7,0.75,10664,0
2010-03-24,0.76,0.78,0.75,0.78,23705,0
2010-03-25,0.78,0.78,0.75,0.76,5200,0
2010-03-26,0.75,0.77,0.7,0.71,27990,0
2010-03-29,0.72,0.75,0.7,0.7,36500,0
2010-03-30,0.7,0.71,0.7,0.7,1300,0
2010-03-31,0.71,0.72,0.7,0.7,14300,0
2010-04-01,0.71,0.71,0.64,0.65,57050,0
2010-04-05,0.8,0.8,0.65,0.65,34030,0
2010-04-06,0.67,0.68,0.67,0.68,7050,0
2010-04-07,0.68,0.69,0.64,0.69,5936,0
2010-04-08,0.7,0.78,0.6,0.68,16400,0
2010-04-09,0.66,0.71,0.66,0.71,4467,0
2010-04-12,0.73,0.74,0.71,0.74,14001,0
2010-04-13,0.75,0.75,0.74,0.74,12375,0
2010-04-14,0.77,0.77,0.68,0.68,17400,0
2010-04-15,0.68,0.68,0.63,0.65,22742,0
2010-04-16,0.67,0.7,0.67,0.7,11750,0
2010-04-19,0.69,0.7,0.69,0.69,2200,0
2010-04-20,0.7,0.7,0.7,0.7,8600,0
2010-04-21,0.7,0.7,0.7,0.7,900,0
2010-04-22,0.72,0.72,0.72,0.72,2200,0
2010-04-23,0.72,0.72,0.72,0.72,100,0
2010-04-26,0.7,0.77,0.7,0.77,10250,0
2010-04-27,0.8,0.8,0.73,0.73,10300,0
2010-04-28,0.71,0.71,0.71,0.71,600,0
2010-04-29,0.71,0.72,0.7,0.71,3100,0
2010-04-30,0.72,0.73,0.63,0.67,20685,0
2010-05-03,0.7,0.75,0.69,0.72,8600,0
2010-05-04,0.71,0.72,0.67,0.69,29000,0
2010-05-05,0.68,0.69,0.64,0.67,12955,0
