Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.524,17.226,16.324,17.217,47499,0
2010-01-05,17.217,17.217,16.324,16.35,17062,0
2010-01-06,16.381,16.45,15.372,15.574,35929,0
2010-01-07,15.598,15.84,15.19,15.439,27878,0
2010-01-08,15.395,15.447,15.314,15.39,5988,0
2010-01-11,15.555,15.555,15.341,15.413,9933,0
2010-01-12,15.381,15.465,15.372,15.413,11917,0
2010-01-13,15.529,15.789,15.355,15.741,13096,0
2010-01-14,15.716,16.125,15.671,15.948,16630,0
2010-01-15,16.031,16.031,15.207,15.248,37279,0
2010-01-19,15.341,15.999,15.263,15.981,22008,0
2010-01-20,15.772,15.906,15.096,15.27,22604,0
2010-01-21,15.263,15.372,14.234,14.244,30513,0
2010-01-22,14.27,14.619,14.052,14.153,19330,0
2010-01-25,14.369,14.996,14.218,14.904,26762,0
2010-01-26,14.745,15.038,14.745,14.846,13737,0
2010-01-27,14.779,15.146,14.762,15.136,5557,0
2010-01-28,15.221,15.27,13.849,14.202,38749,0
2010-01-29,14.153,14.585,14.153,14.478,16867,0
2010-02-01,14.52,14.736,14.469,14.719,31796,0
2010-02-02,14.688,14.77,14.353,14.513,31167,0
2010-02-03,14.478,14.854,14.253,14.696,16996,0
2010-02-04,14.602,14.813,14.202,14.278,16936,0
2010-02-05,14.295,14.545,14.253,14.486,5300,0
2010-02-08,14.504,14.704,14.136,14.136,11078,0
2010-02-09,14.336,14.353,13.969,13.984,9521,0
2010-02-10,13.859,13.952,13.442,13.943,18680,0
2010-02-11,13.819,14.31,13.735,14.295,13684,0
2010-02-12,14.084,14.813,14.084,14.805,11693,0
2010-02-16,14.938,14.938,14.646,14.813,14223,0
2010-02-17,14.904,14.912,14.452,14.846,15083,0
2010-02-18,14.87,14.947,14.745,14.912,23683,0
2010-02-19,14.92,15.021,14.854,14.92,17579,0
2010-02-22,14.996,15.038,14.87,14.93,6906,0
2010-02-23,14.846,15.029,14.646,14.728,12835,0
2010-02-24,14.752,15.003,14.554,14.947,9983,0
2010-02-25,14.762,14.955,14.627,14.745,23536,0
2010-02-26,14.719,14.745,14.102,14.102,14093,0
2010-03-01,14.144,14.619,14.111,14.619,13238,0
2010-03-02,14.696,14.955,14.504,14.938,26130,0
2010-03-03,14.93,15.088,14.787,15.038,49339,0
2010-03-04,15.038,15.439,14.878,15.08,104906,0
2010-03-05,15.08,15.304,14.92,15.304,67064,0
2010-03-08,15.346,15.48,15.08,15.153,37208,0
2010-03-09,15.088,15.248,15.064,15.207,55966,0
2010-03-10,15.129,15.207,15.08,15.207,41038,0
2010-03-11,15.08,15.966,15.08,15.848,36578,0
2010-03-12,15.857,16.031,15.764,15.866,32027,0
2010-03-15,15.948,16.499,15.564,16.14,47123,0
2010-03-16,16.165,17.16,16.073,17.16,24808,0
2010-03-17,17.293,17.819,17.278,17.769,18818,0
2010-03-18,17.752,17.752,16.875,17.285,25842,0
2010-03-19,17.401,17.579,16.908,17.278,58953,0
2010-03-22,17.093,17.977,17.066,17.936,25117,0
2010-03-23,17.986,18.253,17.627,18.163,41418,0
2010-03-24,18.102,18.102,17.51,17.562,33079,0
2010-03-25,17.677,17.727,17.185,17.209,12927,0
2010-03-26,17.368,17.57,17.243,17.57,9831,0
2010-03-29,17.544,17.544,17.143,17.209,27176,0
2010-03-30,17.278,17.318,16.65,17.16,37275,0
2010-03-31,16.985,17.368,16.742,16.791,37217,0
2010-04-01,16.908,16.916,16.499,16.683,39945,0
2010-04-05,16.701,16.867,16.425,16.852,19085,0
2010-04-06,16.783,17.185,16.75,17.126,17206,0
2010-04-07,17.05,17.929,17.05,17.853,43974,0
2010-04-08,17.695,17.778,17.46,17.478,16364,0
2010-04-09,17.519,17.936,17.436,17.761,22012,0
2010-04-12,17.544,17.769,17.419,17.57,31999,0
2010-04-13,17.619,17.695,17.419,17.653,16800,0
2010-04-14,17.677,17.922,17.544,17.845,24291,0
2010-04-15,17.769,17.962,17.536,17.962,23810,0
2010-04-16,17.962,17.986,17.761,17.936,24693,0
2010-04-19,17.944,17.944,17.593,17.861,11897,0
2010-04-20,17.969,18.171,17.761,18.163,14358,0
2010-04-21,18.094,18.094,17.636,17.727,22816,0
2010-04-22,17.428,18.163,17.428,18.127,8507,0
2010-04-23,18.055,18.314,17.895,18.145,20314,0
2010-04-26,18.171,18.227,18.002,18.062,20294,0
2010-04-27,18.012,18.253,17.636,18.145,23615,0
2010-04-28,18.171,18.204,18.029,18.078,15600,0
2010-04-29,18.163,18.245,18.029,18.245,17652,0
2010-04-30,18.196,18.196,16.709,16.727,64203,0
