Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,1.16,1.25,1.16,1.2,29190,0
2010-01-05,1.2,1.22,1.16,1.16,23261,0
2010-01-06,1.2,1.25,1.16,1.21,89023,0
2010-01-07,1.23,1.3,1.2,1.29,115172,0
2010-01-08,1.29,1.45,1.29,1.4,334827,0
2010-01-11,1.45,1.47,1.36,1.45,190087,0
2010-01-12,1.45,1.45,1.36,1.43,43203,0
2010-01-13,1.44,1.44,1.29,1.43,64648,0
2010-01-14,1.39,1.45,1.36,1.43,24079,0
2010-01-15,1.44,1.48,1.43,1.44,177279,0
2010-01-19,1.44,1.44,1.37,1.39,33180,0
2010-01-20,1.35,1.44,1.29,1.34,36563,0
2010-01-21,1.37,1.43,1.3,1.31,25319,0
2010-01-22,1.3,1.35,1.3,1.32,20185,0
2010-01-25,1.34,1.35,1.32,1.34,5032,0
2010-01-26,1.31,1.32,1.28,1.29,43960,0
2010-01-27,1.33,1.33,1.23,1.26,56228,0
2010-01-28,1.2,1.29,1.16,1.2,19120,0
2010-01-29,1.2,1.25,1.18,1.2,13750,0
2010-02-01,1.18,1.34,1.18,1.32,125356,0
2010-02-02,1.32,1.32,1.27,1.31,71756,0
2010-02-03,1.31,1.36,1.31,1.33,91825,0
2010-02-04,1.32,1.35,1.25,1.33,73162,0
2010-02-05,1.32,1.32,1.28,1.32,49665,0
2010-02-08,1.32,1.39,1.3,1.3,16456,0
2010-02-09,1.19,1.32,1.19,1.32,31895,0
2010-02-10,1.25,1.4,1.25,1.36,25780,0
2010-02-11,1.33,1.4,1.3,1.39,44931,0
2010-02-12,1.31,1.39,1.31,1.39,5105,0
2010-02-16,1.33,1.43,1.32,1.39,15380,0
2010-02-17,1.39,1.4,1.37,1.4,28935,0
2010-02-18,1.4,1.43,1.38,1.42,33418,0
2010-02-19,1.41,1.45,1.41,1.42,83060,0
2010-02-22,1.43,1.44,1.4,1.44,42251,0
2010-02-23,1.44,1.44,1.4,1.43,135723,0
2010-02-24,1.4,1.42,1.33,1.42,16655,0
2010-02-25,1.36,1.38,1.31,1.32,30475,0
2010-02-26,1.29,1.45,1.27,1.28,130600,0
2010-03-01,1.26,1.41,1.25,1.38,57629,0
2010-03-02,1.3,1.35,1.3,1.35,10793,0
2010-03-03,1.37,1.4,1.33,1.34,31489,0
2010-03-04,1.32,1.38,1.32,1.36,19860,0
2010-03-05,1.36,1.4,1.35,1.39,39000,0
2010-03-08,1.36,1.6,1.36,1.5,201627,0
2010-03-09,1.53,1.58,1.49,1.58,101152,0
2010-03-10,1.59,1.75,1.59,1.74,77130,0
2010-03-11,1.76,1.79,1.67,1.78,105214,0
2010-03-12,1.76,1.77,1.7,1.75,58750,0
2010-03-15,1.79,1.79,1.68,1.71,45516,0
2010-03-16,1.67,1.8,1.67,1.78,49110,0
2010-03-17,1.75,1.82,1.74,1.76,33220,0
2010-03-18,1.8,1.85,1.75,1.79,33561,0
2010-03-19,1.84,1.97,1.79,1.95,73396,0
2010-03-22,1.95,1.95,1.8,1.9,54061,0
