Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.268,12.559,12.225,12.5,1608493,0
2010-01-05,12.477,12.669,12.477,12.647,1713334,0
2010-01-06,12.877,13.292,12.772,12.849,3373598,0
2010-01-07,12.871,12.958,12.685,12.823,2729764,0
2010-01-08,12.849,13.13,12.772,13.077,2467892,0
2010-01-11,13.077,13.196,13.01,13.196,1632461,0
2010-01-12,13.077,13.077,12.89,12.89,948478,0
2010-01-13,12.89,13.071,12.849,13.071,1213235,0
2010-01-14,12.997,13.24,12.95,13.187,1160787,0
2010-01-15,13.187,13.219,12.989,13.062,2251202,0
2010-01-19,13.062,13.299,13.003,13.153,2038744,0
2010-01-20,12.997,13.13,12.929,13.105,2617595,0
2010-01-21,13.077,13.105,12.772,12.805,1483375,0
2010-01-22,12.823,12.883,12.418,12.483,2515176,0
2010-01-25,12.627,12.701,12.38,12.44,1152955,0
2010-01-26,12.299,12.477,12.284,12.314,688227,0
2010-01-27,12.344,12.366,12.143,12.26,1117029,0
2010-01-28,12.26,12.307,11.995,12.209,941506,0
2010-01-29,12.284,12.352,11.72,11.825,3582511,0
2010-02-01,11.846,12.209,11.756,12.174,1660316,0
2010-02-02,12.167,12.335,12.127,12.276,1710394,0
2010-02-03,12.24,12.299,12.135,12.218,366360,0
2010-02-04,12.107,12.233,11.802,11.83,2503352,0
2010-02-05,11.853,11.959,11.609,11.825,1591140,0
2010-02-08,11.825,11.83,11.513,11.52,2082006,0
2010-02-09,11.639,11.781,11.513,11.689,1959658,0
2010-02-10,11.705,11.756,11.417,11.47,2840959,0
2010-02-11,11.475,11.609,11.379,11.593,1704874,0
2010-02-12,11.298,11.58,11.244,11.58,1984144,0
2010-02-16,11.689,11.839,11.682,11.839,1336543,0
2010-02-17,11.853,11.912,11.765,11.853,628701,0
2010-02-18,11.862,11.891,11.624,11.788,2694245,0
2010-02-19,11.737,11.904,11.58,11.846,1637470,0
2010-02-22,11.862,11.928,11.75,11.788,2669159,0
2010-02-23,11.556,11.58,11.351,11.394,6047939,0
2010-02-24,11.386,11.423,11.023,11.201,7757516,0
2010-02-25,11.039,11.244,11.002,11.239,3387325,0
2010-02-26,11.232,11.394,11.15,11.379,3100424,0
2010-03-01,11.453,11.593,11.239,11.587,2873680,0
2010-03-02,11.587,11.653,11.534,11.646,2308255,0
2010-03-03,11.639,11.788,11.631,11.712,2459638,0
2010-03-04,11.639,11.781,11.58,11.609,1997307,0
2010-03-05,11.624,11.899,11.624,11.781,1875464,0
2010-03-08,11.756,11.794,11.572,11.742,1997620,0
2010-03-09,11.737,11.781,11.603,11.677,2093608,0
2010-03-10,11.682,11.809,11.639,11.794,2591282,0
2010-03-11,11.756,11.943,11.689,11.756,1644072,0
2010-03-12,11.809,11.904,11.669,11.705,1898910,0
2010-03-15,11.705,11.765,11.291,11.52,2461942,0
2010-03-16,11.587,11.593,11.438,11.572,2413375,0
2010-03-17,11.603,11.624,11.513,11.556,1464837,0
2010-03-18,11.52,11.534,11.291,11.379,2087618,0
2010-03-19,11.358,11.41,11.216,11.291,2114206,0
2010-03-22,11.275,11.379,11.163,11.379,1434696,0
2010-03-23,11.446,11.565,11.446,11.498,2211289,0
2010-03-24,11.453,11.482,11.275,11.358,1995664,0
2010-03-25,11.37,11.394,11.031,11.142,3075203,0
2010-03-26,11.126,11.232,11.082,11.201,1167493,0
2010-03-29,11.209,11.298,11.201,11.267,901869,0
2010-03-30,11.244,11.244,11.098,11.15,2727165,0
2010-03-31,11.156,11.312,11.098,11.252,1326695,0
2010-04-01,11.275,11.52,11.275,11.475,1530742,0
2010-04-05,11.475,11.639,11.429,11.593,1566943,0
2010-04-06,11.587,11.756,11.528,11.669,2154832,0
2010-04-07,11.682,11.72,11.438,11.513,1945386,0
2010-04-08,11.453,11.47,11.304,11.327,2801418,0
2010-04-09,11.334,11.386,11.232,11.334,2856033,0
2010-04-12,11.304,11.587,11.304,11.58,3733507,0
2010-04-13,11.58,11.712,11.528,11.646,1885698,0
2010-04-14,11.742,11.765,11.646,11.75,1033074,0
2010-04-15,11.669,12.033,11.669,11.951,2273200,0
2010-04-16,11.928,11.964,11.756,11.794,3228190,0
2010-04-19,11.816,11.839,11.653,11.825,2317228,0
2010-04-20,11.904,12.069,11.862,12.069,1660023,0
2010-04-21,12.091,12.091,11.802,11.921,2103646,0
2010-04-22,11.549,11.646,11.429,11.593,3890247,0
2010-04-23,11.396,11.612,11.312,11.59,3050179,0
2010-04-26,11.556,11.72,11.513,11.698,2787148,0
2010-04-27,11.669,11.75,11.417,11.417,2334237,0
2010-04-28,11.429,11.631,11.401,11.549,1710728,0
2010-04-29,11.653,11.921,11.631,11.794,3296217,0
2010-04-30,11.765,11.868,11.565,11.809,2824639,0
2010-05-03,11.83,11.951,11.682,11.951,1347681,0
2010-05-04,11.83,11.884,11.556,11.609,2173927,0
2010-05-05,11.363,11.662,11.363,11.572,3087777,0
2010-05-06,11.453,11.609,10.635,11.075,4805456,0
2010-05-07,11.054,11.184,10.635,10.831,4699099,0
2010-05-10,11.312,11.37,11.098,11.209,2134310,0
2010-05-11,11.135,11.244,10.986,11.06,1972805,0
2010-05-12,11.039,11.379,10.965,11.327,1933497,0
2010-05-13,11.351,11.438,11.298,11.319,1108345,0
2010-05-14,11.267,11.298,11.014,11.098,2136476,0
2010-05-17,11.171,11.252,10.904,11.12,1214350,0
2010-05-18,11.224,11.298,10.854,10.888,1976597,0
2010-05-19,10.866,10.904,10.667,10.825,1711998,0
2010-05-20,10.63,10.652,10.148,10.148,5311897,0
