Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.829,14.434,13.419,14.362,233727,0
2010-01-05,14.319,14.362,14.176,14.238,129801,0
2010-01-06,14.319,14.7,14.219,14.477,96249,0
2010-01-07,14.54,14.638,13.606,14.424,49109,0
2010-01-08,14.319,14.958,14.319,14.86,103089,0
2010-01-11,14.879,15.492,14.692,15.456,101683,0
2010-01-12,15.323,15.687,15.029,15.456,75294,0
2010-01-13,15.456,15.99,15.456,15.742,66051,0
2010-01-14,15.652,16.123,15.652,15.962,61542,0
2010-01-15,16.034,16.336,15.315,15.82,107207,0
2010-01-19,15.804,16.088,15.253,16.07,57081,0
2010-01-20,15.884,15.884,15.136,15.163,101389,0
2010-01-21,15.181,15.216,14.708,14.736,79253,0
2010-01-22,14.77,15.804,14.77,15.368,124075,0
2010-01-25,15.448,15.616,14.985,15.51,108614,0
2010-01-26,15.421,15.767,15.349,15.368,44743,0
2010-01-27,15.26,16.061,15.26,16.034,68094,0
2010-01-28,16.008,16.008,15.51,15.554,52997,0
2010-01-29,15.642,15.776,14.904,14.904,99704,0
2010-02-01,14.932,15.198,14.798,14.913,96643,0
2010-02-02,14.913,14.967,14.406,14.612,88462,0
2010-02-03,14.513,14.62,14.257,14.443,55346,0
2010-02-04,14.397,15.101,14.176,14.451,189614,0
2010-02-05,14.549,14.727,14.406,14.549,53935,0
2010-02-08,14.612,14.887,14.229,14.477,45487,0
2010-02-09,14.665,14.665,14.309,14.54,32568,0
2010-02-10,14.54,14.913,14.309,14.567,26698,0
2010-02-11,14.477,14.879,14.272,14.798,42448,0
2010-02-12,14.638,14.887,14.638,14.825,29074,0
2010-02-16,14.941,15.127,14.665,15.127,18211,0
2010-02-17,15.206,15.634,14.913,15.634,31640,0
2010-02-18,15.58,15.962,15.349,15.954,53848,0
2010-02-19,15.972,15.972,15.483,15.812,50412,0
2010-02-22,15.838,15.962,15.67,15.909,28105,0
2010-02-23,15.928,16.097,15.385,15.998,44867,0
2010-02-24,16.052,16.123,15.758,16.097,58330,0
2010-02-25,15.884,16.132,15.642,16.061,38516,0
2010-02-26,16.025,16.025,15.732,15.732,66236,0
2010-03-01,15.804,16.168,15.43,16.115,73214,0
2010-03-02,16.088,16.452,15.972,16.452,36841,0
2010-03-03,16.524,16.524,16.052,16.23,68997,0
2010-03-04,16.212,16.221,15.589,15.776,26382,0
2010-03-05,15.742,16.327,15.58,16.301,46173,0
2010-03-08,16.256,16.452,16.07,16.398,37211,0
2010-03-09,16.176,16.666,16.168,16.46,32512,0
2010-03-10,16.479,16.683,16.479,16.639,29440,0
2010-03-11,16.506,17.119,16.506,17.075,52513,0
2010-03-12,17.038,17.038,16.532,16.942,33251,0
2010-03-15,16.896,16.896,16.088,16.185,73976,0
2010-03-16,16.23,16.327,16.034,16.185,52750,0
2010-03-17,16.159,16.63,15.962,16.008,122455,0
2010-03-18,16.221,16.221,15.874,15.981,17865,0
2010-03-19,16.097,16.097,15.696,16.008,79722,0
2010-03-22,15.857,16.034,15.749,15.998,29642,0
2010-03-23,15.954,16.159,15.82,16.123,37021,0
2010-03-24,16.168,16.497,16.078,16.452,40080,0
2010-03-25,16.389,16.79,16.203,16.203,26631,0
2010-03-26,16.203,16.327,15.838,16.115,51627,0
2010-03-29,16.088,16.479,16.052,16.417,34086,0
2010-03-30,16.355,16.896,16.355,16.648,38094,0
2010-03-31,16.648,16.719,16.115,16.221,117494,0
2010-04-01,16.355,16.559,15.563,16.247,57378,0
2010-04-05,16.345,16.46,16.115,16.46,79335,0
2010-04-06,16.327,16.434,15.687,16.168,23488,0
2010-04-07,16.105,16.283,15.981,16.168,51216,0
2010-04-08,16.159,16.47,15.857,16.363,32547,0
2010-04-09,16.31,16.47,16.23,16.425,30018,0
2010-04-12,16.398,16.514,16.078,16.408,56910,0
2010-04-13,16.425,16.524,16.194,16.524,42634,0
2010-04-14,16.55,16.701,16.355,16.63,51798,0
2010-04-15,16.612,16.701,16.293,16.389,36181,0
2010-04-16,16.398,16.586,16.265,16.408,59432,0
2010-04-19,16.301,16.389,15.847,15.998,90777,0
2010-04-20,15.981,16.07,15.785,15.936,52099,0
2010-04-21,16.016,16.159,15.874,15.946,55789,0
2010-04-22,15.804,16.621,15.742,16.55,87757,0
2010-04-23,16.434,16.674,16.31,16.541,49679,0
2010-04-26,16.47,16.576,16.319,16.363,24606,0
2010-04-27,16.336,16.497,16.31,16.31,59205,0
2010-04-28,16.355,16.398,16.15,16.247,90570,0
2010-04-29,16.194,16.345,16.088,16.247,64882,0
2010-04-30,16.319,16.319,15.368,15.421,67885,0
2010-05-03,15.439,15.866,15.34,15.812,86083,0
2010-05-04,15.616,15.981,15.483,15.795,46671,0
2010-05-05,15.767,15.785,15.411,15.678,30172,0
2010-05-06,15.829,15.972,14.674,14.904,77429,0
2010-05-07,14.745,15.473,14.193,14.424,82108,0
2010-05-10,14.879,15.527,14.665,15.11,42995,0
2010-05-11,15.306,15.501,14.807,15.181,37384,0
2010-05-12,14.896,15.563,14.879,15.492,50769,0
2010-05-13,15.492,15.795,15.492,15.616,36977,0
2010-05-14,15.554,15.634,15.234,15.563,30502,0
2010-05-17,15.696,15.696,15.181,15.599,34545,0
2010-05-18,15.749,15.749,15.234,15.43,30983,0
2010-05-19,15.34,15.625,15.296,15.465,22469,0
2010-05-20,15.118,15.465,14.327,14.665,50847,0
2010-05-21,14.477,14.887,14.389,14.807,36206,0
2010-05-24,14.789,14.922,13.998,14.007,59571,0
2010-05-25,13.775,14.14,13.562,14.104,43124,0
2010-05-26,14.247,14.319,13.82,13.891,47939,0
2010-05-27,14.185,14.434,13.936,14.229,52927,0
2010-05-28,14.149,14.443,13.953,14.202,53454,0
2010-06-01,14.193,14.904,13.873,14.007,80994,0
2010-06-02,14.451,16.185,14.042,16.185,265390,0
2010-06-03,16.078,16.871,16.043,16.781,147036,0
2010-06-04,16.345,16.861,15.962,16.568,99797,0
2010-06-07,16.729,17.164,16.514,16.834,118793,0
2010-06-08,16.844,16.914,16.674,16.844,139979,0
2010-06-09,16.896,16.896,16.372,16.398,132921,0
2010-06-10,16.729,16.772,16.345,16.363,141384,0
2010-06-11,16.274,16.31,15.962,16.123,104414,0
2010-06-14,16.31,16.861,16.247,16.247,94700,0
2010-06-15,16.479,16.825,16.336,16.737,85140,0
2010-06-16,16.745,17.589,16.745,17.465,125907,0
2010-06-17,17.412,17.608,17.022,17.297,49784,0
2010-06-18,17.404,17.652,17.022,17.359,65791,0
2010-06-21,17.519,17.519,16.968,17.128,33595,0
2010-06-22,17.128,17.474,16.861,16.887,42550,0
