Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,28.988,29.552,28.946,29.482,16418487,0
2010-01-05,29.437,29.527,29.196,29.367,8403519,0
2010-01-06,29.007,29.482,28.929,29.105,12662977,0
2010-01-07,29.141,30.277,29.105,30.177,20056587,0
2010-01-08,30.094,30.761,29.956,30.391,24450428,0
2010-01-11,30.555,30.555,30.161,30.329,10995442,0
2010-01-12,30.27,30.364,29.88,30.003,13138680,0
2010-01-13,29.829,30.482,29.697,30.364,12760986,0
2010-01-14,30.206,30.438,30.072,30.347,10811721,0
2010-01-15,30.347,30.518,30.054,30.314,16019466,0
2010-01-19,30.244,30.448,30.113,30.347,9612606,0
2010-01-20,30.244,30.419,29.965,30.261,10673646,0
2010-01-21,30.215,30.364,29.606,29.713,13498410,0
2010-01-22,29.561,30.234,29.233,29.713,12270517,0
2010-01-25,29.9,29.9,29.499,29.534,8282731,0
2010-01-26,29.446,29.67,29.283,29.328,8314483,0
2010-01-27,29.214,29.534,28.817,29.024,11887776,0
2010-01-28,29.122,29.731,28.865,28.902,15611521,0
2010-01-29,29.007,29.499,28.902,28.937,12865430,0
2010-02-01,29.114,29.453,28.988,29.428,8140524,0
2010-02-02,29.491,30.046,29.16,29.839,10539226,0
2010-02-03,29.233,29.527,28.912,28.978,14947506,0
2010-02-04,28.978,28.978,27.829,27.848,17717199,0
2010-02-05,27.829,28.158,27.138,27.773,28323231,0
2010-02-08,30.32,30.32,28.929,29.25,41301355,0
2010-02-09,29.688,29.721,28.953,29.25,17392656,0
2010-02-10,29.283,29.367,28.902,29.256,9027830,0
2010-02-11,29.264,29.76,29.187,29.688,11598169,0
2010-02-12,29.633,29.785,29.283,29.491,12050729,0
2010-02-16,29.623,30.063,29.534,29.965,8549355,0
2010-02-17,30.151,30.526,30.054,30.382,10198631,0
2010-02-18,30.391,30.618,30.27,30.5,9454202,0
2010-02-19,30.467,30.77,30.215,30.668,8877398,0
2010-02-22,30.761,30.831,30.5,30.591,7807044,0
2010-02-23,30.482,30.61,30.072,30.526,11390258,0
2010-02-24,30.581,30.868,30.526,30.85,8481974,0
2010-02-25,30.401,30.868,30.277,30.391,14791059,0
2010-02-26,30.419,30.458,30.08,30.168,14224363,0
2010-03-01,30.277,30.822,30.206,30.761,13383908,0
2010-03-02,30.812,31.064,30.715,30.982,11050462,0
2010-03-03,30.868,31.267,30.812,31.055,9410165,0
2010-03-04,31.136,31.37,30.928,31.172,12071421,0
2010-03-05,31.217,31.43,31.047,31.313,7689379,0
2010-03-08,31.37,31.43,31.081,31.136,5269647,0
2010-03-09,31.081,31.285,30.896,31.001,7447626,0
2010-03-10,30.972,31.294,30.877,31.154,7372511,0
2010-03-11,31.127,31.198,30.777,30.982,9652400,0
2010-03-12,31.055,31.127,30.784,30.953,7081277,0
2010-03-15,30.904,31.172,30.697,31.047,6320461,0
2010-03-16,31.047,31.378,30.936,31.225,8794097,0
2010-03-17,31.267,31.646,31.127,31.475,8560903,0
2010-03-18,31.563,31.563,31.233,31.37,8117017,0
2010-03-19,31.43,31.521,30.601,30.887,18388657,0
2010-03-22,30.822,31.537,30.687,31.457,14670624,0
2010-03-23,31.646,32.181,31.484,32.11,12971295,0
2010-03-24,32.1,32.271,31.664,31.743,11560925,0
2010-03-25,31.922,32.671,31.894,32.556,16992234,0
2010-03-26,32.618,33.075,32.618,32.888,16755991,0
2010-03-29,32.904,33.2,32.637,33.137,14746689,0
2010-03-30,33.137,33.361,32.977,33.101,9118127,0
2010-03-31,32.995,33.048,32.611,32.681,8728052,0
2010-04-01,32.288,32.637,32.235,32.386,16091529,0
2010-04-05,32.415,32.448,32.053,32.19,10842727,0
2010-04-06,32.072,32.19,31.922,32.045,8055651,0
2010-04-07,32.029,32.045,31.77,31.874,9635930,0
2010-04-08,31.832,32.825,31.797,32.602,15228254,0
2010-04-09,32.492,33.308,32.492,33.281,12617144,0
2010-04-12,33.004,33.252,32.938,33.057,10416859,0
2010-04-13,32.938,33.299,32.708,33.234,9135202,0
2010-04-14,33.129,33.361,32.977,33.308,10520141,0
2010-04-15,33.227,33.691,33.101,33.405,11721285,0
2010-04-16,33.327,33.719,33.181,33.2,15113133,0
2010-04-19,33.057,33.262,32.807,33.101,8716598,0
2010-04-20,33.12,33.458,33.12,33.252,8214306,0
2010-04-21,33.289,33.433,32.708,32.985,10852836,0
2010-04-22,32.977,33.146,32.716,32.921,8850109,0
2010-04-23,32.9,33.161,32.648,33.088,10045208,0
2010-04-26,33.004,33.181,32.861,32.958,0,0
2010-04-27,32.817,33.084,32.36,32.415,12736215,0
2010-04-28,32.529,33.496,32.492,33.173,17465173,0
2010-04-29,33.352,33.63,33.262,33.308,9483230,0
2010-04-30,33.2,33.808,32.948,33.004,14322753,0
2010-05-03,33.066,33.458,32.779,33.146,10583989,0
2010-05-04,32.708,33.424,32.425,32.611,11507467,0
2010-05-05,32.415,32.967,32.091,32.235,10718795,0
2010-05-06,32.145,32.448,29.983,31.502,16678735,0
2010-05-07,31.449,31.733,30.329,31.162,17776135,0
2010-05-10,32.11,32.396,31.903,32.331,10137784,0
2010-05-11,32.119,32.548,31.866,31.959,9804425,0
2010-05-12,32.02,32.521,31.884,32.464,7416466,0
2010-05-13,32.432,32.921,32.045,32.628,10424343,0
2010-05-14,32.415,32.585,31.778,31.987,11657501,0
2010-05-17,32.072,32.172,31.521,32.062,7561669,0
2010-05-18,32.243,32.243,31.313,31.466,14730815,0
2010-05-19,31.332,31.351,30.921,31.241,13171250,0
2010-05-20,30.591,30.802,30.161,30.27,15651207,0
2010-05-21,29.706,30.668,29.67,30.66,16574460,0
2010-05-24,30.526,30.697,30.287,30.347,10311684,0
2010-05-25,29.606,30.491,29.552,30.458,18510176,0
2010-05-26,30.563,30.724,30.08,30.187,17204842,0
2010-05-27,30.467,30.936,30.354,30.921,13366301,0
2010-05-28,30.904,31.267,30.518,30.953,21371762,0
2010-06-01,30.706,31.225,30.391,30.697,13753345,0
2010-06-02,30.831,31.475,30.802,31.466,12935783,0
2010-06-03,31.43,31.563,30.85,31.342,8068881,0
2010-06-04,30.812,30.904,30.072,30.206,13212062,0
2010-06-07,27.658,28.643,26.478,27.745,55985481,0
2010-06-08,27.676,28.024,27.461,27.854,27012437,0
2010-06-09,27.872,28.114,27.086,27.417,27756074,0
2010-06-10,27.584,28.589,27.56,28.512,26507873,0
2010-06-11,28.338,28.711,28.06,28.677,17881091,0
2010-06-14,28.953,29.274,28.454,28.49,17348403,0
2010-06-15,28.505,28.836,28.472,28.793,16433608,0
2010-06-16,28.658,28.836,28.446,28.497,17784580,0
2010-06-17,28.589,28.677,28.219,28.464,10827310,0
2010-06-18,29.9,29.946,28.978,28.988,27156651,0
2010-06-21,29.418,29.534,28.328,28.409,13579487,0
2010-06-22,28.409,28.464,28.024,28.069,13140539,0
2010-06-23,28.069,28.284,27.872,28.096,15420365,0
2010-06-24,27.898,27.962,27.274,27.522,14923876,0
2010-06-25,27.507,27.594,27.299,27.352,17478490,0
2010-06-28,27.417,27.783,27.274,27.611,9439197,0
2010-06-29,27.325,27.398,26.478,26.66,19950367,0
2010-06-30,26.764,27.043,26.118,26.208,15895689,0
2010-07-01,26.093,26.192,25.449,26.129,18763449,0
2010-07-02,26.156,26.406,25.798,25.996,7986850,0
2010-07-06,26.192,26.434,25.306,25.522,16784480,0
2010-07-07,25.736,26.048,25.298,26.04,19213504,0
2010-07-08,26.245,26.387,25.887,26.308,12808329,0
2010-07-09,26.353,26.7,26.146,26.641,9533537,0
2010-07-12,26.594,26.852,26.528,26.789,8680519,0
2010-07-13,26.936,27.425,26.918,27.308,11588677,0
2010-07-14,27.282,27.515,27.022,27.417,7045106,0
2010-07-15,27.398,27.569,27.012,27.515,8747454,0
2010-07-16,27.371,27.507,26.782,26.852,11682785,0
2010-07-19,26.862,27.093,26.728,26.962,9158829,0
2010-07-20,26.683,27.299,26.622,27.256,8086570,0
2010-07-21,27.407,27.407,26.683,26.782,10052033,0
2010-07-22,27.031,27.532,26.103,26.746,19901991,0
2010-07-23,26.763,27.82,26.71,27.648,13741954,0
2010-07-26,27.729,27.925,27.333,27.712,6781776,0
2010-07-27,27.764,27.881,27.299,27.352,9026781,0
2010-07-28,26.406,28.686,26.369,28.193,31262993,0
2010-07-29,27.997,28.55,27.352,27.62,16824334,0
2010-07-30,27.38,27.611,27.138,27.434,12184623,0
2010-08-02,27.729,27.915,27.577,27.82,8830780,0
2010-08-03,27.629,27.934,27.507,27.584,8379356,0
2010-08-04,27.56,27.801,27.315,27.315,10081134,0
2010-08-05,27.086,27.248,26.871,26.926,14490897,0
2010-08-06,26.692,26.824,26.281,26.674,11155217,0
2010-08-09,26.899,26.899,26.613,26.816,7068352,0
2010-08-10,26.7,26.789,26.327,26.528,6196753,0
2010-08-11,26.209,26.3,25.503,25.585,11993193,0
2010-08-12,25.423,26.103,25.298,25.871,13477087,0
2010-08-13,25.825,25.932,25.61,25.654,9754497,0
2010-08-16,25.549,25.744,25.387,25.654,5902733,0
2010-08-17,25.79,26.058,25.664,25.817,7166251,0
2010-08-18,25.736,26.11,25.566,25.968,8695639,0
2010-08-19,25.913,25.968,25.476,25.494,11720317,0
2010-08-20,25.503,25.54,24.984,25.019,14994156,0
2010-08-23,25.252,25.61,25.065,25.449,12541235,0
2010-08-24,25.101,25.28,24.915,24.967,11709629,0
2010-08-25,24.815,25.189,24.761,25.057,8592770,0
2010-08-26,25.306,25.306,24.806,24.815,6895171,0
2010-08-27,24.896,24.957,24.251,24.589,15077739,0
2010-08-30,24.565,24.923,24.493,24.512,6437654,0
2010-08-31,24.352,24.451,23.993,24.117,11581614,0
2010-09-01,24.011,25.019,24.011,25.01,13805950,0
2010-09-02,25.075,25.37,24.991,25.306,6190744,0
2010-09-03,25.494,25.94,25.486,25.637,6709210,0
2010-09-07,25.522,25.682,25.164,25.189,6775517,0
2010-09-08,25.217,25.593,25.13,25.466,6799003,0
2010-09-09,25.637,25.79,25.566,25.701,7109803,0
2010-09-10,25.79,26.058,25.717,25.94,6077691,0
2010-09-13,26.093,26.235,26.004,26.129,6001689,0
2010-09-14,25.904,26.344,25.904,26.166,6976463,0
2010-09-15,26.048,26.335,26.014,26.308,6249530,0
2010-09-16,26.308,26.434,26.166,26.353,6583473,0
2010-09-17,26.406,26.754,26.353,26.667,9944737,0
2010-09-20,26.773,27.175,26.594,27.086,8549654,0
2010-09-21,26.843,27.175,26.746,26.852,9487222,0
2010-09-22,26.824,27.057,26.692,26.899,5437378,0
2010-09-23,26.667,27.128,26.622,26.728,8997093,0
2010-09-24,27.128,27.872,26.943,27.722,11651615,0
2010-09-27,27.82,27.829,27.342,27.361,7431021,0
2010-09-28,27.944,28.338,27.639,28.114,14458934,0
2010-09-29,27.952,28.247,27.944,27.971,9356900,0
2010-09-30,28.007,28.381,27.925,28.132,9549240,0
2010-10-01,28.328,28.626,28.185,28.409,9491682,0
2010-10-04,28.284,28.703,28.014,28.096,6767986,0
2010-10-05,28.319,29.034,28.247,28.658,11758742,0
2010-10-06,28.912,28.97,28.569,28.97,8674899,0
2010-10-07,28.988,29.052,28.49,28.589,10053759,0
2010-10-08,27.792,28.105,27.361,27.934,24781041,0
2010-10-11,27.898,27.988,27.729,27.755,7810500,0
2010-10-12,27.639,27.801,27.507,27.666,9343031,0
2010-10-13,27.705,28.579,27.594,28.284,15958749,0
2010-10-14,28.301,28.373,27.666,27.934,8897134,0
2010-10-15,28.132,28.211,27.848,27.988,9148478,0
2010-10-18,27.988,28.024,27.695,27.934,7919887,0
2010-10-19,27.695,27.881,27.175,27.308,8853528,0
2010-10-20,27.308,27.863,27.299,27.737,7242614,0
2010-10-21,27.783,28.185,27.602,27.934,8553084,0
2010-10-22,27.898,28.301,27.829,28.034,8714849,0
2010-10-25,28.229,28.39,27.863,27.915,8900518,0
2010-10-26,27.801,27.934,27.325,27.507,12848929,0
2010-10-27,27.333,27.602,27.005,27.569,11466058,0
2010-10-28,27.639,27.639,27.221,27.407,10859072,0
2010-10-29,27.304,27.329,26.929,26.937,14856904,0
2010-11-01,27.086,27.185,26.547,26.728,12261210,0
2010-11-02,26.926,27.611,26.824,27.291,18852009,0
2010-11-03,27.093,27.801,27.093,27.594,18616466,0
2010-11-04,27.783,28.185,27.737,28.166,11887270,0
2010-11-05,28.166,28.229,27.417,27.658,12393930,0
2010-11-08,27.569,27.988,27.569,27.915,9696970,0
2010-11-09,27.944,28.069,27.62,27.737,9880482,0
2010-11-10,27.629,27.848,27.361,27.829,9498977,0
2010-11-11,27.737,27.773,27.461,27.584,9916038,0
2010-11-12,27.417,27.49,26.808,27.031,13391256,0
2010-11-15,27.066,27.194,26.834,26.862,8257205,0
2010-11-16,26.763,26.988,26.327,26.506,12757278,0
2010-11-17,26.584,26.889,26.521,26.667,9433878,0
2010-11-18,27.333,27.695,27.093,27.522,14903759,0
2010-11-22,27.507,27.915,27.507,27.695,10218425,0
2010-11-23,27.425,27.722,27.256,27.712,11703845,0
2010-11-24,27.838,28.328,27.737,28.211,10528906,0
2010-11-26,27.854,28.051,27.792,27.848,3690706,0
2010-11-29,27.62,28.193,27.471,28.105,11117287,0
2010-11-30,27.858,27.977,27.699,27.717,11943334,0
2010-12-01,28.105,28.597,28.069,28.49,10016159,0
2010-12-02,28.579,28.961,28.512,28.589,10773996,0
2010-12-03,28.481,29.052,28.454,28.978,8292929,0
2010-12-06,28.919,29.088,28.73,29.071,7227239,0
2010-12-07,29.357,29.721,29.319,29.552,13829019,0
2010-12-08,29.499,29.88,29.437,29.767,10315098,0
2010-12-09,29.937,30.054,29.679,30.027,12608051,0
2010-12-10,30.027,30.177,29.688,30.08,9279316,0
2010-12-13,30.087,30.373,30.087,30.168,11883990,0
2010-12-14,30.206,30.555,30.206,30.467,9601112,0
2010-12-15,30.296,30.429,30.027,30.252,13345192,0
2010-12-16,30.252,30.896,30.244,30.896,11203250,0
2010-12-17,30.841,30.877,30.51,30.751,12123659,0
2010-12-20,30.928,30.928,30.536,30.715,8126222,0
2010-12-21,30.877,30.991,30.624,30.822,7020796,0
2010-12-22,31.275,31.699,31.117,31.241,10794195,0
2010-12-23,31.136,31.225,30.868,31.028,5800546,0
2010-12-27,30.912,31.073,30.77,30.972,3113523,0
2010-12-28,31.001,31.233,30.972,31.064,3823546,0
2010-12-29,31.053,31.265,31.008,31.196,6075768,0
2010-12-30,31.053,31.483,31.017,31.283,5270048,0
2010-12-31,31.161,31.458,31.007,31.079,5628788,0
2011-01-03,31.225,31.44,31.098,31.332,9131364,0
2011-01-04,31.285,31.361,30.751,31.304,11065869,0
2011-01-05,31.162,31.672,31.108,31.636,12224196,0
2011-01-06,31.553,31.563,31.154,31.313,9710079,0
2011-01-07,31.285,31.589,31.117,31.332,9196176,0
2011-01-10,31.241,31.581,31.241,31.449,7360240,0
2011-01-11,31.502,31.95,31.411,31.581,9907936,0
2011-01-12,31.682,32.137,31.037,31.117,14536888,0
2011-01-13,31.081,31.18,30.802,31.162,9134394,0
2011-01-14,31.18,31.42,30.953,31.361,7806683,0
2011-01-18,31.189,31.475,31.189,31.411,7059054,0
2011-01-19,31.233,31.304,30.581,30.841,9697921,0
2011-01-20,30.841,31.733,30.841,31.563,12117698,0
2011-01-21,31.761,32.012,31.553,31.654,9652659,0
2011-01-24,31.572,31.708,31.241,31.275,7803934,0
2011-01-25,31.304,31.449,31.089,31.43,7596393,0
2011-01-26,31.457,32.091,31.411,31.823,13495517,0
2011-01-27,31.806,31.968,31.626,31.922,9277771,0
2011-01-28,31.987,32.003,31.001,31.108,10456042,0
2011-01-31,30.157,30.978,30.058,30.574,13460915,0
2011-02-01,30.563,31.502,30.401,31.241,14628152,0
2011-02-02,31.198,31.553,30.724,30.972,14238674,0
2011-02-03,29.873,29.983,28.865,29.428,49613117,0
2011-02-04,29.534,29.552,28.846,29.205,27105543,0
2011-02-07,29.168,29.731,29.098,29.437,15973557,0
2011-02-08,29.509,29.856,29.453,29.767,11036252,0
2011-02-09,29.75,30.177,29.499,29.785,14298004,0
2011-02-10,29.721,29.873,29.338,29.463,14776410,0
2011-02-11,29.256,29.552,28.929,29.527,12623800,0
2011-02-14,29.402,29.499,29.214,29.291,10025647,0
2011-02-15,29.132,29.633,28.978,29.482,17689762,0
2011-02-16,29.446,29.606,28.97,29.241,18171905,0
2011-02-17,29.224,29.418,28.978,29.283,13538578,0
2011-02-18,29.357,29.588,29.256,29.552,8378895,0
2011-02-22,29.034,29.527,28.988,29.233,15118899,0
2011-02-23,29.081,29.328,28.693,28.817,14398283,0
2011-02-24,28.73,29.168,28.677,29.061,10576787,0
2011-02-25,29.061,29.544,28.961,29.446,8252372,0
2011-02-28,29.367,29.778,29.367,29.554,12123708,0
2011-03-01,29.69,30.048,29.5,29.589,14224771,0
2011-03-02,29.482,29.803,29.256,29.283,10521751,0
2011-03-03,29.519,30.181,29.454,29.922,12050053,0
2011-03-04,29.864,30.161,29.3,29.509,11018146,0
2011-03-07,29.642,29.785,29.274,29.347,7863737,0
2011-03-08,29.437,29.983,29.428,29.822,7821684,0
2011-03-09,29.839,30.618,29.822,30.458,14661558,0
2011-03-10,30.281,30.606,30.083,30.424,12259043,0
2011-03-11,30.206,30.482,30.063,30.391,9088317,0
2011-03-14,30.277,30.354,29.697,29.965,10774445,0
2011-03-15,29.561,29.75,29.319,29.614,13110931,0
2011-03-16,29.482,29.642,29.052,29.393,19437678,0
2011-03-17,29.742,29.922,29.339,29.482,9723493,0
2011-03-18,29.983,30.27,29.785,30.046,14046835,0
2011-03-21,30.27,30.448,30.087,30.354,4115243,0
2011-03-22,29.928,30.08,29.697,29.864,9614694,0
2011-03-23,29.928,30.113,29.803,30.08,8140851,0
2011-03-24,30.225,30.555,29.983,30.391,10478002,0
2011-03-25,30.47,30.496,30.229,30.3,6755816,0
2011-03-28,30.411,30.545,30.046,30.046,7901715,0
2011-03-29,30.003,30.234,29.839,30.215,7740543,0
2011-03-30,30.364,30.448,30.018,30.072,8415309,0
2011-03-31,29.997,30.68,29.979,30.68,12856554,0
2011-04-01,30.615,31.248,30.578,31.248,11108966,0
2011-04-04,31.127,31.275,30.868,31.081,8519291,0
2011-04-05,31.087,31.465,31.008,31.283,7827090,0
2011-04-06,31.636,32.306,31.537,31.968,20308736,0
2011-04-07,31.823,31.996,31.552,31.707,8096920,0
2011-04-08,32.324,32.999,32.199,32.388,15768587,0
2011-04-11,32.191,32.597,32.138,32.218,7952984,0
2011-04-12,32.102,32.299,31.856,32.28,12094674,0
2011-04-13,32.263,32.361,31.672,31.841,8532762,0
2011-04-14,31.797,32.236,31.699,31.833,10517269,0
2011-04-15,32.082,32.299,31.866,32.063,11987349,0
2011-04-18,31.814,31.988,31.58,31.797,7760193,0
2011-04-19,31.743,32.12,31.571,32.111,6426986,0
2011-04-20,32.388,32.559,32.273,32.514,7280421,0
2011-04-21,32.504,32.597,32.408,32.476,5142323,0
2011-04-25,32.333,32.485,32.228,32.308,4325876,0
2011-04-26,32.467,32.856,32.361,32.37,10200972,0
2011-04-27,32.435,32.72,32.333,32.621,8908433,0
2011-04-28,32.578,32.578,32.308,32.514,9046713,0
2011-04-29,32.476,32.622,32.332,32.486,5472015,0
2011-05-02,32.658,32.738,32.361,32.427,8995991,0
2011-05-03,32.299,32.962,32.29,32.748,10298720,0
2011-05-04,32.791,33.053,32.324,32.398,11302206,0
2011-05-05,32.417,33.009,32.045,32.999,13415244,0
2011-05-06,33.151,33.438,33.061,33.205,9512061,0
2011-05-09,33.248,33.761,33.177,33.618,8696895,0
2011-05-10,33.502,33.645,33.323,33.627,6109415,0
2011-05-11,33.51,33.839,33.455,33.636,7158414,0
2011-05-12,33.886,34.273,33.681,34.255,9592782,0
2011-05-13,34.211,34.304,33.942,34.201,7422168,0
2011-05-16,34.092,34.487,33.877,34.398,7504070,0
2011-05-17,34.229,34.723,34.211,34.637,9644333,0
2011-05-18,34.657,34.713,34.351,34.575,6780599,0
2011-05-19,34.594,34.61,34.304,34.47,5402092,0
2011-05-20,34.371,34.61,34.147,34.444,7515675,0
2011-05-23,34.147,34.351,33.915,34.055,7726874,0
2011-05-24,34.155,34.379,34.045,34.237,8466159,0
2011-05-25,33.95,34.361,33.95,34.237,10194220,0
2011-05-26,34.229,34.398,34.045,34.219,10381095,0
2011-05-27,34.837,35.429,34.741,34.801,26619076,0
2011-05-31,35.043,35.116,34.356,34.701,12137480,0
2011-06-01,34.657,34.972,34.304,34.425,10102019,0
2011-06-02,34.416,34.619,34.313,34.559,14208278,0
