Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,29.923,30.256,29.687,30.246,269977,0
2010-01-05,30.237,30.594,30.132,30.537,227494,0
2010-01-06,30.537,31.455,30.367,31.371,328368,0
2010-01-07,31.465,31.882,31.24,31.465,157523,0
2010-01-08,31.323,31.558,31.058,31.249,191505,0
2010-01-11,31.38,31.739,31.249,31.624,128037,0
2010-01-12,31.276,31.52,30.964,31.077,89813,0
2010-01-13,31.114,31.548,31.114,31.53,100539,0
2010-01-14,31.352,31.843,31.294,31.701,75147,0
2010-01-15,31.797,31.797,30.274,30.823,276152,0
2010-01-19,30.804,31.455,30.71,31.371,154301,0
2010-01-20,31.068,31.068,30.613,30.945,153319,0
2010-01-21,31.077,31.172,29.781,30.21,143500,0
2010-01-22,30.084,30.434,29.556,29.679,130104,0
2010-01-25,29.875,30,29.593,29.762,168712,0
2010-01-26,29.724,29.724,29.12,29.165,173961,0
2010-01-27,29.006,29.574,28.996,29.499,216053,0
2010-01-28,29.651,29.651,28.829,29.32,157003,0
2010-01-29,29.432,29.651,28.894,28.894,169141,0
2010-02-01,29.015,29.233,28.647,28.866,157621,0
2010-02-02,28.848,28.848,28.353,28.695,263575,0
2010-02-03,28.515,28.848,28.222,28.552,101048,0
2010-02-04,28.373,28.373,27.42,27.437,123868,0
2010-02-05,27.521,27.663,26.777,27.456,179921,0
2010-02-08,27.354,27.825,27.221,27.456,173951,0
2010-02-09,27.873,27.921,27.278,27.466,244789,0
2010-02-10,27.382,27.615,27.144,27.475,316397,0
2010-02-11,27.334,28.098,27.031,28.061,173952,0
2010-02-12,27.731,28.176,27.456,27.986,190197,0
2010-02-16,27.316,28.666,27.316,28.298,313154,0
2010-02-17,28.448,28.968,28.298,28.743,409322,0
2010-02-18,28.656,29.452,28.627,29.452,147897,0
2010-02-19,29.452,30.292,29.33,29.961,207091,0
2010-02-22,30.018,30.302,29.724,30.283,259074,0
2010-02-23,30.142,30.33,29.801,29.82,137868,0
2010-02-24,29.83,30.556,29.705,30.218,99822,0
2010-02-25,29.752,30.274,29.651,30.2,82864,0
2010-02-26,30.132,30.501,29.932,30.302,129662,0
2010-03-01,30.395,31.191,30.302,31.124,158357,0
2010-03-02,31.153,31.701,31.039,31.691,163714,0
2010-03-03,31.663,31.853,31.362,31.436,102930,0
2010-03-04,31.465,31.654,31.191,31.371,96450,0
2010-03-05,31.465,32.297,31.465,32.258,128593,0
2010-03-08,32.182,32.516,32.004,32.088,78812,0
2010-03-09,32.061,32.619,32.061,32.382,95515,0
2010-03-10,32.336,32.892,32.258,32.543,100746,0
2010-03-11,32.307,32.674,32.088,32.637,94871,0
2010-03-12,32.799,32.799,32.117,32.665,123733,0
2010-03-15,32.58,32.741,32.364,32.552,58833,0
2010-03-16,32.58,32.864,32.373,32.837,54956,0
2010-03-17,32.837,33.357,32.76,33.357,154127,0
2010-03-18,33.251,33.593,33.101,33.451,121272,0
2010-03-19,33.639,33.847,33.232,33.687,272505,0
2010-03-22,33.395,34.15,33.318,34.075,121328,0
2010-03-23,33.989,34.272,33.649,34.179,98235,0
2010-03-24,33.915,34.49,33.742,33.789,124622,0
2010-03-25,33.943,34.047,33.251,33.27,102810,0
2010-03-26,33.441,33.818,33.222,33.347,64744,0
2010-03-29,33.385,33.838,33.289,33.611,68413,0
2010-03-30,33.554,33.809,33.148,33.423,90567,0
